Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550359492,2019-02-16T23:24:52Z,QTR44SG,"25.264435,51.617229",0,2,115
1550359741,2019-02-16T23:29:01Z,QTR44SG,"25.264597,51.61689",0,2,67
1550359775,2019-02-16T23:29:35Z,QTR44SG,"25.264843,51.617538",0,16,67
1550359806,2019-02-16T23:30:06Z,QTR44SG,"25.26535,51.618946",0,30,67
1550359837,2019-02-16T23:30:37Z,QTR44SG,"25.265587,51.620274",0,18,115
1550359845,2019-02-16T23:30:45Z,QTR44SG,"25.265339,51.620419",0,19,146
1550359852,2019-02-16T23:30:52Z,QTR44SG,"25.26511,51.620506",0,21,157
1550359861,2019-02-16T23:31:01Z,QTR44SG,"25.264755,51.620663",0,23,157
1550359868,2019-02-16T23:31:08Z,QTR44SG,"25.264481,51.620777",0,25,157
1550359878,2019-02-16T23:31:18Z,QTR44SG,"25.263988,51.620991",0,26,157
1550359884,2019-02-16T23:31:24Z,QTR44SG,"25.263702,51.62112",0,27,157
1550359918,2019-02-16T23:31:58Z,QTR44SG,"25.262375,51.621704",0,11,157
1550360139,2019-02-16T23:35:39Z,QTR44SG,"25.261459,51.622097",0,16,157
1550360147,2019-02-16T23:35:47Z,QTR44SG,"25.261257,51.622192",0,18,157
1550360168,2019-02-16T23:36:08Z,QTR44SG,"25.260979,51.622322",0,2,157
1550360255,2019-02-16T23:37:35Z,QTR44SG,"25.260956,51.622334",0,0,89
1550360359,2019-02-16T23:39:19Z,QTR44SG,"25.260408,51.622566",0,17,160
1550360372,2019-02-16T23:39:32Z,QTR44SG,"25.259989,51.622772",0,19,154
1550360392,2019-02-16T23:39:52Z,QTR44SG,"25.26004,51.623318",0,17,73
1550360398,2019-02-16T23:39:58Z,QTR44SG,"25.260117,51.623539",0,18,70
1550360414,2019-02-16T23:40:14Z,QTR44SG,"25.260338,51.624146",0,22,67
1550360426,2019-02-16T23:40:26Z,QTR44SG,"25.26049,51.624535",0,16,61
1550360436,2019-02-16T23:40:36Z,QTR44SG,"25.26071,51.624496",0,13,2
1550360446,2019-02-16T23:40:46Z,QTR44SG,"25.260384,51.62426",0,10,340
1550360506,2019-02-16T23:41:46Z,QTR44SG,"25.261177,51.624252",0,30,337
1550360512,2019-02-16T23:41:52Z,QTR44SG,"25.262192,51.623814",0,44,337
1550360518,2019-02-16T23:41:58Z,QTR44SG,"25.263876,51.62307",0,70,337
1550360525,2019-02-16T23:42:05Z,QTR44SG,"25.266953,51.621704",25,99,338
1550360533,2019-02-16T23:42:13Z,QTR44SG,"25.270603,51.62009",0,126,338
1550360539,2019-02-16T23:42:19Z,QTR44SG,"25.274414,51.61845",0,147,338
1550360550,2019-02-16T23:42:30Z,QTR44SG,"25.283249,51.614532",100,181,338
1550360556,2019-02-16T23:42:36Z,QTR44SG,"25.288013,51.612526",275,182,338
1550360562,2019-02-16T23:42:42Z,QTR44SG,"25.29277,51.610413",600,179,337
1550360568,2019-02-16T23:42:48Z,QTR44SG,"25.297464,51.608223",875,179,336
1550360575,2019-02-16T23:42:55Z,QTR44SG,"25.302063,51.605988",1175,180,336
1550360587,2019-02-16T23:43:07Z,QTR44SG,"25.311569,51.601799",1525,184,338
1550360593,2019-02-16T23:43:13Z,QTR44SG,"25.316391,51.599781",1625,190,340
1550360599,2019-02-16T23:43:19Z,QTR44SG,"25.321718,51.598431",1700,196,346
1550360623,2019-02-16T23:43:43Z,QTR44SG,"25.343504,51.604961",2350,213,29
1550360631,2019-02-16T23:43:51Z,QTR44SG,"25.350254,51.611904",2500,222,46
1550360637,2019-02-16T23:43:57Z,QTR44SG,"25.353699,51.61776",2575,224,48
1550360643,2019-02-16T23:44:03Z,QTR44SG,"25.356583,51.624043",2675,239,63
1550360652,2019-02-16T23:44:12Z,QTR44SG,"25.361101,51.634396",2925,245,64
1550360658,2019-02-16T23:44:18Z,QTR44SG,"25.36422,51.641495",3050,248,63
1550360664,2019-02-16T23:44:24Z,QTR44SG,"25.36706,51.647919",3125,255,63
1550360670,2019-02-16T23:44:30Z,QTR44SG,"25.370544,51.655987",3275,262,64
1550360682,2019-02-16T23:44:42Z,QTR44SG,"25.376678,51.670734",3575,269,65
1550360689,2019-02-16T23:44:49Z,QTR44SG,"25.379721,51.678028",3625,277,65
1550360700,2019-02-16T23:45:00Z,QTR44SG,"25.386337,51.693878",3750,294,64
1550360707,2019-02-16T23:45:07Z,QTR44SG,"25.390242,51.703007",3900,300,64
1550360713,2019-02-16T23:45:13Z,QTR44SG,"25.393616,51.710865",4050,303,64
1550360719,2019-02-16T23:45:19Z,QTR44SG,"25.397415,51.719616",4250,306,64
1550360733,2019-02-16T23:45:33Z,QTR44SG,"25.406799,51.741333",4725,315,64
1550360740,2019-02-16T23:45:40Z,QTR44SG,"25.410585,51.749958",4900,317,64
1550360746,2019-02-16T23:45:46Z,QTR44SG,"25.41394,51.75761",5075,319,64
1550360758,2019-02-16T23:45:58Z,QTR44SG,"25.422363,51.776958",5550,323,64
1550360770,2019-02-16T23:46:10Z,QTR44SG,"25.430557,51.795406",5850,333,63
1550360781,2019-02-16T23:46:21Z,QTR44SG,"25.439346,51.812084",6150,337,58
1550360788,2019-02-16T23:46:28Z,QTR44SG,"25.445251,51.821491",6375,338,54
1550360794,2019-02-16T23:46:34Z,QTR44SG,"25.451065,51.829681",6600,339,51
1550360800,2019-02-16T23:46:40Z,QTR44SG,"25.457232,51.837589",6800,340,48
1550360807,2019-02-16T23:46:47Z,QTR44SG,"25.463745,51.845398",7000,341,47
1550360815,2019-02-16T23:46:55Z,QTR44SG,"25.473724,51.856892",7325,343,46
1550360827,2019-02-16T23:47:07Z,QTR44SG,"25.487118,51.872051",7750,345,45
1550360839,2019-02-16T23:47:19Z,QTR44SG,"25.5,51.887714",8175,348,49
1550360852,2019-02-16T23:47:32Z,QTR44SG,"25.512314,51.904652",8625,352,52
1550360864,2019-02-16T23:47:44Z,QTR44SG,"25.524265,51.922371",9075,354,53
1550360875,2019-02-16T23:47:55Z,QTR44SG,"25.535671,51.939938",9425,360,54
1550360887,2019-02-16T23:48:07Z,QTR44SG,"25.547356,51.958336",9775,364,55
1550360899,2019-02-16T23:48:19Z,QTR44SG,"25.558855,51.976578",10150,368,55
1550360910,2019-02-16T23:48:30Z,QTR44SG,"25.570492,51.995182",10500,372,55
1550360923,2019-02-16T23:48:43Z,QTR44SG,"25.583084,52.015179",10850,378,55
1550360935,2019-02-16T23:48:55Z,QTR44SG,"25.594978,52.03405",11200,381,54
1550360946,2019-02-16T23:49:06Z,QTR44SG,"25.60778,52.051823",11575,382,49
1550360960,2019-02-16T23:49:20Z,QTR44SG,"25.622211,52.069443",11925,384,47
1550360971,2019-02-16T23:49:31Z,QTR44SG,"25.637787,52.087811",12325,387,46
1550361002,2019-02-16T23:50:02Z,QTR44SG,"25.675232,52.132366",12900,411,47
1550361034,2019-02-16T23:50:34Z,QTR44SG,"25.71817,52.183075",13850,427,46
1550361067,2019-02-16T23:51:07Z,QTR44SG,"25.765825,52.236156",15000,433,40
1550361100,2019-02-16T23:51:40Z,QTR44SG,"25.818832,52.281086",16150,438,34
1550361135,2019-02-16T23:52:15Z,QTR44SG,"25.87587,52.323685",17425,442,35
1550361149,2019-02-16T23:52:29Z,QTR44SG,"25.89971,52.34621",17950,451,43
1550361158,2019-02-16T23:52:38Z,QTR44SG,"25.912491,52.361774",18275,455,47
1550361164,2019-02-16T23:52:44Z,QTR44SG,"25.920332,52.372883",18475,458,51
1550361171,2019-02-16T23:52:51Z,QTR44SG,"25.927828,52.384396",18650,459,53
1550361179,2019-02-16T23:52:59Z,QTR44SG,"25.938488,52.401669",18925,463,55
1550361245,2019-02-16T23:54:05Z,QTR44SG,"26.014343,52.538902",20775,483,63
