Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550532411,2019-02-18T23:26:51Z,QTR44SG,"25.263189,51.617992",0,0,85
1550532473,2019-02-18T23:27:53Z,QTR44SG,"25.263329,51.618408",0,10,247
1550532489,2019-02-18T23:28:09Z,QTR44SG,"25.263382,51.618626",0,10,236
1550532505,2019-02-18T23:28:25Z,QTR44SG,"25.263445,51.618835",0,9,202
1550532529,2019-02-18T23:28:49Z,QTR44SG,"25.26368,51.618958",0,9,168
1550532535,2019-02-18T23:28:55Z,QTR44SG,"25.263388,51.618679",0,2,160
1550532827,2019-02-18T23:33:47Z,QTR44SG,"25.263725,51.618977",0,0,89
1550532852,2019-02-18T23:34:12Z,QTR44SG,"25.263433,51.619106",0,12,160
1550532863,2019-02-18T23:34:23Z,QTR44SG,"25.263212,51.619198",0,14,160
1550532886,2019-02-18T23:34:46Z,QTR44SG,"25.262899,51.619339",0,11,157
1550532898,2019-02-18T23:34:58Z,QTR44SG,"25.262684,51.619427",0,12,160
1550532916,2019-02-18T23:35:16Z,QTR44SG,"25.262398,51.61956",0,13,157
1550532936,2019-02-18T23:35:36Z,QTR44SG,"25.262072,51.619873",0,15,123
1550532943,2019-02-18T23:35:43Z,QTR44SG,"25.2621,51.62009",0,18,92
1550532950,2019-02-18T23:35:50Z,QTR44SG,"25.262199,51.620312",0,20,70
1550532959,2019-02-18T23:35:59Z,QTR44SG,"25.262259,51.620609",0,17,84
1550532979,2019-02-18T23:36:19Z,QTR44SG,"25.261583,51.620998",0,18,160
1550533208,2019-02-18T23:40:08Z,QTR44SG,"25.261311,51.621105",0,10,157
1550533225,2019-02-18T23:40:25Z,QTR44SG,"25.261013,51.621235",0,14,157
1550533237,2019-02-18T23:40:37Z,QTR44SG,"25.260727,51.621361",0,16,157
1550533250,2019-02-18T23:40:50Z,QTR44SG,"25.260384,51.621513",0,16,157
1550533260,2019-02-18T23:41:00Z,QTR44SG,"25.260164,51.621609",0,12,157
1550533280,2019-02-18T23:41:20Z,QTR44SG,"25.259907,51.621723",0,10,157
1550533495,2019-02-18T23:44:55Z,QTR44SG,"25.259861,51.62175",0,0,53
1550533574,2019-02-18T23:46:14Z,QTR44SG,"25.259857,51.621742",0,0,234
1550533684,2019-02-18T23:48:04Z,QTR44SG,"25.259857,51.621742",0,0,234
1550533729,2019-02-18T23:48:49Z,QTR44SG,"25.259857,51.621742",0,0,234
1550533783,2019-02-18T23:49:43Z,QTR44SG,"25.259628,51.621906",0,13,143
1550533792,2019-02-18T23:49:52Z,QTR44SG,"25.259628,51.622112",0,14,106
1550533810,2019-02-18T23:50:10Z,QTR44SG,"25.259789,51.622631",0,19,70
1550533816,2019-02-18T23:50:16Z,QTR44SG,"25.25988,51.622887",0,22,70
1550533826,2019-02-18T23:50:26Z,QTR44SG,"25.260052,51.623371",0,24,67
1550533832,2019-02-18T23:50:32Z,QTR44SG,"25.260155,51.623661",0,25,67
1550533846,2019-02-18T23:50:46Z,QTR44SG,"25.260395,51.624325",0,24,67
1550533854,2019-02-18T23:50:54Z,QTR44SG,"25.260502,51.62455",0,13,59
1550533881,2019-02-18T23:51:21Z,QTR44SG,"25.260885,51.624405",0,12,340
1550533933,2019-02-18T23:52:13Z,QTR44SG,"25.261391,51.624184",0,21,337
1550533953,2019-02-18T23:52:33Z,QTR44SG,"25.267902,51.621284",125,109,337
1550533960,2019-02-18T23:52:40Z,QTR44SG,"25.271627,51.619678",125,135,337
1550533967,2019-02-18T23:52:47Z,QTR44SG,"25.275696,51.617889",100,157,337
1550533973,2019-02-18T23:52:53Z,QTR44SG,"25.280239,51.615894",75,173,337
1550533979,2019-02-18T23:52:59Z,QTR44SG,"25.285126,51.61377",200,191,338
1550533990,2019-02-18T23:53:10Z,QTR44SG,"25.294327,51.60965",575,193,337
1550534002,2019-02-18T23:53:22Z,QTR44SG,"25.304865,51.604752",1125,194,336
1550534009,2019-02-18T23:53:29Z,QTR44SG,"25.310125,51.602318",1400,194,337
1550534015,2019-02-18T23:53:35Z,QTR44SG,"25.314827,51.60014",1575,195,337
1550534021,2019-02-18T23:53:41Z,QTR44SG,"25.319994,51.597858",1675,202,338
1550534033,2019-02-18T23:53:53Z,QTR44SG,"25.331268,51.593018",1850,215,338
1550534039,2019-02-18T23:53:59Z,QTR44SG,"25.336761,51.590679",1925,221,338
1550534045,2019-02-18T23:54:05Z,QTR44SG,"25.34248,51.588688",2000,222,338
1550534053,2019-02-18T23:54:13Z,QTR44SG,"25.351135,51.587574",2175,233,354
1550534073,2019-02-18T23:54:33Z,QTR44SG,"25.372505,51.595684",2600,251,32
1550534080,2019-02-18T23:54:40Z,QTR44SG,"25.379023,51.603249",2775,257,50
1550534086,2019-02-18T23:54:46Z,QTR44SG,"25.382812,51.610157",2950,260,59
1550534093,2019-02-18T23:54:53Z,QTR44SG,"25.385912,51.617397",3175,262,64
1550534101,2019-02-18T23:55:01Z,QTR44SG,"25.390474,51.62854",3500,263,65
1550534113,2019-02-18T23:55:13Z,QTR44SG,"25.396225,51.643269",3900,266,66
1550534120,2019-02-18T23:55:20Z,QTR44SG,"25.399227,51.651081",4125,267,67
1550534126,2019-02-18T23:55:26Z,QTR44SG,"25.401993,51.658581",4325,269,67
1550534138,2019-02-18T23:55:38Z,QTR44SG,"25.407745,51.673988",4700,272,67
1550534150,2019-02-18T23:55:50Z,QTR44SG,"25.41394,51.690319",4975,281,67
1550534156,2019-02-18T23:55:56Z,QTR44SG,"25.41687,51.697998",5075,288,67
1550534168,2019-02-18T23:56:08Z,QTR44SG,"25.42337,51.715137",5375,297,67
1550534179,2019-02-18T23:56:19Z,QTR44SG,"25.429718,51.731667",5650,305,66
1550534192,2019-02-18T23:56:32Z,QTR44SG,"25.436829,51.749775",6075,309,66
1550534204,2019-02-18T23:56:44Z,QTR44SG,"25.443777,51.767319",6525,313,66
1550534215,2019-02-18T23:56:55Z,QTR44SG,"25.450621,51.784473",6925,316,66
1550534228,2019-02-18T23:57:08Z,QTR44SG,"25.458069,51.803028",7300,322,66
