Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550704920,2019-02-20T23:22:00Z,QTR44SG,"25.263201,51.617928",0,0,278
1550705297,2019-02-20T23:28:17Z,QTR44SG,"25.263201,51.618031",0,2,247
1550705368,2019-02-20T23:29:28Z,QTR44SG,"25.263371,51.61874",0,2,205
1550705397,2019-02-20T23:29:57Z,QTR44SG,"25.263597,51.618874",0,2,185
1550705431,2019-02-20T23:30:31Z,QTR44SG,"25.263842,51.618927",0,2,154
1550705663,2019-02-20T23:34:23Z,QTR44SG,"25.263632,51.619015",0,10,157
1550705791,2019-02-20T23:36:31Z,QTR44SG,"25.262157,51.619732",0,18,146
1550705812,2019-02-20T23:36:52Z,QTR44SG,"25.262226,51.620533",0,21,81
1550706031,2019-02-20T23:40:31Z,QTR44SG,"25.261246,51.62114",0,2,157
1550706048,2019-02-20T23:40:48Z,QTR44SG,"25.261024,51.621235",0,12,160
1550706071,2019-02-20T23:41:11Z,QTR44SG,"25.260559,51.621441",0,15,157
1550706087,2019-02-20T23:41:27Z,QTR44SG,"25.260187,51.621593",0,14,157
1550706449,2019-02-20T23:47:29Z,QTR44SG,"25.259972,51.621704",0,9,157
1550706468,2019-02-20T23:47:48Z,QTR44SG,"25.259674,51.621845",0,14,154
1550706478,2019-02-20T23:47:58Z,QTR44SG,"25.259569,51.622086",0,16,118
1550706496,2019-02-20T23:48:16Z,QTR44SG,"25.259779,51.622631",0,20,67
1550706553,2019-02-20T23:49:13Z,QTR44SG,"25.259932,51.623047",0,0,67
1550706566,2019-02-20T23:49:26Z,QTR44SG,"25.260029,51.623306",0,16,67
1550706572,2019-02-20T23:49:32Z,QTR44SG,"25.260098,51.623508",0,19,67
1550706591,2019-02-20T23:49:51Z,QTR44SG,"25.260408,51.624302",0,23,64
1550706606,2019-02-20T23:50:06Z,QTR44SG,"25.260839,51.624443",0,17,354
1550706665,2019-02-20T23:51:05Z,QTR44SG,"25.261421,51.624172",0,19,337
1550706678,2019-02-20T23:51:18Z,QTR44SG,"25.263969,51.623047",0,70,337
1550706686,2019-02-20T23:51:26Z,QTR44SG,"25.26796,51.621296",0,106,338
1550706692,2019-02-20T23:51:32Z,QTR44SG,"25.270935,51.619976",0,127,338
1550706699,2019-02-20T23:51:39Z,QTR44SG,"25.275211,51.618122",0,154,338
1550706710,2019-02-20T23:51:50Z,QTR44SG,"25.284847,51.613873",0,192,338
1550706716,2019-02-20T23:51:56Z,QTR44SG,"25.290062,51.611591",25,197,338
1550706722,2019-02-20T23:52:02Z,QTR44SG,"25.294764,51.60952",325,195,338
1550706728,2019-02-20T23:52:08Z,QTR44SG,"25.299931,51.607189",625,193,337
1550706735,2019-02-20T23:52:15Z,QTR44SG,"25.30481,51.604919",900,193,337
1550706741,2019-02-20T23:52:21Z,QTR44SG,"25.309986,51.602524",1200,191,336
1550706753,2019-02-20T23:52:33Z,QTR44SG,"25.320042,51.597858",1500,197,337
1550706765,2019-02-20T23:52:45Z,QTR44SG,"25.330719,51.593475",1700,209,343
1550706772,2019-02-20T23:52:52Z,QTR44SG,"25.336754,51.592522",1800,216,354
1550706795,2019-02-20T23:53:15Z,QTR44SG,"25.35947,51.604805",2375,247,29
1550706803,2019-02-20T23:53:23Z,QTR44SG,"25.365057,51.614185",2625,254,58
1550706809,2019-02-20T23:53:29Z,QTR44SG,"25.36853,51.621349",2750,262,62
1550706816,2019-02-20T23:53:36Z,QTR44SG,"25.371761,51.628902",2875,267,64
1550706823,2019-02-20T23:53:43Z,QTR44SG,"25.375809,51.638844",3150,271,66
1550706831,2019-02-20T23:53:51Z,QTR44SG,"25.379442,51.648075",3400,273,66
1550706838,2019-02-20T23:53:58Z,QTR44SG,"25.382467,51.655903",3525,280,66
1550706849,2019-02-20T23:54:09Z,QTR44SG,"25.388763,51.672108",3775,291,66
1550706856,2019-02-20T23:54:16Z,QTR44SG,"25.391968,51.680401",3975,292,66
1550706867,2019-02-20T23:54:27Z,QTR44SG,"25.39856,51.69698",4375,296,66
1550706879,2019-02-20T23:54:39Z,QTR44SG,"25.405518,51.714123",4750,302,65
1550706885,2019-02-20T23:54:45Z,QTR44SG,"25.409088,51.722614",4925,306,65
1550706903,2019-02-20T23:55:03Z,QTR44SG,"25.419804,51.748508",5575,310,65
1550706915,2019-02-20T23:55:15Z,QTR44SG,"25.427111,51.765869",6025,312,65
1550706927,2019-02-20T23:55:27Z,QTR44SG,"25.434513,51.783333",6475,314,65
1550706939,2019-02-20T23:55:39Z,QTR44SG,"25.442001,51.800842",6925,317,64
1550706951,2019-02-20T23:55:51Z,QTR44SG,"25.4496,51.818592",7300,321,64
1550706963,2019-02-20T23:56:03Z,QTR44SG,"25.457323,51.836708",7675,325,64
1550706975,2019-02-20T23:56:15Z,QTR44SG,"25.465118,51.854755",8125,326,64
1550706987,2019-02-20T23:56:27Z,QTR44SG,"25.472992,51.873119",8525,329,64
1550706999,2019-02-20T23:56:39Z,QTR44SG,"25.480694,51.891331",8950,331,64
1550707012,2019-02-20T23:56:52Z,QTR44SG,"25.488602,51.909992",9375,333,64
1550707023,2019-02-20T23:57:03Z,QTR44SG,"25.496288,51.92828",9800,335,65
1550707036,2019-02-20T23:57:16Z,QTR44SG,"25.504395,51.947479",10225,337,65
1550707048,2019-02-20T23:57:28Z,QTR44SG,"25.512396,51.966213",10500,343,64
1550707059,2019-02-20T23:57:39Z,QTR44SG,"25.520729,51.985905",10600,355,65
1550707072,2019-02-20T23:57:52Z,QTR44SG,"25.529341,52.006531",10750,366,65
1550707084,2019-02-20T23:58:04Z,QTR44SG,"25.53804,52.027283",11100,371,65
1550707096,2019-02-20T23:58:16Z,QTR44SG,"25.546829,52.048237",11500,373,65
1550707108,2019-02-20T23:58:28Z,QTR44SG,"25.555573,52.069141",11900,375,65
1550707121,2019-02-20T23:58:41Z,QTR44SG,"25.564453,52.090351",12300,378,65
1550707152,2019-02-20T23:59:12Z,QTR44SG,"25.588303,52.147472",13225,388,65
1550707187,2019-02-20T23:59:47Z,QTR44SG,"25.614258,52.209576",14250,397,65
1550707210,2019-02-21T00:00:10Z,QTR44SG,"25.633152,52.254551",14875,403,65
1550707286,2019-02-21T00:01:26Z,QTR44SG,"25.701212,52.392242",15600,407,51
1550707294,2019-02-21T00:01:34Z,QTR44SG,"25.712057,52.406445",15900,407,49
1550707328,2019-02-21T00:02:08Z,QTR44SG,"25.753164,52.46003",16925,412,49
1550707360,2019-02-21T00:02:40Z,QTR44SG,"25.794525,52.513325",17750,422,49
1550707394,2019-02-21T00:03:14Z,QTR44SG,"25.837236,52.568733",18675,429,49
1550707457,2019-02-21T00:04:17Z,QTR44SG,"25.920752,52.677544",20100,444,49
1550707520,2019-02-21T00:05:20Z,QTR44SG,"26.005476,52.787987",21025,451,49
1550707582,2019-02-21T00:06:22Z,QTR44SG,"26.089874,52.898235",21000,451,49
1550707643,2019-02-21T00:07:23Z,QTR44SG,"26.172958,53.007011",21000,453,49
1550707707,2019-02-21T00:08:27Z,QTR44SG,"26.257977,53.118633",21000,451,49
1550707734,2019-02-21T00:08:54Z,QTR44SG,"26.291565,53.16906",21350,459,59
1550707740,2019-02-21T00:09:00Z,QTR44SG,"26.297333,53.182327",21500,462,64
1550707747,2019-02-21T00:09:07Z,QTR44SG,"26.30246,53.196579",21650,464,69
1550707755,2019-02-21T00:09:15Z,QTR44SG,"26.308044,53.217617",21750,470,74
1550707761,2019-02-21T00:09:21Z,QTR44SG,"26.310488,53.232033",21775,473,80
1550707771,2019-02-21T00:09:31Z,QTR44SG,"26.312393,53.254154",21850,481,86
1550707778,2019-02-21T00:09:38Z,QTR44SG,"26.3134,53.27364",21875,486,86
1550707786,2019-02-21T00:09:46Z,QTR44SG,"26.314257,53.290981",21925,490,86
1550707848,2019-02-21T00:10:48Z,QTR44SG,"26.320541,53.454861",23100,511,87
1550707911,2019-02-21T00:11:51Z,QTR44SG,"26.327087,53.622456",24425,524,87
1550707971,2019-02-21T00:12:51Z,QTR44SG,"26.333817,53.787041",25650,536,87
1550708034,2019-02-21T00:13:54Z,QTR44SG,"26.3407,53.960354",26675,551,87
1550708099,2019-02-21T00:14:59Z,QTR44SG,"26.347729,54.146488",27875,562,87
1550708158,2019-02-21T00:15:58Z,QTR44SG,"26.354187,54.323505",28925,572,87
1550708221,2019-02-21T00:17:01Z,QTR44SG,"26.360641,54.507629",30225,575,87
1550708303,2019-02-21T00:18:23Z,QTR44SG,"26.368864,54.751106",31000,573,87
1550708363,2019-02-21T00:19:23Z,QTR44SG,"26.374512,54.928272",31000,570,87
1550708427,2019-02-21T00:20:27Z,QTR44SG,"26.38028,55.114002",31000,570,87
1550708488,2019-02-21T00:21:28Z,QTR44SG,"26.385668,55.295246",31000,570,88
1550708554,2019-02-21T00:22:34Z,QTR44SG,"26.391069,55.484337",31000,570,88
1550708616,2019-02-21T00:23:36Z,QTR44SG,"26.395981,55.668552",31000,570,88
1550708679,2019-02-21T00:24:39Z,QTR44SG,"26.400742,55.852264",31000,569,88
1550708743,2019-02-21T00:25:43Z,QTR44SG,"26.405045,56.040173",30975,570,89
1550708763,2019-02-21T00:26:03Z,QTR44SG,"26.395981,56.098991",31000,561,104
1550708777,2019-02-21T00:26:17Z,QTR44SG,"26.381851,56.13549",31000,551,116
1550708784,2019-02-21T00:26:24Z,QTR44SG,"26.371857,56.153507",31000,546,122
1550708791,2019-02-21T00:26:31Z,QTR44SG,"26.362793,56.166927",31000,541,127
1550708798,2019-02-21T00:26:38Z,QTR44SG,"26.351732,56.180809",31000,535,132
1550708806,2019-02-21T00:26:46Z,QTR44SG,"26.337799,56.195122",31000,527,138
1550708812,2019-02-21T00:26:52Z,QTR44SG,"26.325211,56.205742",31000,522,143
1550708820,2019-02-21T00:27:00Z,QTR44SG,"26.307974,56.217728",31000,514,149
1550708826,2019-02-21T00:27:06Z,QTR44SG,"26.295685,56.225334",31000,513,150
1550708833,2019-02-21T00:27:13Z,QTR44SG,"26.282137,56.23373",31000,514,150
1550708895,2019-02-21T00:28:15Z,QTR44SG,"26.150162,56.312912",31000,510,151
1550708957,2019-02-21T00:29:17Z,QTR44SG,"26.021584,56.389282",31000,507,151
1550709020,2019-02-21T00:30:20Z,QTR44SG,"25.891563,56.46719",31000,507,151
1550709085,2019-02-21T00:31:25Z,QTR44SG,"25.757812,56.547344",31000,508,151
1550709149,2019-02-21T00:32:29Z,QTR44SG,"25.627472,56.625244",31000,508,151
1550709212,2019-02-21T00:33:32Z,QTR44SG,"25.495729,56.701164",31000,498,158
1550709220,2019-02-21T00:33:40Z,QTR44SG,"25.476196,56.708424",31000,491,162
1550709226,2019-02-21T00:33:46Z,QTR44SG,"25.463745,56.712086",31000,486,165
1550709232,2019-02-21T00:33:52Z,QTR44SG,"25.451273,56.715107",31000,483,167
1550709238,2019-02-21T00:33:58Z,QTR44SG,"25.437214,56.717697",31000,478,171
1550709244,2019-02-21T00:34:04Z,QTR44SG,"25.424505,56.719303",31000,474,174
1550709250,2019-02-21T00:34:10Z,QTR44SG,"25.410782,56.720226",31000,470,177
1550709256,2019-02-21T00:34:16Z,QTR44SG,"25.399063,56.720531",31000,468,178
1550709263,2019-02-21T00:34:23Z,QTR44SG,"25.384144,56.720806",31000,468,178
1550709326,2019-02-21T00:35:26Z,QTR44SG,"25.247374,56.723759",31000,469,179
1550709386,2019-02-21T00:36:26Z,QTR44SG,"25.116795,56.726505",31000,472,178
1550709449,2019-02-21T00:37:29Z,QTR44SG,"24.977737,56.729584",31000,474,178
1550709512,2019-02-21T00:38:32Z,QTR44SG,"24.838898,56.732685",31000,476,178
1550709575,2019-02-21T00:39:35Z,QTR44SG,"24.699646,56.735737",31000,477,178
1550709639,2019-02-21T00:40:39Z,QTR44SG,"24.560623,56.740009",31000,477,175
1550709701,2019-02-21T00:41:41Z,QTR44SG,"24.420776,56.772869",31000,491,165
1550709764,2019-02-21T00:42:44Z,QTR44SG,"24.282345,56.812325",31000,489,165
1550709827,2019-02-21T00:43:47Z,QTR44SG,"24.142782,56.851761",31000,488,165
1550709888,2019-02-21T00:44:48Z,QTR44SG,"24.011993,56.888733",31000,478,165
1550709948,2019-02-21T00:45:48Z,QTR44SG,"23.882355,56.925049",31000,477,165
1550710012,2019-02-21T00:46:52Z,QTR44SG,"23.746857,56.963146",31000,478,165
1550710075,2019-02-21T00:47:55Z,QTR44SG,"23.610626,57.001446",31000,477,165
1550710137,2019-02-21T00:48:57Z,QTR44SG,"23.476456,57.039066",31000,474,165
1550710168,2019-02-21T00:49:28Z,QTR44SG,"23.412872,57.060741",30975,491,154
1550710174,2019-02-21T00:49:34Z,QTR44SG,"23.400507,57.068378",31000,498,148
1550710180,2019-02-21T00:49:40Z,QTR44SG,"23.389381,57.076771",31000,505,144
