Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550884284,2019-02-23T01:11:24Z,QTR44SG,"25.262537,51.610649",0,13,180
1550884333,2019-02-23T01:12:13Z,QTR44SG,"25.261848,51.609333",0,21,247
1550884358,2019-02-23T01:12:38Z,QTR44SG,"25.261433,51.608185",0,25,247
1550884405,2019-02-23T01:13:25Z,QTR44SG,"25.260509,51.605644",0,22,250
1550884558,2019-02-23T01:15:58Z,QTR44SG,"25.289549,51.590294",275,199,337
1550884572,2019-02-23T01:16:12Z,QTR44SG,"25.299791,51.585735",850,202,336
1550884579,2019-02-23T01:16:19Z,QTR44SG,"25.306915,51.580708",1275,204,322
1550884587,2019-02-23T01:16:27Z,QTR44SG,"25.311264,51.576385",1450,207,317
1550884596,2019-02-23T01:16:36Z,QTR44SG,"25.318039,51.569469",1600,217,317
1550884602,2019-02-23T01:16:42Z,QTR44SG,"25.322617,51.565044",1700,224,319
1550884609,2019-02-23T01:16:49Z,QTR44SG,"25.33005,51.559303",1875,231,326
1550884615,2019-02-23T01:16:55Z,QTR44SG,"25.336395,51.555786",2025,235,334
1550884621,2019-02-23T01:17:01Z,QTR44SG,"25.342758,51.552929",2175,241,337
1550884629,2019-02-23T01:17:09Z,QTR44SG,"25.351557,51.549301",2375,248,340
1550884636,2019-02-23T01:17:16Z,QTR44SG,"25.358727,51.546505",2575,253,340
1550884643,2019-02-23T01:17:23Z,QTR44SG,"25.365829,51.543781",2775,256,340
1550884651,2019-02-23T01:17:31Z,QTR44SG,"25.376266,51.54073",3050,258,347
1550884675,2019-02-23T01:17:55Z,QTR44SG,"25.402439,51.551479",3925,254,42
1550884681,2019-02-23T01:18:01Z,QTR44SG,"25.406162,51.557076",4100,255,53
1550884688,2019-02-23T01:18:08Z,QTR44SG,"25.409283,51.565109",4250,259,68
1550884694,2019-02-23T01:18:14Z,QTR44SG,"25.41119,51.572624",4375,264,75
1550884703,2019-02-23T01:18:23Z,QTR44SG,"25.414263,51.585217",4650,272,74
1550884711,2019-02-23T01:18:31Z,QTR44SG,"25.417786,51.59734",4925,277,71
1550884717,2019-02-23T01:18:37Z,QTR44SG,"25.420349,51.605785",5025,285,71
1550884729,2019-02-23T01:18:49Z,QTR44SG,"25.425522,51.622772",5275,298,71
1550884742,2019-02-23T01:19:02Z,QTR44SG,"25.431061,51.64027",5425,305,70
1550884753,2019-02-23T01:19:13Z,QTR44SG,"25.436934,51.657974",5550,307,69
1550884766,2019-02-23T01:19:26Z,QTR44SG,"25.442986,51.67606",5675,309,69
1550884777,2019-02-23T01:19:37Z,QTR44SG,"25.448898,51.693474",5775,310,69
1550884788,2019-02-23T01:19:48Z,QTR44SG,"25.455276,51.712036",5875,314,69
1550884801,2019-02-23T01:20:01Z,QTR44SG,"25.46142,51.729954",5975,315,69
1550884814,2019-02-23T01:20:14Z,QTR44SG,"25.467844,51.748558",6125,316,69
1550884830,2019-02-23T01:20:30Z,QTR44SG,"25.475618,51.771",6325,318,69
1550884841,2019-02-23T01:20:41Z,QTR44SG,"25.481964,51.789448",6600,322,69
1550884853,2019-02-23T01:20:53Z,QTR44SG,"25.488375,51.807949",7125,323,69
1550884864,2019-02-23T01:21:04Z,QTR44SG,"25.494659,51.826138",7600,325,69
1550884876,2019-02-23T01:21:16Z,QTR44SG,"25.501268,51.845158",8050,329,68
1550884889,2019-02-23T01:21:29Z,QTR44SG,"25.508112,51.864693",8500,334,68
1550884901,2019-02-23T01:21:41Z,QTR44SG,"25.514832,51.884205",8950,338,69
1550884913,2019-02-23T01:21:53Z,QTR44SG,"25.521612,51.904079",9425,340,69
1550884925,2019-02-23T01:22:05Z,QTR44SG,"25.528316,51.923615",9900,344,69
1550884937,2019-02-23T01:22:17Z,QTR44SG,"25.535393,51.944084",10250,351,69
1550884949,2019-02-23T01:22:29Z,QTR44SG,"25.542206,51.963757",10375,363,69
1550884963,2019-02-23T01:22:43Z,QTR44SG,"25.54985,51.986187",10525,379,69
1550884973,2019-02-23T01:22:53Z,QTR44SG,"25.557495,52.008411",10700,391,69
1550884986,2019-02-23T01:23:06Z,QTR44SG,"25.565372,52.031456",10975,400,69
1550884999,2019-02-23T01:23:19Z,QTR44SG,"25.572968,52.053528",11325,407,69
1550885009,2019-02-23T01:23:29Z,QTR44SG,"25.581572,52.078823",11775,410,69
1550885021,2019-02-23T01:23:41Z,QTR44SG,"25.589447,52.101746",12200,413,69
1550885055,2019-02-23T01:24:15Z,QTR44SG,"25.612152,52.168579",13350,424,69
1550885087,2019-02-23T01:24:47Z,QTR44SG,"25.63559,52.237091",14075,440,69
1550885121,2019-02-23T01:25:21Z,QTR44SG,"25.660105,52.308811",14575,445,69
1550885148,2019-02-23T01:25:48Z,QTR44SG,"25.683475,52.363327",14900,445,59
1550885154,2019-02-23T01:25:54Z,QTR44SG,"25.69043,52.375439",14950,445,57
1550885160,2019-02-23T01:26:00Z,QTR44SG,"25.697767,52.387009",15000,444,54
1550885170,2019-02-23T01:26:10Z,QTR44SG,"25.709404,52.403282",15075,445,50
1550885178,2019-02-23T01:26:18Z,QTR44SG,"25.72123,52.418571",15325,446,49
1550885211,2019-02-23T01:26:51Z,QTR44SG,"25.765549,52.476196",16575,448,49
1550885244,2019-02-23T01:27:24Z,QTR44SG,"25.810656,52.534496",17625,456,49
1550885271,2019-02-23T01:27:51Z,QTR44SG,"25.848404,52.583313",18425,461,49
1550885358,2019-02-23T01:29:18Z,QTR44SG,"25.971773,52.743778",20725,486,49
1550885425,2019-02-23T01:30:25Z,QTR44SG,"26.072342,52.875175",22375,500,49
1550885486,2019-02-23T01:31:26Z,QTR44SG,"26.165152,52.99678",23000,518,49
1550885558,2019-02-23T01:32:38Z,QTR44SG,"26.267944,53.153564",24200,527,64
1550885564,2019-02-23T01:32:44Z,QTR44SG,"26.272779,53.166382",24325,529,67
1550885571,2019-02-23T01:32:51Z,QTR44SG,"26.278061,53.182274",24475,530,68
1550885585,2019-02-23T01:33:05Z,QTR44SG,"26.287863,53.22295",24800,535,77
1550885593,2019-02-23T01:33:13Z,QTR44SG,"26.290794,53.241489",24925,537,80
1550885599,2019-02-23T01:33:19Z,QTR44SG,"26.292843,53.261349",25050,541,83
1550885607,2019-02-23T01:33:27Z,QTR44SG,"26.2939,53.283379",25200,542,86
1550885613,2019-02-23T01:33:33Z,QTR44SG,"26.294287,53.297371",25300,544,88
1550885661,2019-02-23T01:34:21Z,QTR44SG,"26.291702,53.43066",25975,556,98
1550885667,2019-02-23T01:34:27Z,QTR44SG,"26.288282,53.452976",26125,557,99
1550885736,2019-02-23T01:35:36Z,QTR44SG,"26.257603,53.64513",27000,577,99
1550885799,2019-02-23T01:36:39Z,QTR44SG,"26.227299,53.835278",27750,583,100
1550885860,2019-02-23T01:37:40Z,QTR44SG,"26.198809,54.016605",29125,585,99
1550885921,2019-02-23T01:38:41Z,QTR44SG,"26.174561,54.198357",30325,588,94
1550885987,2019-02-23T01:39:47Z,QTR44SG,"26.181444,54.397747",31000,584,82
1550886048,2019-02-23T01:40:48Z,QTR44SG,"26.208632,54.576752",31000,583,80
1550886110,2019-02-23T01:41:50Z,QTR44SG,"26.236282,54.761723",31000,583,80
1550886173,2019-02-23T01:42:53Z,QTR44SG,"26.264694,54.94978",31000,585,81
