Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549362696,2019-02-05T10:31:36Z,QTR921,"-37.007526,174.785172",0,0,90
1549362804,2019-02-05T10:33:24Z,QTR921,"-37.007481,174.784943",0,10,101
1549362822,2019-02-05T10:33:42Z,QTR921,"-37.007446,174.784622",0,10,106
1549362838,2019-02-05T10:33:58Z,QTR921,"-37.007412,174.784363",0,10,135
1549362847,2019-02-05T10:34:07Z,QTR921,"-37.007446,174.784683",0,10,154
1549362879,2019-02-05T10:34:39Z,QTR921,"-37.007084,174.784088",0,2,196
1549362915,2019-02-05T10:35:15Z,QTR921,"-37.007412,174.78392",0,12,205
1549363249,2019-02-05T10:40:49Z,QTR921,"-37.009151,174.78363",0,23,185
1549363281,2019-02-05T10:41:21Z,QTR921,"-37.01046,174.784256",0,26,126
1549363297,2019-02-05T10:41:37Z,QTR921,"-37.010456,174.785095",0,26,75
1549363308,2019-02-05T10:41:48Z,QTR921,"-37.010193,174.78595",0,28,70
1549363315,2019-02-05T10:41:55Z,QTR921,"-37.01009,174.786346",0,30,70
1549363339,2019-02-05T10:42:19Z,QTR921,"-37.009552,174.788254",0,15,70
1549363352,2019-02-05T10:42:32Z,QTR921,"-37.009251,174.789383",0,16,70
1549363361,2019-02-05T10:42:41Z,QTR921,"-37.009048,174.790131",0,17,70
1549363370,2019-02-05T10:42:50Z,QTR921,"-37.008751,174.791168",0,18,70
1549363384,2019-02-05T10:43:04Z,QTR921,"-37.008331,174.792725",0,20,70
1549363391,2019-02-05T10:43:11Z,QTR921,"-37.008121,174.793472",0,20,70
1549363397,2019-02-05T10:43:17Z,QTR921,"-37.007923,174.794189",0,21,70
1549363406,2019-02-05T10:43:26Z,QTR921,"-37.007618,174.795258",0,22,70
1549363412,2019-02-05T10:43:32Z,QTR921,"-37.007435,174.795944",0,22,70
1549363418,2019-02-05T10:43:38Z,QTR921,"-37.007229,174.796677",0,23,70
1549363424,2019-02-05T10:43:44Z,QTR921,"-37.007027,174.797409",0,23,70
1549363440,2019-02-05T10:44:00Z,QTR921,"-37.006409,174.799652",0,24,70
1549363447,2019-02-05T10:44:07Z,QTR921,"-37.006214,174.800385",0,21,70
1549363457,2019-02-05T10:44:17Z,QTR921,"-37.00592,174.801437",0,15,70
1549363463,2019-02-05T10:44:23Z,QTR921,"-37.005798,174.80188",0,33,70
1549363554,2019-02-05T10:45:54Z,QTR921,"-37.005341,174.804047",0,16,101
1549363571,2019-02-05T10:46:11Z,QTR921,"-37.005695,174.804565",0,22,132
1549363583,2019-02-05T10:46:23Z,QTR921,"-37.006096,174.80513",0,25,132
1549363600,2019-02-05T10:46:40Z,QTR921,"-37.006794,174.805283",0,24,196
1549363632,2019-02-05T10:47:12Z,QTR921,"-37.007877,174.801346",0,63,250
1549363666,2019-02-05T10:47:46Z,QTR921,"-37.014431,174.777557",0,179,250
1549363678,2019-02-05T10:47:58Z,QTR921,"-37.017967,174.765076",325,186,250
1549363684,2019-02-05T10:48:04Z,QTR921,"-37.019737,174.758682",550,188,250
1549363690,2019-02-05T10:48:10Z,QTR921,"-37.021454,174.752396",800,189,251
1549363697,2019-02-05T10:48:17Z,QTR921,"-37.023239,174.745728",1075,188,251
1549363703,2019-02-05T10:48:23Z,QTR921,"-37.025024,174.738953",1275,195,251
1549363715,2019-02-05T10:48:35Z,QTR921,"-37.028675,174.725723",1550,207,250
1549363721,2019-02-05T10:48:41Z,QTR921,"-37.030582,174.718735",1650,215,250
1549363727,2019-02-05T10:48:47Z,QTR921,"-37.032715,174.711014",1750,222,250
1549363733,2019-02-05T10:48:53Z,QTR921,"-37.034775,174.703537",1850,228,250
1549363745,2019-02-05T10:49:05Z,QTR921,"-37.039124,174.687943",1975,243,250
1549363751,2019-02-05T10:49:11Z,QTR921,"-37.041477,174.679565",2075,251,250
1549363757,2019-02-05T10:49:17Z,QTR921,"-37.043976,174.670868",2175,259,250
1549363763,2019-02-05T10:49:23Z,QTR921,"-37.046402,174.662216",2300,265,250
1549363775,2019-02-05T10:49:35Z,QTR921,"-37.051437,174.644409",2675,271,250
1549363782,2019-02-05T10:49:42Z,QTR921,"-37.054092,174.635162",2900,274,250
1549363789,2019-02-05T10:49:49Z,QTR921,"-37.056652,174.626373",3125,275,249
1549363800,2019-02-05T10:50:00Z,QTR921,"-37.062332,174.607086",3575,279,249
1549363806,2019-02-05T10:50:06Z,QTR921,"-37.064938,174.59819",3775,282,249
1549363813,2019-02-05T10:50:13Z,QTR921,"-37.067734,174.58876",3975,284,249
1549363820,2019-02-05T10:50:20Z,QTR921,"-37.070572,174.579147",4225,285,249
1549363831,2019-02-05T10:50:31Z,QTR921,"-37.076385,174.559494",4775,285,249
1549363837,2019-02-05T10:50:37Z,QTR921,"-37.079182,174.550476",5100,283,248
1549363849,2019-02-05T10:50:49Z,QTR921,"-37.085083,174.531784",5600,283,248
1549363861,2019-02-05T10:51:01Z,QTR921,"-37.090961,174.51329",5975,288,248
1549363872,2019-02-05T10:51:12Z,QTR921,"-37.096966,174.494171",6300,295,248
1549363888,2019-02-05T10:51:28Z,QTR921,"-37.103302,174.474106",6700,299,248
1549363899,2019-02-05T10:51:39Z,QTR921,"-37.109581,174.453751",7125,303,248
1549363910,2019-02-05T10:51:50Z,QTR921,"-37.115662,174.434021",7575,305,248
1549363923,2019-02-05T10:52:03Z,QTR921,"-37.122116,174.413925",7975,308,247
1549363937,2019-02-05T10:52:17Z,QTR921,"-37.128437,174.393509",8350,309,250
1549363945,2019-02-05T10:52:25Z,QTR921,"-37.131409,174.378159",8650,309,259
1549363955,2019-02-05T10:52:35Z,QTR921,"-37.132484,174.361862",8950,309,268
1549363977,2019-02-05T10:52:57Z,QTR921,"-37.124313,174.319717",9700,311,292
1549363983,2019-02-05T10:53:03Z,QTR921,"-37.121017,174.309906",9900,312,292
1549363995,2019-02-05T10:53:15Z,QTR921,"-37.11433,174.289139",10250,315,291
1549364007,2019-02-05T10:53:27Z,QTR921,"-37.107254,174.267883",10425,325,292
1549364021,2019-02-05T10:53:41Z,QTR921,"-37.099758,174.246094",10600,336,293
1549364033,2019-02-05T10:53:53Z,QTR921,"-37.092266,174.224411",10775,346,293
1549364044,2019-02-05T10:54:04Z,QTR921,"-37.084259,174.201187",10975,354,293
1549364056,2019-02-05T10:54:16Z,QTR921,"-37.076157,174.177765",11150,363,293
1549364069,2019-02-05T10:54:29Z,QTR921,"-37.06773,174.153244",11325,372,293
1549364083,2019-02-05T10:54:43Z,QTR921,"-37.059631,174.129364",11600,379,292
1549364093,2019-02-05T10:54:53Z,QTR921,"-37.0513,174.104782",11900,382,292
1549364105,2019-02-05T10:55:05Z,QTR921,"-37.042877,174.080063",12250,385,293
1549364136,2019-02-05T10:55:36Z,QTR921,"-37.021088,174.01619",13150,391,293
1549364170,2019-02-05T10:56:10Z,QTR921,"-36.997101,173.945709",14125,396,293
1549364201,2019-02-05T10:56:41Z,QTR921,"-36.975174,173.881546",15050,401,293
1549364230,2019-02-05T10:57:10Z,QTR921,"-36.952141,173.814392",15950,407,293
1549364261,2019-02-05T10:57:41Z,QTR921,"-36.92894,173.746796",16900,413,293
1549364295,2019-02-05T10:58:15Z,QTR921,"-36.903488,173.672928",17925,417,293
1549364326,2019-02-05T10:58:46Z,QTR921,"-36.880051,173.605087",18900,421,293
1549364389,2019-02-05T10:59:49Z,QTR921,"-36.832031,173.466797",20700,433,293
1549364449,2019-02-05T11:00:49Z,QTR921,"-36.793167,173.319061",22375,448,280
1549364509,2019-02-05T11:01:49Z,QTR921,"-36.770325,173.163589",23950,460,280
1549364570,2019-02-05T11:02:50Z,QTR921,"-36.745743,172.998505",25525,473,280
1549364634,2019-02-05T11:03:54Z,QTR921,"-36.719925,172.82782",27000,486,280
1549364694,2019-02-05T11:04:54Z,QTR921,"-36.694244,172.658844",28350,498,280
1549364755,2019-02-05T11:05:55Z,QTR921,"-36.667648,172.485184",29825,505,280
1549364817,2019-02-05T11:06:57Z,QTR921,"-36.640194,172.308929",31525,504,280
1549364879,2019-02-05T11:07:59Z,QTR921,"-36.612396,172.131561",32000,514,280
1549364928,2019-02-05T11:08:48Z,QTR921,"-36.59034,171.992142",32000,511,281
1549365015,2019-02-05T11:10:15Z,QTR921,"-36.550095,171.739532",32000,512,281
1549365078,2019-02-05T11:11:18Z,QTR921,"-36.520889,171.559235",32000,512,281
1549365100,2019-02-05T11:11:40Z,QTR921,"-36.509941,171.492203",32000,512,281
1549365193,2019-02-05T11:13:13Z,QTR921,"-36.46656,171.228989",32000,510,280
1549365264,2019-02-05T11:14:24Z,QTR921,"-36.431492,171.018326",32000,511,280
1549365286,2019-02-05T11:14:46Z,QTR921,"-36.424351,170.975815",32000,511,280
1549365364,2019-02-05T11:16:04Z,QTR921,"-36.385986,170.734344",32000,512,278
1549365752,2019-02-05T11:22:32Z,QTR921,"-36.30899,169.604767",32000,511,275
