Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549596276,2019-02-08T03:24:36Z,QTR5TC,"-37.008339,174.782867",0,10,323
1549596300,2019-02-08T03:25:00Z,QTR5TC,"-37.008591,174.783096",0,10,331
1549596329,2019-02-08T03:25:29Z,QTR5TC,"-37.008949,174.78334",0,10,16
1549596350,2019-02-08T03:25:50Z,QTR5TC,"-37.009193,174.783264",0,10,53
1549596372,2019-02-08T03:26:12Z,QTR5TC,"-37.009377,174.78299",0,10,75
1549596405,2019-02-08T03:26:45Z,QTR5TC,"-37.009415,174.782486",0,9,90
1549596456,2019-02-08T03:27:36Z,QTR5TC,"-37.008656,174.783157",0,0,270
1549596490,2019-02-08T03:28:10Z,QTR5TC,"-37.009426,174.782318",0,0,230
1549596527,2019-02-08T03:28:47Z,QTR5TC,"-37.009415,174.781845",0,9,118
1549596559,2019-02-08T03:29:19Z,QTR5TC,"-37.009266,174.781509",0,2,118
1549596827,2019-02-08T03:33:47Z,QTR5TC,"-37.00938,174.781754",0,16,118
1549596849,2019-02-08T03:34:09Z,QTR5TC,"-37.00985,174.782501",0,21,132
1549596874,2019-02-08T03:34:34Z,QTR5TC,"-37.010811,174.782776",0,20,194
1549596883,2019-02-08T03:34:43Z,QTR5TC,"-37.011074,174.782486",0,21,222
1549596895,2019-02-08T03:34:55Z,QTR5TC,"-37.011292,174.781952",0,23,247
1549596903,2019-02-08T03:35:03Z,QTR5TC,"-37.011395,174.781601",0,24,250
1549596919,2019-02-08T03:35:19Z,QTR5TC,"-37.011703,174.780502",0,29,250
1549596926,2019-02-08T03:35:26Z,QTR5TC,"-37.011822,174.78006",0,30,250
1549596934,2019-02-08T03:35:34Z,QTR5TC,"-37.01199,174.779419",0,32,250
1549596941,2019-02-08T03:35:41Z,QTR5TC,"-37.012115,174.778961",0,33,250
1549596954,2019-02-08T03:35:54Z,QTR5TC,"-37.012413,174.777924",0,15,253
1549596964,2019-02-08T03:36:04Z,QTR5TC,"-37.012711,174.77684",0,17,250
1549596970,2019-02-08T03:36:10Z,QTR5TC,"-37.012882,174.77623",0,18,250
1549596976,2019-02-08T03:36:16Z,QTR5TC,"-37.013008,174.775726",0,18,250
1549596983,2019-02-08T03:36:23Z,QTR5TC,"-37.013237,174.774902",0,19,250
1549596993,2019-02-08T03:36:33Z,QTR5TC,"-37.013508,174.773941",0,20,250
1549597002,2019-02-08T03:36:42Z,QTR5TC,"-37.013729,174.773163",0,31,250
1549597023,2019-02-08T03:37:03Z,QTR5TC,"-37.014137,174.771667",0,27,250
1549597031,2019-02-08T03:37:11Z,QTR5TC,"-37.014267,174.771286",0,19,247
1549597041,2019-02-08T03:37:21Z,QTR5TC,"-37.0145,174.771103",0,20,213
1549597050,2019-02-08T03:37:30Z,QTR5TC,"-37.014828,174.771027",0,15,194
1549597649,2019-02-08T03:47:29Z,QTR5TC,"-37.015079,174.770981",0,14,191
1549597662,2019-02-08T03:47:42Z,QTR5TC,"-37.015396,174.770889",0,17,191
1549597672,2019-02-08T03:47:52Z,QTR5TC,"-37.015778,174.770828",0,19,185
1549597679,2019-02-08T03:47:59Z,QTR5TC,"-37.015984,174.770859",0,19,174
1549597688,2019-02-08T03:48:08Z,QTR5TC,"-37.016235,174.771057",0,18,143
1549597696,2019-02-08T03:48:16Z,QTR5TC,"-37.01622,174.771286",0,17,101
1549597703,2019-02-08T03:48:23Z,QTR5TC,"-37.016117,174.77153",0,15,70
1549597710,2019-02-08T03:48:30Z,QTR5TC,"-37.016048,174.771744",0,19,70
1549597716,2019-02-08T03:48:36Z,QTR5TC,"-37.015892,174.772293",0,20,70
1549597734,2019-02-08T03:48:54Z,QTR5TC,"-37.013916,174.779465",0,100,71
1549597740,2019-02-08T03:49:00Z,QTR5TC,"-37.012985,174.782898",0,117,71
1549597760,2019-02-08T03:49:20Z,QTR5TC,"-37.007401,174.803055",175,180,71
1549597767,2019-02-08T03:49:27Z,QTR5TC,"-37.005615,174.809311",475,179,70
1549597773,2019-02-08T03:49:33Z,QTR5TC,"-37.003922,174.814743",750,179,68
1549597779,2019-02-08T03:49:39Z,QTR5TC,"-37.002094,174.820663",1025,179,69
1549597787,2019-02-08T03:49:47Z,QTR5TC,"-37.000324,174.826752",1275,182,69
1549597799,2019-02-08T03:49:59Z,QTR5TC,"-36.996643,174.839233",1600,196,70
1549597810,2019-02-08T03:50:10Z,QTR5TC,"-36.992981,174.852783",1950,212,71
1549597822,2019-02-08T03:50:22Z,QTR5TC,"-36.988777,174.868073",2325,230,70
1549597833,2019-02-08T03:50:33Z,QTR5TC,"-36.984356,174.883469",2725,237,70
1549597841,2019-02-08T03:50:41Z,QTR5TC,"-36.982178,174.891296",3000,239,70
1549597851,2019-02-08T03:50:51Z,QTR5TC,"-36.977791,174.90712",3425,245,71
1549597863,2019-02-08T03:51:03Z,QTR5TC,"-36.97337,174.923477",3875,251,71
1549597869,2019-02-08T03:51:09Z,QTR5TC,"-36.970856,174.931656",4100,254,68
1549597877,2019-02-08T03:51:17Z,QTR5TC,"-36.967785,174.939117",4300,258,60
1549597884,2019-02-08T03:51:24Z,QTR5TC,"-36.960941,174.949631",4650,265,46
1549597891,2019-02-08T03:51:31Z,QTR5TC,"-36.95517,174.955307",4850,270,36
1549597899,2019-02-08T03:51:39Z,QTR5TC,"-36.944553,174.961212",5200,272,20
1549597910,2019-02-08T03:51:50Z,QTR5TC,"-36.933701,174.962997",5525,273,4
1549597930,2019-02-08T03:52:10Z,QTR5TC,"-36.908707,174.951263",6325,275,324
1549597936,2019-02-08T03:52:16Z,QTR5TC,"-36.903488,174.944534",6550,275,312
1549597944,2019-02-08T03:52:24Z,QTR5TC,"-36.897583,174.931595",6925,278,294
1549597951,2019-02-08T03:52:31Z,QTR5TC,"-36.895535,174.922592",7125,278,285
1549597957,2019-02-08T03:52:37Z,QTR5TC,"-36.894604,174.912552",7350,282,274
1549597967,2019-02-08T03:52:47Z,QTR5TC,"-36.894241,174.897903",7650,286,271
1549597993,2019-02-08T03:53:13Z,QTR5TC,"-36.89465,174.851471",8600,298,268
1549598007,2019-02-08T03:53:27Z,QTR5TC,"-36.895065,174.830582",8850,310,268
1549598017,2019-02-08T03:53:37Z,QTR5TC,"-36.895443,174.809082",9275,315,268
1549598031,2019-02-08T03:53:51Z,QTR5TC,"-36.895626,174.786392",9800,317,269
1549598041,2019-02-08T03:54:01Z,QTR5TC,"-36.895752,174.764603",10250,322,269
1549598053,2019-02-08T03:54:13Z,QTR5TC,"-36.895798,174.741409",10475,334,270
1549598065,2019-02-08T03:54:25Z,QTR5TC,"-36.895706,174.718262",10700,346,270
1549598079,2019-02-08T03:54:39Z,QTR5TC,"-36.895489,174.693481",10925,358,270
1549598089,2019-02-08T03:54:49Z,QTR5TC,"-36.89534,174.668182",11175,369,270
1549598102,2019-02-08T03:55:02Z,QTR5TC,"-36.895161,174.641541",11450,379,270
1549598113,2019-02-08T03:55:13Z,QTR5TC,"-36.894974,174.614777",11850,385,270
1549598126,2019-02-08T03:55:26Z,QTR5TC,"-36.894882,174.58754",12375,387,270
