Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550718397,2019-02-21T03:06:37Z,QTR5TC,"-37.008133,174.7827",0,0,323
1550718452,2019-02-21T03:07:32Z,QTR5TC,"-37.008156,174.7827",0,0,130
1550718485,2019-02-21T03:08:05Z,QTR5TC,"-37.008423,174.782898",0,11,309
1550718516,2019-02-21T03:08:36Z,QTR5TC,"-37.008621,174.783249",0,11,247
1550718523,2019-02-21T03:08:43Z,QTR5TC,"-37.008457,174.782913",0,11,236
1550718904,2019-02-21T03:15:04Z,QTR5TC,"-37.010296,174.781891",0,28,250
1550718910,2019-02-21T03:15:10Z,QTR5TC,"-37.010387,174.781525",0,29,250
1550718917,2019-02-21T03:15:17Z,QTR5TC,"-37.010506,174.781113",0,30,250
1550718931,2019-02-21T03:15:31Z,QTR5TC,"-37.010822,174.779984",0,34,250
1550718937,2019-02-21T03:15:37Z,QTR5TC,"-37.01096,174.77948",0,15,250
1550718946,2019-02-21T03:15:46Z,QTR5TC,"-37.011177,174.778702",0,16,250
1550718956,2019-02-21T03:15:56Z,QTR5TC,"-37.011402,174.777863",0,18,250
1550718962,2019-02-21T03:16:02Z,QTR5TC,"-37.011543,174.777344",0,17,250
1550718975,2019-02-21T03:16:15Z,QTR5TC,"-37.011806,174.776489",0,23,244
1550718983,2019-02-21T03:16:23Z,QTR5TC,"-37.012066,174.776321",0,22,194
1550718993,2019-02-21T03:16:33Z,QTR5TC,"-37.01239,174.776382",0,22,163
1550719001,2019-02-21T03:16:41Z,QTR5TC,"-37.012753,174.776459",0,23,194
1550719009,2019-02-21T03:16:49Z,QTR5TC,"-37.012894,174.776215",0,22,241
1550719018,2019-02-21T03:16:58Z,QTR5TC,"-37.013008,174.775803",0,23,250
1550719024,2019-02-21T03:17:04Z,QTR5TC,"-37.013111,174.775391",0,25,250
1550719031,2019-02-21T03:17:11Z,QTR5TC,"-37.013218,174.774994",0,26,250
1550719038,2019-02-21T03:17:18Z,QTR5TC,"-37.013325,174.774612",0,28,250
1550719046,2019-02-21T03:17:26Z,QTR5TC,"-37.013462,174.774155",0,30,250
1550719056,2019-02-21T03:17:36Z,QTR5TC,"-37.01366,174.773422",0,32,250
1550719080,2019-02-21T03:18:00Z,QTR5TC,"-37.014149,174.771622",0,27,250
1550719088,2019-02-21T03:18:08Z,QTR5TC,"-37.014256,174.771271",0,18,250
1550719096,2019-02-21T03:18:16Z,QTR5TC,"-37.014511,174.771088",0,20,196
1550719103,2019-02-21T03:18:23Z,QTR5TC,"-37.014755,174.771042",0,22,182
1550719242,2019-02-21T03:20:42Z,QTR5TC,"-37.015091,174.770966",0,12,191
1550719258,2019-02-21T03:20:58Z,QTR5TC,"-37.015476,174.770874",0,19,191
1550719264,2019-02-21T03:21:04Z,QTR5TC,"-37.015686,174.770844",0,21,188
1550719274,2019-02-21T03:21:14Z,QTR5TC,"-37.01606,174.770844",0,23,171
1550719281,2019-02-21T03:21:21Z,QTR5TC,"-37.01627,174.771164",0,23,106
1550719287,2019-02-21T03:21:27Z,QTR5TC,"-37.016163,174.771439",0,21,56
1550719299,2019-02-21T03:21:39Z,QTR5TC,"-37.015999,174.771912",0,22,70
1550719305,2019-02-21T03:21:45Z,QTR5TC,"-37.015812,174.772614",0,27,70
1550719312,2019-02-21T03:21:52Z,QTR5TC,"-37.015297,174.774429",0,61,70
1550719318,2019-02-21T03:21:58Z,QTR5TC,"-37.01453,174.777252",0,88,70
1550719328,2019-02-21T03:22:08Z,QTR5TC,"-37.013042,174.782593",0,130,70
1550719351,2019-02-21T03:22:31Z,QTR5TC,"-37.00676,174.80545",200,189,70
1550719357,2019-02-21T03:22:37Z,QTR5TC,"-37.004929,174.811829",500,188,69
1550719363,2019-02-21T03:22:43Z,QTR5TC,"-37.003071,174.817795",775,189,68
1550719369,2019-02-21T03:22:49Z,QTR5TC,"-37.001266,174.823624",1075,188,68
1550719376,2019-02-21T03:22:56Z,QTR5TC,"-36.999348,174.830276",1375,188,70
1550719382,2019-02-21T03:23:02Z,QTR5TC,"-36.997604,174.836426",1550,194,70
1550719395,2019-02-21T03:23:15Z,QTR5TC,"-36.993759,174.849747",1850,210,70
1550719404,2019-02-21T03:23:24Z,QTR5TC,"-36.989777,174.864182",2175,224,70
1550719412,2019-02-21T03:23:32Z,QTR5TC,"-36.987476,174.872131",2350,229,70
1550719418,2019-02-21T03:23:38Z,QTR5TC,"-36.985474,174.879349",2525,233,70
1550719429,2019-02-21T03:23:49Z,QTR5TC,"-36.98119,174.894943",2925,240,71
1550719435,2019-02-21T03:23:55Z,QTR5TC,"-36.978836,174.903458",3100,243,71
1550719442,2019-02-21T03:24:02Z,QTR5TC,"-36.976685,174.911575",3375,245,71
1550719453,2019-02-21T03:24:13Z,QTR5TC,"-36.972393,174.927597",3875,246,71
1550719459,2019-02-21T03:24:19Z,QTR5TC,"-36.970299,174.935486",4125,247,71
1550719465,2019-02-21T03:24:25Z,QTR5TC,"-36.968033,174.943771",4350,249,71
1550719473,2019-02-21T03:24:33Z,QTR5TC,"-36.965652,174.952301",4575,251,70
1550719479,2019-02-21T03:24:39Z,QTR5TC,"-36.963089,174.960495",4775,254,68
1550719486,2019-02-21T03:24:46Z,QTR5TC,"-36.957497,174.97226",4950,259,56
1550719493,2019-02-21T03:24:53Z,QTR5TC,"-36.952282,174.979126",5075,263,44
1550719499,2019-02-21T03:24:59Z,QTR5TC,"-36.94651,174.984268",5275,263,35
1550719509,2019-02-21T03:25:09Z,QTR5TC,"-36.936356,174.989883",5525,267,20
1550719519,2019-02-21T03:25:19Z,QTR5TC,"-36.924683,174.992218",5650,275,6
1550719539,2019-02-21T03:25:39Z,QTR5TC,"-36.899139,174.980652",6250,290,323
1550719547,2019-02-21T03:25:47Z,QTR5TC,"-36.890366,174.968979",6650,295,307
1550719554,2019-02-21T03:25:54Z,QTR5TC,"-36.886364,174.9599",6925,298,296
1550719564,2019-02-21T03:26:04Z,QTR5TC,"-36.883163,174.944595",7275,307,279
1550719586,2019-02-21T03:26:26Z,QTR5TC,"-36.883209,174.901062",8275,317,268
1550719601,2019-02-21T03:26:41Z,QTR5TC,"-36.883991,174.874878",8875,321,267
1550719616,2019-02-21T03:26:56Z,QTR5TC,"-36.885132,174.84314",9550,325,267
1550719626,2019-02-21T03:27:06Z,QTR5TC,"-36.88559,174.826553",9950,326,268
1550719642,2019-02-21T03:27:22Z,QTR5TC,"-36.88623,174.795395",10575,329,268
1550719650,2019-02-21T03:27:30Z,QTR5TC,"-36.886456,174.783173",10700,336,268
1550719671,2019-02-21T03:27:51Z,QTR5TC,"-36.886871,174.738068",11075,359,269
1550719687,2019-02-21T03:28:07Z,QTR5TC,"-36.887062,174.704285",11375,372,269
1550719698,2019-02-21T03:28:18Z,QTR5TC,"-36.887146,174.683197",11700,378,269
1550719713,2019-02-21T03:28:33Z,QTR5TC,"-36.887386,174.647812",12300,382,269
1550719743,2019-02-21T03:29:03Z,QTR5TC,"-36.887787,174.579422",13525,389,269
1550719775,2019-02-21T03:29:35Z,QTR5TC,"-36.888245,174.507706",14450,402,269
1550719807,2019-02-21T03:30:07Z,QTR5TC,"-36.888737,174.434891",15675,407,269
1550719834,2019-02-21T03:30:34Z,QTR5TC,"-36.889202,174.368378",16775,408,269
1550719868,2019-02-21T03:31:08Z,QTR5TC,"-36.889763,174.291824",17950,411,269
1550719900,2019-02-21T03:31:40Z,QTR5TC,"-36.890213,174.212128",18975,418,269
1550719961,2019-02-21T03:32:41Z,QTR5TC,"-36.8909,174.064636",20925,423,269
1550720025,2019-02-21T03:33:45Z,QTR5TC,"-36.879318,173.911652",22750,427,280
1550720087,2019-02-21T03:34:47Z,QTR5TC,"-36.857174,173.757431",24500,430,280
1550720148,2019-02-21T03:35:48Z,QTR5TC,"-36.836136,173.611389",26350,422,280
1550720211,2019-02-21T03:36:51Z,QTR5TC,"-36.813583,173.458328",27450,429,280
1550720275,2019-02-21T03:37:55Z,QTR5TC,"-36.790878,173.304001",28000,432,280
1550720335,2019-02-21T03:38:55Z,QTR5TC,"-36.768951,173.154938",27975,440,280
1550720400,2019-02-21T03:40:00Z,QTR5TC,"-36.745285,172.99588",28000,444,280
1550720458,2019-02-21T03:40:58Z,QTR5TC,"-36.722546,172.844925",27975,446,280
1550720521,2019-02-21T03:42:01Z,QTR5TC,"-36.698479,172.686371",28000,445,280
1550720587,2019-02-21T03:43:07Z,QTR5TC,"-36.673737,172.525116",28000,445,280
1550720646,2019-02-21T03:44:06Z,QTR5TC,"-36.650436,172.373993",27975,445,280
1550720710,2019-02-21T03:45:10Z,QTR5TC,"-36.625393,172.213669",27975,445,281
1550720773,2019-02-21T03:46:13Z,QTR5TC,"-36.600487,172.055664",27975,443,281
1550720834,2019-02-21T03:47:14Z,QTR5TC,"-36.576645,171.905594",27975,441,281
1550720903,2019-02-21T03:48:23Z,QTR5TC,"-36.548908,171.732666",27975,440,281
1550720962,2019-02-21T03:49:22Z,QTR5TC,"-36.525024,171.584824",27975,442,281
1550721010,2019-02-21T03:50:10Z,QTR5TC,"-36.505371,171.46431",27975,442,281
1550721055,2019-02-21T03:50:55Z,QTR5TC,"-36.487038,171.352707",27975,442,281
1550721162,2019-02-21T03:52:42Z,QTR5TC,"-36.442886,171.086594",27975,442,281
1550721193,2019-02-21T03:53:13Z,QTR5TC,"-36.430386,171.01149",27975,442,281
1550721237,2019-02-21T03:53:57Z,QTR5TC,"-36.411716,170.900635",27975,439,281
1550721284,2019-02-21T03:54:44Z,QTR5TC,"-36.392536,170.786789",28000,439,281
1550721659,2019-02-21T04:00:59Z,QTR5TC,"-36.324921,169.830093",28000,448,274
1550727693,2019-02-21T05:41:33Z,QTR5TC,"-34.415176,155.367188",31975,441,283
1550727755,2019-02-21T05:42:35Z,QTR5TC,"-34.385765,155.217758",31975,443,283
1550727817,2019-02-21T05:43:37Z,QTR5TC,"-34.365189,155.066589",32000,448,277
1550727878,2019-02-21T05:44:38Z,QTR5TC,"-34.349579,154.915131",31975,448,277
1550727938,2019-02-21T05:45:38Z,QTR5TC,"-34.333858,154.764572",31975,451,277
1550727999,2019-02-21T05:46:39Z,QTR5TC,"-34.317471,154.610367",32000,450,277
1550728061,2019-02-21T05:47:41Z,QTR5TC,"-34.301273,154.458389",32000,448,277
1550728123,2019-02-21T05:48:43Z,QTR5TC,"-34.284744,154.305954",32000,450,277
1550728188,2019-02-21T05:49:48Z,QTR5TC,"-34.266777,154.1427",31975,449,277
1550728248,2019-02-21T05:50:48Z,QTR5TC,"-34.249924,153.991074",32000,448,277
1550728309,2019-02-21T05:51:49Z,QTR5TC,"-34.233032,153.840317",31975,448,277
1550728376,2019-02-21T05:52:56Z,QTR5TC,"-34.214584,153.677994",31975,449,277
1550728436,2019-02-21T05:53:56Z,QTR5TC,"-34.197086,153.525986",32000,450,277
