Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551064273,2019-02-25T03:11:13Z,QTR5TC,"-37.008156,174.7827",0,0,180
1551064301,2019-02-25T03:11:41Z,QTR5TC,"-37.008366,174.782883",0,9,315
1551064327,2019-02-25T03:12:07Z,QTR5TC,"-37.008598,174.783096",0,9,270
1551064345,2019-02-25T03:12:25Z,QTR5TC,"-37.008621,174.78334",0,9,241
1551064368,2019-02-25T03:12:48Z,QTR5TC,"-37.008568,174.783615",0,2,199
1551064406,2019-02-25T03:13:26Z,QTR5TC,"-37.008224,174.783752",0,2,185
1551064716,2019-02-25T03:18:36Z,QTR5TC,"-37.008602,174.783707",0,14,185
1551064736,2019-02-25T03:18:56Z,QTR5TC,"-37.009048,174.783661",0,14,185
1551064756,2019-02-25T03:19:16Z,QTR5TC,"-37.009365,174.783615",0,13,185
1551064797,2019-02-25T03:19:57Z,QTR5TC,"-37.010506,174.784225",0,20,126
1551064803,2019-02-25T03:20:03Z,QTR5TC,"-37.010536,174.784454",0,19,109
1551064822,2019-02-25T03:20:22Z,QTR5TC,"-37.01038,174.785278",0,21,73
1551064829,2019-02-25T03:20:29Z,QTR5TC,"-37.010284,174.785614",0,22,70
1551064836,2019-02-25T03:20:36Z,QTR5TC,"-37.01017,174.786041",0,24,70
1551064842,2019-02-25T03:20:42Z,QTR5TC,"-37.01009,174.786316",0,25,70
1551064873,2019-02-25T03:21:13Z,QTR5TC,"-37.009552,174.788254",0,30,70
1551064879,2019-02-25T03:21:19Z,QTR5TC,"-37.009449,174.788666",0,31,70
1551064885,2019-02-25T03:21:25Z,QTR5TC,"-37.0093,174.789185",0,33,70
1551064891,2019-02-25T03:21:31Z,QTR5TC,"-37.009163,174.789688",0,34,70
1551064903,2019-02-25T03:21:43Z,QTR5TC,"-37.0089,174.790619",0,15,70
1551064910,2019-02-25T03:21:50Z,QTR5TC,"-37.008717,174.791275",0,16,70
1551064918,2019-02-25T03:21:58Z,QTR5TC,"-37.008495,174.792099",0,17,70
1551064927,2019-02-25T03:22:07Z,QTR5TC,"-37.008263,174.792908",0,18,70
1551064933,2019-02-25T03:22:13Z,QTR5TC,"-37.008087,174.793533",0,18,70
1551064941,2019-02-25T03:22:21Z,QTR5TC,"-37.007847,174.794434",0,19,70
1551064953,2019-02-25T03:22:33Z,QTR5TC,"-37.007492,174.795715",0,20,70
1551064960,2019-02-25T03:22:40Z,QTR5TC,"-37.007286,174.796432",0,20,70
1551064976,2019-02-25T03:22:56Z,QTR5TC,"-37.006828,174.798126",0,18,70
1551064991,2019-02-25T03:23:11Z,QTR5TC,"-37.006382,174.799713",0,19,70
1551064997,2019-02-25T03:23:17Z,QTR5TC,"-37.006214,174.800354",0,19,70
1551065014,2019-02-25T03:23:34Z,QTR5TC,"-37.005775,174.801926",0,16,70
1551065091,2019-02-25T03:24:51Z,QTR5TC,"-37.005787,174.804718",0,10,129
1551065178,2019-02-25T03:26:18Z,QTR5TC,"-37.005867,174.804825",0,0,180
1551065252,2019-02-25T03:27:32Z,QTR5TC,"-37.006039,174.805069",0,13,132
1551065286,2019-02-25T03:28:06Z,QTR5TC,"-37.006805,174.805313",0,15,213
1551065333,2019-02-25T03:28:53Z,QTR5TC,"-37.00811,174.800476",0,74,250
1551065364,2019-02-25T03:29:24Z,QTR5TC,"-37.014431,174.777252",150,178,251
1551065378,2019-02-25T03:29:38Z,QTR5TC,"-37.018291,174.762451",850,178,251
1551065384,2019-02-25T03:29:44Z,QTR5TC,"-37.019897,174.756546",1125,179,251
1551065396,2019-02-25T03:29:56Z,QTR5TC,"-37.023136,174.74501",1500,182,250
1551065410,2019-02-25T03:30:10Z,QTR5TC,"-37.026581,174.732346",1875,187,251
1551065419,2019-02-25T03:30:19Z,QTR5TC,"-37.029976,174.720047",2225,192,251
1551065426,2019-02-25T03:30:26Z,QTR5TC,"-37.031845,174.713242",2375,197,250
1551065433,2019-02-25T03:30:33Z,QTR5TC,"-37.033722,174.706635",2600,198,250
1551065444,2019-02-25T03:30:44Z,QTR5TC,"-37.037334,174.693909",3025,198,250
1551065450,2019-02-25T03:30:50Z,QTR5TC,"-37.039242,174.687149",3225,200,250
1551065456,2019-02-25T03:30:56Z,QTR5TC,"-37.040771,174.680695",3325,205,254
1551065462,2019-02-25T03:31:02Z,QTR5TC,"-37.041801,174.673187",3425,215,261
1551065487,2019-02-25T03:31:27Z,QTR5TC,"-37.037384,174.640427",3750,250,284
1551065493,2019-02-25T03:31:33Z,QTR5TC,"-37.03561,174.631927",3825,258,284
1551065500,2019-02-25T03:31:40Z,QTR5TC,"-37.033657,174.622726",3975,266,285
1551065510,2019-02-25T03:31:50Z,QTR5TC,"-37.02951,174.604752",4400,273,286
1551065517,2019-02-25T03:31:57Z,QTR5TC,"-37.027313,174.595428",4600,276,286
1551065523,2019-02-25T03:32:03Z,QTR5TC,"-37.025116,174.586075",4750,281,286
1551065535,2019-02-25T03:32:15Z,QTR5TC,"-37.020668,174.567139",5100,291,286
1551065547,2019-02-25T03:32:27Z,QTR5TC,"-37.015915,174.546692",5500,302,286
1551065558,2019-02-25T03:32:38Z,QTR5TC,"-37.011292,174.526352",5950,308,285
1551065571,2019-02-25T03:32:51Z,QTR5TC,"-37.006531,174.505142",6475,311,285
1551065582,2019-02-25T03:33:02Z,QTR5TC,"-37.002094,174.485336",7000,311,285
1551065597,2019-02-25T03:33:17Z,QTR5TC,"-36.997238,174.463654",7725,308,285
1551065607,2019-02-25T03:33:27Z,QTR5TC,"-36.992935,174.442902",8275,310,283
1551065618,2019-02-25T03:33:38Z,QTR5TC,"-36.989044,174.421692",8775,312,282
1551065631,2019-02-25T03:33:51Z,QTR5TC,"-36.985428,174.400497",9250,316,281
1551065643,2019-02-25T03:34:03Z,QTR5TC,"-36.981888,174.37822",9750,320,281
1551065656,2019-02-25T03:34:16Z,QTR5TC,"-36.978584,174.355896",10250,323,280
1551065667,2019-02-25T03:34:27Z,QTR5TC,"-36.97554,174.334442",10725,326,280
1551065678,2019-02-25T03:34:38Z,QTR5TC,"-36.972298,174.312073",11200,329,280
1551065693,2019-02-25T03:34:53Z,QTR5TC,"-36.968994,174.2892",11625,333,280
1551065703,2019-02-25T03:35:03Z,QTR5TC,"-36.965641,174.265488",12100,338,279
1551065737,2019-02-25T03:35:37Z,QTR5TC,"-36.956451,174.201096",13375,345,280
1551065766,2019-02-25T03:36:06Z,QTR5TC,"-36.947765,174.141418",14550,350,280
1551065800,2019-02-25T03:36:40Z,QTR5TC,"-36.937759,174.0746",15825,356,280
1551065832,2019-02-25T03:37:12Z,QTR5TC,"-36.927567,174.006729",16525,377,280
1551065866,2019-02-25T03:37:46Z,QTR5TC,"-36.916344,173.9319",17025,405,280
1551065899,2019-02-25T03:38:19Z,QTR5TC,"-36.904404,173.85379",17600,428,280
1551065933,2019-02-25T03:38:53Z,QTR5TC,"-36.891907,173.772568",18750,434,280
1551065993,2019-02-25T03:39:53Z,QTR5TC,"-36.868607,173.621384",20825,443,280
1551066056,2019-02-25T03:40:56Z,QTR5TC,"-36.843842,173.461761",22800,450,281
1551066120,2019-02-25T03:42:00Z,QTR5TC,"-36.818256,173.299454",24500,460,281
1551066179,2019-02-25T03:42:59Z,QTR5TC,"-36.79298,173.139618",25950,471,281
1551066243,2019-02-25T03:44:03Z,QTR5TC,"-36.765514,172.96875",27400,479,281
1551066306,2019-02-25T03:45:06Z,QTR5TC,"-36.737549,172.795319",28325,498,281
1551066366,2019-02-25T03:46:06Z,QTR5TC,"-36.709465,172.623154",29425,508,281
1551066429,2019-02-25T03:47:09Z,QTR5TC,"-36.679859,172.44368",30000,508,281
1551066445,2019-02-25T03:47:25Z,QTR5TC,"-36.672272,172.397812",30000,509,281
1551066533,2019-02-25T03:48:53Z,QTR5TC,"-36.629288,172.140717",30000,516,281
1551066596,2019-02-25T03:49:56Z,QTR5TC,"-36.599789,171.966248",30000,518,281
1551066656,2019-02-25T03:50:56Z,QTR5TC,"-36.568691,171.784271",30000,519,282
1551066674,2019-02-25T03:51:14Z,QTR5TC,"-36.559891,171.73291",30000,520,282
1551066762,2019-02-25T03:52:42Z,QTR5TC,"-36.515064,171.473846",30000,528,282
1551066820,2019-02-25T03:53:40Z,QTR5TC,"-36.484772,171.300949",30000,532,282
1551066886,2019-02-25T03:54:46Z,QTR5TC,"-36.450394,171.106964",30000,533,282
1551066928,2019-02-25T03:55:28Z,QTR5TC,"-36.427551,170.979706",30000,534,282
1551067019,2019-02-25T03:56:59Z,QTR5TC,"-36.383648,170.709885",30000,528,279
1551072596,2019-02-25T05:29:56Z,QTR5TC,"-34.368538,155.099884",30000,491,277
1551072658,2019-02-25T05:30:58Z,QTR5TC,"-34.35141,154.932922",30000,490,277
1551072717,2019-02-25T05:31:57Z,QTR5TC,"-34.334244,154.768829",30000,488,277
1551072779,2019-02-25T05:32:59Z,QTR5TC,"-34.316711,154.602585",30000,488,277
1551072840,2019-02-25T05:34:00Z,QTR5TC,"-34.298943,154.437164",30000,488,277
1551072901,2019-02-25T05:35:01Z,QTR5TC,"-34.28096,154.271652",30000,488,277
1551072963,2019-02-25T05:36:03Z,QTR5TC,"-34.263016,154.108871",30000,489,277
1551073025,2019-02-25T05:37:05Z,QTR5TC,"-34.244244,153.939911",30000,489,277
1551073090,2019-02-25T05:38:10Z,QTR5TC,"-34.224136,153.762299",30000,491,277
1551073152,2019-02-25T05:39:12Z,QTR5TC,"-34.204788,153.592728",30000,491,277
1551073215,2019-02-25T05:40:15Z,QTR5TC,"-34.185242,153.423798",30000,488,277
1551073277,2019-02-25T05:41:17Z,QTR5TC,"-34.165695,153.257095",30000,486,277
1551073340,2019-02-25T05:42:20Z,QTR5TC,"-34.145737,153.088654",30000,486,278
1551073408,2019-02-25T05:43:28Z,QTR5TC,"-34.123955,152.907837",30000,487,278
1551073470,2019-02-25T05:44:30Z,QTR5TC,"-34.103424,152.738861",30000,488,278
1551073532,2019-02-25T05:45:32Z,QTR5TC,"-34.08284,152.571564",30000,486,278
1551073596,2019-02-25T05:46:36Z,QTR5TC,"-34.066647,152.403198",30000,486,275
1551073656,2019-02-25T05:47:36Z,QTR5TC,"-34.051517,152.237778",30000,486,276
1551073719,2019-02-25T05:48:39Z,QTR5TC,"-34.035225,152.070068",30000,486,276
1551073782,2019-02-25T05:49:42Z,QTR5TC,"-34.01825,151.901627",30000,487,276
1551073845,2019-02-25T05:50:45Z,QTR5TC,"-34.000729,151.729202",30000,488,276
1551073909,2019-02-25T05:51:49Z,QTR5TC,"-33.983505,151.561111",30000,490,277
1551073969,2019-02-25T05:52:49Z,QTR5TC,"-33.966282,151.39566",30000,490,277
1551074032,2019-02-25T05:53:52Z,QTR5TC,"-33.947987,151.225037",30000,492,278
1551074093,2019-02-25T05:54:53Z,QTR5TC,"-33.913071,151.064133",30000,492,287
1551074163,2019-02-25T05:56:03Z,QTR5TC,"-33.865677,150.883423",30000,485,287
1551074225,2019-02-25T05:57:05Z,QTR5TC,"-33.822994,150.721497",30000,484,287
1551074290,2019-02-25T05:58:10Z,QTR5TC,"-33.780121,150.559387",30000,484,287
1551074348,2019-02-25T05:59:08Z,QTR5TC,"-33.738922,150.404633",30000,486,287
1551074412,2019-02-25T06:00:12Z,QTR5TC,"-33.695393,150.242386",30000,485,287
1551074474,2019-02-25T06:01:14Z,QTR5TC,"-33.65131,150.080856",30000,486,288
1551074540,2019-02-25T06:02:20Z,QTR5TC,"-33.60759,149.920898",30000,486,288
