Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551237291,2019-02-27T03:14:51Z,QTR5TC,"-37.008343,174.782852",0,10,315
1551237312,2019-02-27T03:15:12Z,QTR5TC,"-37.008545,174.783051",0,10,284
1551237330,2019-02-27T03:15:30Z,QTR5TC,"-37.008636,174.78331",0,10,244
1551237347,2019-02-27T03:15:47Z,QTR5TC,"-37.008591,174.783539",0,9,210
1551237381,2019-02-27T03:16:21Z,QTR5TC,"-37.008251,174.783707",0,10,191
1551237403,2019-02-27T03:16:43Z,QTR5TC,"-37.008041,174.783768",0,2,185
1551237495,2019-02-27T03:18:15Z,QTR5TC,"-37.00803,174.783768",0,0,138
1551237683,2019-02-27T03:21:23Z,QTR5TC,"-37.00832,174.783737",0,13,185
1551237696,2019-02-27T03:21:36Z,QTR5TC,"-37.008644,174.783707",0,17,185
1551237706,2019-02-27T03:21:46Z,QTR5TC,"-37.008991,174.783661",0,18,185
1551237717,2019-02-27T03:21:57Z,QTR5TC,"-37.009266,174.78363",0,15,185
1551237753,2019-02-27T03:22:33Z,QTR5TC,"-37.009869,174.783966",0,13,118
1551237784,2019-02-27T03:23:04Z,QTR5TC,"-37.009563,174.785049",0,20,70
1551237794,2019-02-27T03:23:14Z,QTR5TC,"-37.009438,174.785492",0,22,70
1551237844,2019-02-27T03:24:04Z,QTR5TC,"-37.008625,174.788452",0,23,73
1551237852,2019-02-27T03:24:12Z,QTR5TC,"-37.00869,174.788696",0,20,106
1551237860,2019-02-27T03:24:20Z,QTR5TC,"-37.008945,174.788803",0,16,157
1551237869,2019-02-27T03:24:29Z,QTR5TC,"-37.009155,174.788879",0,14,160
1551237884,2019-02-27T03:24:44Z,QTR5TC,"-37.009262,174.789261",0,15,101
1551237894,2019-02-27T03:24:54Z,QTR5TC,"-37.009197,174.789551",0,17,78
1551237901,2019-02-27T03:25:01Z,QTR5TC,"-37.009132,174.78978",0,19,73
1551237908,2019-02-27T03:25:08Z,QTR5TC,"-37.009026,174.790176",0,23,70
1551237915,2019-02-27T03:25:15Z,QTR5TC,"-37.008911,174.790604",0,26,70
