Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549078169,2019-02-02T03:29:29Z,QFA10,"-28.402039,110.027969",39000,527,129
1549078195,2019-02-02T03:29:55Z,QFA10,"-28.442093,110.082954",39000,527,129
1549078286,2019-02-02T03:31:26Z,QFA10,"-28.581161,110.274582",38975,528,129
1549078308,2019-02-02T03:31:48Z,QFA10,"-28.617895,110.325462",39000,528,129
1549078396,2019-02-02T03:33:16Z,QFA10,"-28.753418,110.513428",38975,528,129
1549078457,2019-02-02T03:34:17Z,QFA10,"-28.847771,110.644768",39000,526,129
1549078519,2019-02-02T03:35:19Z,QFA10,"-28.943436,110.778313",39000,527,129
1549078528,2019-02-02T03:35:28Z,QFA10,"-28.957447,110.797928",39000,527,129
1549078619,2019-02-02T03:36:59Z,QFA10,"-29.096649,110.993134",39000,529,128
1549078680,2019-02-02T03:38:00Z,QFA10,"-29.192909,111.1287",39000,530,128
1549078742,2019-02-02T03:39:02Z,QFA10,"-29.287735,111.262695",38975,530,128
1549078776,2019-02-02T03:39:36Z,QFA10,"-29.341507,111.338882",38975,529,128
1549078866,2019-02-02T03:41:06Z,QFA10,"-29.478287,111.533363",39000,530,128
1549078928,2019-02-02T03:42:08Z,QFA10,"-29.57341,111.669052",39000,531,128
1549078989,2019-02-02T03:43:09Z,QFA10,"-29.666903,111.802963",38975,533,128
1549079051,2019-02-02T03:44:11Z,QFA10,"-29.761543,111.938942",38975,534,128
1549079111,2019-02-02T03:45:11Z,QFA10,"-29.855988,112.075073",39000,534,128
1549079171,2019-02-02T03:46:11Z,QFA10,"-29.947449,112.207352",39000,535,128
1549079237,2019-02-02T03:47:17Z,QFA10,"-30.04953,112.355507",38975,537,128
1549079299,2019-02-02T03:48:19Z,QFA10,"-30.139967,112.498352",39000,538,124
1549079359,2019-02-02T03:49:19Z,QFA10,"-30.225576,112.642876",39000,537,124
1549079422,2019-02-02T03:50:22Z,QFA10,"-30.311462,112.788284",39000,537,124
1549079483,2019-02-02T03:51:23Z,QFA10,"-30.39661,112.933136",38975,538,124
1549079542,2019-02-02T03:52:22Z,QFA10,"-30.479984,113.075462",38225,540,124
1549079604,2019-02-02T03:53:24Z,QFA10,"-30.569086,113.228065",35675,544,124
1549079666,2019-02-02T03:54:26Z,QFA10,"-30.656479,113.377617",32675,551,123
1549079727,2019-02-02T03:55:27Z,QFA10,"-30.741468,113.524918",30500,531,123
1549079789,2019-02-02T03:56:29Z,QFA10,"-30.823425,113.66687",28600,502,123
1549079849,2019-02-02T03:57:29Z,QFA10,"-30.90119,113.802322",26900,488,123
1549079911,2019-02-02T03:58:31Z,QFA10,"-30.976278,113.934097",25225,478,123
1549079972,2019-02-02T03:59:32Z,QFA10,"-31.050856,114.062912",23625,472,123
1549080010,2019-02-02T04:00:10Z,QFA10,"-31.09708,114.143997",22600,468,123
1549080101,2019-02-02T04:01:41Z,QFA10,"-31.204559,114.33429",20200,452,123
1549080167,2019-02-02T04:02:47Z,QFA10,"-31.279427,114.466057",18550,439,123
1549080228,2019-02-02T04:03:48Z,QFA10,"-31.34716,114.586578",16925,432,123
1549080245,2019-02-02T04:04:05Z,QFA10,"-31.365005,114.618584",16500,434,123
1549080303,2019-02-02T04:05:03Z,QFA10,"-31.428812,114.731873",15675,427,123
1549080334,2019-02-02T04:05:34Z,QFA10,"-31.461586,114.790649",15225,425,123
1549080364,2019-02-02T04:06:04Z,QFA10,"-31.494963,114.850082",14775,422,123
1549080398,2019-02-02T04:06:38Z,QFA10,"-31.53039,114.913475",13975,415,122
1549080429,2019-02-02T04:07:09Z,QFA10,"-31.56237,114.970772",13650,410,123
1549080461,2019-02-02T04:07:41Z,QFA10,"-31.59407,115.027611",13375,410,123
1549080492,2019-02-02T04:08:12Z,QFA10,"-31.62866,115.089806",12900,405,122
1549080527,2019-02-02T04:08:47Z,QFA10,"-31.663101,115.151962",11875,400,122
1549080539,2019-02-02T04:08:59Z,QFA10,"-31.675306,115.173965",11525,398,122
1549080552,2019-02-02T04:09:12Z,QFA10,"-31.687271,115.195663",11200,395,122
1549080563,2019-02-02T04:09:23Z,QFA10,"-31.69956,115.217743",10875,390,123
1549080576,2019-02-02T04:09:36Z,QFA10,"-31.711578,115.239365",10450,385,122
1549080588,2019-02-02T04:09:48Z,QFA10,"-31.723801,115.261337",9900,381,123
1549080601,2019-02-02T04:10:01Z,QFA10,"-31.735565,115.282829",9350,377,122
1549080614,2019-02-02T04:10:14Z,QFA10,"-31.747089,115.303604",9000,374,123
1549080625,2019-02-02T04:10:25Z,QFA10,"-31.758728,115.324669",8650,367,122
1549080637,2019-02-02T04:10:37Z,QFA10,"-31.770126,115.345352",8175,363,122
1549080651,2019-02-02T04:10:51Z,QFA10,"-31.783773,115.370232",7575,358,122
1549080665,2019-02-02T04:11:05Z,QFA10,"-31.7948,115.390396",7100,357,122
1549080677,2019-02-02T04:11:17Z,QFA10,"-31.805923,115.4105",6675,354,123
1549080689,2019-02-02T04:11:29Z,QFA10,"-31.816452,115.429283",6425,348,122
1549080702,2019-02-02T04:11:42Z,QFA10,"-31.827301,115.449112",6275,339,122
1549080714,2019-02-02T04:11:54Z,QFA10,"-31.83783,115.468399",6200,330,122
1549080727,2019-02-02T04:12:07Z,QFA10,"-31.848129,115.487129",6075,321,122
1549080739,2019-02-02T04:12:19Z,QFA10,"-31.858109,115.505363",5975,312,121
1549080751,2019-02-02T04:12:31Z,QFA10,"-31.865387,115.52327",5900,308,110
1549080757,2019-02-02T04:12:37Z,QFA10,"-31.867676,115.532555",5850,306,103
1549080764,2019-02-02T04:12:44Z,QFA10,"-31.869232,115.54332",5800,303,96
1549080770,2019-02-02T04:12:50Z,QFA10,"-31.86969,115.553818",5750,300,90
1549080792,2019-02-02T04:13:12Z,QFA10,"-31.868179,115.58886",5575,288,87
1549080805,2019-02-02T04:13:25Z,QFA10,"-31.867474,115.607559",5475,283,87
1549080816,2019-02-02T04:13:36Z,QFA10,"-31.866669,115.626381",5275,280,87
1549080829,2019-02-02T04:13:49Z,QFA10,"-31.865845,115.645493",5100,278,86
1549080841,2019-02-02T04:14:01Z,QFA10,"-31.864975,115.664719",4925,277,86
1549080849,2019-02-02T04:14:09Z,QFA10,"-31.864542,115.67421",4825,278,86
1549080860,2019-02-02T04:14:20Z,QFA10,"-31.86375,115.692261",4650,276,87
1549080867,2019-02-02T04:14:27Z,QFA10,"-31.863373,115.701691",4550,274,87
1549080879,2019-02-02T04:14:39Z,QFA10,"-31.862595,115.719818",4375,272,87
1549080891,2019-02-02T04:14:51Z,QFA10,"-31.861795,115.737938",4200,271,87
1549080897,2019-02-02T04:14:57Z,QFA10,"-31.861404,115.746628",4125,270,86
1549080903,2019-02-02T04:15:03Z,QFA10,"-31.861004,115.755539",4025,270,87
1549080909,2019-02-02T04:15:09Z,QFA10,"-31.860626,115.764755",3950,268,87
1549080915,2019-02-02T04:15:15Z,QFA10,"-31.860214,115.773483",3850,267,87
1549080921,2019-02-02T04:15:21Z,QFA10,"-31.859793,115.782898",3775,267,86
1549080928,2019-02-02T04:15:28Z,QFA10,"-31.859373,115.791306",3725,265,86
1549080935,2019-02-02T04:15:35Z,QFA10,"-31.858675,115.800102",3675,262,82
1549080941,2019-02-02T04:15:41Z,QFA10,"-31.856873,115.808807",3625,261,71
1549080947,2019-02-02T04:15:47Z,QFA10,"-31.853601,115.816467",3575,259,59
1549080953,2019-02-02T04:15:53Z,QFA10,"-31.848816,115.823746",3500,259,47
1549080964,2019-02-02T04:16:04Z,QFA10,"-31.838516,115.835281",3400,253,44
1549080971,2019-02-02T04:16:11Z,QFA10,"-31.83349,115.841522",3350,249,47
1549080977,2019-02-02T04:16:17Z,QFA10,"-31.828789,115.848083",3325,244,50
1549080983,2019-02-02T04:16:23Z,QFA10,"-31.824924,115.853859",3300,239,52
1549080989,2019-02-02T04:16:29Z,QFA10,"-31.820829,115.860527",3275,234,54
1549080996,2019-02-02T04:16:36Z,QFA10,"-31.816917,115.867477",3225,230,57
1549081003,2019-02-02T04:16:43Z,QFA10,"-31.813568,115.874176",3150,227,60
1549081011,2019-02-02T04:16:51Z,QFA10,"-31.809191,115.883957",3100,220,63
1549081017,2019-02-02T04:16:57Z,QFA10,"-31.806583,115.890625",3050,216,66
1549081025,2019-02-02T04:17:05Z,QFA10,"-31.804321,115.897194",3000,212,69
1549081033,2019-02-02T04:17:13Z,QFA10,"-31.801371,115.907104",2950,206,71
1549081039,2019-02-02T04:17:19Z,QFA10,"-31.799789,115.913345",2925,201,74
1549081045,2019-02-02T04:17:25Z,QFA10,"-31.798391,115.919945",2875,197,76
1549081051,2019-02-02T04:17:31Z,QFA10,"-31.797226,115.926193",2850,192,78
1549081058,2019-02-02T04:17:38Z,QFA10,"-31.79631,115.93251",2800,187,81
1549081065,2019-02-02T04:17:45Z,QFA10,"-31.795624,115.938828",2775,181,83
1549081073,2019-02-02T04:17:53Z,QFA10,"-31.794983,115.947403",2725,173,86
1549081079,2019-02-02T04:17:59Z,QFA10,"-31.79476,115.953072",2700,168,88
1549081085,2019-02-02T04:18:05Z,QFA10,"-31.794708,115.958389",2675,165,89
1549081106,2019-02-02T04:18:26Z,QFA10,"-31.795458,115.977005",2575,171,95
1549081114,2019-02-02T04:18:34Z,QFA10,"-31.797041,115.985077",2450,168,110
1549081122,2019-02-02T04:18:42Z,QFA10,"-31.799601,115.989502",2375,163,129
1549081129,2019-02-02T04:18:49Z,QFA10,"-31.805283,115.993599",2325,158,158
1549081138,2019-02-02T04:18:58Z,QFA10,"-31.811554,115.996124",2325,159,161
1549081144,2019-02-02T04:19:04Z,QFA10,"-31.815847,115.997742",2275,158,162
1549081151,2019-02-02T04:19:11Z,QFA10,"-31.820206,115.998596",2175,157,176
1549081171,2019-02-02T04:19:31Z,QFA10,"-31.835129,115.99585",1850,156,193
1549081177,2019-02-02T04:19:37Z,QFA10,"-31.83934,115.994644",1750,155,194
1549081184,2019-02-02T04:19:44Z,QFA10,"-31.843506,115.993324",1675,154,194
1549081190,2019-02-02T04:19:50Z,QFA10,"-31.8479,115.992004",1575,151,194
1549081196,2019-02-02T04:19:56Z,QFA10,"-31.851837,115.990852",1525,150,193
1549081203,2019-02-02T04:20:03Z,QFA10,"-31.855928,115.989616",1450,149,194
1549081214,2019-02-02T04:20:14Z,QFA10,"-31.864105,115.987282",1275,149,193
1549081220,2019-02-02T04:20:20Z,QFA10,"-31.868271,115.986015",1200,148,194
1549081226,2019-02-02T04:20:26Z,QFA10,"-31.872253,115.984863",1125,147,193
1549081233,2019-02-02T04:20:33Z,QFA10,"-31.876085,115.983734",1050,143,194
1549081239,2019-02-02T04:20:39Z,QFA10,"-31.87995,115.982666",975,141,193
1549081245,2019-02-02T04:20:45Z,QFA10,"-31.883514,115.981621",925,143,194
1549081251,2019-02-02T04:20:51Z,QFA10,"-31.887957,115.980309",825,144,194
1549081257,2019-02-02T04:20:57Z,QFA10,"-31.891495,115.979301",775,144,194
1549081263,2019-02-02T04:21:03Z,QFA10,"-31.895554,115.978104",700,144,193
1549081275,2019-02-02T04:21:15Z,QFA10,"-31.903702,115.975746",525,146,194
1549081281,2019-02-02T04:21:21Z,QFA10,"-31.907463,115.974648",450,147,193
1549081288,2019-02-02T04:21:28Z,QFA10,"-31.911606,115.973473",375,146,193
1549081298,2019-02-02T04:21:38Z,QFA10,"-31.918728,115.971397",250,146,194
1549081304,2019-02-02T04:21:44Z,QFA10,"-31.923019,115.970085",175,146,194
1549081313,2019-02-02T04:21:53Z,QFA10,"-31.928877,115.96843",75,146,194
1549081320,2019-02-02T04:22:00Z,QFA10,"-31.933672,115.967026",25,144,193
1549081364,2019-02-02T04:22:44Z,QFA10,"-31.946089,115.962891",0,34,241
1549081377,2019-02-02T04:22:57Z,QFA10,"-31.946007,115.961914",0,32,284
1549081385,2019-02-02T04:23:05Z,QFA10,"-31.945816,115.96138",0,29,300
1549081391,2019-02-02T04:23:11Z,QFA10,"-31.945599,115.961243",0,28,329
1549081399,2019-02-02T04:23:19Z,QFA10,"-31.945141,115.961273",0,28,8
1549081411,2019-02-02T04:23:31Z,QFA10,"-31.944443,115.961464",0,31,14
1549081431,2019-02-02T04:23:51Z,QFA10,"-31.943098,115.961853",0,16,16
1549081438,2019-02-02T04:23:58Z,QFA10,"-31.94252,115.962036",0,16,16
1549081457,2019-02-02T04:24:17Z,QFA10,"-31.941124,115.96244",0,17,16
1549081468,2019-02-02T04:24:28Z,QFA10,"-31.940289,115.962601",0,17,2
1549081474,2019-02-02T04:24:34Z,QFA10,"-31.93977,115.962502",0,17,348
1549081482,2019-02-02T04:24:42Z,QFA10,"-31.939121,115.962303",0,18,345
1549081579,2019-02-02T04:26:19Z,QFA10,"-31.935743,115.96093",0,0,341
