Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549164279,2019-02-03T03:24:39Z,QFA10,"-28.566036,110.330521",39975,534,125
1549164539,2019-02-03T03:28:59Z,QFA10,"-28.944397,110.927795",40000,536,125
1549164592,2019-02-03T03:29:52Z,QFA10,"-29.019745,111.047798",39975,539,125
1549164684,2019-02-03T03:31:24Z,QFA10,"-29.155621,111.265007",40000,540,125
1549164834,2019-02-03T03:33:54Z,QFA10,"-29.370598,111.610916",40000,543,125
1549164863,2019-02-03T03:34:23Z,QFA10,"-29.414963,111.682755",40000,543,125
1549164950,2019-02-03T03:35:50Z,QFA10,"-29.540747,111.886757",40000,544,125
1549165012,2019-02-03T03:36:52Z,QFA10,"-29.631571,112.035019",40000,545,125
1549165075,2019-02-03T03:37:55Z,QFA10,"-29.72123,112.181503",40000,545,125
1549165135,2019-02-03T03:38:55Z,QFA10,"-29.809479,112.326439",40000,547,124
1549165203,2019-02-03T03:40:03Z,QFA10,"-29.906158,112.485741",40000,546,124
1549165265,2019-02-03T03:41:05Z,QFA10,"-29.998821,112.63903",40000,548,124
1549165277,2019-02-03T03:41:17Z,QFA10,"-30.01502,112.665894",39975,548,124
1549165307,2019-02-03T03:41:47Z,QFA10,"-30.06189,112.730446",40000,540,134
1549165318,2019-02-03T03:41:58Z,QFA10,"-30.085407,112.75164",40000,530,144
1549165326,2019-02-03T03:42:06Z,QFA10,"-30.098116,112.761032",39975,526,148
1549165333,2019-02-03T03:42:13Z,QFA10,"-30.116877,112.772629",39975,520,153
1549165340,2019-02-03T03:42:20Z,QFA10,"-30.131973,112.780258",39975,515,157
1549165349,2019-02-03T03:42:29Z,QFA10,"-30.151062,112.788658",39975,512,159
1549165355,2019-02-03T03:42:35Z,QFA10,"-30.164593,112.794601",39975,512,159
1549165416,2019-02-03T03:43:36Z,QFA10,"-30.300064,112.854202",39975,508,159
1549165477,2019-02-03T03:44:37Z,QFA10,"-30.433456,112.912903",39975,500,159
1549165539,2019-02-03T03:45:39Z,QFA10,"-30.566246,112.971481",39975,499,158
1549165599,2019-02-03T03:46:39Z,QFA10,"-30.697104,113.029541",40000,502,158
1549165637,2019-02-03T03:47:17Z,QFA10,"-30.77916,113.066063",39975,503,158
1549165728,2019-02-03T03:48:48Z,QFA10,"-30.977488,113.154457",40000,505,159
1549165790,2019-02-03T03:49:50Z,QFA10,"-31.113468,113.215378",38375,510,159
1549165853,2019-02-03T03:50:53Z,QFA10,"-31.252533,113.277443",35850,517,158
1549165915,2019-02-03T03:51:55Z,QFA10,"-31.391804,113.340836",33650,512,156
1549165930,2019-02-03T03:52:10Z,QFA10,"-31.423096,113.362053",33075,520,145
1549165941,2019-02-03T03:52:21Z,QFA10,"-31.443708,113.382256",32675,526,136
1549165951,2019-02-03T03:52:31Z,QFA10,"-31.457565,113.39959",32375,529,131
1549165957,2019-02-03T03:52:37Z,QFA10,"-31.467453,113.414665",32125,532,126
1549165967,2019-02-03T03:52:47Z,QFA10,"-31.480532,113.439438",31750,534,118
1549165977,2019-02-03T03:52:57Z,QFA10,"-31.49082,113.465698",31375,533,112
1549165987,2019-02-03T03:53:07Z,QFA10,"-31.498581,113.496147",31000,527,103
1549165998,2019-02-03T03:53:18Z,QFA10,"-31.503799,113.524849",30600,519,102
1549166065,2019-02-03T03:54:25Z,QFA10,"-31.535509,113.701134",28850,480,101
1549166128,2019-02-03T03:55:28Z,QFA10,"-31.563995,113.858963",27375,477,101
1549166190,2019-02-03T03:56:30Z,QFA10,"-31.591885,114.013641",25925,467,101
1549166252,2019-02-03T03:57:32Z,QFA10,"-31.618973,114.164917",24425,449,101
1549166314,2019-02-03T03:58:34Z,QFA10,"-31.644562,114.30957",22975,428,101
1549166377,2019-02-03T03:59:37Z,QFA10,"-31.669254,114.451118",21525,418,101
1549166439,2019-02-03T04:00:39Z,QFA10,"-31.692949,114.58548",20050,401,101
1549166501,2019-02-03T04:01:41Z,QFA10,"-31.714828,114.713478",18525,381,101
1549166565,2019-02-03T04:02:45Z,QFA10,"-31.737873,114.842232",16075,386,102
1549166595,2019-02-03T04:03:15Z,QFA10,"-31.749207,114.906601",14850,387,101
1549166627,2019-02-03T04:03:47Z,QFA10,"-31.759846,114.971817",13625,389,100
1549166658,2019-02-03T04:04:18Z,QFA10,"-31.770813,115.036385",12500,382,101
1549166690,2019-02-03T04:04:50Z,QFA10,"-31.781754,115.098373",11575,350,101
1549166701,2019-02-03T04:05:01Z,QFA10,"-31.785215,115.118668",11275,339,101
1549166716,2019-02-03T04:05:16Z,QFA10,"-31.789778,115.145515",10875,326,101
1549166727,2019-02-03T04:05:27Z,QFA10,"-31.79285,115.164017",10550,318,100
1549166743,2019-02-03T04:05:43Z,QFA10,"-31.797274,115.189972",10050,306,101
1549166753,2019-02-03T04:05:53Z,QFA10,"-31.800114,115.206558",9875,294,101
1549166769,2019-02-03T04:06:09Z,QFA10,"-31.804117,115.230103",9525,286,101
1549166785,2019-02-03T04:06:25Z,QFA10,"-31.808212,115.253891",9100,287,101
1549166795,2019-02-03T04:06:35Z,QFA10,"-31.81105,115.269379",8875,283,102
1549166805,2019-02-03T04:06:45Z,QFA10,"-31.814405,115.285484",8725,278,104
1549166821,2019-02-03T04:07:01Z,QFA10,"-31.819748,115.308327",8575,271,105
1549166831,2019-02-03T04:07:11Z,QFA10,"-31.823156,115.322983",8475,271,105
1549166848,2019-02-03T04:07:28Z,QFA10,"-31.828184,115.344505",8325,270,105
1549166857,2019-02-03T04:07:37Z,QFA10,"-31.831741,115.359962",8225,270,105
1549166872,2019-02-03T04:07:52Z,QFA10,"-31.836594,115.380943",8050,271,104
1549166883,2019-02-03T04:08:03Z,QFA10,"-31.840147,115.396408",7950,270,104
1549166899,2019-02-03T04:08:19Z,QFA10,"-31.845129,115.417877",7800,268,105
1549166915,2019-02-03T04:08:35Z,QFA10,"-31.850418,115.440437",7625,266,105
1549166930,2019-02-03T04:08:50Z,QFA10,"-31.855556,115.462494",7475,264,105
1549166940,2019-02-03T04:09:00Z,QFA10,"-31.858658,115.475868",7375,262,105
1549166956,2019-02-03T04:09:16Z,QFA10,"-31.863647,115.497238",7225,260,105
1549166967,2019-02-03T04:09:27Z,QFA10,"-31.867147,115.511765",7125,258,108
1549166977,2019-02-03T04:09:37Z,QFA10,"-31.872986,115.524643",7025,257,124
1549166987,2019-02-03T04:09:47Z,QFA10,"-31.881775,115.534805",6925,255,140
1549166997,2019-02-03T04:09:57Z,QFA10,"-31.89212,115.542061",6825,255,151
1549167004,2019-02-03T04:10:04Z,QFA10,"-31.89798,115.545792",6775,255,151
1549167014,2019-02-03T04:10:14Z,QFA10,"-31.908672,115.552689",6675,256,151
1549167029,2019-02-03T04:10:29Z,QFA10,"-31.924576,115.562881",6525,254,151
1549167039,2019-02-03T04:10:39Z,QFA10,"-31.935627,115.570007",6425,254,151
1549167054,2019-02-03T04:10:54Z,QFA10,"-31.9515,115.580093",6275,251,151
1549167065,2019-02-03T04:11:05Z,QFA10,"-31.962479,115.587158",6175,251,150
1549167081,2019-02-03T04:11:21Z,QFA10,"-31.978317,115.597427",6025,249,151
1549167092,2019-02-03T04:11:32Z,QFA10,"-31.98893,115.604256",5925,248,151
1549167107,2019-02-03T04:11:47Z,QFA10,"-32.004135,115.614021",5800,246,151
1549167122,2019-02-03T04:12:02Z,QFA10,"-32.019928,115.624237",5650,246,151
1549167133,2019-02-03T04:12:13Z,QFA10,"-32.030777,115.63121",5550,247,151
1549167149,2019-02-03T04:12:29Z,QFA10,"-32.046249,115.641098",5400,246,151
1549167165,2019-02-03T04:12:45Z,QFA10,"-32.061924,115.651169",5275,245,151
1549167181,2019-02-03T04:13:01Z,QFA10,"-32.077473,115.661263",5125,245,151
1549167197,2019-02-03T04:13:17Z,QFA10,"-32.093445,115.671585",4975,243,151
1549167206,2019-02-03T04:13:26Z,QFA10,"-32.103699,115.678177",4875,243,151
1549167216,2019-02-03T04:13:36Z,QFA10,"-32.113876,115.684746",4775,242,151
1549167228,2019-02-03T04:13:48Z,QFA10,"-32.124023,115.69136",4675,242,150
1549167238,2019-02-03T04:13:58Z,QFA10,"-32.133453,115.699387",4600,241,136
1549167248,2019-02-03T04:14:08Z,QFA10,"-32.139999,115.710587",4500,241,117
1549167258,2019-02-03T04:14:18Z,QFA10,"-32.143341,115.72361",4400,239,100
1549167264,2019-02-03T04:14:24Z,QFA10,"-32.144321,115.730095",4375,236,99
1549167275,2019-02-03T04:14:35Z,QFA10,"-32.14632,115.743156",4275,232,100
1549167285,2019-02-03T04:14:45Z,QFA10,"-32.148422,115.756241",4175,231,100
1549167295,2019-02-03T04:14:55Z,QFA10,"-32.150391,115.76915",4075,230,99
1549167301,2019-02-03T04:15:01Z,QFA10,"-32.151352,115.775795",4025,228,100
1549167310,2019-02-03T04:15:10Z,QFA10,"-32.153214,115.788445",3950,222,99
1549167320,2019-02-03T04:15:20Z,QFA10,"-32.154888,115.800156",3875,206,99
1549167331,2019-02-03T04:15:31Z,QFA10,"-32.156609,115.81131",3825,197,100
1549167342,2019-02-03T04:15:42Z,QFA10,"-32.15831,115.821548",3750,192,100
1549167351,2019-02-03T04:15:51Z,QFA10,"-32.159916,115.831993",3675,187,100
1549167363,2019-02-03T04:16:03Z,QFA10,"-32.161697,115.843193",3575,181,100
1549167373,2019-02-03T04:16:13Z,QFA10,"-32.163174,115.853073",3500,177,100
1549167383,2019-02-03T04:16:23Z,QFA10,"-32.164711,115.86322",3425,174,99
1549167394,2019-02-03T04:16:34Z,QFA10,"-32.166061,115.872635",3350,175,97
1549167404,2019-02-03T04:16:44Z,QFA10,"-32.165543,115.882965",3300,182,78
1549167410,2019-02-03T04:16:50Z,QFA10,"-32.164078,115.88813",3275,185,68
1549167420,2019-02-03T04:17:00Z,QFA10,"-32.159134,115.896698",3175,187,48
1549167431,2019-02-03T04:17:11Z,QFA10,"-32.151489,115.902565",3125,191,24
1549167442,2019-02-03T04:17:22Z,QFA10,"-32.142014,115.906204",3050,196,15
1549167452,2019-02-03T04:17:32Z,QFA10,"-32.132767,115.908951",2950,197,13
1549167467,2019-02-03T04:17:47Z,QFA10,"-32.119694,115.912766",2850,194,14
1549167479,2019-02-03T04:17:59Z,QFA10,"-32.110336,115.915428",2825,194,13
1549167494,2019-02-03T04:18:14Z,QFA10,"-32.096191,115.919601",2675,194,14
1549167505,2019-02-03T04:18:25Z,QFA10,"-32.086735,115.922409",2475,198,13
1549167515,2019-02-03T04:18:35Z,QFA10,"-32.077652,115.924881",2275,199,12
1549167525,2019-02-03T04:18:45Z,QFA10,"-32.068813,115.927452",2100,190,13
1549167535,2019-02-03T04:18:55Z,QFA10,"-32.060211,115.930038",1900,182,14
1549167547,2019-02-03T04:19:07Z,QFA10,"-32.051449,115.93261",1700,176,14
1549167562,2019-02-03T04:19:22Z,QFA10,"-32.039246,115.936195",1475,168,14
1549167578,2019-02-03T04:19:38Z,QFA10,"-32.027241,115.939674",1250,167,13
1549167594,2019-02-03T04:19:54Z,QFA10,"-32.015602,115.943092",1025,163,14
1549167603,2019-02-03T04:20:03Z,QFA10,"-32.00811,115.945282",875,161,13
1549167614,2019-02-03T04:20:14Z,QFA10,"-32.000473,115.947464",725,158,14
1549167624,2019-02-03T04:20:24Z,QFA10,"-31.993399,115.949593",575,157,13
1549167635,2019-02-03T04:20:35Z,QFA10,"-31.985596,115.951851",450,158,13
1549167644,2019-02-03T04:20:44Z,QFA10,"-31.979618,115.953629",350,160,14
1549167717,2019-02-03T04:21:57Z,QFA10,"-31.937267,115.965942",0,36,16
1549167758,2019-02-03T04:22:38Z,QFA10,"-31.935045,115.965569",0,27,298
1549167765,2019-02-03T04:22:45Z,QFA10,"-31.934881,115.965179",0,27,298
1549167872,2019-02-03T04:24:32Z,QFA10,"-31.936279,115.961868",0,5,194
1549167884,2019-02-03T04:24:44Z,QFA10,"-31.93648,115.9617",0,3,219
1549167906,2019-02-03T04:25:06Z,QFA10,"-31.93638,115.96138",0,3,284
1549167920,2019-02-03T04:25:20Z,QFA10,"-31.936171,115.961273",0,4,326
1549167934,2019-02-03T04:25:34Z,QFA10,"-31.935949,115.96109",0,3,326
1549167962,2019-02-03T04:26:02Z,QFA10,"-31.93574,115.96093",0,0,334
