Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549252191,2019-02-04T03:49:51Z,QFA10,"-28.384016,110.046333",41000,507,126
1549252252,2019-02-04T03:50:52Z,QFA10,"-28.468689,110.178345",41000,507,126
1549252314,2019-02-04T03:51:54Z,QFA10,"-28.553234,110.310486",41000,507,125
1549252372,2019-02-04T03:52:52Z,QFA10,"-28.634562,110.438072",41000,508,125
1549252435,2019-02-04T03:53:55Z,QFA10,"-28.721237,110.574593",41000,510,125
1549252496,2019-02-04T03:54:56Z,QFA10,"-28.80542,110.707535",40975,510,125
1549252557,2019-02-04T03:55:57Z,QFA10,"-28.88962,110.840797",41000,509,125
1549252618,2019-02-04T03:56:58Z,QFA10,"-28.973461,110.973976",41000,510,125
1549252679,2019-02-04T03:57:59Z,QFA10,"-29.057419,111.107849",41000,510,125
1549252740,2019-02-04T03:59:00Z,QFA10,"-29.140869,111.241272",41000,511,125
1549252800,2019-02-04T04:00:00Z,QFA10,"-29.223911,111.37455",41000,512,125
1549252863,2019-02-04T04:01:03Z,QFA10,"-29.308218,111.510155",41000,513,125
1549252923,2019-02-04T04:02:03Z,QFA10,"-29.391861,111.64534",41000,513,125
1549252984,2019-02-04T04:03:04Z,QFA10,"-29.475723,111.781189",41000,513,125
1549253046,2019-02-04T04:04:06Z,QFA10,"-29.55986,111.917938",40975,514,125
1549253106,2019-02-04T04:05:06Z,QFA10,"-29.643581,112.054512",41000,516,125
1549253170,2019-02-04T04:06:10Z,QFA10,"-29.727905,112.192383",41000,516,124
1549253229,2019-02-04T04:07:09Z,QFA10,"-29.811773,112.330254",41000,517,124
1549253290,2019-02-04T04:08:10Z,QFA10,"-29.895905,112.468781",40975,518,124
1549253352,2019-02-04T04:09:12Z,QFA10,"-29.980087,112.608086",41000,519,124
1549253407,2019-02-04T04:10:07Z,QFA10,"-30.058182,112.728233",40975,510,135
1549253413,2019-02-04T04:10:13Z,QFA10,"-30.070221,112.740295",40975,506,140
1549253419,2019-02-04T04:10:19Z,QFA10,"-30.081024,112.749725",40975,503,143
1549253425,2019-02-04T04:10:25Z,QFA10,"-30.093182,112.758896",40975,498,147
1549253431,2019-02-04T04:10:31Z,QFA10,"-30.104965,112.766632",40975,495,151
1549253439,2019-02-04T04:10:39Z,QFA10,"-30.117901,112.773834",41000,490,155
1549253446,2019-02-04T04:10:46Z,QFA10,"-30.136755,112.782455",41000,486,159
1549253452,2019-02-04T04:10:52Z,QFA10,"-30.149836,112.78817",40975,486,159
1549253517,2019-02-04T04:11:57Z,QFA10,"-30.2845,112.847305",41000,487,159
1549253578,2019-02-04T04:12:58Z,QFA10,"-30.413462,112.903969",41000,488,159
1549253639,2019-02-04T04:13:59Z,QFA10,"-30.542551,112.960983",41000,487,158
1549253701,2019-02-04T04:15:01Z,QFA10,"-30.672821,113.018837",41000,488,158
1549253762,2019-02-04T04:16:02Z,QFA10,"-30.801315,113.075974",41000,485,158
1549253823,2019-02-04T04:17:03Z,QFA10,"-30.928656,113.132759",40975,485,158
1549253884,2019-02-04T04:18:04Z,QFA10,"-31.056885,113.189987",40975,485,158
1549253945,2019-02-04T04:19:05Z,QFA10,"-31.18483,113.247337",40350,486,158
1549254005,2019-02-04T04:20:05Z,QFA10,"-31.313129,113.304916",38050,491,158
1549254057,2019-02-04T04:20:57Z,QFA10,"-31.419571,113.35952",36000,503,145
1549254067,2019-02-04T04:21:07Z,QFA10,"-31.438215,113.376709",35575,511,138
1549254076,2019-02-04T04:21:16Z,QFA10,"-31.455069,113.396484",35125,517,132
1549254087,2019-02-04T04:21:27Z,QFA10,"-31.46965,113.418594",34700,523,124
1549254096,2019-02-04T04:21:36Z,QFA10,"-31.482487,113.444496",34300,529,117
1549254108,2019-02-04T04:21:48Z,QFA10,"-31.492077,113.471634",33975,532,109
1549254117,2019-02-04T04:21:57Z,QFA10,"-31.49864,113.500031",33700,534,102
1549254128,2019-02-04T04:22:08Z,QFA10,"-31.503389,113.528267",33425,531,101
1549254188,2019-02-04T04:23:08Z,QFA10,"-31.532997,113.695755",31725,514,101
1549254248,2019-02-04T04:24:08Z,QFA10,"-31.562485,113.861176",29925,495,101
1549254310,2019-02-04T04:25:10Z,QFA10,"-31.589539,114.018051",28025,479,101
1549254381,2019-02-04T04:26:21Z,QFA10,"-31.620235,114.193817",25800,461,101
1549254443,2019-02-04T04:27:23Z,QFA10,"-31.645981,114.343979",23775,441,101
1549254507,2019-02-04T04:28:27Z,QFA10,"-31.670883,114.489761",21800,425,101
1549254571,2019-02-04T04:29:31Z,QFA10,"-31.694458,114.630165",19850,410,101
1549254633,2019-02-04T04:30:33Z,QFA10,"-31.718765,114.765984",17700,403,103
1549254668,2019-02-04T04:31:08Z,QFA10,"-31.734146,114.8368",16300,399,104
1549254701,2019-02-04T04:31:41Z,QFA10,"-31.748301,114.903915",14900,369,103
1549254734,2019-02-04T04:32:14Z,QFA10,"-31.759277,114.965836",13725,335,100
1549254763,2019-02-04T04:32:43Z,QFA10,"-31.767746,115.018127",12725,314,101
1549254797,2019-02-04T04:33:17Z,QFA10,"-31.777117,115.07254",11675,311,101
1549254810,2019-02-04T04:33:30Z,QFA10,"-31.780794,115.093445",11150,312,101
1549254822,2019-02-04T04:33:42Z,QFA10,"-31.784285,115.113289",10775,309,101
1549254833,2019-02-04T04:33:53Z,QFA10,"-31.787704,115.133369",10400,304,100
1549254845,2019-02-04T04:34:05Z,QFA10,"-31.79085,115.152748",10150,298,100
1549254858,2019-02-04T04:34:18Z,QFA10,"-31.794022,115.171822",9975,293,101
1549254870,2019-02-04T04:34:30Z,QFA10,"-31.79718,115.190002",9875,286,101
1549254887,2019-02-04T04:34:47Z,QFA10,"-31.801229,115.213402",9625,282,101
1549254898,2019-02-04T04:34:58Z,QFA10,"-31.80435,115.231392",9400,281,101
1549254909,2019-02-04T04:35:09Z,QFA10,"-31.807375,115.249046",9200,280,101
1549254920,2019-02-04T04:35:20Z,QFA10,"-31.809982,115.263565",9000,279,102
1549254933,2019-02-04T04:35:33Z,QFA10,"-31.814405,115.28492",8800,275,104
1549254946,2019-02-04T04:35:46Z,QFA10,"-31.81842,115.302116",8675,268,105
1549254958,2019-02-04T04:35:58Z,QFA10,"-31.822357,115.318924",8575,267,104
1549254968,2019-02-04T04:36:08Z,QFA10,"-31.826229,115.33593",8450,268,105
1549254982,2019-02-04T04:36:22Z,QFA10,"-31.830185,115.353081",8300,275,105
1549254995,2019-02-04T04:36:35Z,QFA10,"-31.834375,115.371078",8175,277,105
1549255006,2019-02-04T04:36:46Z,QFA10,"-31.838516,115.389023",8050,278,105
1549255019,2019-02-04T04:36:59Z,QFA10,"-31.842522,115.406052",7950,277,105
1549255031,2019-02-04T04:37:11Z,QFA10,"-31.846664,115.424156",7800,278,104
1549255042,2019-02-04T04:37:22Z,QFA10,"-31.850647,115.441483",7675,276,105
1549255054,2019-02-04T04:37:34Z,QFA10,"-31.854721,115.459061",7550,273,105
1549255067,2019-02-04T04:37:47Z,QFA10,"-31.858749,115.476471",7425,271,105
1549255078,2019-02-04T04:37:58Z,QFA10,"-31.862633,115.493271",7325,268,105
1549255091,2019-02-04T04:38:11Z,QFA10,"-31.866636,115.50975",7200,267,107
1549255097,2019-02-04T04:38:17Z,QFA10,"-31.869827,115.51844",7125,267,116
1549255105,2019-02-04T04:38:25Z,QFA10,"-31.876226,115.528748",7050,270,131
1549255111,2019-02-04T04:38:31Z,QFA10,"-31.882231,115.535088",6975,272,140
1549255120,2019-02-04T04:38:40Z,QFA10,"-31.888504,115.53981",6925,273,148
1549255129,2019-02-04T04:38:49Z,QFA10,"-31.898712,115.546402",6825,272,151
1549255135,2019-02-04T04:38:55Z,QFA10,"-31.9083,115.552574",6725,270,151
1549255144,2019-02-04T04:39:04Z,QFA10,"-31.915329,115.557114",6675,271,151
1549255154,2019-02-04T04:39:14Z,QFA10,"-31.928925,115.565842",6550,271,151
1549255166,2019-02-04T04:39:26Z,QFA10,"-31.941864,115.574097",6425,272,151
1549255179,2019-02-04T04:39:39Z,QFA10,"-31.955475,115.582817",6300,272,151
1549255192,2019-02-04T04:39:52Z,QFA10,"-31.968679,115.591194",6175,272,151
1549255204,2019-02-04T04:40:04Z,QFA10,"-31.981993,115.599716",6050,272,151
1549255215,2019-02-04T04:40:15Z,QFA10,"-31.995726,115.608513",5925,273,151
1549255227,2019-02-04T04:40:27Z,QFA10,"-32.009041,115.617088",5800,272,151
1549255239,2019-02-04T04:40:39Z,QFA10,"-32.022446,115.625664",5700,271,151
1549255252,2019-02-04T04:40:52Z,QFA10,"-32.036087,115.634506",5575,270,151
1549255262,2019-02-04T04:41:02Z,QFA10,"-32.049545,115.643188",5450,270,151
1549255276,2019-02-04T04:41:16Z,QFA10,"-32.062622,115.651619",5350,270,151
1549255286,2019-02-04T04:41:26Z,QFA10,"-32.076168,115.660416",5200,269,150
1549255301,2019-02-04T04:41:41Z,QFA10,"-32.08939,115.668999",5100,266,151
1549255312,2019-02-04T04:41:52Z,QFA10,"-32.10191,115.677124",4975,264,151
1549255319,2019-02-04T04:41:59Z,QFA10,"-32.108871,115.681587",4900,262,151
1549255331,2019-02-04T04:42:11Z,QFA10,"-32.121735,115.689827",4800,256,151
1549255338,2019-02-04T04:42:18Z,QFA10,"-32.12764,115.693893",4725,253,148
1549255344,2019-02-04T04:42:24Z,QFA10,"-32.133194,115.699097",4675,248,136
1549255350,2019-02-04T04:42:30Z,QFA10,"-32.137527,115.705429",4625,244,124
1549255359,2019-02-04T04:42:39Z,QFA10,"-32.141808,115.71563",4550,238,109
1549255366,2019-02-04T04:42:46Z,QFA10,"-32.144039,115.727066",4475,233,99
1549255373,2019-02-04T04:42:53Z,QFA10,"-32.145065,115.734573",4425,231,99
1549255381,2019-02-04T04:43:01Z,QFA10,"-32.146729,115.745911",4325,232,100
1549255390,2019-02-04T04:43:10Z,QFA10,"-32.148602,115.757668",4225,229,100
1549255396,2019-02-04T04:43:16Z,QFA10,"-32.149658,115.764641",4200,226,100
1549255403,2019-02-04T04:43:23Z,QFA10,"-32.150883,115.772186",4150,223,100
1549255409,2019-02-04T04:43:29Z,QFA10,"-32.151955,115.779083",4100,219,100
1549255420,2019-02-04T04:43:40Z,QFA10,"-32.154053,115.793098",4025,213,99
1549255427,2019-02-04T04:43:47Z,QFA10,"-32.15506,115.799965",3950,212,99
1549255438,2019-02-04T04:43:58Z,QFA10,"-32.157124,115.813446",3850,204,100
1549255446,2019-02-04T04:44:06Z,QFA10,"-32.158081,115.819847",3800,203,100
1549255459,2019-02-04T04:44:19Z,QFA10,"-32.160095,115.833359",3725,202,99
1549255469,2019-02-04T04:44:29Z,QFA10,"-32.162102,115.846405",3650,205,100
1549255480,2019-02-04T04:44:40Z,QFA10,"-32.164261,115.859726",3550,204,100
1549255489,2019-02-04T04:44:49Z,QFA10,"-32.165222,115.866486",3500,201,99
1549255518,2019-02-04T04:45:18Z,QFA10,"-32.159122,115.896286",3300,188,50
1549255524,2019-02-04T04:45:24Z,QFA10,"-32.155445,115.900154",3225,188,36
1549255530,2019-02-04T04:45:30Z,QFA10,"-32.150345,115.903183",3200,191,23
1549255540,2019-02-04T04:45:40Z,QFA10,"-32.142597,115.906097",3125,192,15
1549255547,2019-02-04T04:45:47Z,QFA10,"-32.137478,115.907669",3075,191,13
1549255554,2019-02-04T04:45:54Z,QFA10,"-32.129704,115.909912",3025,191,13
1549255563,2019-02-04T04:46:03Z,QFA10,"-32.121883,115.912094",2950,192,13
1549255569,2019-02-04T04:46:09Z,QFA10,"-32.116608,115.91362",2900,191,13
1549255580,2019-02-04T04:46:20Z,QFA10,"-32.106445,115.91658",2875,193,14
1549255587,2019-02-04T04:46:27Z,QFA10,"-32.100861,115.918228",2800,195,14
1549255593,2019-02-04T04:46:33Z,QFA10,"-32.095734,115.919716",2700,195,13
1549255599,2019-02-04T04:46:39Z,QFA10,"-32.090508,115.921234",2575,197,14
1549255605,2019-02-04T04:46:45Z,QFA10,"-32.084919,115.922913",2475,200,14
1549255613,2019-02-04T04:46:53Z,QFA10,"-32.079575,115.924492",2350,203,14
1549255624,2019-02-04T04:47:04Z,QFA10,"-32.068771,115.927567",2150,195,14
1549255634,2019-02-04T04:47:14Z,QFA10,"-32.058472,115.930649",1925,186,13
1549255642,2019-02-04T04:47:22Z,QFA10,"-32.053078,115.932159",1825,183,13
1549255653,2019-02-04T04:47:33Z,QFA10,"-32.043533,115.934967",1625,172,14
1549255659,2019-02-04T04:47:39Z,QFA10,"-32.038834,115.936363",1525,168,14
1549255665,2019-02-04T04:47:45Z,QFA10,"-32.034714,115.937569",1450,163,14
1549255675,2019-02-04T04:47:55Z,QFA10,"-32.027893,115.939545",1325,160,13
1549255687,2019-02-04T04:48:07Z,QFA10,"-32.019421,115.942024",1150,155,14
1549255698,2019-02-04T04:48:18Z,QFA10,"-32.01104,115.944435",1000,156,13
1549255721,2019-02-04T04:48:41Z,QFA10,"-31.99633,115.948753",725,154,14
1549255740,2019-02-04T04:49:00Z,QFA10,"-31.982071,115.952896",450,151,14
1549255753,2019-02-04T04:49:13Z,QFA10,"-31.973328,115.955475",275,152,14
1549255848,2019-02-04T04:50:48Z,QFA10,"-31.935009,115.965485",0,32,298
1549255858,2019-02-04T04:50:58Z,QFA10,"-31.934761,115.964851",0,32,295
1549255867,2019-02-04T04:51:07Z,QFA10,"-31.934498,115.964211",0,31,298
1549255876,2019-02-04T04:51:16Z,QFA10,"-31.934254,115.963623",0,30,298
1549255885,2019-02-04T04:51:25Z,QFA10,"-31.934217,115.963036",0,29,264
1549255891,2019-02-04T04:51:31Z,QFA10,"-31.934464,115.962769",0,29,225
1549255899,2019-02-04T04:51:39Z,QFA10,"-31.934824,115.962555",0,27,210
1549255908,2019-02-04T04:51:48Z,QFA10,"-31.935173,115.962303",0,27,213
1549255920,2019-02-04T04:52:00Z,QFA10,"-31.935778,115.962013",0,23,196
1549255926,2019-02-04T04:52:06Z,QFA10,"-31.935987,115.961937",0,21,196
1549255936,2019-02-04T04:52:16Z,QFA10,"-31.936352,115.96183",0,18,196
1549255948,2019-02-04T04:52:28Z,QFA10,"-31.936489,115.961555",0,15,241
1549255958,2019-02-04T04:52:38Z,QFA10,"-31.936386,115.961349",0,12,286
1549255971,2019-02-04T04:52:51Z,QFA10,"-31.936138,115.961243",0,14,329
1549255989,2019-02-04T04:53:09Z,QFA10,"-31.935917,115.961067",0,9,329
