Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549940130,2019-02-12T02:55:30Z,QFA10,"-27.897217,109.295105",40000,545,126
1549940191,2019-02-12T02:56:31Z,QFA10,"-27.988449,109.434921",39975,545,126
1549940263,2019-02-12T02:57:43Z,QFA10,"-28.096436,109.600983",39975,544,126
1549940324,2019-02-12T02:58:44Z,QFA10,"-28.185844,109.73893",40000,544,126
1549940422,2019-02-12T03:00:22Z,QFA10,"-28.329737,109.961945",40000,545,125
1549940480,2019-02-12T03:01:20Z,QFA10,"-28.419296,110.101181",40000,544,125
1549940546,2019-02-12T03:02:26Z,QFA10,"-28.514969,110.250603",40000,543,125
1549940605,2019-02-12T03:03:25Z,QFA10,"-28.60216,110.387337",39975,545,125
1549940667,2019-02-12T03:04:27Z,QFA10,"-28.694183,110.532074",40000,543,125
1549940730,2019-02-12T03:05:30Z,QFA10,"-28.787624,110.679283",40000,543,125
1549940791,2019-02-12T03:06:31Z,QFA10,"-28.877144,110.82103",40000,543,125
1549940852,2019-02-12T03:07:32Z,QFA10,"-28.966232,110.962547",39975,541,125
1549940916,2019-02-12T03:08:36Z,QFA10,"-29.059158,111.110649",40000,540,125
1549940979,2019-02-12T03:09:39Z,QFA10,"-29.151443,111.258331",39975,542,125
1549941039,2019-02-12T03:10:39Z,QFA10,"-29.239288,111.399361",39975,541,125
1549941101,2019-02-12T03:11:41Z,QFA10,"-29.328369,111.542816",40000,542,125
1549941166,2019-02-12T03:12:46Z,QFA10,"-29.420689,111.691963",40000,543,125
1549941229,2019-02-12T03:13:49Z,QFA10,"-29.513327,111.842278",40000,546,125
1549941293,2019-02-12T03:14:53Z,QFA10,"-29.606339,111.993713",39975,544,125
1549941353,2019-02-12T03:15:53Z,QFA10,"-29.694443,112.137817",40000,545,124
1549941414,2019-02-12T03:16:54Z,QFA10,"-29.782539,112.282158",39975,544,124
1549941474,2019-02-12T03:17:54Z,QFA10,"-29.870316,112.426636",39975,545,124
1549941536,2019-02-12T03:18:56Z,QFA10,"-29.957703,112.570869",40000,545,124
1549941597,2019-02-12T03:19:57Z,QFA10,"-30.047188,112.71434",39975,543,131
