Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550112881,2019-02-14T02:54:41Z,QFA10,"-27.813007,108.169006",41000,539,130
1550113341,2019-02-14T03:02:21Z,QFA10,"-28.551773,109.167343",41000,537,129
1550113403,2019-02-14T03:03:23Z,QFA10,"-28.647829,109.298889",41000,538,129
1550113452,2019-02-14T03:04:12Z,QFA10,"-28.727737,109.408615",40975,539,129
1550113496,2019-02-14T03:04:56Z,QFA10,"-28.796768,109.503639",40975,540,129
1550113807,2019-02-14T03:10:07Z,QFA10,"-29.290649,110.190285",40975,541,129
1550113858,2019-02-14T03:10:58Z,QFA10,"-29.37149,110.303741",41000,536,129
1550113924,2019-02-14T03:12:04Z,QFA10,"-29.473755,110.44783",40975,533,129
1550114027,2019-02-14T03:13:47Z,QFA10,"-29.633852,110.674278",41000,532,128
1550114088,2019-02-14T03:14:48Z,QFA10,"-29.728817,110.809288",41000,532,128
1550114149,2019-02-14T03:15:49Z,QFA10,"-29.822662,110.943054",41000,532,128
1550114209,2019-02-14T03:16:49Z,QFA10,"-29.915817,111.076302",40975,534,128
1550114273,2019-02-14T03:17:53Z,QFA10,"-30.015198,111.219017",41000,536,128
1550114334,2019-02-14T03:18:54Z,QFA10,"-30.10881,111.35376",41000,535,128
1550114394,2019-02-14T03:19:54Z,QFA10,"-30.204023,111.491455",41000,534,128
1550114457,2019-02-14T03:20:57Z,QFA10,"-30.297918,111.627686",41000,530,128
1550114517,2019-02-14T03:21:57Z,QFA10,"-30.389603,111.761063",41000,530,128
1550114578,2019-02-14T03:22:58Z,QFA10,"-30.482359,111.896469",40975,530,128
1550114641,2019-02-14T03:24:01Z,QFA10,"-30.579803,112.039223",41000,530,128
1550114702,2019-02-14T03:25:02Z,QFA10,"-30.672245,112.175186",41000,530,128
1550114764,2019-02-14T03:26:04Z,QFA10,"-30.76372,112.310211",41000,532,128
1550114825,2019-02-14T03:27:05Z,QFA10,"-30.857103,112.448418",41000,532,128
1550114884,2019-02-14T03:28:04Z,QFA10,"-30.948807,112.58477",41000,532,127
1550114949,2019-02-14T03:29:09Z,QFA10,"-31.045687,112.729233",41000,530,127
1550115013,2019-02-14T03:30:13Z,QFA10,"-31.141212,112.872215",40825,531,127
1550115075,2019-02-14T03:31:15Z,QFA10,"-31.233107,113.010368",38625,535,127
1550115134,2019-02-14T03:32:14Z,QFA10,"-31.325317,113.149651",36650,528,127
1550115198,2019-02-14T03:33:18Z,QFA10,"-31.421736,113.295357",34250,525,127
1550115232,2019-02-14T03:33:52Z,QFA10,"-31.465496,113.373634",32775,527,117
1550115238,2019-02-14T03:33:58Z,QFA10,"-31.471848,113.389404",32500,528,114
1550115247,2019-02-14T03:34:07Z,QFA10,"-31.480087,113.413269",32150,528,110
1550115255,2019-02-14T03:34:15Z,QFA10,"-31.487045,113.438095",31900,524,106
1550115263,2019-02-14T03:34:23Z,QFA10,"-31.490726,113.454216",31750,522,104
1550115271,2019-02-14T03:34:31Z,QFA10,"-31.495382,113.479431",31600,515,101
1550115331,2019-02-14T03:35:31Z,QFA10,"-31.524803,113.640877",30000,491,102
1550115393,2019-02-14T03:36:33Z,QFA10,"-31.55348,113.79776",27725,483,101
1550115453,2019-02-14T03:37:33Z,QFA10,"-31.58107,113.950897",25850,467,101
1550115516,2019-02-14T03:38:36Z,QFA10,"-31.607573,114.099007",23750,458,101
1550115579,2019-02-14T03:39:39Z,QFA10,"-31.635178,114.25441",21600,450,101
1550115639,2019-02-14T03:40:39Z,QFA10,"-31.660316,114.395912",20050,427,101
1550115703,2019-02-14T03:41:43Z,QFA10,"-31.685081,114.537247",18150,414,101
1550115766,2019-02-14T03:42:46Z,QFA10,"-31.709429,114.67672",16175,407,101
1550115798,2019-02-14T03:43:18Z,QFA10,"-31.721207,114.744781",15175,403,101
1550115829,2019-02-14T03:43:49Z,QFA10,"-31.732473,114.810646",14225,401,101
1550115861,2019-02-14T03:44:21Z,QFA10,"-31.74408,114.877838",13225,396,101
1550115891,2019-02-14T03:44:51Z,QFA10,"-31.755341,114.943382",12250,393,101
1550115923,2019-02-14T03:45:23Z,QFA10,"-31.76619,115.007256",11300,386,101
1550115938,2019-02-14T03:45:38Z,QFA10,"-31.77153,115.039047",10850,383,101
1550115954,2019-02-14T03:45:54Z,QFA10,"-31.777039,115.071129",10575,374,101
1550115964,2019-02-14T03:46:04Z,QFA10,"-31.780472,115.091232",10500,366,101
1550115980,2019-02-14T03:46:20Z,QFA10,"-31.785589,115.121307",10350,354,101
1550115995,2019-02-14T03:46:35Z,QFA10,"-31.79043,115.149498",10225,343,101
1550116006,2019-02-14T03:46:46Z,QFA10,"-31.793596,115.167938",10125,337,101
1550116021,2019-02-14T03:47:01Z,QFA10,"-31.798437,115.196243",9975,328,101
1550116031,2019-02-14T03:47:11Z,QFA10,"-31.801346,115.213516",9775,326,101
1550116047,2019-02-14T03:47:27Z,QFA10,"-31.805878,115.240265",9425,326,101
1550116063,2019-02-14T03:47:43Z,QFA10,"-31.810635,115.267433",9075,324,102
1550116072,2019-02-14T03:47:52Z,QFA10,"-31.814163,115.284706",8875,323,104
1550116089,2019-02-14T03:48:09Z,QFA10,"-31.820389,115.311295",8625,318,105
1550116098,2019-02-14T03:48:18Z,QFA10,"-31.82432,115.328079",8475,316,105
1550116114,2019-02-14T03:48:34Z,QFA10,"-31.830322,115.353806",8225,311,105
1550116124,2019-02-14T03:48:44Z,QFA10,"-31.834351,115.37133",8050,307,104
