Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550317923,2019-02-16T11:52:03Z,QFA10,"51.468063,-0.45571",0,9,5
1550318114,2019-02-16T11:55:14Z,QFA10,"51.467491,-0.456276",0,0,223
1550318204,2019-02-16T11:56:44Z,QFA10,"51.467491,-0.455784",0,14,90
1550318212,2019-02-16T11:56:52Z,QFA10,"51.467491,-0.455475",0,17,90
1550318222,2019-02-16T11:57:02Z,QFA10,"51.467491,-0.454893",0,18,92
1550318233,2019-02-16T11:57:13Z,QFA10,"51.46748,-0.454374",0,19,95
1550318244,2019-02-16T11:57:24Z,QFA10,"51.467171,-0.453965",0,21,146
1550318250,2019-02-16T11:57:30Z,QFA10,"51.466908,-0.453873",0,23,163
1550318257,2019-02-16T11:57:37Z,QFA10,"51.46669,-0.453576",0,25,140
1550318264,2019-02-16T11:57:44Z,QFA10,"51.466633,-0.453038",0,25,101
1550318273,2019-02-16T11:57:53Z,QFA10,"51.466621,-0.452351",0,26,92
1550318279,2019-02-16T11:57:59Z,QFA10,"51.466621,-0.45185",0,26,92
1550318294,2019-02-16T11:58:14Z,QFA10,"51.466629,-0.450649",0,27,90
1550318303,2019-02-16T11:58:23Z,QFA10,"51.466629,-0.449886",0,26,92
1550318318,2019-02-16T11:58:38Z,QFA10,"51.46664,-0.448608",0,29,92
1550318328,2019-02-16T11:58:48Z,QFA10,"51.466644,-0.447674",0,29,90
1550318336,2019-02-16T11:58:56Z,QFA10,"51.46664,-0.446835",0,31,92
1550318344,2019-02-16T11:59:04Z,QFA10,"51.466652,-0.446148",0,31,92
1550318358,2019-02-16T11:59:18Z,QFA10,"51.466652,-0.444756",0,31,90
1550318369,2019-02-16T11:59:29Z,QFA10,"51.466652,-0.443687",0,31,92
1550318376,2019-02-16T11:59:36Z,QFA10,"51.466652,-0.442944",0,30,90
1550318388,2019-02-16T11:59:48Z,QFA10,"51.466652,-0.441895",0,31,90
1550318417,2019-02-16T12:00:17Z,QFA10,"51.466663,-0.439377",0,29,90
1550318439,2019-02-16T12:00:39Z,QFA10,"51.466675,-0.437317",0,25,92
1550318472,2019-02-16T12:01:12Z,QFA10,"51.467815,-0.436058",0,28,2
1550318489,2019-02-16T12:01:29Z,QFA10,"51.468712,-0.435944",0,27,2
1550318512,2019-02-16T12:01:52Z,QFA10,"51.469791,-0.436076",0,25,356
1550318677,2019-02-16T12:04:37Z,QFA10,"51.472298,-0.435886",0,10,2
1550318693,2019-02-16T12:04:53Z,QFA10,"51.472706,-0.435867",0,20,5
1550318706,2019-02-16T12:05:06Z,QFA10,"51.473171,-0.435371",0,25,39
1550318713,2019-02-16T12:05:13Z,QFA10,"51.473415,-0.435009",0,26,42
1550318723,2019-02-16T12:05:23Z,QFA10,"51.473774,-0.434498",0,26,41
1550318739,2019-02-16T12:05:39Z,QFA10,"51.474369,-0.433663",0,27,41
1550318748,2019-02-16T12:05:48Z,QFA10,"51.474754,-0.433102",0,26,42
1550318780,2019-02-16T12:06:20Z,QFA10,"51.475883,-0.432529",0,11,2
1550318803,2019-02-16T12:06:43Z,QFA10,"51.476143,-0.43255",0,2,2
1550318946,2019-02-16T12:09:06Z,QFA10,"51.476452,-0.432568",0,15,357
1550318983,2019-02-16T12:09:43Z,QFA10,"51.476864,-0.433088",0,9,320
1550318995,2019-02-16T12:09:55Z,QFA10,"51.477009,-0.433292",0,13,320
1550319044,2019-02-16T12:10:44Z,QFA10,"51.477684,-0.435295",0,18,272
1550319060,2019-02-16T12:11:00Z,QFA10,"51.477665,-0.442255",0,88,270
1550319099,2019-02-16T12:11:39Z,QFA10,"51.477512,-0.487595",275,186,269
1550319105,2019-02-16T12:11:45Z,QFA10,"51.477463,-0.49675",600,187,269
1550319111,2019-02-16T12:11:51Z,QFA10,"51.477356,-0.504851",875,186,268
1550319117,2019-02-16T12:11:57Z,QFA10,"51.477173,-0.513017",1200,183,268
1550319123,2019-02-16T12:12:03Z,QFA10,"51.476997,-0.520935",1525,179,268
1550319153,2019-02-16T12:12:33Z,QFA10,"51.481094,-0.558472",2775,180,295
1550319176,2019-02-16T12:12:56Z,QFA10,"51.489899,-0.585393",3500,182,296
1550319189,2019-02-16T12:13:09Z,QFA10,"51.495163,-0.602466",3975,184,296
1550319207,2019-02-16T12:13:27Z,QFA10,"51.50209,-0.624161",4400,196,297
1550319219,2019-02-16T12:13:39Z,QFA10,"51.508209,-0.641958",4625,204,297
1550319231,2019-02-16T12:13:51Z,QFA10,"51.514706,-0.657349",4825,228,305
1550319241,2019-02-16T12:14:01Z,QFA10,"51.518143,-0.663782",4950,232,310
1550319247,2019-02-16T12:14:07Z,QFA10,"51.523178,-0.671057",5075,237,313
1550319265,2019-02-16T12:14:25Z,QFA10,"51.549591,-0.688279",5550,281,344
1550319291,2019-02-16T12:14:51Z,QFA10,"51.583603,-0.675808",5700,317,29
1550319300,2019-02-16T12:15:00Z,QFA10,"51.595047,-0.660813",5750,321,43
1550319310,2019-02-16T12:15:10Z,QFA10,"51.605621,-0.642395",6050,322,48
1550319320,2019-02-16T12:15:20Z,QFA10,"51.614609,-0.625687",6475,323,49
1550319339,2019-02-16T12:15:39Z,QFA10,"51.633957,-0.589327",7325,325,49
1550319355,2019-02-16T12:15:55Z,QFA10,"51.649708,-0.559998",7925,330,48
1550319365,2019-02-16T12:16:05Z,QFA10,"51.659775,-0.541596",8300,335,48
1550319379,2019-02-16T12:16:19Z,QFA10,"51.674149,-0.515594",8825,338,48
1550319395,2019-02-16T12:16:35Z,QFA10,"51.689896,-0.482359",9450,342,55
