Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550490529,2019-02-18T11:48:49Z,QFA10,"51.473331,-0.462036",0,0,222
1550490714,2019-02-18T11:51:54Z,QFA10,"51.473488,-0.461723",0,9,233
1550490731,2019-02-18T11:52:11Z,QFA10,"51.473614,-0.461519",0,9,241
1550490811,2019-02-18T11:53:31Z,QFA10,"51.473705,-0.460701",0,0,79
1550491196,2019-02-18T11:59:56Z,QFA10,"51.474834,-0.461922",0,17,329
1550491215,2019-02-18T12:00:15Z,QFA10,"51.475159,-0.462743",0,18,286
1550491254,2019-02-18T12:00:54Z,QFA10,"51.475159,-0.464668",0,18,270
1550491271,2019-02-18T12:01:11Z,QFA10,"51.475147,-0.465698",0,23,272
1550491351,2019-02-18T12:02:31Z,QFA10,"51.472401,-0.467253",0,28,182
1550491529,2019-02-18T12:05:29Z,QFA10,"51.467224,-0.457821",0,22,140
1550491538,2019-02-18T12:05:38Z,QFA10,"51.466896,-0.457783",0,21,171
1550491548,2019-02-18T12:05:48Z,QFA10,"51.466606,-0.457172",0,25,115
1550491558,2019-02-18T12:05:58Z,QFA10,"51.46661,-0.456434",0,26,92
1550491577,2019-02-18T12:06:17Z,QFA10,"51.466606,-0.454788",0,29,92
1550491586,2019-02-18T12:06:26Z,QFA10,"51.466618,-0.453987",0,30,90
1550491598,2019-02-18T12:06:38Z,QFA10,"51.466618,-0.452862",0,30,92
1550491619,2019-02-18T12:06:59Z,QFA10,"51.466629,-0.450821",0,32,92
1550491630,2019-02-18T12:07:10Z,QFA10,"51.466633,-0.449716",0,32,92
1550491641,2019-02-18T12:07:21Z,QFA10,"51.466633,-0.448491",0,34,92
1550491658,2019-02-18T12:07:38Z,QFA10,"51.466644,-0.446617",0,15,92
1550491666,2019-02-18T12:07:46Z,QFA10,"51.466644,-0.445652",0,15,92
1550491677,2019-02-18T12:07:57Z,QFA10,"51.466644,-0.444334",0,16,92
1550491698,2019-02-18T12:08:18Z,QFA10,"51.466652,-0.442257",0,30,92
1550491713,2019-02-18T12:08:33Z,QFA10,"51.466667,-0.440789",0,27,92
1550491739,2019-02-18T12:08:59Z,QFA10,"51.466663,-0.439072",0,19,92
1550491764,2019-02-18T12:09:24Z,QFA10,"51.466667,-0.438284",0,12,92
1550491777,2019-02-18T12:09:37Z,QFA10,"51.466667,-0.438006",0,10,92
1550491787,2019-02-18T12:09:47Z,QFA10,"51.466675,-0.437794",0,10,92
1550491819,2019-02-18T12:10:19Z,QFA10,"51.466675,-0.437222",0,11,92
1550491827,2019-02-18T12:10:27Z,QFA10,"51.466675,-0.436974",0,13,92
1550491835,2019-02-18T12:10:35Z,QFA10,"51.466679,-0.436707",0,15,92
1550491870,2019-02-18T12:11:10Z,QFA10,"51.466038,-0.436057",0,15,177
1550491886,2019-02-18T12:11:26Z,QFA10,"51.465595,-0.436039",0,20,180
1550491899,2019-02-18T12:11:39Z,QFA10,"51.465046,-0.436153",0,21,196
1550491906,2019-02-18T12:11:46Z,QFA10,"51.464939,-0.436447",0,17,230
1550491912,2019-02-18T12:11:52Z,QFA10,"51.464954,-0.436726",0,15,261
1550491921,2019-02-18T12:12:01Z,QFA10,"51.464951,-0.436948",0,2,267
1550491987,2019-02-18T12:13:07Z,QFA10,"51.464939,-0.439639",0,51,272
1550491995,2019-02-18T12:13:15Z,QFA10,"51.46492,-0.444164",0,86,270
1550492028,2019-02-18T12:13:48Z,QFA10,"51.464897,-0.480194",300,178,270
1550492048,2019-02-18T12:14:08Z,QFA10,"51.464848,-0.505829",1275,175,267
1550492064,2019-02-18T12:14:24Z,QFA10,"51.461823,-0.526505",1925,172,242
1550492070,2019-02-18T12:14:30Z,QFA10,"51.458984,-0.532761",2100,174,231
1550492076,2019-02-18T12:14:36Z,QFA10,"51.456097,-0.537262",2275,175,222
1550492084,2019-02-18T12:14:44Z,QFA10,"51.449615,-0.543452",2575,182,202
1550492090,2019-02-18T12:14:50Z,QFA10,"51.444923,-0.545425",2725,186,192
1550492101,2019-02-18T12:15:01Z,QFA10,"51.435379,-0.54464",3100,195,167
1550492126,2019-02-18T12:15:26Z,QFA10,"51.417038,-0.522995",3950,206,135
1550492134,2019-02-18T12:15:34Z,QFA10,"51.411438,-0.514056",4250,207,135
1550492151,2019-02-18T12:15:51Z,QFA10,"51.399124,-0.494607",4600,219,135
1550492160,2019-02-18T12:16:00Z,QFA10,"51.392441,-0.484363",4750,230,136
1550492170,2019-02-18T12:16:10Z,QFA10,"51.384548,-0.472183",4900,241,136
1550492178,2019-02-18T12:16:18Z,QFA10,"51.377563,-0.461349",5050,251,135
1550492194,2019-02-18T12:16:34Z,QFA10,"51.364109,-0.440598",5450,267,135
1550492208,2019-02-18T12:16:48Z,QFA10,"51.350983,-0.420227",5775,272,135
1550492223,2019-02-18T12:17:03Z,QFA10,"51.336971,-0.39856",5925,275,135
1550492238,2019-02-18T12:17:18Z,QFA10,"51.323006,-0.376434",5975,294,134
