Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550631828,2019-02-20T03:03:48Z,QFA10,"-28.48233,109.317032",39975,511,130
1550631889,2019-02-20T03:04:49Z,QFA10,"-28.574183,109.440956",40000,511,130
1550631907,2019-02-20T03:05:07Z,QFA10,"-28.602859,109.479622",40000,511,130
1550631995,2019-02-20T03:06:35Z,QFA10,"-28.734787,109.658188",40000,511,129
1550632053,2019-02-20T03:07:33Z,QFA10,"-28.82309,109.778191",40000,513,129
1550632211,2019-02-20T03:10:11Z,QFA10,"-29.063049,110.106033",39975,513,129
1550632251,2019-02-20T03:10:51Z,QFA10,"-29.125351,110.191498",40000,514,129
1550632339,2019-02-20T03:12:19Z,QFA10,"-29.259109,110.375732",40000,513,129
1550632561,2019-02-20T03:16:01Z,QFA10,"-29.595154,110.842384",39975,516,129
1550632610,2019-02-20T03:16:50Z,QFA10,"-29.669357,110.946281",39975,516,129
1550632698,2019-02-20T03:18:18Z,QFA10,"-29.801743,111.132095",40000,516,129
1550632769,2019-02-20T03:19:29Z,QFA10,"-29.910837,111.280144",40000,515,131
1550632832,2019-02-20T03:20:32Z,QFA10,"-30.011343,111.410652",39975,511,131
1550632895,2019-02-20T03:21:35Z,QFA10,"-30.107346,111.536377",40000,510,131
1550632954,2019-02-20T03:22:34Z,QFA10,"-30.201881,111.660812",40000,511,131
1550633019,2019-02-20T03:23:39Z,QFA10,"-30.301317,111.792374",39975,510,131
1550633034,2019-02-20T03:23:54Z,QFA10,"-30.322906,111.820839",39975,510,131
1550633125,2019-02-20T03:25:25Z,QFA10,"-30.466141,112.010948",40000,509,130
1550633187,2019-02-20T03:26:27Z,QFA10,"-30.562056,112.138657",40000,511,130
1550633248,2019-02-20T03:27:28Z,QFA10,"-30.656883,112.265388",39975,511,130
1550633309,2019-02-20T03:28:29Z,QFA10,"-30.751694,112.392563",39975,509,130
1550633371,2019-02-20T03:29:31Z,QFA10,"-30.846676,112.520271",39975,509,130
1550633432,2019-02-20T03:30:32Z,QFA10,"-30.941317,112.648148",39975,508,130
1550633495,2019-02-20T03:31:35Z,QFA10,"-31.035725,112.775703",40000,505,130
1550633557,2019-02-20T03:32:37Z,QFA10,"-31.129993,112.903915",40000,505,130
1550633618,2019-02-20T03:33:38Z,QFA10,"-31.223564,113.03141",40000,504,130
1550633678,2019-02-20T03:34:38Z,QFA10,"-31.315178,113.156708",39225,502,130
1550633742,2019-02-20T03:35:42Z,QFA10,"-31.409958,113.286674",36750,508,130
1550633778,2019-02-20T03:36:18Z,QFA10,"-31.461166,113.367149",35200,514,119
1550633788,2019-02-20T03:36:28Z,QFA10,"-31.472618,113.393517",34725,517,115
1550633794,2019-02-20T03:36:34Z,QFA10,"-31.477739,113.407417",34500,518,112
1550633803,2019-02-20T03:36:43Z,QFA10,"-31.485855,113.434105",34125,518,107
1550633809,2019-02-20T03:36:49Z,QFA10,"-31.489334,113.448112",33975,518,105
1550633815,2019-02-20T03:36:55Z,QFA10,"-31.49231,113.462273",33800,518,103
1550633880,2019-02-20T03:38:00Z,QFA10,"-31.525129,113.642303",31575,506,101
1550633943,2019-02-20T03:39:03Z,QFA10,"-31.555061,113.806824",29525,492,102
1550634005,2019-02-20T03:40:05Z,QFA10,"-31.584091,113.967697",27475,477,101
1550634068,2019-02-20T03:41:08Z,QFA10,"-31.612041,114.123672",25450,462,101
1550634130,2019-02-20T03:42:10Z,QFA10,"-31.63867,114.27314",23425,448,101
1550634191,2019-02-20T03:43:11Z,QFA10,"-31.663994,114.417282",21450,434,101
1550634253,2019-02-20T03:44:13Z,QFA10,"-31.688644,114.557892",19475,421,101
1550634316,2019-02-20T03:45:16Z,QFA10,"-31.712547,114.695511",17525,410,101
1550634346,2019-02-20T03:45:46Z,QFA10,"-31.724092,114.761757",16550,405,101
1550634378,2019-02-20T03:46:18Z,QFA10,"-31.735886,114.829964",15550,399,101
1550634409,2019-02-20T03:46:49Z,QFA10,"-31.74678,114.89502",14575,393,101
1550634445,2019-02-20T03:47:25Z,QFA10,"-31.759598,114.969444",13450,388,101
1550634476,2019-02-20T03:47:56Z,QFA10,"-31.770584,115.034447",12450,384,101
1550634507,2019-02-20T03:48:27Z,QFA10,"-31.781387,115.096672",11500,380,101
1550634517,2019-02-20T03:48:37Z,QFA10,"-31.784983,115.117378",11250,377,101
1550634534,2019-02-20T03:48:54Z,QFA10,"-31.790524,115.149719",10775,374,101
1550634550,2019-02-20T03:49:10Z,QFA10,"-31.795761,115.179947",10375,370,101
1550634565,2019-02-20T03:49:25Z,QFA10,"-31.80098,115.211319",9925,366,100
1550634576,2019-02-20T03:49:36Z,QFA10,"-31.804413,115.231918",9650,363,100
1550634591,2019-02-20T03:49:51Z,QFA10,"-31.80954,115.261139",9225,360,102
