Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550891296,2019-02-23T03:08:16Z,QFA10,"-27.273233,108.351128",41000,520,126
1550891359,2019-02-23T03:09:19Z,QFA10,"-27.362707,108.485184",40975,520,126
1550891421,2019-02-23T03:10:21Z,QFA10,"-27.454973,108.623993",41000,521,126
1550891481,2019-02-23T03:11:21Z,QFA10,"-27.542679,108.756248",40975,521,126
1550891487,2019-02-23T03:11:27Z,QFA10,"-27.551193,108.769104",41000,522,126
1550891598,2019-02-23T03:13:18Z,QFA10,"-27.709854,109.00972",41000,521,126
1550891662,2019-02-23T03:14:22Z,QFA10,"-27.8004,109.147354",40975,522,126
1550891723,2019-02-23T03:15:23Z,QFA10,"-27.888382,109.281578",41000,520,126
1550891775,2019-02-23T03:16:15Z,QFA10,"-27.963091,109.396149",41000,521,126
1550892236,2019-02-23T03:23:56Z,QFA10,"-28.626274,110.425255",40975,534,125
1550892245,2019-02-23T03:24:05Z,QFA10,"-28.639635,110.446152",41000,534,125
1550892348,2019-02-23T03:25:48Z,QFA10,"-28.789261,110.681976",40975,536,125
1550892411,2019-02-23T03:26:51Z,QFA10,"-28.87882,110.823723",41000,538,125
1550892474,2019-02-23T03:27:54Z,QFA10,"-28.968933,110.966881",41000,541,125
1550892535,2019-02-23T03:28:55Z,QFA10,"-29.059158,111.110703",41000,546,125
1550892596,2019-02-23T03:29:56Z,QFA10,"-29.150116,111.256218",40975,549,125
1550892658,2019-02-23T03:30:58Z,QFA10,"-29.241648,111.403305",41000,550,125
1550892719,2019-02-23T03:31:59Z,QFA10,"-29.33345,111.550865",40975,547,125
1550892780,2019-02-23T03:33:00Z,QFA10,"-29.42255,111.694878",41000,549,125
1550892843,2019-02-23T03:34:03Z,QFA10,"-29.513351,111.842514",41000,551,125
1550892904,2019-02-23T03:35:04Z,QFA10,"-29.603825,111.989731",41000,553,124
1550892966,2019-02-23T03:36:06Z,QFA10,"-29.694368,112.137558",40975,550,125
1550893029,2019-02-23T03:37:09Z,QFA10,"-29.785172,112.286613",40975,548,124
1550893091,2019-02-23T03:38:11Z,QFA10,"-29.875597,112.435486",41000,548,124
1550893153,2019-02-23T03:39:13Z,QFA10,"-29.964752,112.582718",41000,551,124
1550893211,2019-02-23T03:40:11Z,QFA10,"-30.05324,112.721481",40975,550,134
1550893217,2019-02-23T03:40:17Z,QFA10,"-30.064682,112.733566",40975,549,138
1550893223,2019-02-23T03:40:23Z,QFA10,"-30.078007,112.745819",40975,549,142
1550893229,2019-02-23T03:40:29Z,QFA10,"-30.089905,112.755325",40975,548,145
1550893235,2019-02-23T03:40:35Z,QFA10,"-30.102448,112.764099",40975,546,149
1550893241,2019-02-23T03:40:41Z,QFA10,"-30.117855,112.773392",41000,544,153
1550893249,2019-02-23T03:40:49Z,QFA10,"-30.131681,112.780373",40975,541,157
1550893257,2019-02-23T03:40:57Z,QFA10,"-30.153234,112.789711",41000,540,159
