Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551410806,2019-03-01T03:26:46Z,QFA10,"-28.519949,110.258469",41000,527,125
1551410819,2019-03-01T03:26:59Z,QFA10,"-28.540741,110.290955",41000,527,125
1551411346,2019-03-01T03:35:46Z,QFA10,"-29.291428,111.483185",41000,531,125
1551411521,2019-03-01T03:38:41Z,QFA10,"-29.539629,111.885033",40975,531,125
1551411580,2019-03-01T03:39:40Z,QFA10,"-29.623331,112.021286",40975,530,125
1551411652,2019-03-01T03:40:52Z,QFA10,"-29.725388,112.188263",40975,529,124
1551411731,2019-03-01T03:42:11Z,QFA10,"-29.835981,112.369995",41000,527,124
1551411779,2019-03-01T03:42:59Z,QFA10,"-29.902178,112.479156",41000,528,124
1551411870,2019-03-01T03:44:30Z,QFA10,"-30.023029,112.679337",41000,525,124
1551411896,2019-03-01T03:44:56Z,QFA10,"-30.062481,112.732597",40975,523,137
1551411902,2019-03-01T03:45:02Z,QFA10,"-30.073071,112.742691",41000,521,141
1551411909,2019-03-01T03:45:09Z,QFA10,"-30.0875,112.754608",41000,519,143
1551411915,2019-03-01T03:45:15Z,QFA10,"-30.10158,112.764374",41000,507,149
1551411928,2019-03-01T03:45:28Z,QFA10,"-30.126751,112.77816",41000,508,157
1551411935,2019-03-01T03:45:35Z,QFA10,"-30.142139,112.784782",40975,498,159
1551411941,2019-03-01T03:45:41Z,QFA10,"-30.15728,112.791298",40975,498,159
1551412008,2019-03-01T03:46:48Z,QFA10,"-30.30155,112.854752",41000,496,158
1551412029,2019-03-01T03:47:09Z,QFA10,"-30.345119,112.873917",40975,503,159
1551412126,2019-03-01T03:48:46Z,QFA10,"-30.55172,112.96505",41000,504,158
1551412189,2019-03-01T03:49:49Z,QFA10,"-30.70413,113.032951",41000,504,158
1551412252,2019-03-01T03:50:52Z,QFA10,"-30.83954,113.092941",41000,496,158
1551412321,2019-03-01T03:52:01Z,QFA10,"-30.995501,113.162529",40975,499,158
1551412385,2019-03-01T03:53:05Z,QFA10,"-31.141258,113.227844",39825,505,158
1551412445,2019-03-01T03:54:05Z,QFA10,"-31.274864,113.287666",37450,509,159
1551412514,2019-03-01T03:55:14Z,QFA10,"-31.422775,113.361298",34475,513,145
