Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550835233,2019-02-22T11:33:53Z,QFA9,"-31.935009,115.961098",0,0,315
1550835364,2019-02-22T11:36:04Z,QFA9,"-31.935242,115.96138",0,10,312
1550835391,2019-02-22T11:36:31Z,QFA9,"-31.935452,115.9617",0,10,320
1550835412,2019-02-22T11:36:52Z,QFA9,"-31.935616,115.961937",0,9,354
1550835427,2019-02-22T11:37:07Z,QFA9,"-31.935413,115.961639",0,9,11
1550835469,2019-02-22T11:37:49Z,QFA9,"-31.935837,115.961983",0,0,191
1550835653,2019-02-22T11:40:53Z,QFA9,"-31.935616,115.962036",0,14,14
1550835663,2019-02-22T11:41:03Z,QFA9,"-31.935322,115.962189",0,18,25
1550835673,2019-02-22T11:41:13Z,QFA9,"-31.93502,115.962418",0,21,33
1550835679,2019-02-22T11:41:19Z,QFA9,"-31.934813,115.962555",0,23,33
1550835685,2019-02-22T11:41:25Z,QFA9,"-31.934612,115.9627",0,24,30
1550835698,2019-02-22T11:41:38Z,QFA9,"-31.934074,115.962944",0,24,22
1550835706,2019-02-22T11:41:46Z,QFA9,"-31.933743,115.963066",0,24,19
1550835713,2019-02-22T11:41:53Z,QFA9,"-31.93338,115.963158",0,28,14
1550835720,2019-02-22T11:42:00Z,QFA9,"-31.93293,115.963264",0,29,11
1550835730,2019-02-22T11:42:10Z,QFA9,"-31.93239,115.963287",0,28,2
1550835741,2019-02-22T11:42:21Z,QFA9,"-31.931911,115.963341",0,22,11
1550835750,2019-02-22T11:42:30Z,QFA9,"-31.931553,115.963455",0,21,16
1550835756,2019-02-22T11:42:36Z,QFA9,"-31.931351,115.963562",0,22,25
1550835763,2019-02-22T11:42:43Z,QFA9,"-31.93111,115.963821",0,22,42
1550835769,2019-02-22T11:42:49Z,QFA9,"-31.930973,115.964027",0,22,50
1550835775,2019-02-22T11:42:55Z,QFA9,"-31.930801,115.964249",0,22,50
1550835783,2019-02-22T11:43:03Z,QFA9,"-31.930588,115.964531",0,23,50
1550835790,2019-02-22T11:43:10Z,QFA9,"-31.930378,115.964813",0,24,50
1550835796,2019-02-22T11:43:16Z,QFA9,"-31.930206,115.965034",0,24,47
1550835809,2019-02-22T11:43:29Z,QFA9,"-31.929783,115.965569",0,25,47
1550835818,2019-02-22T11:43:38Z,QFA9,"-31.929508,115.965828",0,20,36
1550835934,2019-02-22T11:45:34Z,QFA9,"-31.930773,115.967842",0,47,194
1550835940,2019-02-22T11:45:40Z,QFA9,"-31.932322,115.967377",0,72,196
1550835972,2019-02-22T11:46:12Z,QFA9,"-31.952774,115.961411",100,185,193
1550835979,2019-02-22T11:46:19Z,QFA9,"-31.958633,115.959702",350,185,193
1550835985,2019-02-22T11:46:25Z,QFA9,"-31.963743,115.958229",600,186,193
1550835992,2019-02-22T11:46:32Z,QFA9,"-31.96875,115.956795",875,187,193
1550836005,2019-02-22T11:46:45Z,QFA9,"-31.979107,115.95369",1425,187,194
1550836016,2019-02-22T11:46:56Z,QFA9,"-31.989719,115.950607",1675,199,193
1550836023,2019-02-22T11:47:03Z,QFA9,"-31.995213,115.948868",1775,206,196
1550836029,2019-02-22T11:47:09Z,QFA9,"-32.000748,115.94619",1850,215,206
1550836036,2019-02-22T11:47:16Z,QFA9,"-32.006104,115.94207",1925,224,215
1550836043,2019-02-22T11:47:23Z,QFA9,"-32.013138,115.934067",2075,237,228
1550836049,2019-02-22T11:47:29Z,QFA9,"-32.016998,115.92746",2225,243,237
1550836057,2019-02-22T11:47:37Z,QFA9,"-32.020119,115.919777",2350,251,248
1550836064,2019-02-22T11:47:44Z,QFA9,"-32.022583,115.907959",2550,260,260
1550836087,2019-02-22T11:48:07Z,QFA9,"-32.020111,115.876869",3475,269,278
1550836095,2019-02-22T11:48:15Z,QFA9,"-32.018303,115.863388",3925,270,278
1550836104,2019-02-22T11:48:24Z,QFA9,"-32.016541,115.850227",4175,278,278
1550836111,2019-02-22T11:48:31Z,QFA9,"-32.015278,115.840576",4300,285,278
1550836117,2019-02-22T11:48:37Z,QFA9,"-32.014069,115.831001",4450,293,278
1550836123,2019-02-22T11:48:43Z,QFA9,"-32.012833,115.821716",4575,299,278
1550836129,2019-02-22T11:48:49Z,QFA9,"-32.011555,115.81176",4725,305,278
1550836139,2019-02-22T11:48:59Z,QFA9,"-32.009552,115.796631",4925,314,278
1550836145,2019-02-22T11:49:05Z,QFA9,"-32.008163,115.786118",5075,320,278
1550836156,2019-02-22T11:49:16Z,QFA9,"-32.005409,115.764732",5350,333,278
1550836168,2019-02-22T11:49:28Z,QFA9,"-32.002617,115.742477",5725,341,278
1550836181,2019-02-22T11:49:41Z,QFA9,"-31.999729,115.720337",6250,343,279
1550836192,2019-02-22T11:49:52Z,QFA9,"-31.995028,115.698647",6800,343,289
1550836199,2019-02-22T11:49:59Z,QFA9,"-31.991117,115.687996",7075,343,295
1550836205,2019-02-22T11:50:05Z,QFA9,"-31.986237,115.678123",7325,344,302
1550836211,2019-02-22T11:50:11Z,QFA9,"-31.980652,115.669388",7550,345,309
1550836217,2019-02-22T11:50:17Z,QFA9,"-31.97352,115.66098",7800,347,316
1550836223,2019-02-22T11:50:23Z,QFA9,"-31.965839,115.65403",8025,348,324
1550836231,2019-02-22T11:50:31Z,QFA9,"-31.953094,115.645988",8375,351,335
1550836237,2019-02-22T11:50:37Z,QFA9,"-31.943481,115.642197",8625,354,343
1550836244,2019-02-22T11:50:44Z,QFA9,"-31.933411,115.639946",8850,358,352
1550836269,2019-02-22T11:51:09Z,QFA9,"-31.888687,115.641647",9875,365,3
1550836285,2019-02-22T11:51:25Z,QFA9,"-31.86351,115.643517",10425,368,3
1550836298,2019-02-22T11:51:38Z,QFA9,"-31.841583,115.645218",10900,370,3
1550836311,2019-02-22T11:51:51Z,QFA9,"-31.819199,115.646927",11375,372,3
1550836324,2019-02-22T11:52:04Z,QFA9,"-31.797552,115.64859",11800,375,3
1550836336,2019-02-22T11:52:16Z,QFA9,"-31.775436,115.650162",12250,376,3
1550836369,2019-02-22T11:52:49Z,QFA9,"-31.717436,115.654282",13300,384,3
1550836401,2019-02-22T11:53:21Z,QFA9,"-31.659897,115.658142",14225,393,3
1550836432,2019-02-22T11:53:52Z,QFA9,"-31.601336,115.662193",15225,398,3
1550836464,2019-02-22T11:54:24Z,QFA9,"-31.544174,115.666161",16150,404,3
1550836495,2019-02-22T11:54:55Z,QFA9,"-31.485931,115.670326",17050,409,3
1550836528,2019-02-22T11:55:28Z,QFA9,"-31.422575,115.674721",18050,413,3
1550836590,2019-02-22T11:56:30Z,QFA9,"-31.301697,115.683022",19825,423,3
1550836652,2019-02-22T11:57:32Z,QFA9,"-31.177849,115.691635",21275,437,3
1550836715,2019-02-22T11:58:35Z,QFA9,"-31.049318,115.700424",22750,449,3
1550836776,2019-02-22T11:59:36Z,QFA9,"-30.921347,115.709381",24150,458,3
1550836842,2019-02-22T12:00:42Z,QFA9,"-30.781036,115.718994",25725,464,3
1550836905,2019-02-22T12:01:45Z,QFA9,"-30.643936,115.728149",27050,471,3
1550836971,2019-02-22T12:02:51Z,QFA9,"-30.498932,115.738327",28375,476,3
1550837034,2019-02-22T12:03:54Z,QFA9,"-30.359648,115.74778",29625,479,3
1550837097,2019-02-22T12:04:57Z,QFA9,"-30.221153,115.757118",31250,471,3
1550837160,2019-02-22T12:06:00Z,QFA9,"-30.081869,115.766457",32625,466,3
1550837224,2019-02-22T12:07:04Z,QFA9,"-29.942963,115.775757",33450,470,3
1550837288,2019-02-22T12:08:08Z,QFA9,"-29.803482,115.785179",33975,473,3
1550837354,2019-02-22T12:09:14Z,QFA9,"-29.660477,115.794739",33975,474,3
1550837417,2019-02-22T12:10:17Z,QFA9,"-29.521101,115.804138",34000,473,3
1550837482,2019-02-22T12:11:22Z,QFA9,"-29.379164,115.81356",34000,473,3
1550837545,2019-02-22T12:12:25Z,QFA9,"-29.239508,115.822823",34000,475,3
1550837608,2019-02-22T12:13:28Z,QFA9,"-29.102364,115.831978",33975,474,3
1550837670,2019-02-22T12:14:30Z,QFA9,"-28.966433,115.840919",34000,471,3
1550837732,2019-02-22T12:15:32Z,QFA9,"-28.831802,115.849808",33975,473,3
1550837792,2019-02-22T12:16:32Z,QFA9,"-28.697592,115.858643",34000,473,3
1550837855,2019-02-22T12:17:35Z,QFA9,"-28.562685,115.867577",34000,469,3
1550837916,2019-02-22T12:18:36Z,QFA9,"-28.430103,115.876144",33975,470,3
1550837976,2019-02-22T12:19:36Z,QFA9,"-28.296387,115.884895",33975,471,3
1550838038,2019-02-22T12:20:38Z,QFA9,"-28.162582,115.893616",33975,474,3
1550838099,2019-02-22T12:21:39Z,QFA9,"-28.028124,115.902313",33975,473,3
