Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549090628,2019-02-02T06:57:08Z,UAE6PT,"25.244923,55.369251",0,0,327
1549090713,2019-02-02T06:58:33Z,UAE6PT,"25.245092,55.368931",0,10,120
1549090738,2019-02-02T06:58:58Z,UAE6PT,"25.245255,55.36871",0,9,106
1549090763,2019-02-02T06:59:23Z,UAE6PT,"25.245369,55.3685",0,9,90
1549090788,2019-02-02T06:59:48Z,UAE6PT,"25.245461,55.368271",0,2,59
1549090819,2019-02-02T07:00:19Z,UAE6PT,"25.245472,55.368053",0,2,30
1549090893,2019-02-02T07:01:33Z,UAE6PT,"25.245384,55.368061",0,0,134
1549091036,2019-02-02T07:03:56Z,UAE6PT,"25.245407,55.368061",0,0,297
1549091147,2019-02-02T07:05:47Z,UAE6PT,"25.245415,55.368069",0,0,126
1549091231,2019-02-02T07:07:11Z,UAE6PT,"25.245651,55.368229",0,13,30
1549091252,2019-02-02T07:07:32Z,UAE6PT,"25.24614,55.368568",0,21,30
1549091261,2019-02-02T07:07:41Z,UAE6PT,"25.246525,55.368816",0,26,30
1549091270,2019-02-02T07:07:50Z,UAE6PT,"25.24688,55.369034",0,24,28
1549091279,2019-02-02T07:07:59Z,UAE6PT,"25.247269,55.368946",0,23,351
1549091287,2019-02-02T07:08:07Z,UAE6PT,"25.247444,55.368671",0,22,317
1549091296,2019-02-02T07:08:16Z,UAE6PT,"25.247578,55.368298",0,21,298
1549091303,2019-02-02T07:08:23Z,UAE6PT,"25.247635,55.368069",0,21,289
1549091317,2019-02-02T07:08:37Z,UAE6PT,"25.247768,55.367477",0,20,284
1549091323,2019-02-02T07:08:43Z,UAE6PT,"25.247793,55.367271",0,20,281
1549091338,2019-02-02T07:08:58Z,UAE6PT,"25.247921,55.366756",0,20,284
1549091348,2019-02-02T07:09:08Z,UAE6PT,"25.248072,55.366352",0,22,289
1549091363,2019-02-02T07:09:23Z,UAE6PT,"25.248402,55.365704",0,27,300
1549091371,2019-02-02T07:09:31Z,UAE6PT,"25.248631,55.365276",0,29,300
1549091382,2019-02-02T07:09:42Z,UAE6PT,"25.249002,55.364616",0,31,300
1549091393,2019-02-02T07:09:53Z,UAE6PT,"25.249352,55.363995",0,33,300
1549091399,2019-02-02T07:09:59Z,UAE6PT,"25.249538,55.36367",0,15,300
1549091424,2019-02-02T07:10:24Z,UAE6PT,"25.250526,55.36187",0,17,300
1549091432,2019-02-02T07:10:32Z,UAE6PT,"25.2509,55.361195",0,15,300
1549091439,2019-02-02T07:10:39Z,UAE6PT,"25.251133,55.360783",0,34,300
1549091454,2019-02-02T07:10:54Z,UAE6PT,"25.251587,55.359924",0,26,300
1549091476,2019-02-02T07:11:16Z,UAE6PT,"25.251984,55.359203",0,12,300
1549092201,2019-02-02T07:23:21Z,UAE6PT,"25.252796,55.358448",0,23,348
1549092233,2019-02-02T07:23:53Z,UAE6PT,"25.25382,55.35915",0,15,30
1549092248,2019-02-02T07:24:08Z,UAE6PT,"25.254101,55.359329",0,12,30
1549092417,2019-02-02T07:26:57Z,UAE6PT,"25.254318,55.359447",0,10,30
