Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549866395,2019-02-11T06:26:35Z,UAE6PT,"25.241344,55.374126",0,0,134
1549866486,2019-02-11T06:28:06Z,UAE6PT,"25.241123,55.373981",0,9,30
1549866511,2019-02-11T06:28:31Z,UAE6PT,"25.240902,55.373764",0,10,11
1549866530,2019-02-11T06:28:50Z,UAE6PT,"25.240688,55.373623",0,10,348
1549866550,2019-02-11T06:29:10Z,UAE6PT,"25.240448,55.373608",0,10,326
1549866572,2019-02-11T06:29:32Z,UAE6PT,"25.240196,55.373726",0,10,306
1549866588,2019-02-11T06:29:48Z,UAE6PT,"25.241341,55.374119",0,2,300
1549866804,2019-02-11T06:33:24Z,UAE6PT,"25.240082,55.373905",0,0,300
1549866828,2019-02-11T06:33:48Z,UAE6PT,"25.24024,55.373608",0,14,300
1549866849,2019-02-11T06:34:09Z,UAE6PT,"25.24053,55.373077",0,19,300
1549866858,2019-02-11T06:34:18Z,UAE6PT,"25.240723,55.372734",0,21,300
1549866868,2019-02-11T06:34:28Z,UAE6PT,"25.240929,55.372353",0,23,300
1549866878,2019-02-11T06:34:38Z,UAE6PT,"25.241169,55.371922",0,25,300
1549866889,2019-02-11T06:34:49Z,UAE6PT,"25.241415,55.371483",0,26,300
1549866906,2019-02-11T06:35:06Z,UAE6PT,"25.24189,55.370636",0,28,300
1549866923,2019-02-11T06:35:23Z,UAE6PT,"25.242392,55.36972",0,30,300
1549866944,2019-02-11T06:35:44Z,UAE6PT,"25.243069,55.3685",0,33,300
1549866950,2019-02-11T06:35:50Z,UAE6PT,"25.243254,55.368164",0,15,300
1549866967,2019-02-11T06:36:07Z,UAE6PT,"25.243753,55.367325",0,26,306
1549866978,2019-02-11T06:36:18Z,UAE6PT,"25.244373,55.367382",0,25,11
1549867019,2019-02-11T06:36:59Z,UAE6PT,"25.246204,55.368641",0,32,30
1549867037,2019-02-11T06:37:17Z,UAE6PT,"25.247059,55.369007",0,26,8
1549867046,2019-02-11T06:37:26Z,UAE6PT,"25.247431,55.36866",0,29,320
1549867061,2019-02-11T06:37:41Z,UAE6PT,"25.247681,55.367901",0,26,289
1549867079,2019-02-11T06:37:59Z,UAE6PT,"25.247852,55.366924",0,25,284
1549867088,2019-02-11T06:38:08Z,UAE6PT,"25.247978,55.366489",0,25,289
1549867096,2019-02-11T06:38:16Z,UAE6PT,"25.248161,55.36607",0,26,295
1549867111,2019-02-11T06:38:31Z,UAE6PT,"25.248516,55.365448",0,29,300
1549867123,2019-02-11T06:38:43Z,UAE6PT,"25.24894,55.364735",0,32,300
1549867177,2019-02-11T06:39:37Z,UAE6PT,"25.250526,55.362919",0,20,8
1549867661,2019-02-11T06:47:41Z,UAE6PT,"25.252419,55.36504",0,21,109
1549867683,2019-02-11T06:48:03Z,UAE6PT,"25.250874,55.367825",0,65,120
1549867705,2019-02-11T06:48:25Z,UAE6PT,"25.245529,55.377502",0,132,121
1549867716,2019-02-11T06:48:36Z,UAE6PT,"25.241926,55.383999",0,157,121
1549867724,2019-02-11T06:48:44Z,UAE6PT,"25.238482,55.390266",100,166,121
1549867735,2019-02-11T06:48:55Z,UAE6PT,"25.234152,55.398247",300,169,120
1549867745,2019-02-11T06:49:05Z,UAE6PT,"25.229963,55.406124",575,170,120
1549867756,2019-02-11T06:49:16Z,UAE6PT,"25.225983,55.413563",825,169,120
1549867765,2019-02-11T06:49:25Z,UAE6PT,"25.22205,55.420845",1075,169,120
1549867781,2019-02-11T06:49:41Z,UAE6PT,"25.215454,55.432941",1300,183,121
1549867791,2019-02-11T06:49:51Z,UAE6PT,"25.210922,55.441055",1400,192,121
1549867801,2019-02-11T06:50:01Z,UAE6PT,"25.205841,55.449879",1500,205,122
1549867810,2019-02-11T06:50:10Z,UAE6PT,"25.200869,55.458309",1650,213,123
1549867820,2019-02-11T06:50:20Z,UAE6PT,"25.195189,55.467899",1975,214,123
1549867831,2019-02-11T06:50:31Z,UAE6PT,"25.18959,55.477398",2375,212,123
1549867842,2019-02-11T06:50:42Z,UAE6PT,"25.184418,55.486095",2675,214,122
1549867851,2019-02-11T06:50:51Z,UAE6PT,"25.178787,55.495911",2950,219,121
1549867859,2019-02-11T06:50:59Z,UAE6PT,"25.174118,55.50415",3175,222,121
1549867871,2019-02-11T06:51:11Z,UAE6PT,"25.168579,55.514172",3475,225,121
1549867881,2019-02-11T06:51:21Z,UAE6PT,"25.162649,55.525005",3800,228,120
1549867891,2019-02-11T06:51:31Z,UAE6PT,"25.156815,55.535633",4150,229,121
1549867902,2019-02-11T06:51:42Z,UAE6PT,"25.15143,55.545269",4425,232,121
1549867912,2019-02-11T06:51:52Z,UAE6PT,"25.145599,55.555676",4700,235,121
1549867921,2019-02-11T06:52:01Z,UAE6PT,"25.13974,55.565948",4875,236,122
1549867931,2019-02-11T06:52:11Z,UAE6PT,"25.133789,55.576221",4925,237,122
1549867938,2019-02-11T06:52:18Z,UAE6PT,"25.129623,55.583393",4950,238,122
1549867951,2019-02-11T06:52:31Z,UAE6PT,"25.121868,55.596832",5175,242,122
1549867965,2019-02-11T06:52:45Z,UAE6PT,"25.113052,55.611523",5550,248,125
1549867981,2019-02-11T06:53:01Z,UAE6PT,"25.101105,55.626728",6000,252,132
1549867992,2019-02-11T06:53:12Z,UAE6PT,"25.092913,55.636372",6350,253,133
1549868003,2019-02-11T06:53:23Z,UAE6PT,"25.082886,55.647633",6725,255,134
1549868021,2019-02-11T06:53:41Z,UAE6PT,"25.067961,55.66394",7300,258,135
1549868031,2019-02-11T06:53:51Z,UAE6PT,"25.060419,55.67218",7575,260,135
1549868072,2019-02-11T06:54:32Z,UAE6PT,"25.022278,55.713856",8525,284,135
1549868088,2019-02-11T06:54:48Z,UAE6PT,"25.007675,55.729931",8925,290,134
1549868102,2019-02-11T06:55:02Z,UAE6PT,"24.993393,55.745647",9250,296,134
1549868117,2019-02-11T06:55:17Z,UAE6PT,"24.979248,55.761261",9650,300,134
1549868134,2019-02-11T06:55:34Z,UAE6PT,"24.963089,55.779114",10075,305,134
1549868143,2019-02-11T06:55:43Z,UAE6PT,"24.953568,55.789593",10300,309,135
1549868159,2019-02-11T06:55:59Z,UAE6PT,"24.936081,55.804749",10725,301,150
1549868168,2019-02-11T06:56:08Z,UAE6PT,"24.923355,55.810749",10950,299,158
1549868174,2019-02-11T06:56:14Z,UAE6PT,"24.916992,55.81345",11000,303,158
1549868181,2019-02-11T06:56:21Z,UAE6PT,"24.906052,55.818218",11125,309,157
1549868199,2019-02-11T06:56:39Z,UAE6PT,"24.881973,55.829418",11350,323,156
1549868214,2019-02-11T06:56:54Z,UAE6PT,"24.861315,55.83931",11550,335,156
1549868229,2019-02-11T06:57:09Z,UAE6PT,"24.840508,55.852989",11750,357,140
1549868239,2019-02-11T06:57:19Z,UAE6PT,"24.829195,55.866047",11950,368,127
1549868245,2019-02-11T06:57:25Z,UAE6PT,"24.823837,55.874226",12100,372,124
1549868254,2019-02-11T06:57:34Z,UAE6PT,"24.813972,55.889992",12400,372,124
1549868290,2019-02-11T06:58:10Z,UAE6PT,"24.776312,55.944248",13575,369,133
1549868301,2019-02-11T06:58:21Z,UAE6PT,"24.764301,55.956738",13775,369,138
1549868341,2019-02-11T06:59:01Z,UAE6PT,"24.711319,56.010029",14800,381,136
1549868371,2019-02-11T06:59:31Z,UAE6PT,"24.671906,56.050873",15525,389,136
1549868402,2019-02-11T07:00:02Z,UAE6PT,"24.631208,56.092823",16375,394,136
1549868438,2019-02-11T07:00:38Z,UAE6PT,"24.583786,56.14156",17250,401,136
1549868468,2019-02-11T07:01:08Z,UAE6PT,"24.544992,56.187553",17975,413,130
1549868500,2019-02-11T07:01:40Z,UAE6PT,"24.505646,56.237995",18700,417,130
1549868560,2019-02-11T07:02:40Z,UAE6PT,"24.427355,56.337475",19650,441,130
1549868622,2019-02-11T07:03:42Z,UAE6PT,"24.342361,56.445362",20550,461,130
1549868683,2019-02-11T07:04:43Z,UAE6PT,"24.260372,56.558601",21725,477,125
1549868744,2019-02-11T07:05:44Z,UAE6PT,"24.179398,56.680347",22775,489,125
1549868779,2019-02-11T07:06:19Z,UAE6PT,"24.132633,56.750759",23450,494,126
1549868866,2019-02-11T07:07:46Z,UAE6PT,"24.014053,56.928356",25100,501,126
1549868924,2019-02-11T07:08:44Z,UAE6PT,"23.934219,57.047527",25950,511,126
1549868990,2019-02-11T07:09:50Z,UAE6PT,"23.842484,57.184193",26775,521,126
1549869052,2019-02-11T07:10:52Z,UAE6PT,"23.75491,57.314274",27300,535,126
1549869115,2019-02-11T07:11:55Z,UAE6PT,"23.658918,57.451862",27750,546,128
1549869177,2019-02-11T07:12:57Z,UAE6PT,"23.557571,57.588959",28225,560,128
1549869239,2019-02-11T07:13:59Z,UAE6PT,"23.453568,57.731457",28625,574,128
1549869299,2019-02-11T07:14:59Z,UAE6PT,"23.352951,57.868835",29000,585,128
1549869363,2019-02-11T07:16:03Z,UAE6PT,"23.245834,58.015354",29450,596,126
1549869426,2019-02-11T07:17:06Z,UAE6PT,"23.14801,58.170212",30700,586,124
1549869488,2019-02-11T07:18:08Z,UAE6PT,"23.044556,58.313881",31000,572,133
1549869554,2019-02-11T07:19:14Z,UAE6PT,"22.919632,58.435181",31000,559,142
1549869612,2019-02-11T07:20:12Z,UAE6PT,"22.790543,58.52557",31000,553,148
