Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550038009,2019-02-13T06:06:49Z,UAE6PT,"25.244316,55.368843",0,0,256
1550038050,2019-02-13T06:07:30Z,UAE6PT,"25.244255,55.368282",0,10,50
1550038125,2019-02-13T06:08:45Z,UAE6PT,"25.243469,55.367928",0,10,312
1550038154,2019-02-13T06:09:14Z,UAE6PT,"25.243195,55.368271",0,11,300
1550038170,2019-02-13T06:09:30Z,UAE6PT,"25.24308,55.368488",0,11,300
1550038430,2019-02-13T06:13:50Z,UAE6PT,"25.243298,55.368145",0,19,300
1550038446,2019-02-13T06:14:06Z,UAE6PT,"25.243549,55.367687",0,23,300
1550038455,2019-02-13T06:14:15Z,UAE6PT,"25.243813,55.36729",0,22,309
1550038461,2019-02-13T06:14:21Z,UAE6PT,"25.244041,55.367229",0,22,331
1550038482,2019-02-13T06:14:42Z,UAE6PT,"25.244789,55.367687",0,25,30
1550038490,2019-02-13T06:14:50Z,UAE6PT,"25.245129,55.367916",0,29,30
1550038498,2019-02-13T06:14:58Z,UAE6PT,"25.245518,55.368168",0,32,30
1550038509,2019-02-13T06:15:09Z,UAE6PT,"25.246193,55.368614",0,15,30
1550038819,2019-02-13T06:20:19Z,UAE6PT,"25.238594,55.384624",0,23,118
1550038867,2019-02-13T06:21:07Z,UAE6PT,"25.239372,55.385464",0,9,30
1550038916,2019-02-13T06:21:56Z,UAE6PT,"25.239613,55.385639",0,12,30
1550039021,2019-02-13T06:23:41Z,UAE6PT,"25.243366,55.385105",0,15,300
1550039035,2019-02-13T06:23:55Z,UAE6PT,"25.243938,55.384102",0,17,300
1550039529,2019-02-13T06:32:09Z,UAE6PT,"25.265343,55.349277",0,175,300
1550039536,2019-02-13T06:32:16Z,UAE6PT,"25.268509,55.343372",125,177,300
1550039547,2019-02-13T06:32:27Z,UAE6PT,"25.272837,55.335182",375,178,299
1550039557,2019-02-13T06:32:37Z,UAE6PT,"25.277069,55.326893",675,177,299
1550039565,2019-02-13T06:32:45Z,UAE6PT,"25.280146,55.32098",875,177,299
1550039573,2019-02-13T06:32:53Z,UAE6PT,"25.283266,55.315075",1075,176,300
1550039579,2019-02-13T06:32:59Z,UAE6PT,"25.286478,55.309219",1250,176,301
1550039588,2019-02-13T06:33:08Z,UAE6PT,"25.28952,55.303547",1425,177,298
1550039595,2019-02-13T06:33:15Z,UAE6PT,"25.291691,55.29652",1625,179,278
1550039618,2019-02-13T06:33:38Z,UAE6PT,"25.285904,55.276489",2125,188,239
1550039625,2019-02-13T06:33:45Z,UAE6PT,"25.283615,55.272266",2250,188,239
1550039635,2019-02-13T06:33:55Z,UAE6PT,"25.278992,55.264233",2500,189,236
1550039648,2019-02-13T06:34:08Z,UAE6PT,"25.271393,55.252125",2875,192,234
1550039656,2019-02-13T06:34:16Z,UAE6PT,"25.267019,55.245476",3050,195,233
1550039665,2019-02-13T06:34:25Z,UAE6PT,"25.263201,55.239826",3150,201,233
1550039671,2019-02-13T06:34:31Z,UAE6PT,"25.258686,55.23304",3275,206,233
1550039681,2019-02-13T06:34:41Z,UAE6PT,"25.254456,55.226543",3375,212,234
1550039695,2019-02-13T06:34:55Z,UAE6PT,"25.245186,55.212673",3625,227,228
