Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550386206,2019-02-17T06:50:06Z,UAE6PT,"25.24024,55.373592",0,0,103
1550386611,2019-02-17T06:56:51Z,UAE6PT,"25.240414,55.37331",0,13,300
1550386620,2019-02-17T06:57:00Z,UAE6PT,"25.24053,55.3731",0,16,300
1550386630,2019-02-17T06:57:10Z,UAE6PT,"25.240705,55.372791",0,20,300
1550386639,2019-02-17T06:57:19Z,UAE6PT,"25.240891,55.372467",0,22,300
1550386650,2019-02-17T06:57:30Z,UAE6PT,"25.241123,55.372036",0,23,300
1550386660,2019-02-17T06:57:40Z,UAE6PT,"25.241356,55.371624",0,24,300
1550386667,2019-02-17T06:57:47Z,UAE6PT,"25.241524,55.371311",0,25,300
1550386693,2019-02-17T06:58:13Z,UAE6PT,"25.242176,55.370129",0,28,300
1550386705,2019-02-17T06:58:25Z,UAE6PT,"25.242577,55.369427",0,30,300
1550386722,2019-02-17T06:58:42Z,UAE6PT,"25.243103,55.368477",0,27,300
1550386734,2019-02-17T06:58:54Z,UAE6PT,"25.243359,55.368011",0,23,300
1550386747,2019-02-17T06:59:07Z,UAE6PT,"25.243626,55.367531",0,21,300
1550386754,2019-02-17T06:59:14Z,UAE6PT,"25.243765,55.367325",0,18,303
1550386763,2019-02-17T06:59:23Z,UAE6PT,"25.243998,55.367207",0,18,326
1550386781,2019-02-17T06:59:41Z,UAE6PT,"25.244476,55.367477",0,16,25
1550386837,2019-02-17T07:00:37Z,UAE6PT,"25.246204,55.368587",0,24,30
1550386863,2019-02-17T07:01:03Z,UAE6PT,"25.247154,55.368984",0,23,5
1550386875,2019-02-17T07:01:15Z,UAE6PT,"25.247509,55.368526",0,24,312
1550387074,2019-02-17T07:04:34Z,UAE6PT,"25.247978,55.366638",0,11,286
1550387083,2019-02-17T07:04:43Z,UAE6PT,"25.248049,55.366428",0,14,289
1550387120,2019-02-17T07:05:20Z,UAE6PT,"25.248562,55.365421",0,19,300
1550387376,2019-02-17T07:09:36Z,UAE6PT,"25.251984,55.359268",0,12,300
1550387800,2019-02-17T07:16:40Z,UAE6PT,"25.25218,55.358902",0,11,300
1550387889,2019-02-17T07:18:09Z,UAE6PT,"25.254135,55.35717",0,21,28
1550388373,2019-02-17T07:26:13Z,UAE6PT,"25.255085,55.357754",0,0,30
1550388494,2019-02-17T07:28:14Z,UAE6PT,"25.255089,55.35775",0,0,49
1550388663,2019-02-17T07:31:03Z,UAE6PT,"25.25568,55.358162",0,19,30
