Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550904583,2019-02-23T06:49:43Z,UAE6PT,"25.24238,55.376354",0,9,225
1550904608,2019-02-23T06:50:08Z,UAE6PT,"25.242624,55.376534",0,10,241
1550905000,2019-02-23T06:56:40Z,UAE6PT,"25.242943,55.37674",0,13,300
1550905073,2019-02-23T06:57:53Z,UAE6PT,"25.24415,55.374592",0,20,300
1550905086,2019-02-23T06:58:06Z,UAE6PT,"25.244371,55.374191",0,21,300
1550905098,2019-02-23T06:58:18Z,UAE6PT,"25.244637,55.373699",0,22,300
1550905113,2019-02-23T06:58:33Z,UAE6PT,"25.244965,55.3731",0,23,300
1550905123,2019-02-23T06:58:43Z,UAE6PT,"25.24515,55.372765",0,17,300
1550905144,2019-02-23T06:59:04Z,UAE6PT,"25.245359,55.372391",0,12,300
1550905165,2019-02-23T06:59:25Z,UAE6PT,"25.245472,55.372189",0,0,320
1550905315,2019-02-23T07:01:55Z,UAE6PT,"25.245628,55.371899",0,15,300
1550905326,2019-02-23T07:02:06Z,UAE6PT,"25.24579,55.371597",0,18,300
1550905341,2019-02-23T07:02:21Z,UAE6PT,"25.246071,55.371094",0,22,300
1550905356,2019-02-23T07:02:36Z,UAE6PT,"25.246431,55.370434",0,28,300
1550905367,2019-02-23T07:02:47Z,UAE6PT,"25.246754,55.369862",0,33,300
1550905375,2019-02-23T07:02:55Z,UAE6PT,"25.247047,55.369331",0,29,300
1550905386,2019-02-23T07:03:06Z,UAE6PT,"25.247314,55.368839",0,27,300
1550905396,2019-02-23T07:03:16Z,UAE6PT,"25.247578,55.368271",0,29,295
1550905407,2019-02-23T07:03:27Z,UAE6PT,"25.247726,55.367622",0,29,284
1550905640,2019-02-23T07:07:20Z,UAE6PT,"25.248514,55.365471",0,17,300
1550905838,2019-02-23T07:10:38Z,UAE6PT,"25.249798,55.363171",0,12,300
1550906285,2019-02-23T07:18:05Z,UAE6PT,"25.25176,55.363697",0,0,30
1550906685,2019-02-23T07:24:45Z,UAE6PT,"25.252016,55.363853",0,17,30
1550906695,2019-02-23T07:24:55Z,UAE6PT,"25.25235,55.364075",0,24,30
1550906715,2019-02-23T07:25:15Z,UAE6PT,"25.25275,55.364601",0,17,64
1550906729,2019-02-23T07:25:29Z,UAE6PT,"25.252487,55.364887",0,15,118
1550906792,2019-02-23T07:26:32Z,UAE6PT,"25.249189,55.370926",0,96,120
1550906805,2019-02-23T07:26:45Z,UAE6PT,"25.245325,55.377934",0,137,121
1550906815,2019-02-23T07:26:55Z,UAE6PT,"25.2416,55.384567",0,162,121
1550906831,2019-02-23T07:27:11Z,UAE6PT,"25.235317,55.39571",150,173,121
1550906841,2019-02-23T07:27:21Z,UAE6PT,"25.230568,55.404156",400,176,122
1550906852,2019-02-23T07:27:32Z,UAE6PT,"25.226053,55.412086",650,177,121
1550906862,2019-02-23T07:27:42Z,UAE6PT,"25.221725,55.419617",875,177,121
1550906870,2019-02-23T07:27:50Z,UAE6PT,"25.217672,55.426853",1025,182,122
1550906882,2019-02-23T07:28:02Z,UAE6PT,"25.21257,55.435841",1150,193,122
1550906891,2019-02-23T07:28:11Z,UAE6PT,"25.20813,55.443592",1225,204,121
1550906901,2019-02-23T07:28:21Z,UAE6PT,"25.203009,55.45261",1350,216,122
1550906910,2019-02-23T07:28:30Z,UAE6PT,"25.19751,55.462292",1525,223,121
1550906922,2019-02-23T07:28:42Z,UAE6PT,"25.191284,55.473278",1825,228,121
1550906932,2019-02-23T07:28:52Z,UAE6PT,"25.186157,55.482201",2125,226,122
1550906940,2019-02-23T07:29:00Z,UAE6PT,"25.180847,55.491535",2475,226,121
1550906952,2019-02-23T07:29:12Z,UAE6PT,"25.174845,55.502308",2825,228,120
1550906961,2019-02-23T07:29:21Z,UAE6PT,"25.169167,55.512775",3150,230,121
1550906971,2019-02-23T07:29:31Z,UAE6PT,"25.163681,55.522869",3450,232,120
1550906982,2019-02-23T07:29:42Z,UAE6PT,"25.158039,55.533245",3675,239,121
1550906992,2019-02-23T07:29:52Z,UAE6PT,"25.152267,55.543663",3825,248,121
1550907001,2019-02-23T07:30:01Z,UAE6PT,"25.146774,55.553455",3975,257,121
1550907010,2019-02-23T07:30:10Z,UAE6PT,"25.140535,55.564598",4225,262,121
1550907022,2019-02-23T07:30:22Z,UAE6PT,"25.133057,55.578003",4650,263,121
1550907032,2019-02-23T07:30:32Z,UAE6PT,"25.12706,55.588734",5025,264,121
1550907047,2019-02-23T07:30:47Z,UAE6PT,"25.116795,55.606987",5425,274,122
1550907062,2019-02-23T07:31:02Z,UAE6PT,"25.104506,55.623833",5625,286,133
1550907071,2019-02-23T07:31:11Z,UAE6PT,"25.095381,55.633469",5750,298,136
1550907078,2019-02-23T07:31:18Z,UAE6PT,"25.089066,55.640156",5825,304,136
1550907099,2019-02-23T07:31:39Z,UAE6PT,"25.066053,55.665081",6100,323,135
1550907116,2019-02-23T07:31:56Z,UAE6PT,"25.04805,55.68507",6375,338,134
1550907181,2019-02-23T07:33:01Z,UAE6PT,"24.971132,55.770489",8300,369,134
1550907196,2019-02-23T07:33:16Z,UAE6PT,"24.952652,55.79076",8750,374,135
1550907207,2019-02-23T07:33:27Z,UAE6PT,"24.938454,55.803394",9000,376,146
1550907217,2019-02-23T07:33:37Z,UAE6PT,"24.922718,55.811947",9325,374,158
1550907223,2019-02-23T07:33:43Z,UAE6PT,"24.914566,55.81543",9525,373,158
1550907232,2019-02-23T07:33:52Z,UAE6PT,"24.897627,55.822723",9925,375,158
