Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551248222,2019-02-27T06:17:02Z,UAE6PT,"25.244894,55.369255",0,0,33
1551248276,2019-02-27T06:17:56Z,UAE6PT,"25.245026,55.369022",0,10,120
1551248296,2019-02-27T06:18:16Z,UAE6PT,"25.245186,55.368805",0,10,106
1551248316,2019-02-27T06:18:36Z,UAE6PT,"25.245312,55.368603",0,9,90
1551248337,2019-02-27T06:18:57Z,UAE6PT,"25.245369,55.368374",0,9,73
1551248356,2019-02-27T06:19:16Z,UAE6PT,"25.24538,55.36813",0,9,50
1551248382,2019-02-27T06:19:42Z,UAE6PT,"25.245268,55.367882",0,2,28
1551248631,2019-02-27T06:23:51Z,UAE6PT,"25.245152,55.367889",0,0,71
1551248664,2019-02-27T06:24:24Z,UAE6PT,"25.245396,55.36805",0,12,30
1551248683,2019-02-27T06:24:43Z,UAE6PT,"25.24579,55.368309",0,19,30
1551248693,2019-02-27T06:24:53Z,UAE6PT,"25.246159,55.368565",0,23,30
1551248700,2019-02-27T06:25:00Z,UAE6PT,"25.246399,55.368717",0,24,30
1551249146,2019-02-27T06:32:26Z,UAE6PT,"25.246525,55.380657",0,2,28
1551249277,2019-02-27T06:34:37Z,UAE6PT,"25.246616,55.380589",0,9,28
1551249302,2019-02-27T06:35:02Z,UAE6PT,"25.247074,55.380886",0,18,30
1551249312,2019-02-27T06:35:12Z,UAE6PT,"25.247374,55.381096",0,20,30
1551249318,2019-02-27T06:35:18Z,UAE6PT,"25.247583,55.381123",0,21,14
1551249328,2019-02-27T06:35:28Z,UAE6PT,"25.247807,55.380821",0,18,323
1551249339,2019-02-27T06:35:39Z,UAE6PT,"25.247944,55.380516",0,25,306
1551249347,2019-02-27T06:35:47Z,UAE6PT,"25.24835,55.379772",0,30,300
1551249353,2019-02-27T06:35:53Z,UAE6PT,"25.248997,55.378597",0,54,300
1551249366,2019-02-27T06:36:06Z,UAE6PT,"25.251423,55.374214",0,98,300
1551249378,2019-02-27T06:36:18Z,UAE6PT,"25.254915,55.367985",50,137,301
1551249388,2019-02-27T06:36:28Z,UAE6PT,"25.258732,55.361092",25,163,301
1551249399,2019-02-27T06:36:39Z,UAE6PT,"25.263016,55.353371",125,179,301
1551249409,2019-02-27T06:36:49Z,UAE6PT,"25.267227,55.345459",325,180,300
1551249418,2019-02-27T06:36:58Z,UAE6PT,"25.270929,55.338497",500,182,300
1551249434,2019-02-27T06:37:14Z,UAE6PT,"25.278397,55.325165",850,185,301
1551249444,2019-02-27T06:37:24Z,UAE6PT,"25.282846,55.3172",1100,185,301
1551249454,2019-02-27T06:37:34Z,UAE6PT,"25.287689,55.308636",1275,193,302
1551249464,2019-02-27T06:37:44Z,UAE6PT,"25.293549,55.300701",1350,203,317
1551249474,2019-02-27T06:37:54Z,UAE6PT,"25.301607,55.29533",1450,211,338
1551249484,2019-02-27T06:38:04Z,UAE6PT,"25.311172,55.293579",1575,217,359
