Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549009884,2019-02-01T08:31:24Z,UAE1QH,"-37.004852,174.778885",0,0,340
1549009919,2019-02-01T08:31:59Z,UAE1QH,"-37.005062,174.778976",0,10,343
1549009937,2019-02-01T08:32:17Z,UAE1QH,"-37.005295,174.779129",0,11,354
1549009953,2019-02-01T08:32:33Z,UAE1QH,"-37.005516,174.779205",0,11,14
1549009968,2019-02-01T08:32:48Z,UAE1QH,"-37.005718,174.779205",0,11,30
1549009993,2019-02-01T08:33:13Z,UAE1QH,"-37.006027,174.779068",0,10,64
1549010006,2019-02-01T08:33:26Z,UAE1QH,"-37.00518,174.779037",0,2,70
1549010272,2019-02-01T08:37:52Z,UAE1QH,"-37.006062,174.778946",0,0,70
1549010293,2019-02-01T08:38:13Z,UAE1QH,"-37.005947,174.779404",0,16,73
1549010301,2019-02-01T08:38:21Z,UAE1QH,"-37.005932,174.779724",0,19,81
1549010341,2019-02-01T08:39:01Z,UAE1QH,"-37.007217,174.780167",0,23,202
1549010349,2019-02-01T08:39:09Z,UAE1QH,"-37.007458,174.780045",0,22,202
1549010355,2019-02-01T08:39:15Z,UAE1QH,"-37.007702,174.780029",0,23,191
1549010361,2019-02-01T08:39:21Z,UAE1QH,"-37.007961,174.78009",0,24,177
1549010375,2019-02-01T08:39:35Z,UAE1QH,"-37.008533,174.78035",0,17,163
1549010387,2019-02-01T08:39:47Z,UAE1QH,"-37.008774,174.780487",0,11,160
1549010445,2019-02-01T08:40:45Z,UAE1QH,"-37.008957,174.780777",0,14,135
1549010454,2019-02-01T08:40:54Z,UAE1QH,"-37.009041,174.781021",0,17,123
1549010461,2019-02-01T08:41:01Z,UAE1QH,"-37.009144,174.78125",0,21,120
1549010476,2019-02-01T08:41:16Z,UAE1QH,"-37.009483,174.781998",0,25,118
1549010492,2019-02-01T08:41:32Z,UAE1QH,"-37.010029,174.782654",0,28,140
1549010561,2019-02-01T08:42:41Z,UAE1QH,"-37.009964,174.786743",0,34,70
1549010813,2019-02-01T08:46:53Z,UAE1QH,"-37.00803,174.800644",0,72,250
1549010934,2019-02-01T08:48:54Z,UAE1QH,"-37.037937,174.696289",1875,175,248
1549010940,2019-02-01T08:49:00Z,UAE1QH,"-37.039707,174.690735",2000,176,248
1549010946,2019-02-01T08:49:06Z,UAE1QH,"-37.041569,174.685059",2150,176,248
1549010953,2019-02-01T08:49:13Z,UAE1QH,"-37.043385,174.679398",2275,175,247
1549010959,2019-02-01T08:49:19Z,UAE1QH,"-37.045433,174.673065",2425,177,247
1549010965,2019-02-01T08:49:25Z,UAE1QH,"-37.047272,174.66748",2575,177,247
1549010971,2019-02-01T08:49:31Z,UAE1QH,"-37.049202,174.661545",2700,177,247
1549010980,2019-02-01T08:49:40Z,UAE1QH,"-37.052044,174.652817",2900,178,247
1549010987,2019-02-01T08:49:47Z,UAE1QH,"-37.053818,174.647491",3025,179,247
1549010998,2019-02-01T08:49:58Z,UAE1QH,"-37.057674,174.635681",3175,187,247
1549011005,2019-02-01T08:50:05Z,UAE1QH,"-37.059864,174.629181",3250,193,247
1549011017,2019-02-01T08:50:17Z,UAE1QH,"-37.064102,174.616348",3375,204,247
1549011023,2019-02-01T08:50:23Z,UAE1QH,"-37.066242,174.609711",3450,209,247
1549011029,2019-02-01T08:50:29Z,UAE1QH,"-37.068569,174.602615",3525,215,247
1549011040,2019-02-01T08:50:40Z,UAE1QH,"-37.073177,174.588333",3700,227,248
1549011047,2019-02-01T08:50:47Z,UAE1QH,"-37.075645,174.580643",3800,232,248
1549011059,2019-02-01T08:50:59Z,UAE1QH,"-37.080734,174.564804",3975,245,248
1549011070,2019-02-01T08:51:10Z,UAE1QH,"-37.085888,174.548508",4125,256,248
1549011078,2019-02-01T08:51:18Z,UAE1QH,"-37.088516,174.540314",4225,262,248
1549011090,2019-02-01T08:51:30Z,UAE1QH,"-37.094009,174.522736",4575,267,248
1549011102,2019-02-01T08:51:42Z,UAE1QH,"-37.099434,174.505402",5000,268,248
1549011113,2019-02-01T08:51:53Z,UAE1QH,"-37.104881,174.487961",5425,269,249
1549011125,2019-02-01T08:52:05Z,UAE1QH,"-37.11026,174.46991",5950,267,249
1549011137,2019-02-01T08:52:17Z,UAE1QH,"-37.115494,174.451843",6425,267,249
