Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549094955,2019-02-02T08:09:15Z,UAE1QH,"-37.005199,174.78009",0,11,151
1549094989,2019-02-02T08:09:49Z,UAE1QH,"-37.005684,174.780167",0,10,56
1549095022,2019-02-02T08:10:22Z,UAE1QH,"-37.00589,174.779709",0,10,73
1549095036,2019-02-02T08:10:36Z,UAE1QH,"-37.00592,174.779465",0,10,70
1549095156,2019-02-02T08:12:36Z,UAE1QH,"-37.005981,174.779251",0,0,270
1549095364,2019-02-02T08:16:04Z,UAE1QH,"-37.005936,174.779465",0,10,73
1549095377,2019-02-02T08:16:17Z,UAE1QH,"-37.005936,174.779739",0,14,84
1549095418,2019-02-02T08:16:58Z,UAE1QH,"-37.00705,174.780319",0,20,194
1549095432,2019-02-02T08:17:12Z,UAE1QH,"-37.007271,174.780167",0,11,202
1549095453,2019-02-02T08:17:33Z,UAE1QH,"-37.007572,174.780029",0,13,199
1549095463,2019-02-02T08:17:43Z,UAE1QH,"-37.00779,174.780029",0,16,188
1549095471,2019-02-02T08:17:51Z,UAE1QH,"-37.008018,174.780121",0,17,171
1549095483,2019-02-02T08:18:03Z,UAE1QH,"-37.008236,174.780243",0,15,163
1549095493,2019-02-02T08:18:13Z,UAE1QH,"-37.008511,174.780365",0,14,160
1549095505,2019-02-02T08:18:25Z,UAE1QH,"-37.008762,174.780487",0,16,160
1549095517,2019-02-02T08:18:37Z,UAE1QH,"-37.008968,174.780792",0,18,135
1549095527,2019-02-02T08:18:47Z,UAE1QH,"-37.009087,174.781128",0,17,120
1549095536,2019-02-02T08:18:56Z,UAE1QH,"-37.009216,174.781403",0,19,118
1549095549,2019-02-02T08:19:09Z,UAE1QH,"-37.009449,174.781891",0,21,118
1549095564,2019-02-02T08:19:24Z,UAE1QH,"-37.009914,174.782532",0,25,135
1549095576,2019-02-02T08:19:36Z,UAE1QH,"-37.010448,174.782822",0,26,154
1549095588,2019-02-02T08:19:48Z,UAE1QH,"-37.010822,174.783417",0,26,120
1549095675,2019-02-02T08:21:15Z,UAE1QH,"-37.009064,174.7901",0,18,70
1549095690,2019-02-02T08:21:30Z,UAE1QH,"-37.008659,174.791595",0,19,70
1549095811,2019-02-02T08:23:31Z,UAE1QH,"-37.005352,174.803513",0,30,70
1549095898,2019-02-02T08:24:58Z,UAE1QH,"-37.006863,174.805099",0,26,219
1549095964,2019-02-02T08:26:04Z,UAE1QH,"-37.015545,174.773438",0,173,251
1549095970,2019-02-02T08:26:10Z,UAE1QH,"-37.017059,174.767883",100,173,251
1549095977,2019-02-02T08:26:17Z,UAE1QH,"-37.018707,174.761795",225,174,251
1549095983,2019-02-02T08:26:23Z,UAE1QH,"-37.020218,174.756195",375,174,251
1549095989,2019-02-02T08:26:29Z,UAE1QH,"-37.021786,174.750214",525,176,251
1549095995,2019-02-02T08:26:35Z,UAE1QH,"-37.023422,174.744217",700,176,251
1549096001,2019-02-02T08:26:41Z,UAE1QH,"-37.025043,174.738388",850,177,250
1549096007,2019-02-02T08:26:47Z,UAE1QH,"-37.026672,174.732651",975,178,250
1549096013,2019-02-02T08:26:53Z,UAE1QH,"-37.028366,174.726791",1075,182,250
1549096019,2019-02-02T08:26:59Z,UAE1QH,"-37.030197,174.720367",1125,190,250
1549096025,2019-02-02T08:27:05Z,UAE1QH,"-37.031933,174.714203",1200,195,250
1549096031,2019-02-02T08:27:11Z,UAE1QH,"-37.03384,174.707581",1250,201,250
1549096037,2019-02-02T08:27:17Z,UAE1QH,"-37.035736,174.700851",1325,207,250
1549096043,2019-02-02T08:27:23Z,UAE1QH,"-37.0378,174.693359",1400,214,250
1549096049,2019-02-02T08:27:29Z,UAE1QH,"-37.039894,174.685837",1450,221,250
1549096055,2019-02-02T08:27:35Z,UAE1QH,"-37.041897,174.67868",1525,228,251
1549096063,2019-02-02T08:27:43Z,UAE1QH,"-37.044037,174.670853",1625,233,251
