Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550909004,2019-02-23T08:03:24Z,UAE1QH,"-37.004608,174.7798",0,0,222
1550909093,2019-02-23T08:04:53Z,UAE1QH,"-37.004814,174.779907",0,9,340
1550909113,2019-02-23T08:05:13Z,UAE1QH,"-37.00502,174.780014",0,9,348
1550909174,2019-02-23T08:06:14Z,UAE1QH,"-37.005615,174.780182",0,9,172
1550909212,2019-02-23T08:06:52Z,UAE1QH,"-37.005867,174.779922",0,2,73
1550909238,2019-02-23T08:07:18Z,UAE1QH,"-37.005909,174.779663",0,2,81
1550909400,2019-02-23T08:10:00Z,UAE1QH,"-37.006931,174.780334",0,2,191
1550909421,2019-02-23T08:10:21Z,UAE1QH,"-37.007149,174.780258",0,10,196
1550909524,2019-02-23T08:12:04Z,UAE1QH,"-37.007309,174.780182",0,0,230
1550909672,2019-02-23T08:14:32Z,UAE1QH,"-37.007549,174.78006",0,11,199
1550909685,2019-02-23T08:14:45Z,UAE1QH,"-37.007767,174.780045",0,14,188
1550909694,2019-02-23T08:14:54Z,UAE1QH,"-37.007969,174.780106",0,15,177
1550909709,2019-02-23T08:15:09Z,UAE1QH,"-37.008385,174.780304",0,18,163
1550909718,2019-02-23T08:15:18Z,UAE1QH,"-37.008636,174.780411",0,17,163
1550909728,2019-02-23T08:15:28Z,UAE1QH,"-37.008877,174.780624",0,19,149
1550909736,2019-02-23T08:15:36Z,UAE1QH,"-37.009041,174.78093",0,19,129
1550909743,2019-02-23T08:15:43Z,UAE1QH,"-37.00914,174.781158",0,19,120
1550909749,2019-02-23T08:15:49Z,UAE1QH,"-37.009243,174.781403",0,20,118
1550909764,2019-02-23T08:16:04Z,UAE1QH,"-37.009495,174.781982",0,21,118
1550910015,2019-02-23T08:20:15Z,UAE1QH,"-37.006409,174.799728",0,15,70
1550910026,2019-02-23T08:20:26Z,UAE1QH,"-37.006176,174.800552",0,30,70
1550910122,2019-02-23T08:22:02Z,UAE1QH,"-37.00597,174.80571",0,25,202
1550910146,2019-02-23T08:22:26Z,UAE1QH,"-37.006851,174.804962",0,23,227
1550910217,2019-02-23T08:23:37Z,UAE1QH,"-37.008076,174.800583",0,70,250
1550910261,2019-02-23T08:24:21Z,UAE1QH,"-37.016739,174.769043",425,173,251
1550910267,2019-02-23T08:24:27Z,UAE1QH,"-37.018291,174.763046",575,171,251
1550910273,2019-02-23T08:24:33Z,UAE1QH,"-37.019897,174.757126",750,171,251
1550910279,2019-02-23T08:24:39Z,UAE1QH,"-37.021503,174.751282",900,171,250
1550910285,2019-02-23T08:24:45Z,UAE1QH,"-37.023041,174.745789",1050,171,250
1550910292,2019-02-23T08:24:52Z,UAE1QH,"-37.02475,174.739655",1225,170,250
1550910299,2019-02-23T08:24:59Z,UAE1QH,"-37.026253,174.734207",1400,170,250
1550910310,2019-02-23T08:25:10Z,UAE1QH,"-37.029465,174.722824",1550,179,250
1550910317,2019-02-23T08:25:17Z,UAE1QH,"-37.031281,174.716232",1600,186,250
1550910328,2019-02-23T08:25:28Z,UAE1QH,"-37.034912,174.7034",1725,200,250
1550910335,2019-02-23T08:25:35Z,UAE1QH,"-37.036869,174.69635",1825,205,250
1550910341,2019-02-23T08:25:41Z,UAE1QH,"-37.038712,174.689636",1925,210,250
1550910347,2019-02-23T08:25:47Z,UAE1QH,"-37.040726,174.682449",2025,216,250
1550910353,2019-02-23T08:25:53Z,UAE1QH,"-37.042648,174.675491",2100,222,250
1550910359,2019-02-23T08:25:59Z,UAE1QH,"-37.044781,174.667923",2175,228,250
1550910365,2019-02-23T08:26:05Z,UAE1QH,"-37.047108,174.659454",2275,236,251
1550910371,2019-02-23T08:26:11Z,UAE1QH,"-37.049389,174.651215",2400,240,251
1550910379,2019-02-23T08:26:19Z,UAE1QH,"-37.051483,174.643448",2575,242,251
1550910390,2019-02-23T08:26:30Z,UAE1QH,"-37.056046,174.626907",3000,246,251
1550910396,2019-02-23T08:26:36Z,UAE1QH,"-37.058376,174.618423",3250,245,251
1550910403,2019-02-23T08:26:43Z,UAE1QH,"-37.060703,174.610016",3500,246,251
1550910409,2019-02-23T08:26:49Z,UAE1QH,"-37.062698,174.601624",3775,244,256
1550910415,2019-02-23T08:26:55Z,UAE1QH,"-37.063541,174.593536",4100,239,268
1550910436,2019-02-23T08:27:16Z,UAE1QH,"-37.056885,174.565887",5200,230,292
1550910443,2019-02-23T08:27:23Z,UAE1QH,"-37.054367,174.55809",5425,230,291
1550910457,2019-02-23T08:27:37Z,UAE1QH,"-37.048786,174.539078",5900,235,289
1550910470,2019-02-23T08:27:50Z,UAE1QH,"-37.044342,174.523148",6225,240,288
1550910482,2019-02-23T08:28:02Z,UAE1QH,"-37.040127,174.507614",6650,240,288
1550910494,2019-02-23T08:28:14Z,UAE1QH,"-37.035656,174.491608",7125,238,289
1550910506,2019-02-23T08:28:26Z,UAE1QH,"-37.031143,174.475555",7550,239,289
1550910519,2019-02-23T08:28:39Z,UAE1QH,"-37.026535,174.459381",7900,243,289
1550910530,2019-02-23T08:28:50Z,UAE1QH,"-37.02169,174.442703",8300,245,289
1550910543,2019-02-23T08:29:03Z,UAE1QH,"-37.016895,174.426224",8650,249,289
1550910555,2019-02-23T08:29:15Z,UAE1QH,"-37.012161,174.409943",9000,250,289
1550910567,2019-02-23T08:29:27Z,UAE1QH,"-37.007172,174.392593",9425,251,289
1550910579,2019-02-23T08:29:39Z,UAE1QH,"-37.00251,174.376495",9850,251,289
1550910592,2019-02-23T08:29:52Z,UAE1QH,"-36.998749,174.359512",10225,252,281
1550910599,2019-02-23T08:29:59Z,UAE1QH,"-36.997467,174.350403",10400,253,279
1550910605,2019-02-23T08:30:05Z,UAE1QH,"-36.996319,174.341736",10525,257,279
1550910619,2019-02-23T08:30:19Z,UAE1QH,"-36.993027,174.318665",10650,272,280
1550910632,2019-02-23T08:30:32Z,UAE1QH,"-36.990097,174.299438",10775,283,280
1550910644,2019-02-23T08:30:44Z,UAE1QH,"-36.986916,174.278564",10900,295,281
1550910656,2019-02-23T08:30:56Z,UAE1QH,"-36.983612,174.257248",11025,306,280
1550910668,2019-02-23T08:31:08Z,UAE1QH,"-36.980259,174.235764",11125,316,280
1550910681,2019-02-23T08:31:21Z,UAE1QH,"-36.97686,174.213852",11250,326,280
1550910693,2019-02-23T08:31:33Z,UAE1QH,"-36.973343,174.191101",11375,336,280
1550910705,2019-02-23T08:31:45Z,UAE1QH,"-36.969784,174.167877",11525,345,280
1550910717,2019-02-23T08:31:57Z,UAE1QH,"-36.965927,174.143005",11850,347,280
1550910729,2019-02-23T08:32:09Z,UAE1QH,"-36.962246,174.119217",12300,347,280
1550910763,2019-02-23T08:32:43Z,UAE1QH,"-36.951958,174.052994",13250,353,280
1550910793,2019-02-23T08:33:13Z,UAE1QH,"-36.942368,173.991379",14125,358,281
1550910827,2019-02-23T08:33:47Z,UAE1QH,"-36.931614,173.922775",15050,362,281
1550910857,2019-02-23T08:34:17Z,UAE1QH,"-36.921799,173.860519",15875,366,281
1550910891,2019-02-23T08:34:51Z,UAE1QH,"-36.910664,173.790329",16750,371,281
1550910924,2019-02-23T08:35:24Z,UAE1QH,"-36.899586,173.720352",17775,372,281
1550910959,2019-02-23T08:35:59Z,UAE1QH,"-36.888039,173.648285",18600,377,281
1550911021,2019-02-23T08:37:01Z,UAE1QH,"-36.866814,173.516098",20350,377,281
1550911081,2019-02-23T08:38:01Z,UAE1QH,"-36.845444,173.38382",21550,387,281
1550911143,2019-02-23T08:39:03Z,UAE1QH,"-36.823517,173.248901",22725,396,281
1550911205,2019-02-23T08:40:05Z,UAE1QH,"-36.80072,173.109909",24000,399,281
1550911267,2019-02-23T08:41:07Z,UAE1QH,"-36.777512,172.969437",25050,404,281
1550911328,2019-02-23T08:42:08Z,UAE1QH,"-36.753754,172.827072",25950,410,281
1550911391,2019-02-23T08:43:11Z,UAE1QH,"-36.729721,172.68425",26875,414,281
1550911456,2019-02-23T08:44:16Z,UAE1QH,"-36.703552,172.529358",27675,421,281
1550911520,2019-02-23T08:45:20Z,UAE1QH,"-36.67749,172.376404",29350,401,281
1550911596,2019-02-23T08:46:36Z,UAE1QH,"-36.648651,172.209381",30000,409,282
1550911659,2019-02-23T08:47:39Z,UAE1QH,"-36.62796,172.090073",30000,413,282
1550911721,2019-02-23T08:48:41Z,UAE1QH,"-36.603977,171.952744",30000,409,282
1550911785,2019-02-23T08:49:45Z,UAE1QH,"-36.577351,171.801514",30000,408,282
1550911846,2019-02-23T08:50:46Z,UAE1QH,"-36.547619,171.633911",30000,407,281
1550911910,2019-02-23T08:51:50Z,UAE1QH,"-36.521439,171.487717",30000,410,281
1550911984,2019-02-23T08:53:04Z,UAE1QH,"-36.49168,171.3228",30000,410,281
1550912046,2019-02-23T08:54:06Z,UAE1QH,"-36.464088,171.171204",30000,416,282
1550912098,2019-02-23T08:54:58Z,UAE1QH,"-36.442474,171.053177",30000,419,282
1550912212,2019-02-23T08:56:52Z,UAE1QH,"-36.392303,170.781601",30000,420,282
1550918326,2019-02-23T10:38:46Z,UAE1QH,"-34.423798,155.410889",34000,488,283
1550918389,2019-02-23T10:39:49Z,UAE1QH,"-34.390503,155.241531",34000,488,283
1550918455,2019-02-23T10:40:55Z,UAE1QH,"-34.365692,155.06955",34000,485,276
1550918519,2019-02-23T10:41:59Z,UAE1QH,"-34.347702,154.896576",34000,486,277
1550918582,2019-02-23T10:43:02Z,UAE1QH,"-34.32967,154.724579",34000,488,277
1550918648,2019-02-23T10:44:08Z,UAE1QH,"-34.310852,154.547699",34000,489,277
1550918712,2019-02-23T10:45:12Z,UAE1QH,"-34.292084,154.373779",34000,488,277
1550918746,2019-02-23T10:45:46Z,UAE1QH,"-34.282093,154.281631",34000,487,277
1550918834,2019-02-23T10:47:14Z,UAE1QH,"-34.256023,154.04509",34000,490,277
1550918896,2019-02-23T10:48:16Z,UAE1QH,"-34.237167,153.877136",34000,491,277
1550918956,2019-02-23T10:49:16Z,UAE1QH,"-34.21843,153.711517",34000,490,277
1550919018,2019-02-23T10:50:18Z,UAE1QH,"-34.199089,153.54332",34000,490,277
1550919080,2019-02-23T10:51:20Z,UAE1QH,"-34.179817,153.377502",34000,491,277
1550919140,2019-02-23T10:52:20Z,UAE1QH,"-34.160404,153.212189",34000,492,278
1550919203,2019-02-23T10:53:23Z,UAE1QH,"-34.14048,153.044647",34000,492,278
1550919264,2019-02-23T10:54:24Z,UAE1QH,"-34.120369,152.877792",34000,492,278
1550919325,2019-02-23T10:55:25Z,UAE1QH,"-34.100071,152.711212",34000,491,278
1550919361,2019-02-23T10:56:01Z,UAE1QH,"-34.088108,152.613953",34000,492,278
1550919455,2019-02-23T10:57:35Z,UAE1QH,"-34.062653,152.359131",34000,493,276
1550919517,2019-02-23T10:58:37Z,UAE1QH,"-34.046494,152.188843",34000,494,276
1550919579,2019-02-23T10:59:39Z,UAE1QH,"-34.030106,152.020233",34000,494,276
1550919643,2019-02-23T11:00:43Z,UAE1QH,"-34.012508,151.845016",34000,495,276
1550919700,2019-02-23T11:01:40Z,UAE1QH,"-33.996552,151.687897",34000,497,276
1550919779,2019-02-23T11:02:59Z,UAE1QH,"-33.974121,151.470642",34000,499,277
1550919840,2019-02-23T11:04:00Z,UAE1QH,"-33.956226,151.299759",34000,500,277
1550919906,2019-02-23T11:05:06Z,UAE1QH,"-33.928482,151.122833",34000,505,286
1550919966,2019-02-23T11:06:06Z,UAE1QH,"-33.885933,150.961243",34000,505,287
1550920028,2019-02-23T11:07:08Z,UAE1QH,"-33.84301,150.796844",34000,505,287
1550920095,2019-02-23T11:08:15Z,UAE1QH,"-33.79567,150.617752",34000,503,287
1550920161,2019-02-23T11:09:21Z,UAE1QH,"-33.749084,150.442627",34000,502,287
1550920224,2019-02-23T11:10:24Z,UAE1QH,"-33.703682,150.272949",34000,503,287
1550920287,2019-02-23T11:11:27Z,UAE1QH,"-33.658386,150.106537",34000,505,288
1550920349,2019-02-23T11:12:29Z,UAE1QH,"-33.612991,149.94046",34000,506,288
1550920410,2019-02-23T11:13:30Z,UAE1QH,"-33.568913,149.780212",34000,506,288
1550920475,2019-02-23T11:14:35Z,UAE1QH,"-33.520779,149.606262",34000,507,288
1550920541,2019-02-23T11:15:41Z,UAE1QH,"-33.471954,149.430984",34000,510,288
1550920601,2019-02-23T11:16:41Z,UAE1QH,"-33.426556,149.268829",34000,511,288
1550920666,2019-02-23T11:17:46Z,UAE1QH,"-33.377197,149.093643",34000,511,288
1550920727,2019-02-23T11:18:47Z,UAE1QH,"-33.331512,148.932419",34000,510,288
