Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551168885,2019-02-26T08:14:45Z,UAE1QH,"-37.004608,174.7798",0,0,90
1551168923,2019-02-26T08:15:23Z,UAE1QH,"-37.004829,174.779922",0,9,345
1551168942,2019-02-26T08:15:42Z,UAE1QH,"-37.005043,174.780045",0,10,357
1551168964,2019-02-26T08:16:04Z,UAE1QH,"-37.005341,174.780136",0,11,25
1551168982,2019-02-26T08:16:22Z,UAE1QH,"-37.005619,174.78006",0,11,50
1551169009,2019-02-26T08:16:49Z,UAE1QH,"-37.005852,174.779724",0,10,67
1551169029,2019-02-26T08:17:09Z,UAE1QH,"-37.005943,174.779388",0,10,70
1551169047,2019-02-26T08:17:27Z,UAE1QH,"-37.006004,174.779175",0,0,259
1551169232,2019-02-26T08:20:32Z,UAE1QH,"-37.006004,174.77919",0,0,149
1551169391,2019-02-26T08:23:11Z,UAE1QH,"-37.005932,174.779495",0,13,73
1551169398,2019-02-26T08:23:18Z,UAE1QH,"-37.005947,174.779724",0,16,84
1551169438,2019-02-26T08:23:58Z,UAE1QH,"-37.007072,174.780243",0,21,194
1551169449,2019-02-26T08:24:09Z,UAE1QH,"-37.007412,174.780045",0,20,202
1551169457,2019-02-26T08:24:17Z,UAE1QH,"-37.007641,174.779999",0,21,191
1551169466,2019-02-26T08:24:26Z,UAE1QH,"-37.008015,174.780106",0,22,171
1551169476,2019-02-26T08:24:36Z,UAE1QH,"-37.008419,174.780289",0,23,163
1551169483,2019-02-26T08:24:43Z,UAE1QH,"-37.008728,174.780472",0,20,157
1551169491,2019-02-26T08:24:51Z,UAE1QH,"-37.0089,174.780701",0,20,143
1551169497,2019-02-26T08:24:57Z,UAE1QH,"-37.008991,174.78093",0,18,129
1551169509,2019-02-26T08:25:09Z,UAE1QH,"-37.009109,174.781174",0,10,123
1551169538,2019-02-26T08:25:38Z,UAE1QH,"-37.009228,174.781433",0,9,120
1551169557,2019-02-26T08:25:57Z,UAE1QH,"-37.009335,174.781662",0,11,118
1551169866,2019-02-26T08:31:06Z,UAE1QH,"-37.006451,174.799484",0,17,70
1551169873,2019-02-26T08:31:13Z,UAE1QH,"-37.006199,174.800385",0,17,70
1551170049,2019-02-26T08:34:09Z,UAE1QH,"-37.007961,174.800888",0,72,250
1551170093,2019-02-26T08:34:53Z,UAE1QH,"-37.017059,174.768173",25,171,251
1551170099,2019-02-26T08:34:59Z,UAE1QH,"-37.018524,174.762573",125,172,251
1551170115,2019-02-26T08:35:15Z,UAE1QH,"-37.02269,174.748123",475,174,249
1551170127,2019-02-26T08:35:27Z,UAE1QH,"-37.02602,174.736298",800,175,250
1551170133,2019-02-26T08:35:33Z,UAE1QH,"-37.027634,174.730484",925,176,250
1551170139,2019-02-26T08:35:39Z,UAE1QH,"-37.029232,174.724716",1000,181,251
1551170145,2019-02-26T08:35:45Z,UAE1QH,"-37.030884,174.718735",1075,186,251
1551170157,2019-02-26T08:35:57Z,UAE1QH,"-37.034492,174.705551",1200,198,250
1551170163,2019-02-26T08:36:03Z,UAE1QH,"-37.036285,174.699097",1275,205,250
1551170169,2019-02-26T08:36:09Z,UAE1QH,"-37.038265,174.691925",1350,210,250
1551170175,2019-02-26T08:36:15Z,UAE1QH,"-37.040222,174.684952",1475,214,250
1551170181,2019-02-26T08:36:21Z,UAE1QH,"-37.042175,174.67778",1575,221,250
1551170187,2019-02-26T08:36:27Z,UAE1QH,"-37.04427,174.670197",1650,227,251
1551170193,2019-02-26T08:36:33Z,UAE1QH,"-37.046448,174.662338",1725,233,251
1551170199,2019-02-26T08:36:39Z,UAE1QH,"-37.048599,174.654617",1825,240,250
1551170212,2019-02-26T08:36:52Z,UAE1QH,"-37.053116,174.638138",2025,251,251
1551170218,2019-02-26T08:36:58Z,UAE1QH,"-37.055328,174.630142",2175,256,250
1551170225,2019-02-26T08:37:05Z,UAE1QH,"-37.057816,174.621124",2350,259,251
1551170235,2019-02-26T08:37:15Z,UAE1QH,"-37.062332,174.604523",2875,256,251
1551170241,2019-02-26T08:37:21Z,UAE1QH,"-37.064758,174.595596",3200,253,251
1551170248,2019-02-26T08:37:28Z,UAE1QH,"-37.067001,174.587357",3450,253,251
1551170255,2019-02-26T08:37:35Z,UAE1QH,"-37.069473,174.578308",3675,256,251
1551170267,2019-02-26T08:37:47Z,UAE1QH,"-37.074234,174.560776",4025,262,251
1551170279,2019-02-26T08:37:59Z,UAE1QH,"-37.078949,174.54332",4475,264,251
1551170285,2019-02-26T08:38:05Z,UAE1QH,"-37.081329,174.534653",4725,263,251
1551170291,2019-02-26T08:38:11Z,UAE1QH,"-37.08371,174.526001",4925,265,251
1551170309,2019-02-26T08:38:29Z,UAE1QH,"-37.091473,174.498947",5550,269,249
1551170321,2019-02-26T08:38:41Z,UAE1QH,"-37.096802,174.481598",5925,272,248
