Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551341653,2019-02-28T08:14:13Z,UAE1QH,"-37.00555,174.780334",0,9,47
1551341696,2019-02-28T08:14:56Z,UAE1QH,"-37.00584,174.779785",0,10,70
1551341715,2019-02-28T08:15:15Z,UAE1QH,"-37.005924,174.77951",0,10,70
1551341731,2019-02-28T08:15:31Z,UAE1QH,"-37.005981,174.779266",0,9,70
1551341761,2019-02-28T08:16:01Z,UAE1QH,"-37.005981,174.779236",0,0,270
1551341776,2019-02-28T08:16:16Z,UAE1QH,"-37.005936,174.779495",0,12,73
1551341786,2019-02-28T08:16:26Z,UAE1QH,"-37.005924,174.779709",0,13,81
1551341792,2019-02-28T08:16:32Z,UAE1QH,"-37.005981,174.779236",0,14,87
1551341856,2019-02-28T08:17:36Z,UAE1QH,"-37.006958,174.780365",0,10,191
1551341877,2019-02-28T08:17:57Z,UAE1QH,"-37.007195,174.780228",0,11,205
1551341975,2019-02-28T08:19:35Z,UAE1QH,"-37.007343,174.780182",0,0,222
1551342106,2019-02-28T08:21:46Z,UAE1QH,"-37.007641,174.779999",0,16,196
1551342116,2019-02-28T08:21:56Z,UAE1QH,"-37.007915,174.780029",0,19,182
1551342125,2019-02-28T08:22:05Z,UAE1QH,"-37.008213,174.780197",0,21,163
1551342134,2019-02-28T08:22:14Z,UAE1QH,"-37.008484,174.780334",0,18,160
1551342144,2019-02-28T08:22:24Z,UAE1QH,"-37.008751,174.780457",0,19,157
1551342152,2019-02-28T08:22:32Z,UAE1QH,"-37.008949,174.780685",0,19,143
1551342159,2019-02-28T08:22:39Z,UAE1QH,"-37.009064,174.780945",0,19,126
1551342165,2019-02-28T08:22:45Z,UAE1QH,"-37.009132,174.781174",0,18,118
1551342172,2019-02-28T08:22:52Z,UAE1QH,"-37.009274,174.781494",0,18,118
1551342178,2019-02-28T08:22:58Z,UAE1QH,"-37.007732,174.779999",0,18,118
1551342489,2019-02-28T08:28:09Z,UAE1QH,"-37.006397,174.799683",0,21,70
1551342497,2019-02-28T08:28:17Z,UAE1QH,"-37.00629,174.80011",0,22,70
1551342505,2019-02-28T08:28:25Z,UAE1QH,"-37.006199,174.800415",0,23,70
