Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549215100,2019-02-03T17:31:40Z,SIA35,"33.942707,-118.410843",0,0,84
1549215196,2019-02-03T17:33:16Z,SIA35,"33.94268,-118.411133",0,10,84
1549215212,2019-02-03T17:33:32Z,SIA35,"33.942661,-118.411362",0,10,81
1549215230,2019-02-03T17:33:50Z,SIA35,"33.942741,-118.411583",0,10,56
1549215245,2019-02-03T17:34:05Z,SIA35,"33.942657,-118.411835",0,11,36
1549215264,2019-02-03T17:34:24Z,SIA35,"33.94249,-118.412048",0,11,22
1549215283,2019-02-03T17:34:43Z,SIA35,"33.942318,-118.41227",0,2,343
1549215362,2019-02-03T17:36:02Z,SIA35,"33.942181,-118.412186",0,0,351
1549215504,2019-02-03T17:38:24Z,SIA35,"33.942421,-118.412201",0,14,351
1549215519,2019-02-03T17:38:39Z,SIA35,"33.942623,-118.41246",0,18,320
1549215526,2019-02-03T17:38:46Z,SIA35,"33.942623,-118.412788",0,19,286
1549215537,2019-02-03T17:38:57Z,SIA35,"33.942696,-118.413239",0,21,286
1549215544,2019-02-03T17:39:04Z,SIA35,"33.942924,-118.413338",0,20,320
1549215552,2019-02-03T17:39:12Z,SIA35,"33.943222,-118.413322",0,19,348
1549215558,2019-02-03T17:39:18Z,SIA35,"33.943439,-118.413338",0,20,354
1549215564,2019-02-03T17:39:24Z,SIA35,"33.943657,-118.413361",0,21,351
1549215570,2019-02-03T17:39:30Z,SIA35,"33.943886,-118.413406",0,22,351
1549215577,2019-02-03T17:39:37Z,SIA35,"33.944138,-118.413437",0,23,351
1549215583,2019-02-03T17:39:43Z,SIA35,"33.944412,-118.413475",0,24,354
1549215595,2019-02-03T17:39:55Z,SIA35,"33.944996,-118.413559",0,26,351
1549215605,2019-02-03T17:40:05Z,SIA35,"33.945454,-118.413628",0,28,351
1549215619,2019-02-03T17:40:19Z,SIA35,"33.946312,-118.41375",0,31,354
1549215625,2019-02-03T17:40:25Z,SIA35,"33.94669,-118.413795",0,31,351
1549215631,2019-02-03T17:40:31Z,SIA35,"33.947056,-118.413857",0,28,351
1549215637,2019-02-03T17:40:37Z,SIA35,"33.947357,-118.41391",0,25,354
1549215646,2019-02-03T17:40:46Z,SIA35,"33.947708,-118.41391",0,23,357
1549215654,2019-02-03T17:40:54Z,SIA35,"33.947906,-118.413666",0,25,33
1549215661,2019-02-03T17:41:01Z,SIA35,"33.947903,-118.413208",0,21,75
1549215669,2019-02-03T17:41:09Z,SIA35,"33.947918,-118.412949",0,21,81
1549215676,2019-02-03T17:41:16Z,SIA35,"33.947964,-118.412544",0,22,81
1549215683,2019-02-03T17:41:23Z,SIA35,"33.947998,-118.412231",0,22,81
1549215696,2019-02-03T17:41:36Z,SIA35,"33.948063,-118.411613",0,24,84
1549215706,2019-02-03T17:41:46Z,SIA35,"33.948128,-118.410973",0,24,84
1549215719,2019-02-03T17:41:59Z,SIA35,"33.948166,-118.410645",0,2,81
1549215843,2019-02-03T17:44:03Z,SIA35,"33.948208,-118.410431",0,13,81
1549215852,2019-02-03T17:44:12Z,SIA35,"33.948231,-118.410187",0,15,81
1549215867,2019-02-03T17:44:27Z,SIA35,"33.94828,-118.409676",0,19,84
1549215877,2019-02-03T17:44:37Z,SIA35,"33.948338,-118.409172",0,21,84
1549215886,2019-02-03T17:44:46Z,SIA35,"33.948372,-118.408806",0,22,84
1549215896,2019-02-03T17:44:56Z,SIA35,"33.948418,-118.40831",0,24,84
1549215908,2019-02-03T17:45:08Z,SIA35,"33.948486,-118.4076",0,26,84
1549215916,2019-02-03T17:45:16Z,SIA35,"33.948532,-118.407227",0,28,84
1549215926,2019-02-03T17:45:26Z,SIA35,"33.948612,-118.406456",0,28,84
1549215932,2019-02-03T17:45:32Z,SIA35,"33.948647,-118.406059",0,28,81
1549215939,2019-02-03T17:45:39Z,SIA35,"33.948696,-118.40564",0,29,81
1549215945,2019-02-03T17:45:45Z,SIA35,"33.948738,-118.40522",0,31,84
1549215956,2019-02-03T17:45:56Z,SIA35,"33.94883,-118.404335",0,29,84
1549215962,2019-02-03T17:46:02Z,SIA35,"33.94886,-118.403976",0,29,84
1549215968,2019-02-03T17:46:08Z,SIA35,"33.94891,-118.403557",0,31,84
1549215983,2019-02-03T17:46:23Z,SIA35,"33.949024,-118.402351",0,29,84
1549215990,2019-02-03T17:46:30Z,SIA35,"33.94907,-118.401955",0,25,84
1549215996,2019-02-03T17:46:36Z,SIA35,"33.949104,-118.401634",0,23,84
1549216007,2019-02-03T17:46:47Z,SIA35,"33.949162,-118.401047",0,20,84
1549216013,2019-02-03T17:46:53Z,SIA35,"33.949184,-118.400818",0,16,84
1549216026,2019-02-03T17:47:06Z,SIA35,"33.94923,-118.400398",0,17,84
1549216034,2019-02-03T17:47:14Z,SIA35,"33.949265,-118.400047",0,19,84
1549216041,2019-02-03T17:47:21Z,SIA35,"33.949291,-118.399788",0,22,84
1549216047,2019-02-03T17:47:27Z,SIA35,"33.949326,-118.39949",0,24,81
1549216053,2019-02-03T17:47:33Z,SIA35,"33.949482,-118.399223",0,24,61
1549216061,2019-02-03T17:47:41Z,SIA35,"33.949734,-118.399086",0,25,36
1549216067,2019-02-03T17:47:47Z,SIA35,"33.95015,-118.399132",0,25,2
1549216076,2019-02-03T17:47:56Z,SIA35,"33.950455,-118.399475",0,27,317
1549216083,2019-02-03T17:48:03Z,SIA35,"33.95042,-118.399841",0,25,278
1549216090,2019-02-03T17:48:10Z,SIA35,"33.950348,-118.400146",0,25,264
1549216097,2019-02-03T17:48:17Z,SIA35,"33.950268,-118.401047",0,37,261
1549216104,2019-02-03T17:48:24Z,SIA35,"33.950024,-118.403435",0,72,261
1549216118,2019-02-03T17:48:38Z,SIA35,"33.949196,-118.411728",125,127,263
1549216125,2019-02-03T17:48:45Z,SIA35,"33.948669,-118.416756",100,152,263
1549216131,2019-02-03T17:48:51Z,SIA35,"33.948174,-118.42186",125,167,263
1549216137,2019-02-03T17:48:57Z,SIA35,"33.947662,-118.427521",325,169,263
1549216143,2019-02-03T17:49:03Z,SIA35,"33.947205,-118.433517",600,167,264
1549216149,2019-02-03T17:49:09Z,SIA35,"33.946838,-118.438667",875,165,265
1549216157,2019-02-03T17:49:17Z,SIA35,"33.946499,-118.444176",1150,163,265
1549216167,2019-02-03T17:49:27Z,SIA35,"33.945564,-118.454819",1725,161,263
1549216175,2019-02-03T17:49:35Z,SIA35,"33.944962,-118.460587",1975,161,262
1549216185,2019-02-03T17:49:45Z,SIA35,"33.944138,-118.471458",2125,175,267
1549216192,2019-02-03T17:49:52Z,SIA35,"33.943817,-118.477798",2175,184,266
1549216205,2019-02-03T17:50:05Z,SIA35,"33.943268,-118.490685",2325,200,267
1549216211,2019-02-03T17:50:11Z,SIA35,"33.942993,-118.497864",2400,208,267
1549216221,2019-02-03T17:50:21Z,SIA35,"33.942169,-118.511749",2550,223,263
1549216227,2019-02-03T17:50:27Z,SIA35,"33.941437,-118.519554",2600,233,263
1549216234,2019-02-03T17:50:34Z,SIA35,"33.940723,-118.527771",2700,241,264
1549216246,2019-02-03T17:50:46Z,SIA35,"33.939423,-118.543549",3050,248,264
1549216252,2019-02-03T17:50:52Z,SIA35,"33.93877,-118.552032",3300,248,264
1549216263,2019-02-03T17:51:03Z,SIA35,"33.9375,-118.569328",3725,252,265
1549216271,2019-02-03T17:51:11Z,SIA35,"33.936905,-118.577736",4000,252,265
1549216277,2019-02-03T17:51:17Z,SIA35,"33.936302,-118.5858",4250,253,264
1549216283,2019-02-03T17:51:23Z,SIA35,"33.93565,-118.59375",4500,253,264
1549216295,2019-02-03T17:51:35Z,SIA35,"33.934296,-118.611092",5000,254,264
1549216306,2019-02-03T17:51:46Z,SIA35,"33.932812,-118.628601",5475,256,263
1549216318,2019-02-03T17:51:58Z,SIA35,"33.931458,-118.645058",5900,259,264
1549216330,2019-02-03T17:52:10Z,SIA35,"33.930084,-118.662491",6325,263,264
1549216342,2019-02-03T17:52:22Z,SIA35,"33.928715,-118.680725",6725,266,265
1549216354,2019-02-03T17:52:34Z,SIA35,"33.927475,-118.6978",7200,266,265
1549216366,2019-02-03T17:52:46Z,SIA35,"33.926147,-118.715347",7825,262,264
1549216380,2019-02-03T17:53:00Z,SIA35,"33.924957,-118.732834",8375,261,264
1549216390,2019-02-03T17:53:10Z,SIA35,"33.923592,-118.751221",8825,264,264
1549216403,2019-02-03T17:53:23Z,SIA35,"33.922195,-118.76873",9275,265,264
1549216414,2019-02-03T17:53:34Z,SIA35,"33.920895,-118.785843",9775,263,264
1549216427,2019-02-03T17:53:47Z,SIA35,"33.919418,-118.803963",10150,270,264
