Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550423651,2019-02-17T17:14:11Z,SIA35,"33.944054,-118.411018",0,0,42
1550423695,2019-02-17T17:14:55Z,SIA35,"33.944023,-118.411232",0,9,84
1550423717,2019-02-17T17:15:17Z,SIA35,"33.944008,-118.411491",0,9,84
1550423738,2019-02-17T17:15:38Z,SIA35,"33.94397,-118.411758",0,10,84
1550423755,2019-02-17T17:15:55Z,SIA35,"33.943947,-118.412033",0,10,84
1550423772,2019-02-17T17:16:12Z,SIA35,"33.943932,-118.412285",0,10,81
1550423785,2019-02-17T17:16:25Z,SIA35,"33.943909,-118.412506",0,10,81
1550423808,2019-02-17T17:16:48Z,SIA35,"33.943932,-118.412788",0,9,64
1550423825,2019-02-17T17:17:05Z,SIA35,"33.943958,-118.413017",0,9,33
1550423843,2019-02-17T17:17:23Z,SIA35,"33.943798,-118.413231",0,11,14
1550423861,2019-02-17T17:17:41Z,SIA35,"33.943554,-118.413376",0,10,354
1550423896,2019-02-17T17:18:16Z,SIA35,"33.943348,-118.413361",0,0,180
1550424077,2019-02-17T17:21:17Z,SIA35,"33.943565,-118.413521",0,10,351
1550424096,2019-02-17T17:21:36Z,SIA35,"33.943863,-118.413574",0,11,351
1550424110,2019-02-17T17:21:50Z,SIA35,"33.944088,-118.41362",0,13,351
1550424121,2019-02-17T17:22:01Z,SIA35,"33.944344,-118.413666",0,14,354
1550424133,2019-02-17T17:22:13Z,SIA35,"33.944599,-118.413719",0,16,354
1550424155,2019-02-17T17:22:35Z,SIA35,"33.94524,-118.413834",0,19,351
1550424169,2019-02-17T17:22:49Z,SIA35,"33.945786,-118.413918",0,25,351
1550424176,2019-02-17T17:22:56Z,SIA35,"33.946102,-118.413979",0,27,351
1550424187,2019-02-17T17:23:07Z,SIA35,"33.946724,-118.414078",0,25,351
1550424199,2019-02-17T17:23:19Z,SIA35,"33.947216,-118.414162",0,24,354
1550424205,2019-02-17T17:23:25Z,SIA35,"33.947578,-118.413918",0,31,357
1550424218,2019-02-17T17:23:38Z,SIA35,"33.947788,-118.413712",0,21,59
1550424227,2019-02-17T17:23:47Z,SIA35,"33.947937,-118.41304",0,19,78
1550424240,2019-02-17T17:24:00Z,SIA35,"33.947983,-118.41259",0,20,81
1550424248,2019-02-17T17:24:08Z,SIA35,"33.948021,-118.412216",0,20,81
1550424257,2019-02-17T17:24:17Z,SIA35,"33.948055,-118.41185",0,21,84
1550424267,2019-02-17T17:24:27Z,SIA35,"33.948109,-118.41143",0,21,81
