Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549154544,2019-02-03T00:42:24Z,SIA36,"1.358368,103.984444",0,31,202
1549154572,2019-02-03T00:42:52Z,SIA36,"1.356686,103.983734",0,34,202
1549155167,2019-02-03T00:52:47Z,SIA36,"1.329609,103.985336",0,19,25
1549155250,2019-02-03T00:54:10Z,SIA36,"1.353699,103.99556",250,173,23
1549155256,2019-02-03T00:54:16Z,SIA36,"1.358394,103.997574",525,169,22
1549155264,2019-02-03T00:54:24Z,SIA36,"1.362677,103.999283",800,168,21
1549155271,2019-02-03T00:54:31Z,SIA36,"1.369334,104.001747",1225,166,20
1549155278,2019-02-03T00:54:38Z,SIA36,"1.373663,104.003304",1500,163,19
1549155284,2019-02-03T00:54:44Z,SIA36,"1.378052,104.004913",1750,164,20
1549155294,2019-02-03T00:54:54Z,SIA36,"1.386703,104.008217",1950,177,21
1549155305,2019-02-03T00:55:05Z,SIA36,"1.394146,104.011215",2050,191,22
1549155316,2019-02-03T00:55:16Z,SIA36,"1.404388,104.015572",2225,207,23
1549155322,2019-02-03T00:55:22Z,SIA36,"1.409363,104.017715",2275,216,23
1549155328,2019-02-03T00:55:28Z,SIA36,"1.415095,104.020256",2325,226,24
1549155335,2019-02-03T00:55:35Z,SIA36,"1.421333,104.023102",2450,233,24
1549155347,2019-02-03T00:55:47Z,SIA36,"1.433395,104.028656",2900,235,25
1549155354,2019-02-03T00:55:54Z,SIA36,"1.439117,104.031311",3150,235,25
1549155365,2019-02-03T00:56:05Z,SIA36,"1.451266,104.036926",3700,235,24
1549155377,2019-02-03T00:56:17Z,SIA36,"1.463137,104.042328",4125,239,26
1549155383,2019-02-03T00:56:23Z,SIA36,"1.469142,104.045876",4375,240,35
1549155389,2019-02-03T00:56:29Z,SIA36,"1.473862,104.050163",4600,240,47
1549155399,2019-02-03T00:56:39Z,SIA36,"1.479446,104.059006",4850,246,67
1549155405,2019-02-03T00:56:45Z,SIA36,"1.481369,104.065483",4925,254,78
1549155412,2019-02-03T00:56:52Z,SIA36,"1.481873,104.07637",5100,263,96
1549155419,2019-02-03T00:56:59Z,SIA36,"1.48027,104.083405",5275,266,107
1549155425,2019-02-03T00:57:05Z,SIA36,"1.477844,104.090248",5475,270,110
1549155432,2019-02-03T00:57:12Z,SIA36,"1.473587,104.100769",5800,272,113
1549155439,2019-02-03T00:57:19Z,SIA36,"1.47052,104.107796",6050,273,113
1549155445,2019-02-03T00:57:25Z,SIA36,"1.467316,104.114731",6275,275,115
1549155457,2019-02-03T00:57:37Z,SIA36,"1.460632,104.128326",6700,277,116
1549155470,2019-02-03T00:57:50Z,SIA36,"1.453308,104.142479",7175,280,117
1549155482,2019-02-03T00:58:02Z,SIA36,"1.446052,104.156448",7700,279,117
1549155493,2019-02-03T00:58:13Z,SIA36,"1.439116,104.170135",8150,281,116
1549155506,2019-02-03T00:58:26Z,SIA36,"1.432133,104.184296",8600,284,115
1549155518,2019-02-03T00:58:38Z,SIA36,"1.425336,104.198547",8900,289,115
1549155531,2019-02-03T00:58:51Z,SIA36,"1.418335,104.213562",9000,287,114
1549155541,2019-02-03T00:59:01Z,SIA36,"1.411836,104.227676",9050,284,114
1549155554,2019-02-03T00:59:14Z,SIA36,"1.404993,104.242546",9075,285,114
1549155565,2019-02-03T00:59:25Z,SIA36,"1.398605,104.256531",9325,286,114
1549155579,2019-02-03T00:59:39Z,SIA36,"1.391785,104.271423",9800,288,114
1549155590,2019-02-03T00:59:50Z,SIA36,"1.385115,104.285873",10250,289,114
1549155603,2019-02-03T01:00:03Z,SIA36,"1.378226,104.300934",10475,300,114
1549155614,2019-02-03T01:00:14Z,SIA36,"1.371243,104.316132",10600,313,114
1549155626,2019-02-03T01:00:26Z,SIA36,"1.363495,104.33297",10775,325,114
