Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549434268,2019-02-06T06:24:28Z,SIA37,"33.944786,-118.434891",0,0,261
1549434361,2019-02-06T06:26:01Z,SIA37,"33.944786,-118.434891",0,0,180
1549434437,2019-02-06T06:27:17Z,SIA37,"33.944786,-118.434845",0,0,74
1549434466,2019-02-06T06:27:46Z,SIA37,"33.944824,-118.434578",0,2,264
1549434501,2019-02-06T06:28:21Z,SIA37,"33.944878,-118.434219",0,2,275
1549434523,2019-02-06T06:28:43Z,SIA37,"33.944939,-118.43399",0,2,298
1549434550,2019-02-06T06:29:10Z,SIA37,"33.944962,-118.433777",0,2,326
1549434629,2019-02-06T06:30:29Z,SIA37,"33.944904,-118.433556",0,2,141
1549434659,2019-02-06T06:30:59Z,SIA37,"33.944656,-118.433594",0,9,354
1549434834,2019-02-06T06:33:54Z,SIA37,"33.944664,-118.433601",0,0,180
1549434936,2019-02-06T06:35:36Z,SIA37,"33.944866,-118.433617",0,10,348
1549434951,2019-02-06T06:35:51Z,SIA37,"33.94516,-118.433662",0,15,351
1549434965,2019-02-06T06:36:05Z,SIA37,"33.945499,-118.433708",0,18,351
1549434976,2019-02-06T06:36:16Z,SIA37,"33.945892,-118.433632",0,19,11
1549434985,2019-02-06T06:36:25Z,SIA37,"33.945808,-118.433372",0,16,134
1549434994,2019-02-06T06:36:34Z,SIA37,"33.945812,-118.433121",0,14,70
1549435002,2019-02-06T06:36:42Z,SIA37,"33.945831,-118.432854",0,17,78
1549435008,2019-02-06T06:36:48Z,SIA37,"33.945854,-118.432648",0,19,81
1549435014,2019-02-06T06:36:54Z,SIA37,"33.945869,-118.432373",0,21,81
1549435020,2019-02-06T06:37:00Z,SIA37,"33.945892,-118.432144",0,21,81
1549435032,2019-02-06T06:37:12Z,SIA37,"33.945961,-118.431557",0,21,84
1549435040,2019-02-06T06:37:20Z,SIA37,"33.94598,-118.431343",0,20,81
1549435048,2019-02-06T06:37:28Z,SIA37,"33.946014,-118.431023",0,17,81
1549435061,2019-02-06T06:37:41Z,SIA37,"33.946045,-118.430626",0,11,84
1549435117,2019-02-06T06:38:37Z,SIA37,"33.946056,-118.430389",0,13,84
1549435125,2019-02-06T06:38:45Z,SIA37,"33.946072,-118.430122",0,17,84
1549435140,2019-02-06T06:39:00Z,SIA37,"33.946106,-118.429657",0,19,84
1549435151,2019-02-06T06:39:11Z,SIA37,"33.946129,-118.429283",0,12,84
1549435169,2019-02-06T06:39:29Z,SIA37,"33.946159,-118.42897",0,10,84
1549435215,2019-02-06T06:40:15Z,SIA37,"33.946198,-118.42865",0,13,84
1549435229,2019-02-06T06:40:29Z,SIA37,"33.946243,-118.428177",0,19,84
1549435236,2019-02-06T06:40:36Z,SIA37,"33.946278,-118.427872",0,21,81
1549435244,2019-02-06T06:40:44Z,SIA37,"33.946323,-118.427444",0,22,81
1549435250,2019-02-06T06:40:50Z,SIA37,"33.946346,-118.427155",0,22,81
1549435271,2019-02-06T06:41:11Z,SIA37,"33.946449,-118.426155",0,22,84
1549435282,2019-02-06T06:41:22Z,SIA37,"33.946507,-118.425598",0,23,84
1549435289,2019-02-06T06:41:29Z,SIA37,"33.946541,-118.425262",0,23,84
1549435303,2019-02-06T06:41:43Z,SIA37,"33.946613,-118.424507",0,23,84
1549435309,2019-02-06T06:41:49Z,SIA37,"33.946648,-118.424248",0,23,84
1549435316,2019-02-06T06:41:56Z,SIA37,"33.946678,-118.423889",0,23,81
1549435322,2019-02-06T06:42:02Z,SIA37,"33.946705,-118.423561",0,23,84
1549435331,2019-02-06T06:42:11Z,SIA37,"33.946766,-118.423065",0,24,81
1549435341,2019-02-06T06:42:21Z,SIA37,"33.946804,-118.422653",0,24,81
1549435351,2019-02-06T06:42:31Z,SIA37,"33.94688,-118.421989",0,24,81
1549435358,2019-02-06T06:42:38Z,SIA37,"33.946915,-118.421646",0,24,81
1549435369,2019-02-06T06:42:49Z,SIA37,"33.946976,-118.421028",0,24,81
1549435376,2019-02-06T06:42:56Z,SIA37,"33.94701,-118.420692",0,25,81
1549435389,2019-02-06T06:43:09Z,SIA37,"33.94709,-118.41996",0,28,84
1549435398,2019-02-06T06:43:18Z,SIA37,"33.947159,-118.419334",0,30,84
