Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549952658,2019-02-12T06:24:18Z,SIA37,"33.940212,-118.409531",0,0,261
1549952717,2019-02-12T06:25:17Z,SIA37,"33.940247,-118.409271",0,9,261
1549952733,2019-02-12T06:25:33Z,SIA37,"33.940258,-118.409058",0,2,258
1549952754,2019-02-12T06:25:54Z,SIA37,"33.940212,-118.408844",0,10,236
1549952768,2019-02-12T06:26:08Z,SIA37,"33.940247,-118.408615",0,11,210
1549952788,2019-02-12T06:26:28Z,SIA37,"33.940491,-118.408386",0,12,191
1549952844,2019-02-12T06:27:24Z,SIA37,"33.940224,-118.408211",0,9,174
1549952865,2019-02-12T06:27:45Z,SIA37,"33.93998,-118.408188",0,10,171
1549953190,2019-02-12T06:33:10Z,SIA37,"33.939686,-118.40815",0,11,171
1549953209,2019-02-12T06:33:29Z,SIA37,"33.939384,-118.408066",0,14,165
1549953222,2019-02-12T06:33:42Z,SIA37,"33.93914,-118.407715",0,16,137
1549953232,2019-02-12T06:33:52Z,SIA37,"33.938931,-118.407478",0,18,140
1549953248,2019-02-12T06:34:08Z,SIA37,"33.938118,-118.407082",0,24,140
1549953256,2019-02-12T06:34:16Z,SIA37,"33.938095,-118.406578",0,25,98
1549953264,2019-02-12T06:34:24Z,SIA37,"33.938152,-118.406242",0,26,84
1549953271,2019-02-12T06:34:31Z,SIA37,"33.93821,-118.405754",0,25,81
1549953279,2019-02-12T06:34:39Z,SIA37,"33.938244,-118.405396",0,25,81
1549953289,2019-02-12T06:34:49Z,SIA37,"33.938324,-118.404648",0,30,84
1549953297,2019-02-12T06:34:57Z,SIA37,"33.938362,-118.404205",0,32,81
1549953316,2019-02-12T06:35:16Z,SIA37,"33.938549,-118.402435",0,15,84
1549953325,2019-02-12T06:35:25Z,SIA37,"33.938622,-118.401665",0,31,84
1549953331,2019-02-12T06:35:31Z,SIA37,"33.938663,-118.401245",0,29,84
1549953337,2019-02-12T06:35:37Z,SIA37,"33.938709,-118.400803",0,32,84
1549953346,2019-02-12T06:35:46Z,SIA37,"33.93877,-118.400162",0,34,84
1549953353,2019-02-12T06:35:53Z,SIA37,"33.938828,-118.399658",0,31,84
1549953362,2019-02-12T06:36:02Z,SIA37,"33.938896,-118.399017",0,29,81
1549953376,2019-02-12T06:36:16Z,SIA37,"33.93898,-118.398155",0,25,84
1549953382,2019-02-12T06:36:22Z,SIA37,"33.939003,-118.397888",0,26,84
1549953395,2019-02-12T06:36:35Z,SIA37,"33.939072,-118.397125",0,25,81
1549953409,2019-02-12T06:36:49Z,SIA37,"33.939159,-118.396378",0,27,81
1549953415,2019-02-12T06:36:55Z,SIA37,"33.939213,-118.395836",0,29,81
1549953422,2019-02-12T06:37:02Z,SIA37,"33.939259,-118.395409",0,29,81
1549953430,2019-02-12T06:37:10Z,SIA37,"33.939304,-118.394966",0,31,81
1549953439,2019-02-12T06:37:19Z,SIA37,"33.939384,-118.394135",0,15,84
1549953445,2019-02-12T06:37:25Z,SIA37,"33.939434,-118.393639",0,16,81
1549953451,2019-02-12T06:37:31Z,SIA37,"33.939491,-118.393074",0,17,81
1549953458,2019-02-12T06:37:38Z,SIA37,"33.93956,-118.392464",0,15,84
1549953464,2019-02-12T06:37:44Z,SIA37,"33.939606,-118.391937",0,33,84
1549953479,2019-02-12T06:37:59Z,SIA37,"33.939732,-118.390717",0,15,84
1549953487,2019-02-12T06:38:07Z,SIA37,"33.9398,-118.389977",0,16,81
1549953507,2019-02-12T06:38:27Z,SIA37,"33.939949,-118.388573",0,32,84
1549953514,2019-02-12T06:38:34Z,SIA37,"33.940002,-118.388016",0,33,84
1549953525,2019-02-12T06:38:45Z,SIA37,"33.940109,-118.386986",0,15,81
1549953531,2019-02-12T06:38:51Z,SIA37,"33.940166,-118.386444",0,16,84
1549953552,2019-02-12T06:39:12Z,SIA37,"33.940342,-118.384842",0,34,81
1549953558,2019-02-12T06:39:18Z,SIA37,"33.940407,-118.384186",0,15,81
1549953568,2019-02-12T06:39:28Z,SIA37,"33.940479,-118.383438",0,34,84
1549953577,2019-02-12T06:39:37Z,SIA37,"33.940556,-118.382729",0,29,84
