Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550384458,2019-02-17T06:20:58Z,SIA37,"33.944786,-118.434891",0,0,261
1550384564,2019-02-17T06:22:44Z,SIA37,"33.944786,-118.434891",0,0,180
1550384693,2019-02-17T06:24:53Z,SIA37,"33.944824,-118.434563",0,2,264
1550384715,2019-02-17T06:25:15Z,SIA37,"33.944881,-118.434326",0,9,275
1550384737,2019-02-17T06:25:37Z,SIA37,"33.944939,-118.434074",0,9,300
1550384758,2019-02-17T06:25:58Z,SIA37,"33.944939,-118.433861",0,2,326
1550384784,2019-02-17T06:26:24Z,SIA37,"33.94482,-118.433647",0,9,354
1550385064,2019-02-17T06:31:04Z,SIA37,"33.94503,-118.433586",0,13,354
1550385071,2019-02-17T06:31:11Z,SIA37,"33.945251,-118.433601",0,16,354
1550385083,2019-02-17T06:31:23Z,SIA37,"33.945614,-118.433655",0,20,354
1550385091,2019-02-17T06:31:31Z,SIA37,"33.94582,-118.433586",0,19,8
1550385097,2019-02-17T06:31:37Z,SIA37,"33.945923,-118.433258",0,20,47
1550385103,2019-02-17T06:31:43Z,SIA37,"33.945904,-118.433044",0,19,70
1550385111,2019-02-17T06:31:51Z,SIA37,"33.945923,-118.432716",0,20,81
1550385122,2019-02-17T06:32:02Z,SIA37,"33.94598,-118.432228",0,23,81
1550385128,2019-02-17T06:32:08Z,SIA37,"33.946018,-118.431885",0,26,81
1550385137,2019-02-17T06:32:17Z,SIA37,"33.946091,-118.431244",0,27,84
1550385149,2019-02-17T06:32:29Z,SIA37,"33.946152,-118.430557",0,27,84
1550385155,2019-02-17T06:32:35Z,SIA37,"33.946182,-118.430183",0,27,84
1550385162,2019-02-17T06:32:42Z,SIA37,"33.946217,-118.429726",0,26,84
1550385182,2019-02-17T06:33:02Z,SIA37,"33.946312,-118.42868",0,21,84
1550385219,2019-02-17T06:33:39Z,SIA37,"33.946392,-118.428131",0,0,77
1550385271,2019-02-17T06:34:31Z,SIA37,"33.946449,-118.427826",0,15,84
1550385285,2019-02-17T06:34:45Z,SIA37,"33.946335,-118.427444",0,23,112
1550385291,2019-02-17T06:34:51Z,SIA37,"33.945961,-118.427399",0,25,160
1550385299,2019-02-17T06:34:59Z,SIA37,"33.945602,-118.427361",0,29,171
1550385305,2019-02-17T06:35:05Z,SIA37,"33.94524,-118.427292",0,33,174
1550385313,2019-02-17T06:35:13Z,SIA37,"33.944653,-118.427193",0,30,171
1550385320,2019-02-17T06:35:20Z,SIA37,"33.944286,-118.427139",0,31,171
1550385327,2019-02-17T06:35:27Z,SIA37,"33.94376,-118.427055",0,34,174
1550385333,2019-02-17T06:35:33Z,SIA37,"33.94339,-118.426979",0,15,174
1550385341,2019-02-17T06:35:41Z,SIA37,"33.942867,-118.426895",0,15,171
1550385348,2019-02-17T06:35:48Z,SIA37,"33.942493,-118.426834",0,33,171
1550385359,2019-02-17T06:35:59Z,SIA37,"33.941711,-118.426689",0,31,174
1550385365,2019-02-17T06:36:05Z,SIA37,"33.941444,-118.426651",0,30,174
1550385371,2019-02-17T06:36:11Z,SIA37,"33.941025,-118.426575",0,30,174
