Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550643817,2019-02-20T06:23:37Z,SIA37,"33.94416,-118.432182",0,0,84
1550644015,2019-02-20T06:26:55Z,SIA37,"33.944138,-118.432396",0,9,81
1550644034,2019-02-20T06:27:14Z,SIA37,"33.944138,-118.432602",0,10,75
1550644048,2019-02-20T06:27:28Z,SIA37,"33.944134,-118.432816",0,10,64
1550644065,2019-02-20T06:27:45Z,SIA37,"33.944092,-118.433037",0,10,50
1550644083,2019-02-20T06:28:03Z,SIA37,"33.943985,-118.433243",0,10,42
1550644100,2019-02-20T06:28:20Z,SIA37,"33.943844,-118.433449",0,9,33
1550644179,2019-02-20T06:29:39Z,SIA37,"33.944355,-118.433556",0,2,343
1550644202,2019-02-20T06:30:02Z,SIA37,"33.944576,-118.433601",0,9,348
1550644226,2019-02-20T06:30:26Z,SIA37,"33.944798,-118.433662",0,2,351
1550644422,2019-02-20T06:33:42Z,SIA37,"33.944904,-118.433876",0,0,271
1550644464,2019-02-20T06:34:24Z,SIA37,"33.944939,-118.433945",0,0,295
1550644512,2019-02-20T06:35:12Z,SIA37,"33.945179,-118.434059",0,11,351
1550644525,2019-02-20T06:35:25Z,SIA37,"33.945396,-118.43412",0,13,354
1550644543,2019-02-20T06:35:43Z,SIA37,"33.945889,-118.434158",0,18,3
1550644549,2019-02-20T06:35:49Z,SIA37,"33.945808,-118.433571",0,16,22
1550644557,2019-02-20T06:35:57Z,SIA37,"33.945843,-118.433334",0,13,50
1550644571,2019-02-20T06:36:11Z,SIA37,"33.945812,-118.43309",0,11,75
1550644579,2019-02-20T06:36:19Z,SIA37,"33.945831,-118.432869",0,15,78
1550644589,2019-02-20T06:36:29Z,SIA37,"33.945847,-118.432602",0,17,81
1550644596,2019-02-20T06:36:36Z,SIA37,"33.945877,-118.432365",0,19,84
1550644605,2019-02-20T06:36:45Z,SIA37,"33.945923,-118.4319",0,23,81
1550644611,2019-02-20T06:36:51Z,SIA37,"33.945957,-118.431511",0,23,81
1550644621,2019-02-20T06:37:01Z,SIA37,"33.946003,-118.431061",0,23,84
1550644628,2019-02-20T06:37:08Z,SIA37,"33.94603,-118.430756",0,22,84
1550644635,2019-02-20T06:37:15Z,SIA37,"33.94606,-118.430305",0,22,84
1550644641,2019-02-20T06:37:21Z,SIA37,"33.946083,-118.430008",0,22,84
1550644647,2019-02-20T06:37:27Z,SIA37,"33.946095,-118.429756",0,22,84
1550644655,2019-02-20T06:37:35Z,SIA37,"33.946125,-118.429459",0,22,84
1550644667,2019-02-20T06:37:47Z,SIA37,"33.946182,-118.428856",0,22,84
1550644673,2019-02-20T06:37:53Z,SIA37,"33.94622,-118.428482",0,22,84
1550644683,2019-02-20T06:38:03Z,SIA37,"33.946255,-118.428116",0,22,84
1550644694,2019-02-20T06:38:14Z,SIA37,"33.946312,-118.427483",0,23,84
1550644702,2019-02-20T06:38:22Z,SIA37,"33.946346,-118.427139",0,23,84
1550644709,2019-02-20T06:38:29Z,SIA37,"33.946392,-118.426735",0,23,81
1550644719,2019-02-20T06:38:39Z,SIA37,"33.946438,-118.426285",0,23,84
1550644726,2019-02-20T06:38:46Z,SIA37,"33.946484,-118.42585",0,24,84
1550644735,2019-02-20T06:38:55Z,SIA37,"33.946533,-118.425339",0,24,81
1550644743,2019-02-20T06:39:03Z,SIA37,"33.946568,-118.425018",0,24,81
1550644755,2019-02-20T06:39:15Z,SIA37,"33.946632,-118.424347",0,26,81
1550644761,2019-02-20T06:39:21Z,SIA37,"33.946678,-118.423958",0,27,81
1550644779,2019-02-20T06:39:39Z,SIA37,"33.946812,-118.422691",0,30,81
1550644785,2019-02-20T06:39:45Z,SIA37,"33.946846,-118.422302",0,32,81
1550644792,2019-02-20T06:39:52Z,SIA37,"33.946907,-118.421715",0,33,81
1550644800,2019-02-20T06:40:00Z,SIA37,"33.946964,-118.421227",0,32,84
1550644811,2019-02-20T06:40:11Z,SIA37,"33.947056,-118.420341",0,32,81
1550644818,2019-02-20T06:40:18Z,SIA37,"33.947102,-118.419853",0,32,84
1550644834,2019-02-20T06:40:34Z,SIA37,"33.947243,-118.418472",0,32,84
1550644840,2019-02-20T06:40:40Z,SIA37,"33.947277,-118.418098",0,32,84
1550644846,2019-02-20T06:40:46Z,SIA37,"33.947342,-118.417526",0,32,81
1550644853,2019-02-20T06:40:53Z,SIA37,"33.947388,-118.417091",0,32,81
1550644859,2019-02-20T06:40:59Z,SIA37,"33.947433,-118.416626",0,32,84
1550644870,2019-02-20T06:41:10Z,SIA37,"33.947525,-118.415733",0,32,81
1550644877,2019-02-20T06:41:17Z,SIA37,"33.947571,-118.415268",0,32,84
1550644889,2019-02-20T06:41:29Z,SIA37,"33.947674,-118.414345",0,32,81
1550644896,2019-02-20T06:41:36Z,SIA37,"33.947788,-118.413895",0,33,73
1550644907,2019-02-20T06:41:47Z,SIA37,"33.947948,-118.412987",0,32,81
1550644913,2019-02-20T06:41:53Z,SIA37,"33.947994,-118.412552",0,32,81
1550644922,2019-02-20T06:42:02Z,SIA37,"33.948063,-118.41188",0,32,81
1550644934,2019-02-20T06:42:14Z,SIA37,"33.948162,-118.410934",0,33,81
1550644940,2019-02-20T06:42:20Z,SIA37,"33.948208,-118.410446",0,34,84
1550644953,2019-02-20T06:42:33Z,SIA37,"33.948311,-118.409431",0,15,84
1550644963,2019-02-20T06:42:43Z,SIA37,"33.948418,-118.408401",0,16,84
1550644972,2019-02-20T06:42:52Z,SIA37,"33.948475,-118.407852",0,16,81
1550644984,2019-02-20T06:43:04Z,SIA37,"33.948593,-118.406723",0,17,81
1550644994,2019-02-20T06:43:14Z,SIA37,"33.948708,-118.405525",0,19,81
1550645002,2019-02-20T06:43:22Z,SIA37,"33.948776,-118.404861",0,18,84
1550645009,2019-02-20T06:43:29Z,SIA37,"33.948864,-118.40406",0,32,81
1550645015,2019-02-20T06:43:35Z,SIA37,"33.948898,-118.403664",0,24,81
1550645021,2019-02-20T06:43:41Z,SIA37,"33.948929,-118.403419",0,15,84
1550645034,2019-02-20T06:43:54Z,SIA37,"33.948956,-118.403023",0,18,84
1550645046,2019-02-20T06:44:06Z,SIA37,"33.949013,-118.402519",0,21,84
1550645053,2019-02-20T06:44:13Z,SIA37,"33.949047,-118.402222",0,24,84
1550645059,2019-02-20T06:44:19Z,SIA37,"33.94907,-118.401886",0,25,84
1550645070,2019-02-20T06:44:30Z,SIA37,"33.94915,-118.401146",0,28,84
1550645076,2019-02-20T06:44:36Z,SIA37,"33.949184,-118.400764",0,24,84
1550645087,2019-02-20T06:44:47Z,SIA37,"33.94923,-118.400276",0,19,84
1550645094,2019-02-20T06:44:54Z,SIA37,"33.949265,-118.399994",0,22,84
1550645100,2019-02-20T06:45:00Z,SIA37,"33.949299,-118.399689",0,22,81
1550645107,2019-02-20T06:45:07Z,SIA37,"33.949383,-118.399399",0,22,75
1550645115,2019-02-20T06:45:15Z,SIA37,"33.949654,-118.399124",0,21,34
1550645122,2019-02-20T06:45:22Z,SIA37,"33.949871,-118.399071",0,22,25
1550645134,2019-02-20T06:45:34Z,SIA37,"33.950386,-118.399292",0,21,337
1550645142,2019-02-20T06:45:42Z,SIA37,"33.950443,-118.399574",0,20,306
1550645153,2019-02-20T06:45:53Z,SIA37,"33.950382,-118.399933",0,13,275
1550645349,2019-02-20T06:49:09Z,SIA37,"33.950363,-118.400192",0,20,267
1550645355,2019-02-20T06:49:15Z,SIA37,"33.950302,-118.400803",0,31,264
1550645364,2019-02-20T06:49:24Z,SIA37,"33.950043,-118.403374",0,72,264
1550645371,2019-02-20T06:49:31Z,SIA37,"33.949768,-118.406105",0,98,264
1550645378,2019-02-20T06:49:38Z,SIA37,"33.949356,-118.410027",0,123,262
1550645388,2019-02-20T06:49:48Z,SIA37,"33.948349,-118.420006",0,166,263
1550645401,2019-02-20T06:50:01Z,SIA37,"33.947205,-118.431442",250,178,263
1550645414,2019-02-20T06:50:14Z,SIA37,"33.945892,-118.44326",900,172,262
1550645424,2019-02-20T06:50:24Z,SIA37,"33.944588,-118.45488",1500,170,262
1550645436,2019-02-20T06:50:36Z,SIA37,"33.94347,-118.466263",1875,175,265
1550645442,2019-02-20T06:50:42Z,SIA37,"33.943222,-118.472076",1925,184,268
1550645454,2019-02-20T06:50:54Z,SIA37,"33.943005,-118.485146",2025,201,269
1550645469,2019-02-20T06:51:09Z,SIA37,"33.942673,-118.501953",2225,219,268
1550645481,2019-02-20T06:51:21Z,SIA37,"33.941654,-118.517822",2425,234,263
1550645488,2019-02-20T06:51:28Z,SIA37,"33.940887,-118.525612",2500,241,263
1550645495,2019-02-20T06:51:35Z,SIA37,"33.940109,-118.533737",2625,247,263
1550645506,2019-02-20T06:51:46Z,SIA37,"33.938816,-118.54866",3000,251,264
1550645517,2019-02-20T06:51:57Z,SIA37,"33.937408,-118.567482",3450,256,265
1550645530,2019-02-20T06:52:10Z,SIA37,"33.936161,-118.584595",3900,260,264
1550645537,2019-02-20T06:52:17Z,SIA37,"33.935558,-118.592834",4150,261,264
1550645548,2019-02-20T06:52:28Z,SIA37,"33.934208,-118.611031",4625,263,264
1550645555,2019-02-20T06:52:35Z,SIA37,"33.933563,-118.619888",4875,263,264
1550645571,2019-02-20T06:52:51Z,SIA37,"33.931648,-118.644165",5650,259,264
1550645582,2019-02-20T06:53:02Z,SIA37,"33.930252,-118.661842",6225,258,264
1550645597,2019-02-20T06:53:17Z,SIA37,"33.928802,-118.680313",6650,263,264
1550645606,2019-02-20T06:53:26Z,SIA37,"33.927429,-118.697243",7050,266,264
1550645619,2019-02-20T06:53:39Z,SIA37,"33.925873,-118.716072",7500,269,264
1550645631,2019-02-20T06:53:51Z,SIA37,"33.9245,-118.73362",7925,270,264
1550645644,2019-02-20T06:54:04Z,SIA37,"33.923218,-118.750938",8375,271,264
1550645656,2019-02-20T06:54:16Z,SIA37,"33.921825,-118.769821",8900,271,264
1550645669,2019-02-20T06:54:29Z,SIA37,"33.920517,-118.78788",9400,270,264
1550645679,2019-02-20T06:54:39Z,SIA37,"33.919189,-118.804863",9675,273,264
1550645692,2019-02-20T06:54:52Z,SIA37,"33.917728,-118.824005",9775,277,264
1550645721,2019-02-20T06:55:21Z,SIA37,"33.917862,-118.868484",9825,275,271
1550645733,2019-02-20T06:55:33Z,SIA37,"33.918285,-118.887177",9825,274,271
1550645744,2019-02-20T06:55:44Z,SIA37,"33.91864,-118.904526",9875,276,271
1550645756,2019-02-20T06:55:56Z,SIA37,"33.919033,-118.922028",10075,285,271
1550645784,2019-02-20T06:56:24Z,SIA37,"33.917633,-118.967415",10525,310,266
1550645793,2019-02-20T06:56:33Z,SIA37,"33.916855,-118.982887",10675,317,266
1550645808,2019-02-20T06:56:48Z,SIA37,"33.915436,-119.012146",10950,329,266
1550645819,2019-02-20T06:56:59Z,SIA37,"33.914383,-119.033783",11150,338,266
1550645833,2019-02-20T06:57:13Z,SIA37,"33.913239,-119.057266",11350,347,266
1550645845,2019-02-20T06:57:25Z,SIA37,"33.912048,-119.080864",11550,355,266
1550645857,2019-02-20T06:57:37Z,SIA37,"33.910931,-119.1045",11750,363,266
1550645869,2019-02-20T06:57:49Z,SIA37,"33.909721,-119.128937",11950,370,266
1550645880,2019-02-20T06:58:00Z,SIA37,"33.908569,-119.154068",12150,373,266
1550645912,2019-02-20T06:58:32Z,SIA37,"33.905457,-119.223351",12975,380,267
1550645946,2019-02-20T06:59:06Z,SIA37,"33.902969,-119.292816",14300,376,268
1550645979,2019-02-20T06:59:39Z,SIA37,"33.901947,-119.360672",15175,383,269
1550646012,2019-02-20T07:00:12Z,SIA37,"33.90097,-119.434319",16125,388,268
1550646046,2019-02-20T07:00:46Z,SIA37,"33.900009,-119.506363",16975,395,269
1550646079,2019-02-20T07:01:19Z,SIA37,"33.899292,-119.580231",17775,401,269
1550646112,2019-02-20T07:01:52Z,SIA37,"33.898457,-119.653702",18700,403,268
1550646169,2019-02-20T07:02:49Z,SIA37,"33.899139,-119.78315",20100,406,278
1550646175,2019-02-20T07:02:55Z,SIA37,"33.900787,-119.79599",20250,406,279
1550646246,2019-02-20T07:04:06Z,SIA37,"33.920288,-119.955399",21800,413,277
1550646311,2019-02-20T07:05:11Z,SIA37,"33.937233,-120.100937",23175,421,277
