Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551336055,2019-02-28T06:40:55Z,SIA37,"33.945217,-118.411232",0,0,180
1551336116,2019-02-28T06:41:56Z,SIA37,"33.945217,-118.411499",0,2,106
1551336136,2019-02-28T06:42:16Z,SIA37,"33.945202,-118.41172",0,9,120
1551336174,2019-02-28T06:42:54Z,SIA37,"33.945419,-118.411934",0,2,106
1551336205,2019-02-28T06:43:25Z,SIA37,"33.945602,-118.412155",0,9,64
1551336239,2019-02-28T06:43:59Z,SIA37,"33.945625,-118.412453",0,2,22
1551336311,2019-02-28T06:45:11Z,SIA37,"33.945774,-118.412659",0,2,354
1551336334,2019-02-28T06:45:34Z,SIA37,"33.94598,-118.412689",0,2,351
1551336366,2019-02-28T06:46:06Z,SIA37,"33.946228,-118.41272",0,2,354
1551336636,2019-02-28T06:50:36Z,SIA37,"33.946381,-118.412674",0,0,42
1551336713,2019-02-28T06:51:53Z,SIA37,"33.946838,-118.41272",0,12,354
1551336731,2019-02-28T06:52:11Z,SIA37,"33.947079,-118.41275",0,10,354
1551336750,2019-02-28T06:52:30Z,SIA37,"33.947365,-118.412788",0,12,351
1551336767,2019-02-28T06:52:47Z,SIA37,"33.947685,-118.412834",0,17,354
1551336774,2019-02-28T06:52:54Z,SIA37,"33.947983,-118.412804",0,22,5
1551336783,2019-02-28T06:53:03Z,SIA37,"33.948044,-118.412544",0,21,69
1551336790,2019-02-28T06:53:10Z,SIA37,"33.948044,-118.412277",0,18,70
1551336803,2019-02-28T06:53:23Z,SIA37,"33.948067,-118.411835",0,19,84
1551336812,2019-02-28T06:53:32Z,SIA37,"33.948097,-118.411461",0,20,84
1551336819,2019-02-28T06:53:39Z,SIA37,"33.948139,-118.411072",0,21,84
1551336827,2019-02-28T06:53:47Z,SIA37,"33.948166,-118.410782",0,21,84
1551336837,2019-02-28T06:53:57Z,SIA37,"33.948223,-118.410225",0,23,84
1551336843,2019-02-28T06:54:03Z,SIA37,"33.948257,-118.409904",0,24,81
1551336850,2019-02-28T06:54:10Z,SIA37,"33.948292,-118.409569",0,25,84
1551336857,2019-02-28T06:54:17Z,SIA37,"33.948322,-118.409225",0,25,84
1551336868,2019-02-28T06:54:28Z,SIA37,"33.948395,-118.408585",0,23,81
1551336874,2019-02-28T06:54:34Z,SIA37,"33.948429,-118.408295",0,22,81
1551336881,2019-02-28T06:54:41Z,SIA37,"33.948452,-118.408012",0,20,81
1551336887,2019-02-28T06:54:47Z,SIA37,"33.948486,-118.407768",0,20,81
1551336901,2019-02-28T06:55:01Z,SIA37,"33.948555,-118.407043",0,22,84
1551336914,2019-02-28T06:55:14Z,SIA37,"33.948612,-118.406479",0,22,84
1551336925,2019-02-28T06:55:25Z,SIA37,"33.948681,-118.405853",0,24,81
1551336933,2019-02-28T06:55:33Z,SIA37,"33.948727,-118.40535",0,26,81
1551336941,2019-02-28T06:55:41Z,SIA37,"33.948765,-118.404984",0,27,81
1551336947,2019-02-28T06:55:47Z,SIA37,"33.948807,-118.404617",0,28,84
1551336959,2019-02-28T06:55:59Z,SIA37,"33.948887,-118.403778",0,31,84
1551336971,2019-02-28T06:56:11Z,SIA37,"33.948978,-118.402855",0,32,84
1551336982,2019-02-28T06:56:22Z,SIA37,"33.949059,-118.402069",0,25,84
1551336988,2019-02-28T06:56:28Z,SIA37,"33.949093,-118.401749",0,24,84
1551337000,2019-02-28T06:56:40Z,SIA37,"33.949162,-118.4011",0,25,81
1551337011,2019-02-28T06:56:51Z,SIA37,"33.949219,-118.400513",0,18,84
1551337025,2019-02-28T06:57:05Z,SIA37,"33.949268,-118.400085",0,20,84
1551337032,2019-02-28T06:57:12Z,SIA37,"33.949299,-118.399796",0,22,84
1551337042,2019-02-28T06:57:22Z,SIA37,"33.949425,-118.399277",0,21,70
1551337054,2019-02-28T06:57:34Z,SIA37,"33.949837,-118.399055",0,21,25
1551337062,2019-02-28T06:57:42Z,SIA37,"33.950169,-118.399139",0,21,357
1551337070,2019-02-28T06:57:50Z,SIA37,"33.950409,-118.399292",0,22,337
1551337078,2019-02-28T06:57:58Z,SIA37,"33.950489,-118.399612",0,19,300
1551337087,2019-02-28T06:58:07Z,SIA37,"33.95042,-118.399895",0,13,272
1551337107,2019-02-28T06:58:27Z,SIA37,"33.950375,-118.400131",0,2,264
1551337122,2019-02-28T06:58:42Z,SIA37,"33.950336,-118.400513",0,20,264
1551337133,2019-02-28T06:58:53Z,SIA37,"33.950012,-118.403717",0,74,264
1551337144,2019-02-28T06:59:04Z,SIA37,"33.949337,-118.410126",0,121,262
1551337150,2019-02-28T06:59:10Z,SIA37,"33.948872,-118.414993",0,146,262
1551337156,2019-02-28T06:59:16Z,SIA37,"33.948311,-118.420197",0,166,263
1551337162,2019-02-28T06:59:22Z,SIA37,"33.947754,-118.426003",0,177,263
1551337169,2019-02-28T06:59:29Z,SIA37,"33.947113,-118.431778",200,176,262
1551337175,2019-02-28T06:59:35Z,SIA37,"33.946472,-118.437889",475,174,262
1551337186,2019-02-28T06:59:46Z,SIA37,"33.945374,-118.448647",1025,171,263
1551337192,2019-02-28T06:59:52Z,SIA37,"33.94482,-118.45459",1300,170,263
1551337199,2019-02-28T06:59:59Z,SIA37,"33.944218,-118.460602",1600,169,263
1551337205,2019-02-28T07:00:05Z,SIA37,"33.943657,-118.466148",1750,171,262
1551337211,2019-02-28T07:00:11Z,SIA37,"33.943146,-118.471756",1850,177,264
1551337222,2019-02-28T07:00:22Z,SIA37,"33.942215,-118.484184",1950,194,265
1551337229,2019-02-28T07:00:29Z,SIA37,"33.941841,-118.490921",2000,202,266
1551337236,2019-02-28T07:00:36Z,SIA37,"33.941528,-118.497978",2100,210,266
1551337247,2019-02-28T07:00:47Z,SIA37,"33.940865,-118.512497",2275,223,265
1551337259,2019-02-28T07:00:59Z,SIA37,"33.939934,-118.527084",2350,240,265
1551337271,2019-02-28T07:01:11Z,SIA37,"33.938862,-118.54483",2600,252,265
1551337278,2019-02-28T07:01:18Z,SIA37,"33.93837,-118.553017",2800,253,265
1551337284,2019-02-28T07:01:24Z,SIA37,"33.93779,-118.561821",3075,253,265
1551337293,2019-02-28T07:01:33Z,SIA37,"33.936722,-118.577499",3600,250,265
1551337301,2019-02-28T07:01:41Z,SIA37,"33.936069,-118.586769",3975,245,265
1551337313,2019-02-28T07:01:53Z,SIA37,"33.934937,-118.602402",4550,243,264
1551337324,2019-02-28T07:02:04Z,SIA37,"33.933792,-118.617195",4950,246,264
1551337336,2019-02-28T07:02:16Z,SIA37,"33.932327,-118.635811",5425,249,264
1551337349,2019-02-28T07:02:29Z,SIA37,"33.93095,-118.65303",5900,251,264
1551337361,2019-02-28T07:02:41Z,SIA37,"33.9296,-118.669624",6475,248,264
1551337373,2019-02-28T07:02:53Z,SIA37,"33.928391,-118.68586",6925,248,264
1551337387,2019-02-28T07:03:07Z,SIA37,"33.927086,-118.702866",7375,251,264
1551337397,2019-02-28T07:03:17Z,SIA37,"33.925964,-118.717705",7775,252,264
1551337410,2019-02-28T07:03:30Z,SIA37,"33.924591,-118.735413",8225,254,264
1551337421,2019-02-28T07:03:41Z,SIA37,"33.923172,-118.753464",8625,258,264
1551337432,2019-02-28T07:03:52Z,SIA37,"33.921871,-118.769875",9075,258,264
1551337446,2019-02-28T07:04:06Z,SIA37,"33.920521,-118.786697",9525,258,264
1551337456,2019-02-28T07:04:16Z,SIA37,"33.919125,-118.804436",9975,259,264
1551337469,2019-02-28T07:04:29Z,SIA37,"33.917679,-118.822128",10225,269,264
1551337481,2019-02-28T07:04:41Z,SIA37,"33.916763,-118.841019",10325,281,268
1551337502,2019-02-28T07:05:02Z,SIA37,"33.917915,-118.874756",10550,304,274
1551337508,2019-02-28T07:05:08Z,SIA37,"33.918915,-118.885803",10625,310,278
1551337520,2019-02-28T07:05:20Z,SIA37,"33.92276,-118.905815",10750,322,286
