Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549545192,2019-02-07T13:13:12Z,SIA38,"1.352005,103.994904",325,165,23
1549545203,2019-02-07T13:13:23Z,SIA38,"1.360428,103.998489",775,164,22
1549545209,2019-02-07T13:13:29Z,SIA38,"1.364731,104.000259",1025,163,23
1549545216,2019-02-07T13:13:36Z,SIA38,"1.368729,104.00222",1300,162,29
1549545222,2019-02-07T13:13:42Z,SIA38,"1.372375,104.004913",1525,162,43
1549545230,2019-02-07T13:13:50Z,SIA38,"1.376404,104.010689",1850,166,63
1549545237,2019-02-07T13:13:57Z,SIA38,"1.378179,104.014954",1925,175,69
1549545245,2019-02-07T13:14:05Z,SIA38,"1.3806,104.022011",2000,187,72
1549545251,2019-02-07T13:14:11Z,SIA38,"1.382217,104.027443",2100,194,73
1549545259,2019-02-07T13:14:19Z,SIA38,"1.384557,104.035507",2225,205,74
1549545267,2019-02-07T13:14:27Z,SIA38,"1.386154,104.041084",2300,213,74
1549545278,2019-02-07T13:14:38Z,SIA38,"1.389491,104.052841",2450,230,73
1549545285,2019-02-07T13:14:45Z,SIA38,"1.391373,104.059196",2575,235,73
1549545297,2019-02-07T13:14:57Z,SIA38,"1.394623,104.072182",2950,242,80
1549545305,2019-02-07T13:15:05Z,SIA38,"1.394798,104.081963",3200,249,95
1549545312,2019-02-07T13:15:12Z,SIA38,"1.393753,104.089264",3350,255,99
1549545318,2019-02-07T13:15:18Z,SIA38,"1.392564,104.096268",3450,263,100
1549545324,2019-02-07T13:15:24Z,SIA38,"1.390469,104.107201",3625,271,101
1549545331,2019-02-07T13:15:31Z,SIA38,"1.388933,104.114594",3800,273,101
1549545338,2019-02-07T13:15:38Z,SIA38,"1.387303,104.122169",4025,275,102
1549545344,2019-02-07T13:15:44Z,SIA38,"1.385605,104.12986",4275,276,102
1549545350,2019-02-07T13:15:50Z,SIA38,"1.384048,104.136841",4475,278,102
1549545361,2019-02-07T13:16:01Z,SIA38,"1.380879,104.151909",4850,283,102
1549545368,2019-02-07T13:16:08Z,SIA38,"1.37915,104.160027",5100,283,101
1549545380,2019-02-07T13:16:20Z,SIA38,"1.375851,104.175919",5625,282,101
1549545392,2019-02-07T13:16:32Z,SIA38,"1.372686,104.191589",5950,290,100
1549545403,2019-02-07T13:16:43Z,SIA38,"1.369707,104.207314",6150,302,100
1549545415,2019-02-07T13:16:55Z,SIA38,"1.366562,104.223946",6325,314,100
1549545429,2019-02-07T13:17:09Z,SIA38,"1.363003,104.241646",6475,327,101
1549545441,2019-02-07T13:17:21Z,SIA38,"1.359192,104.260254",6650,338,101
1549545452,2019-02-07T13:17:32Z,SIA38,"1.355322,104.279007",6825,349,101
1549545465,2019-02-07T13:17:45Z,SIA38,"1.351501,104.297592",6975,360,101
1549545478,2019-02-07T13:17:58Z,SIA38,"1.347336,104.318352",7225,367,101
1549545488,2019-02-07T13:18:08Z,SIA38,"1.343399,104.338089",7625,368,101
1549545500,2019-02-07T13:18:20Z,SIA38,"1.339401,104.358185",8050,369,101
1549545515,2019-02-07T13:18:35Z,SIA38,"1.334335,104.383713",8575,371,101
1549545527,2019-02-07T13:18:47Z,SIA38,"1.330928,104.40374",9000,372,96
1549545537,2019-02-07T13:18:57Z,SIA38,"1.329951,104.419746",9250,377,90
1549545558,2019-02-07T13:19:18Z,SIA38,"1.331406,104.455963",9875,382,87
1549545569,2019-02-07T13:19:29Z,SIA38,"1.332138,104.477417",10225,385,88
1549545582,2019-02-07T13:19:42Z,SIA38,"1.332698,104.499207",10700,385,88
1549545593,2019-02-07T13:19:53Z,SIA38,"1.333116,104.520798",11025,389,88
1549545605,2019-02-07T13:20:05Z,SIA38,"1.333603,104.542778",11350,392,88
1549545617,2019-02-07T13:20:17Z,SIA38,"1.334061,104.564011",11850,388,88
1549545629,2019-02-07T13:20:29Z,SIA38,"1.334564,104.585144",12350,386,88
1549545662,2019-02-07T13:21:02Z,SIA38,"1.335956,104.644684",13550,383,88
1549545696,2019-02-07T13:21:36Z,SIA38,"1.337402,104.701988",14525,384,88
1549545728,2019-02-07T13:22:08Z,SIA38,"1.338821,104.76088",15450,386,88
1549545761,2019-02-07T13:22:41Z,SIA38,"1.340285,104.820793",16100,395,88
1549545794,2019-02-07T13:23:14Z,SIA38,"1.341705,104.881538",16800,401,88
1549545829,2019-02-07T13:23:49Z,SIA38,"1.343265,104.944298",17475,408,88
1549545857,2019-02-07T13:24:17Z,SIA38,"1.344589,104.999786",18550,400,88
1549545921,2019-02-07T13:25:21Z,SIA38,"1.347175,105.111412",21175,377,88
1549545984,2019-02-07T13:26:24Z,SIA38,"1.349762,105.218765",23325,365,88
1549546047,2019-02-07T13:27:27Z,SIA38,"1.352325,105.326721",24475,379,88
1549546080,2019-02-07T13:28:00Z,SIA38,"1.35379,105.385376",25200,382,88
1549546170,2019-02-07T13:29:30Z,SIA38,"1.357544,105.545517",27000,390,88
1549546237,2019-02-07T13:30:37Z,SIA38,"1.360428,105.667526",27900,402,88
1549546276,2019-02-07T13:31:16Z,SIA38,"1.365326,105.741776",28475,406,78
1549546331,2019-02-07T13:32:11Z,SIA38,"1.42813,105.821259",28975,427,28
1549546340,2019-02-07T13:32:20Z,SIA38,"1.446657,105.830353",29125,428,25
1549546409,2019-02-07T13:33:29Z,SIA38,"1.566513,105.892937",30125,433,27
1549546468,2019-02-07T13:34:28Z,SIA38,"1.673041,105.948219",30800,441,27
1549546514,2019-02-07T13:35:14Z,SIA38,"1.75589,105.990974",31100,452,27
1549546714,2019-02-07T13:38:34Z,SIA38,"2.137818,106.188637",32825,476,27
1549546774,2019-02-07T13:39:34Z,SIA38,"2.258715,106.251198",33300,483,27
1549546831,2019-02-07T13:40:31Z,SIA38,"2.371719,106.309715",33800,487,27
1549547028,2019-02-07T13:43:48Z,SIA38,"2.770615,106.516129",35975,485,27
1549547039,2019-02-07T13:43:59Z,SIA38,"2.7936,106.528076",36000,484,27
1549547130,2019-02-07T13:45:30Z,SIA38,"2.97506,106.622032",36000,487,27
1549547137,2019-02-07T13:45:37Z,SIA38,"2.988374,106.628944",36000,487,27
1549547228,2019-02-07T13:47:08Z,SIA38,"3.169098,106.722496",36000,490,27
1549547288,2019-02-07T13:48:08Z,SIA38,"3.29361,106.787064",36000,490,27
1549553297,2019-02-07T15:28:17Z,SIA38,"11.792846,117.368919",36000,488,52
1549553398,2019-02-07T15:29:58Z,SIA38,"11.93248,117.553192",36000,492,52
1549553423,2019-02-07T15:30:23Z,SIA38,"11.967929,117.600113",36000,491,52
1549553500,2019-02-07T15:31:40Z,SIA38,"12.075138,117.74192",36000,490,52
1549553603,2019-02-07T15:33:23Z,SIA38,"12.2173,117.930321",36000,495,52
1549553689,2019-02-07T15:34:49Z,SIA38,"12.339089,118.091995",36000,493,52
1549553752,2019-02-07T15:35:52Z,SIA38,"12.427231,118.209152",36000,490,52
1549553813,2019-02-07T15:36:53Z,SIA38,"12.510956,118.320572",36000,492,52
1549553877,2019-02-07T15:37:57Z,SIA38,"12.599487,118.438301",36000,489,51
1549553937,2019-02-07T15:38:57Z,SIA38,"12.6931,118.541489",36000,496,47
1549554001,2019-02-07T15:40:01Z,SIA38,"12.791885,118.652962",36000,499,48
1549554061,2019-02-07T15:41:01Z,SIA38,"12.885498,118.759315",36000,497,48
1549554125,2019-02-07T15:42:05Z,SIA38,"12.982814,118.869995",36000,497,48
1549554186,2019-02-07T15:43:06Z,SIA38,"13.075562,118.975586",36000,495,48
