Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550322468,2019-02-16T13:07:48Z,SIA38,"1.357452,103.997185",575,166,23
1550322475,2019-02-16T13:07:55Z,SIA38,"1.361699,103.999046",850,163,23
1550322487,2019-02-16T13:08:07Z,SIA38,"1.370032,104.002693",1400,161,23
1550322494,2019-02-16T13:08:14Z,SIA38,"1.374161,104.004402",1650,159,22
1550322506,2019-02-16T13:08:26Z,SIA38,"1.382369,104.00766",1950,167,21
1550322516,2019-02-16T13:08:36Z,SIA38,"1.391679,104.011261",2025,187,20
1550322524,2019-02-16T13:08:44Z,SIA38,"1.39694,104.013298",2075,196,21
1550322535,2019-02-16T13:08:55Z,SIA38,"1.40746,104.017654",2250,211,22
1550322548,2019-02-16T13:09:08Z,SIA38,"1.418633,104.022293",2450,223,22
1550322554,2019-02-16T13:09:14Z,SIA38,"1.424744,104.024887",2625,227,23
1550322565,2019-02-16T13:09:25Z,SIA38,"1.436416,104.029869",2975,234,23
1550322577,2019-02-16T13:09:37Z,SIA38,"1.448659,104.035126",3300,241,23
1550322584,2019-02-16T13:09:44Z,SIA38,"1.454681,104.037735",3450,245,23
1550322595,2019-02-16T13:09:55Z,SIA38,"1.467559,104.044083",3875,249,33
1550322603,2019-02-16T13:10:03Z,SIA38,"1.473038,104.048485",4125,250,44
1550322609,2019-02-16T13:10:09Z,SIA38,"1.477341,104.053749",4300,254,55
1550322617,2019-02-16T13:10:17Z,SIA38,"1.481711,104.063545",4450,264,75
1550322642,2019-02-16T13:10:42Z,SIA38,"1.473658,104.096214",5175,281,120
1550322648,2019-02-16T13:10:48Z,SIA38,"1.471609,104.09977",5275,283,119
1550322663,2019-02-16T13:11:03Z,SIA38,"1.462143,104.117477",5500,300,116
1550322675,2019-02-16T13:11:15Z,SIA38,"1.454681,104.133163",5675,313,114
1550322685,2019-02-16T13:11:25Z,SIA38,"1.447723,104.148758",5825,326,113
1550322699,2019-02-16T13:11:39Z,SIA38,"1.440047,104.166016",5975,338,113
1550322708,2019-02-16T13:11:48Z,SIA38,"1.432663,104.182648",6025,353,114
1550322723,2019-02-16T13:12:03Z,SIA38,"1.423965,104.201828",6175,364,114
1550322734,2019-02-16T13:12:14Z,SIA38,"1.415222,104.220917",6575,366,114
1550322745,2019-02-16T13:12:25Z,SIA38,"1.406799,104.239212",6975,368,114
1550322757,2019-02-16T13:12:37Z,SIA38,"1.398148,104.25811",7375,371,114
1550322769,2019-02-16T13:12:49Z,SIA38,"1.389542,104.276733",7700,375,114
1550322783,2019-02-16T13:13:03Z,SIA38,"1.380646,104.29615",8075,378,114
1550322792,2019-02-16T13:13:12Z,SIA38,"1.37233,104.314117",8425,380,114
1550322805,2019-02-16T13:13:25Z,SIA38,"1.362854,104.334503",8800,383,114
1550322817,2019-02-16T13:13:37Z,SIA38,"1.353836,104.354012",9175,385,114
1550322830,2019-02-16T13:13:50Z,SIA38,"1.344801,104.373573",9625,385,114
1550322841,2019-02-16T13:14:01Z,SIA38,"1.336282,104.392609",10025,385,111
1550322850,2019-02-16T13:14:10Z,SIA38,"1.331627,104.407715",10300,386,102
1550322856,2019-02-16T13:14:16Z,SIA38,"1.330124,104.418159",10450,386,94
1550322862,2019-02-16T13:14:22Z,SIA38,"1.329811,104.429359",10600,389,89
1550322868,2019-02-16T13:14:28Z,SIA38,"1.330323,104.440437",10750,390,86
1550322874,2019-02-16T13:14:34Z,SIA38,"1.330882,104.450813",10950,390,86
1550322880,2019-02-16T13:14:40Z,SIA38,"1.331451,104.461456",11175,389,87
1550322894,2019-02-16T13:14:54Z,SIA38,"1.332321,104.484123",11650,389,88
1550322905,2019-02-16T13:15:05Z,SIA38,"1.332916,104.505959",11925,393,88
1550322917,2019-02-16T13:15:17Z,SIA38,"1.33342,104.527603",12200,397,88
1550322948,2019-02-16T13:15:48Z,SIA38,"1.33456,104.583069",12975,404,88
1550322980,2019-02-16T13:16:20Z,SIA38,"1.336003,104.643967",13925,407,88
1550323014,2019-02-16T13:16:54Z,SIA38,"1.337539,104.707756",14800,411,88
1550323046,2019-02-16T13:17:26Z,SIA38,"1.33905,104.770142",15675,415,88
1550323079,2019-02-16T13:17:59Z,SIA38,"1.340561,104.834152",16500,418,88
1550323112,2019-02-16T13:18:32Z,SIA38,"1.342163,104.897881",17325,420,88
1550323146,2019-02-16T13:19:06Z,SIA38,"1.343684,104.96125",17950,426,88
1550323180,2019-02-16T13:19:40Z,SIA38,"1.34522,105.027969",18625,431,88
1550323267,2019-02-16T13:21:07Z,SIA38,"1.349456,105.203896",20300,443,88
1550323294,2019-02-16T13:21:34Z,SIA38,"1.35585,105.262939",20875,445,77
1550323306,2019-02-16T13:21:46Z,SIA38,"1.360955,105.283073",21075,447,75
1550323367,2019-02-16T13:22:47Z,SIA38,"1.395543,105.407707",22075,456,74
1550323458,2019-02-16T13:24:18Z,SIA38,"1.463425,105.588203",23600,467,65
1550323497,2019-02-16T13:24:57Z,SIA38,"1.50444,105.663712",24450,469,55
1550323540,2019-02-16T13:25:40Z,SIA38,"1.561455,105.737061",25075,479,43
1550323549,2019-02-16T13:25:49Z,SIA38,"1.57608,105.749786",25200,480,38
1550323555,2019-02-16T13:25:55Z,SIA38,"1.587158,105.757935",25300,481,34
1550323561,2019-02-16T13:26:01Z,SIA38,"1.59865,105.765526",25400,482,33
1550323568,2019-02-16T13:26:08Z,SIA38,"1.609497,105.77253",25475,483,32
1550323620,2019-02-16T13:27:00Z,SIA38,"1.708832,105.839073",26550,484,34
1550323777,2019-02-16T13:29:37Z,SIA38,"2.009148,106.039612",28575,503,33
1550323817,2019-02-16T13:30:17Z,SIA38,"2.08717,106.091705",28900,510,33
1550323907,2019-02-16T13:31:47Z,SIA38,"2.263229,106.20916",30225,509,33
1550323940,2019-02-16T13:32:20Z,SIA38,"2.330638,106.254181",30575,513,33
1550324019,2019-02-16T13:33:39Z,SIA38,"2.485703,106.357712",31600,512,33
1550324158,2019-02-16T13:35:58Z,SIA38,"2.77577,106.518799",33550,509,27
1550324222,2019-02-16T13:37:02Z,SIA38,"2.909775,106.588242",34300,509,27
1550326282,2019-02-16T14:11:22Z,SIA38,"6.954117,109.318756",36000,522,35
1550326452,2019-02-16T14:14:12Z,SIA38,"7.289108,109.557014",36000,516,35
1550326516,2019-02-16T14:15:16Z,SIA38,"7.414701,109.646492",36000,517,35
1550326555,2019-02-16T14:15:55Z,SIA38,"7.49057,109.700531",36000,519,35
1550326584,2019-02-16T14:16:24Z,SIA38,"7.547375,109.741013",36000,520,35
1550326661,2019-02-16T14:17:41Z,SIA38,"7.698669,109.848991",36000,521,35
