Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550408320,2019-02-17T12:58:40Z,SIA38,"1.362375,103.988022",0,10,118
1550408367,2019-02-17T12:59:27Z,SIA38,"1.362568,103.987457",0,10,146
1550408421,2019-02-17T13:00:21Z,SIA38,"1.362782,103.98719",0,0,309
1550408619,2019-02-17T13:03:39Z,SIA38,"1.362095,103.986847",0,17,202
1550408667,2019-02-17T13:04:27Z,SIA38,"1.360725,103.986191",0,21,210
1550408678,2019-02-17T13:04:38Z,SIA38,"1.360531,103.985832",0,23,236
1550408708,2019-02-17T13:05:08Z,SIA38,"1.359695,103.984779",0,26,216
1550408753,2019-02-17T13:05:53Z,SIA38,"1.357626,103.983879",0,28,202
1550409034,2019-02-17T13:10:34Z,SIA38,"1.346198,103.983276",0,29,112
1550409686,2019-02-17T13:21:26Z,SIA38,"1.333168,103.983986",0,21,202
1550409800,2019-02-17T13:23:20Z,SIA38,"1.330975,103.983963",0,17,202
1550409840,2019-02-17T13:24:00Z,SIA38,"1.330215,103.983643",0,11,202
1550409936,2019-02-17T13:25:36Z,SIA38,"1.329105,103.98455",0,25,112
1550409946,2019-02-17T13:25:46Z,SIA38,"1.329025,103.984978",0,21,101
1550409995,2019-02-17T13:26:35Z,SIA38,"1.330616,103.985771",0,41,22
1550410037,2019-02-17T13:27:17Z,SIA38,"1.35347,103.995514",175,183,24
1550410043,2019-02-17T13:27:23Z,SIA38,"1.358185,103.997604",475,179,24
1550410049,2019-02-17T13:27:29Z,SIA38,"1.362762,103.999702",750,176,25
1550410055,2019-02-17T13:27:35Z,SIA38,"1.366791,104.001984",1050,174,34
1550410061,2019-02-17T13:27:41Z,SIA38,"1.370544,104.00544",1325,171,51
1550410067,2019-02-17T13:27:47Z,SIA38,"1.372879,104.009247",1575,171,63
1550410073,2019-02-17T13:27:53Z,SIA38,"1.374756,104.013992",1825,173,70
1550410079,2019-02-17T13:27:59Z,SIA38,"1.376224,104.018463",1975,177,72
1550410085,2019-02-17T13:28:05Z,SIA38,"1.377823,104.023445",2050,186,72
1550410093,2019-02-17T13:28:13Z,SIA38,"1.379333,104.028145",2100,194,71
1550410102,2019-02-17T13:28:22Z,SIA38,"1.382136,104.036552",2200,207,71
1550410112,2019-02-17T13:28:32Z,SIA38,"1.385925,104.047554",2325,226,70
1550410118,2019-02-17T13:28:38Z,SIA38,"1.388123,104.053886",2400,236,71
1550410126,2019-02-17T13:28:46Z,SIA38,"1.390182,104.060127",2500,242,71
1550410137,2019-02-17T13:28:57Z,SIA38,"1.394348,104.073303",2900,247,75
1550410145,2019-02-17T13:29:05Z,SIA38,"1.395813,104.083542",3275,249,87
1550410167,2019-02-17T13:29:27Z,SIA38,"1.392703,104.107964",4025,255,100
1550410175,2019-02-17T13:29:35Z,SIA38,"1.39126,104.115158",4300,255,101
1550410181,2019-02-17T13:29:41Z,SIA38,"1.389038,104.125763",4525,264,102
1550410187,2019-02-17T13:29:47Z,SIA38,"1.387443,104.13282",4600,271,102
1550410194,2019-02-17T13:29:54Z,SIA38,"1.38572,104.140259",4725,277,103
1550410200,2019-02-17T13:30:00Z,SIA38,"1.383905,104.147972",4925,279,102
1550410217,2019-02-17T13:30:17Z,SIA38,"1.378924,104.170135",5625,282,102
