Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550493996,2019-02-18T12:46:36Z,SIA38,"1.362545,103.987503",0,11,149
1550494040,2019-02-18T12:47:20Z,SIA38,"1.362865,103.987251",0,0,322
1550494570,2019-02-18T12:56:10Z,SIA38,"1.346901,103.982323",0,17,112
1550494618,2019-02-18T12:56:58Z,SIA38,"1.34522,103.986214",0,22,112
1550494625,2019-02-18T12:57:05Z,SIA38,"1.344917,103.986908",0,24,112
1550494888,2019-02-18T13:01:28Z,SIA38,"1.334461,103.986076",0,22,202
1550495197,2019-02-18T13:06:37Z,SIA38,"1.330009,103.983551",0,20,202
1550495284,2019-02-18T13:08:04Z,SIA38,"1.328979,103.98484",0,22,112
1550495388,2019-02-18T13:09:48Z,SIA38,"1.329609,103.985336",0,29,22
1550495440,2019-02-18T13:10:40Z,SIA38,"1.353879,103.995636",325,174,24
1550495454,2019-02-18T13:10:54Z,SIA38,"1.364914,104.000443",1000,170,23
1550495462,2019-02-18T13:11:02Z,SIA38,"1.369354,104.002312",1250,170,22
1550495472,2019-02-18T13:11:12Z,SIA38,"1.37776,104.005676",1725,169,21
1550495479,2019-02-18T13:11:19Z,SIA38,"1.382508,104.007568",1925,173,21
1550495486,2019-02-18T13:11:26Z,SIA38,"1.389313,104.010223",2050,182,21
1550495492,2019-02-18T13:11:32Z,SIA38,"1.3941,104.01207",2125,190,21
1550495498,2019-02-18T13:11:38Z,SIA38,"1.399174,104.014107",2225,196,22
1550495506,2019-02-18T13:11:46Z,SIA38,"1.404694,104.016365",2325,203,22
1550495518,2019-02-18T13:11:58Z,SIA38,"1.415451,104.020699",2475,218,22
1550495532,2019-02-18T13:12:12Z,SIA38,"1.430054,104.026657",2625,239,22
1550495538,2019-02-18T13:12:18Z,SIA38,"1.436556,104.02935",2750,244,22
1550495544,2019-02-18T13:12:24Z,SIA38,"1.442793,104.031906",2950,246,22
1550495550,2019-02-18T13:12:30Z,SIA38,"1.449125,104.034561",3175,245,22
1550495556,2019-02-18T13:12:36Z,SIA38,"1.455735,104.037354",3475,244,22
1550495569,2019-02-18T13:12:49Z,SIA38,"1.46814,104.042526",3875,247,23
1550495575,2019-02-18T13:12:55Z,SIA38,"1.474449,104.045212",3975,250,23
1550495586,2019-02-18T13:13:06Z,SIA38,"1.48767,104.050896",4075,250,23
1550495593,2019-02-18T13:13:13Z,SIA38,"1.494186,104.053703",4150,251,23
1550495606,2019-02-18T13:13:26Z,SIA38,"1.506775,104.059151",4275,251,23
1550495617,2019-02-18T13:13:37Z,SIA38,"1.519884,104.064865",4400,249,23
1550495628,2019-02-18T13:13:48Z,SIA38,"1.532593,104.070976",4525,249,31
1550495635,2019-02-18T13:13:55Z,SIA38,"1.538132,104.075165",4575,251,42
1550495643,2019-02-18T13:14:03Z,SIA38,"1.544586,104.083679",4700,262,62
1550495649,2019-02-18T13:14:09Z,SIA38,"1.547024,104.090157",4750,269,75
1550495655,2019-02-18T13:14:15Z,SIA38,"1.548048,104.098114",4825,275,89
1550495676,2019-02-18T13:14:36Z,SIA38,"1.538086,104.122688",5075,285,127
1550495682,2019-02-18T13:14:42Z,SIA38,"1.532965,104.129128",5175,290,128
1550495699,2019-02-18T13:14:59Z,SIA38,"1.520462,104.144989",5425,305,127
1550495709,2019-02-18T13:15:09Z,SIA38,"1.510015,104.158821",5625,316,126
1550495721,2019-02-18T13:15:21Z,SIA38,"1.498993,104.173897",5850,328,125
1550495734,2019-02-18T13:15:34Z,SIA38,"1.488144,104.188797",6025,340,125
