Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550839735,2019-02-22T12:48:55Z,SIA38,"1.364262,103.987839",0,0,316
1550839985,2019-02-22T12:53:05Z,SIA38,"1.360531,103.98526",0,33,202
1550840029,2019-02-22T12:53:49Z,SIA38,"1.357719,103.984055",0,15,202
1550840677,2019-02-22T13:04:37Z,SIA38,"1.329014,103.984825",0,22,109
1550840686,2019-02-22T13:04:46Z,SIA38,"1.329082,103.985146",0,21,81
1550840764,2019-02-22T13:06:04Z,SIA38,"1.354158,103.995636",400,169,22
1550840770,2019-02-22T13:06:10Z,SIA38,"1.358674,103.997437",650,166,21
1550840776,2019-02-22T13:06:16Z,SIA38,"1.362991,103.999092",950,164,20
1550840786,2019-02-22T13:06:26Z,SIA38,"1.369381,104.001602",1375,161,21
1550840792,2019-02-22T13:06:32Z,SIA38,"1.373244,104.00312",1625,160,21
1550840803,2019-02-22T13:06:43Z,SIA38,"1.38176,104.006592",1950,170,22
1550840809,2019-02-22T13:06:49Z,SIA38,"1.386465,104.008659",2000,179,25
1550840818,2019-02-22T13:06:58Z,SIA38,"1.393215,104.012779",2075,193,38
1550840827,2019-02-22T13:07:07Z,SIA38,"1.398988,104.0186",2125,207,50
1550840834,2019-02-22T13:07:14Z,SIA38,"1.4022,104.023766",2175,220,64
1550840842,2019-02-22T13:07:22Z,SIA38,"1.404621,104.032906",2250,237,84
1550840849,2019-02-22T13:07:29Z,SIA38,"1.404807,104.039772",2350,241,88
1550840869,2019-02-22T13:07:49Z,SIA38,"1.401489,104.062874",3325,238,102
1550840876,2019-02-22T13:07:56Z,SIA38,"1.399887,104.069672",3575,239,104
1550840886,2019-02-22T13:08:06Z,SIA38,"1.397324,104.079071",3825,242,105
1550840896,2019-02-22T13:08:16Z,SIA38,"1.393478,104.092247",4200,245,106
1550840902,2019-02-22T13:08:22Z,SIA38,"1.391633,104.098961",4425,247,105
1550840908,2019-02-22T13:08:28Z,SIA38,"1.389771,104.105698",4600,251,104
1550840914,2019-02-22T13:08:34Z,SIA38,"1.388077,104.11245",4700,257,103
1550840921,2019-02-22T13:08:41Z,SIA38,"1.386326,104.119705",4800,264,102
1550840927,2019-02-22T13:08:47Z,SIA38,"1.38465,104.12709",4900,272,102
1550840933,2019-02-22T13:08:53Z,SIA38,"1.383114,104.13443",5050,274,101
1550840944,2019-02-22T13:09:04Z,SIA38,"1.380112,104.14904",5525,274,101
1550840957,2019-02-22T13:09:17Z,SIA38,"1.376999,104.164589",6075,273,101
1550840972,2019-02-22T13:09:32Z,SIA38,"1.373291,104.182922",6750,269,101
1550840987,2019-02-22T13:09:47Z,SIA38,"1.369707,104.201157",7250,273,101
1550840999,2019-02-22T13:09:59Z,SIA38,"1.366837,104.215935",7650,275,100
1550841011,2019-02-22T13:10:11Z,SIA38,"1.363887,104.231323",8075,278,100
1550841023,2019-02-22T13:10:23Z,SIA38,"1.360931,104.246941",8450,283,100
1550841037,2019-02-22T13:10:37Z,SIA38,"1.357929,104.262337",8775,287,101
1550841047,2019-02-22T13:10:47Z,SIA38,"1.354903,104.277679",9300,284,101
1550841059,2019-02-22T13:10:59Z,SIA38,"1.351913,104.292976",9800,283,100
1550841071,2019-02-22T13:11:11Z,SIA38,"1.348851,104.308838",10025,292,100
1550841084,2019-02-22T13:11:24Z,SIA38,"1.345732,104.325127",10300,298,101
1550841096,2019-02-22T13:11:36Z,SIA38,"1.34238,104.342087",10450,309,100
1550841109,2019-02-22T13:11:49Z,SIA38,"1.339075,104.359276",10600,320,100
1550841119,2019-02-22T13:11:59Z,SIA38,"1.335663,104.376778",10725,331,100
1550841131,2019-02-22T13:12:11Z,SIA38,"1.332185,104.394882",10875,341,100
1550841143,2019-02-22T13:12:23Z,SIA38,"1.329997,104.414345",11000,351,92
1550841167,2019-02-22T13:12:47Z,SIA38,"1.331268,104.454239",11250,370,87
1550841179,2019-02-22T13:12:59Z,SIA38,"1.331999,104.475151",11400,378,88
1550841192,2019-02-22T13:13:12Z,SIA38,"1.332511,104.496742",11725,381,88
1550841203,2019-02-22T13:13:23Z,SIA38,"1.332962,104.517548",11975,385,88
1550841216,2019-02-22T13:13:36Z,SIA38,"1.333442,104.539932",12250,389,88
1550841248,2019-02-22T13:14:08Z,SIA38,"1.334839,104.599548",13100,396,88
1550841281,2019-02-22T13:14:41Z,SIA38,"1.336282,104.6595",13975,400,88
1550841315,2019-02-22T13:15:15Z,SIA38,"1.337725,104.721535",14750,406,88
1550841351,2019-02-22T13:15:51Z,SIA38,"1.339371,104.790253",15850,407,88
1550841384,2019-02-22T13:16:24Z,SIA38,"1.340927,104.852493",16575,415,88
1550841417,2019-02-22T13:16:57Z,SIA38,"1.342621,104.916924",17400,420,88
1550841449,2019-02-22T13:17:29Z,SIA38,"1.344103,104.979904",18225,423,88
1550841513,2019-02-22T13:18:33Z,SIA38,"1.347036,105.106346",19600,437,88
1550841576,2019-02-22T13:19:36Z,SIA38,"1.350037,105.231987",20825,448,88
1550841590,2019-02-22T13:19:50Z,SIA38,"1.350806,105.263847",21125,451,88
1550841682,2019-02-22T13:21:22Z,SIA38,"1.355484,105.459023",23175,458,88
1550841742,2019-02-22T13:22:22Z,SIA38,"1.358441,105.585907",24575,458,88
1550841816,2019-02-22T13:23:36Z,SIA38,"1.371615,105.740097",26075,457,69
1550841823,2019-02-22T13:23:43Z,SIA38,"1.377388,105.753494",26200,458,64
1550841835,2019-02-22T13:23:55Z,SIA38,"1.389538,105.774712",26375,459,57
1550841843,2019-02-22T13:24:03Z,SIA38,"1.400897,105.790054",26500,461,50
1550841853,2019-02-22T13:24:13Z,SIA38,"1.413745,105.80407",26625,462,46
