Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551013625,2019-02-24T13:07:05Z,SIA38,"1.353424,103.995369",400,164,22
1551013631,2019-02-24T13:07:11Z,SIA38,"1.357603,103.997147",650,164,22
1551013643,2019-02-24T13:07:23Z,SIA38,"1.365875,104.000496",1150,161,21
1551013651,2019-02-24T13:07:31Z,SIA38,"1.372238,104.00296",1575,158,21
1551013662,2019-02-24T13:07:42Z,SIA38,"1.378372,104.005333",1875,162,21
1551013674,2019-02-24T13:07:54Z,SIA38,"1.387024,104.008736",2125,173,21
1551013684,2019-02-24T13:08:04Z,SIA38,"1.396454,104.012505",2325,186,22
1551013691,2019-02-24T13:08:11Z,SIA38,"1.401718,104.014595",2450,194,22
1551013702,2019-02-24T13:08:22Z,SIA38,"1.412209,104.018883",2650,207,23
1551013709,2019-02-24T13:08:29Z,SIA38,"1.416962,104.021301",2700,216,28
1551013717,2019-02-24T13:08:37Z,SIA38,"1.425197,104.027267",2775,232,43
1551013725,2019-02-24T13:08:45Z,SIA38,"1.429293,104.031906",2875,240,53
1551013733,2019-02-24T13:08:53Z,SIA38,"1.433853,104.040947",3150,245,72
1551013740,2019-02-24T13:09:00Z,SIA38,"1.435112,104.047958",3375,247,86
1551013746,2019-02-24T13:09:06Z,SIA38,"1.434693,104.05497",3625,248,98
1551013753,2019-02-24T13:09:13Z,SIA38,"1.433437,104.0616",3825,251,101
1551013760,2019-02-24T13:09:20Z,SIA38,"1.430969,104.071808",4150,254,105
1551013766,2019-02-24T13:09:26Z,SIA38,"1.429061,104.078461",4350,257,107
1551013777,2019-02-24T13:09:37Z,SIA38,"1.425522,104.088852",4625,263,109
1551013787,2019-02-24T13:09:47Z,SIA38,"1.42067,104.102066",4900,274,110
1551013805,2019-02-24T13:10:05Z,SIA38,"1.412302,104.124916",5525,284,109
1551013820,2019-02-24T13:10:20Z,SIA38,"1.405701,104.144058",5850,287,108
1551013832,2019-02-24T13:10:32Z,SIA38,"1.400894,104.158958",5975,284,107
1551013844,2019-02-24T13:10:44Z,SIA38,"1.396271,104.173897",6250,280,106
1551013857,2019-02-24T13:10:57Z,SIA38,"1.391876,104.189079",6750,281,105
1551013868,2019-02-24T13:11:08Z,SIA38,"1.387573,104.204254",7300,280,105
1551013882,2019-02-24T13:11:22Z,SIA38,"1.383486,104.218864",7800,280,105
1551013892,2019-02-24T13:11:32Z,SIA38,"1.379157,104.234398",8325,281,105
1551013904,2019-02-24T13:11:44Z,SIA38,"1.37506,104.249031",8700,286,105
1551013915,2019-02-24T13:11:55Z,SIA38,"1.370956,104.263283",9050,290,106
1551013928,2019-02-24T13:12:08Z,SIA38,"1.365967,104.280037",9550,292,106
1551013940,2019-02-24T13:12:20Z,SIA38,"1.361234,104.29615",10000,294,106
1551013952,2019-02-24T13:12:32Z,SIA38,"1.35672,104.3116",10375,299,105
1551013964,2019-02-24T13:12:44Z,SIA38,"1.352156,104.327827",10575,310,105
1551013976,2019-02-24T13:12:56Z,SIA38,"1.347427,104.344887",10775,322,105
1551013990,2019-02-24T13:13:10Z,SIA38,"1.342427,104.362633",10925,334,105
1551014000,2019-02-24T13:13:20Z,SIA38,"1.337265,104.380592",11075,346,106
1551014012,2019-02-24T13:13:32Z,SIA38,"1.332047,104.39991",11225,357,102
1551014021,2019-02-24T13:13:41Z,SIA38,"1.329951,104.414963",11350,363,94
1551014027,2019-02-24T13:13:47Z,SIA38,"1.329803,104.424812",11400,369,89
1551014037,2019-02-24T13:13:57Z,SIA38,"1.330416,104.440392",11500,377,87
1551014043,2019-02-24T13:14:03Z,SIA38,"1.330882,104.45105",11575,381,87
1551014054,2019-02-24T13:14:14Z,SIA38,"1.33168,104.471786",11900,385,88
1551014067,2019-02-24T13:14:27Z,SIA38,"1.332275,104.493668",12350,385,88
1551014097,2019-02-24T13:14:57Z,SIA38,"1.333557,104.547012",13475,385,88
1551014130,2019-02-24T13:15:30Z,SIA38,"1.334839,104.606651",14550,388,88
1551014165,2019-02-24T13:16:05Z,SIA38,"1.336304,104.666145",15475,395,88
1551014196,2019-02-24T13:16:36Z,SIA38,"1.337952,104.726616",16400,399,88
1551014229,2019-02-24T13:17:09Z,SIA38,"1.339401,104.787788",17200,406,88
1551014263,2019-02-24T13:17:43Z,SIA38,"1.340891,104.850578",17875,417,88
1551014296,2019-02-24T13:18:16Z,SIA38,"1.342473,104.915222",18525,426,88
1551014358,2019-02-24T13:19:18Z,SIA38,"1.345413,105.040329",20125,431,88
1551014419,2019-02-24T13:20:19Z,SIA38,"1.34848,105.159782",21500,436,87
1551014481,2019-02-24T13:21:21Z,SIA38,"1.366168,105.286102",22900,441,80
1551014545,2019-02-24T13:22:25Z,SIA38,"1.387396,105.416092",23725,459,80
1551014616,2019-02-24T13:23:36Z,SIA38,"1.412933,105.568047",24950,468,77
1551014633,2019-02-24T13:23:53Z,SIA38,"1.425429,105.602051",25300,466,64
1551014641,2019-02-24T13:24:01Z,SIA38,"1.433716,105.616592",25425,466,58
1551014647,2019-02-24T13:24:07Z,SIA38,"1.44135,105.627724",25550,466,54
1551014655,2019-02-24T13:24:15Z,SIA38,"1.452988,105.64183",25675,467,47
1551014661,2019-02-24T13:24:21Z,SIA38,"1.462345,105.651398",25750,468,44
1551014668,2019-02-24T13:24:28Z,SIA38,"1.47282,105.660728",25850,468,39
1551014674,2019-02-24T13:24:34Z,SIA38,"1.482193,105.667946",25925,469,36
1551014682,2019-02-24T13:24:42Z,SIA38,"1.498947,105.679214",26050,469,32
1551014690,2019-02-24T13:24:50Z,SIA38,"1.509968,105.686249",26150,470,32
1551014758,2019-02-24T13:25:58Z,SIA38,"1.63623,105.773384",27050,481,35
1551014821,2019-02-24T13:27:01Z,SIA38,"1.751295,105.852417",27825,490,34
1551014881,2019-02-24T13:28:01Z,SIA38,"1.865479,105.930687",28675,494,34
1551014971,2019-02-24T13:29:31Z,SIA38,"2.038055,106.049118",29775,503,34
1551015001,2019-02-24T13:30:01Z,SIA38,"2.095139,106.08831",30125,505,34
1551015179,2019-02-24T13:32:59Z,SIA38,"2.438453,106.324028",33075,494,34
1551015198,2019-02-24T13:33:18Z,SIA38,"2.475136,106.349266",33350,494,34
