Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551186696,2019-02-26T13:11:36Z,SIA38,"1.329792,103.983536",0,17,191
1551186748,2019-02-26T13:12:28Z,SIA38,"1.32962,103.985352",0,18,28
1551186818,2019-02-26T13:13:38Z,SIA38,"1.35022,103.994019",275,166,23
1551186825,2019-02-26T13:13:45Z,SIA38,"1.354624,103.995827",475,165,22
1551186834,2019-02-26T13:13:54Z,SIA38,"1.361206,103.998352",800,165,19
1551186844,2019-02-26T13:14:04Z,SIA38,"1.369629,104.001984",1325,160,33
1551186851,2019-02-26T13:14:11Z,SIA38,"1.372872,104.004822",1550,159,48
1551186858,2019-02-26T13:14:18Z,SIA38,"1.375351,104.008408",1750,162,60
1551186867,2019-02-26T13:14:27Z,SIA38,"1.378235,104.015205",1950,172,70
1551186875,2019-02-26T13:14:35Z,SIA38,"1.380341,104.022232",2025,187,77
1551186881,2019-02-26T13:14:41Z,SIA38,"1.381027,104.027443",2100,196,85
1551186887,2019-02-26T13:14:47Z,SIA38,"1.380981,104.033173",2175,207,94
1551186894,2019-02-26T13:14:54Z,SIA38,"1.380367,104.038963",2225,216,96
1551186902,2019-02-26T13:15:02Z,SIA38,"1.379196,104.048393",2400,225,97
1551186908,2019-02-26T13:15:08Z,SIA38,"1.378464,104.054306",2475,233,96
1551186919,2019-02-26T13:15:19Z,SIA38,"1.377228,104.064499",2625,244,96
1551186930,2019-02-26T13:15:30Z,SIA38,"1.375572,104.078697",2850,256,96
1551186937,2019-02-26T13:15:37Z,SIA38,"1.374688,104.085655",3075,257,97
1551186947,2019-02-26T13:15:47Z,SIA38,"1.372879,104.09951",3525,260,97
1551186954,2019-02-26T13:15:54Z,SIA38,"1.371826,104.107147",3775,260,97
1551186965,2019-02-26T13:16:05Z,SIA38,"1.369939,104.121124",4250,261,97
1551186971,2019-02-26T13:16:11Z,SIA38,"1.368942,104.128235",4475,262,98
1551186979,2019-02-26T13:16:19Z,SIA38,"1.367935,104.135353",4700,263,98
1551186988,2019-02-26T13:16:28Z,SIA38,"1.365843,104.149681",5150,265,98
1551187001,2019-02-26T13:16:41Z,SIA38,"1.363608,104.165405",5400,278,98
1551187013,2019-02-26T13:16:53Z,SIA38,"1.361389,104.181023",5525,292,98
1551187025,2019-02-26T13:17:05Z,SIA38,"1.359093,104.197556",5750,303,97
1551187037,2019-02-26T13:17:17Z,SIA38,"1.35672,104.214355",6150,306,97
1551187049,2019-02-26T13:17:29Z,SIA38,"1.354385,104.231255",6575,309,97
1551187061,2019-02-26T13:17:41Z,SIA38,"1.351913,104.248802",6775,321,97
1551187074,2019-02-26T13:17:54Z,SIA38,"1.34935,104.267052",6925,333,97
1551187085,2019-02-26T13:18:05Z,SIA38,"1.346663,104.286156",7075,344,97
1551187098,2019-02-26T13:18:18Z,SIA38,"1.34404,104.30513",7225,352,97
1551187111,2019-02-26T13:18:31Z,SIA38,"1.341263,104.325127",7500,359,97
1551187121,2019-02-26T13:18:41Z,SIA38,"1.33861,104.344307",7850,362,97
1551187133,2019-02-26T13:18:53Z,SIA38,"1.3358,104.364578",8225,365,97
1551187146,2019-02-26T13:19:06Z,SIA38,"1.332977,104.384705",8575,367,97
1551187158,2019-02-26T13:19:18Z,SIA38,"1.330536,104.405495",9000,368,94
1551187172,2019-02-26T13:19:32Z,SIA38,"1.33023,104.425667",9425,368,88
1551187180,2019-02-26T13:19:40Z,SIA38,"1.330856,104.441345",9725,370,87
