Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551272260,2019-02-27T12:57:40Z,SIA38,"1.346151,103.983727",0,31,112
1551272891,2019-02-27T13:08:11Z,SIA38,"1.329071,103.985146",0,21,81
1551272974,2019-02-27T13:09:34Z,SIA38,"1.352829,103.99514",300,177,22
1551272980,2019-02-27T13:09:40Z,SIA38,"1.357681,103.997093",525,177,22
1551272992,2019-02-27T13:09:52Z,SIA38,"1.366425,104.001007",1075,171,31
1551272999,2019-02-27T13:09:59Z,SIA38,"1.370132,104.00412",1400,167,48
1551273010,2019-02-27T13:10:10Z,SIA38,"1.37384,104.010033",1825,167,64
1551273018,2019-02-27T13:10:18Z,SIA38,"1.37645,104.016319",2050,172,69
1551273027,2019-02-27T13:10:27Z,SIA38,"1.378922,104.023491",2200,183,72
1551273037,2019-02-27T13:10:37Z,SIA38,"1.381073,104.031311",2300,196,77
1551273044,2019-02-27T13:10:44Z,SIA38,"1.382415,104.039536",2425,207,84
1551273067,2019-02-27T13:11:07Z,SIA38,"1.379715,104.064156",2875,235,99
1551273074,2019-02-27T13:11:14Z,SIA38,"1.378693,104.071068",3000,240,98
1551273085,2019-02-27T13:11:25Z,SIA38,"1.377341,104.08078",3175,249,97
1551273094,2019-02-27T13:11:34Z,SIA38,"1.375534,104.09481",3425,259,97
1551273101,2019-02-27T13:11:41Z,SIA38,"1.374573,104.102531",3550,265,96
1551273108,2019-02-27T13:11:48Z,SIA38,"1.37371,104.109711",3725,268,96
1551273119,2019-02-27T13:11:59Z,SIA38,"1.371941,104.124626",4175,270,97
1551273125,2019-02-27T13:12:05Z,SIA38,"1.370911,104.131912",4450,269,97
1551273133,2019-02-27T13:12:13Z,SIA38,"1.369812,104.139687",4725,268,97
1551273139,2019-02-27T13:12:19Z,SIA38,"1.368851,104.146759",5000,267,97
1551273149,2019-02-27T13:12:29Z,SIA38,"1.366653,104.161659",5525,267,98
1551273160,2019-02-27T13:12:40Z,SIA38,"1.364548,104.175858",5975,267,98
1551273174,2019-02-27T13:12:54Z,SIA38,"1.362212,104.191307",6250,278,98
1551273186,2019-02-27T13:13:06Z,SIA38,"1.359787,104.206955",6475,288,99
1551273199,2019-02-27T13:13:19Z,SIA38,"1.357137,104.223267",6700,297,99
1551273209,2019-02-27T13:13:29Z,SIA38,"1.354484,104.239609",6925,309,98
