Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549766262,2019-02-10T02:37:42Z,UAL101,"29.954086,-95.341293",325,187,154
1549766270,2019-02-10T02:37:50Z,UAL101,"29.949057,-95.338638",600,189,156
1549766277,2019-02-10T02:37:57Z,UAL101,"29.941236,-95.336555",975,189,173
1549766304,2019-02-10T02:38:24Z,UAL101,"29.921543,-95.346718",1475,211,228
1549766314,2019-02-10T02:38:34Z,UAL101,"29.91498,-95.359077",1750,223,243
1549766320,2019-02-10T02:38:40Z,UAL101,"29.91256,-95.365227",1875,227,246
1549766328,2019-02-10T02:38:48Z,UAL101,"29.909821,-95.372421",1975,235,246
1549766334,2019-02-10T02:38:54Z,UAL101,"29.907211,-95.379234",2075,243,246
1549766342,2019-02-10T02:39:02Z,UAL101,"29.902771,-95.390533",2300,250,245
1549766349,2019-02-10T02:39:09Z,UAL101,"29.89975,-95.397827",2500,253,244
1549766360,2019-02-10T02:39:20Z,UAL101,"29.89352,-95.412109",2925,258,243
1549766366,2019-02-10T02:39:26Z,UAL101,"29.889982,-95.419975",3175,259,242
1549766377,2019-02-10T02:39:37Z,UAL101,"29.883465,-95.434082",3725,258,241
1549766389,2019-02-10T02:39:49Z,UAL101,"29.876482,-95.448898",4275,259,240
1549766395,2019-02-10T02:39:55Z,UAL101,"29.872618,-95.456596",4500,262,240
1549766403,2019-02-10T02:40:03Z,UAL101,"29.868851,-95.464058",4650,267,239
1549766412,2019-02-10T02:40:12Z,UAL101,"29.861206,-95.479065",5000,273,239
1549766425,2019-02-10T02:40:25Z,UAL101,"29.85367,-95.493866",5525,274,239
1549766437,2019-02-10T02:40:37Z,UAL101,"29.846222,-95.508942",6150,270,240
1549766449,2019-02-10T02:40:49Z,UAL101,"29.838774,-95.524078",6600,273,239
1549766462,2019-02-10T02:41:02Z,UAL101,"29.830994,-95.539803",7000,278,241
1549766473,2019-02-10T02:41:13Z,UAL101,"29.826324,-95.552536",7325,285,250
1549766479,2019-02-10T02:41:19Z,UAL101,"29.824081,-95.561356",7550,288,255
1549766486,2019-02-10T02:41:26Z,UAL101,"29.822433,-95.575348",7875,294,267
1549766510,2019-02-10T02:41:50Z,UAL101,"29.827555,-95.612885",9025,293,281
1549766516,2019-02-10T02:41:56Z,UAL101,"29.829163,-95.621887",9325,291,281
1549766531,2019-02-10T02:42:11Z,UAL101,"29.833281,-95.644821",9925,293,281
1549766544,2019-02-10T02:42:24Z,UAL101,"29.836773,-95.663773",10125,302,281
1549766556,2019-02-10T02:42:36Z,UAL101,"29.840378,-95.683205",10350,312,282
1549766568,2019-02-10T02:42:48Z,UAL101,"29.844082,-95.703247",10550,322,282
1549766578,2019-02-10T02:42:58Z,UAL101,"29.847794,-95.72319",10750,331,282
1549766591,2019-02-10T02:43:11Z,UAL101,"29.85173,-95.744583",10975,339,281
1549766604,2019-02-10T02:43:24Z,UAL101,"29.85585,-95.766396",11225,346,282
1549766617,2019-02-10T02:43:37Z,UAL101,"29.860107,-95.788742",11450,355,282
1549766629,2019-02-10T02:43:49Z,UAL101,"29.864332,-95.811066",11650,363,282
1549766639,2019-02-10T02:43:59Z,UAL101,"29.868576,-95.834213",11900,370,282
1549766653,2019-02-10T02:44:13Z,UAL101,"29.872879,-95.857452",12225,374,281
1549766685,2019-02-10T02:44:45Z,UAL101,"29.884781,-95.922951",13300,377,281
1549766719,2019-02-10T02:45:19Z,UAL101,"29.896591,-95.986649",14400,379,281
1549766752,2019-02-10T02:45:52Z,UAL101,"29.908768,-96.053734",15400,383,281
1549766785,2019-02-10T02:46:25Z,UAL101,"29.921082,-96.120567",16300,390,281
1549766817,2019-02-10T02:46:57Z,UAL101,"29.933121,-96.187401",17175,396,281
1549766851,2019-02-10T02:47:31Z,UAL101,"29.944977,-96.258385",18025,402,280
1549766913,2019-02-10T02:48:33Z,UAL101,"29.96479,-96.385033",19675,409,280
1549766975,2019-02-10T02:49:35Z,UAL101,"29.986158,-96.521866",21700,407,280
1549767003,2019-02-10T02:50:03Z,UAL101,"29.990814,-96.582626",22400,406,270
1549767066,2019-02-10T02:51:06Z,UAL101,"29.98233,-96.720238",23800,412,265
1549767112,2019-02-10T02:51:52Z,UAL101,"29.97052,-96.818794",24750,413,255
1549767118,2019-02-10T02:51:58Z,UAL101,"29.967499,-96.83107",24875,413,253
1549767185,2019-02-10T02:53:05Z,UAL101,"29.92173,-96.968796",26150,419,248
1549767248,2019-02-10T02:54:08Z,UAL101,"29.876038,-97.102554",27225,428,248
1549767308,2019-02-10T02:55:08Z,UAL101,"29.831606,-97.232071",28150,434,248
1549767369,2019-02-10T02:56:09Z,UAL101,"29.786636,-97.362404",29000,440,248
1549767432,2019-02-10T02:57:12Z,UAL101,"29.738205,-97.502289",29850,446,248
1549767494,2019-02-10T02:58:14Z,UAL101,"29.691996,-97.635124",31050,441,248
1549767555,2019-02-10T02:59:15Z,UAL101,"29.645815,-97.767601",32025,439,248
1549767617,2019-02-10T03:00:17Z,UAL101,"29.597031,-97.905457",31975,441,247
1549767680,2019-02-10T03:01:20Z,UAL101,"29.550476,-98.037186",32000,444,247
1549767739,2019-02-10T03:02:19Z,UAL101,"29.503086,-98.170593",32150,444,247
1549767801,2019-02-10T03:03:21Z,UAL101,"29.456177,-98.302124",33150,440,247
1549767863,2019-02-10T03:04:23Z,UAL101,"29.407049,-98.439171",34025,435,247
1549767924,2019-02-10T03:05:24Z,UAL101,"29.360775,-98.568047",34000,433,247
1549767986,2019-02-10T03:06:26Z,UAL101,"29.314041,-98.697739",33975,434,247
1549768048,2019-02-10T03:07:28Z,UAL101,"29.265717,-98.831284",33975,434,247
1549768110,2019-02-10T03:08:30Z,UAL101,"29.218735,-98.960403",33975,436,247
1549768171,2019-02-10T03:09:31Z,UAL101,"29.171309,-99.090431",33975,435,247
1549768233,2019-02-10T03:10:33Z,UAL101,"29.122288,-99.22448",33975,435,247
1549768296,2019-02-10T03:11:36Z,UAL101,"29.075178,-99.352867",33975,435,247
1549768357,2019-02-10T03:12:37Z,UAL101,"29.025646,-99.487183",33975,433,247
1549768418,2019-02-10T03:13:38Z,UAL101,"28.978256,-99.615295",34000,434,247
1549768479,2019-02-10T03:14:39Z,UAL101,"28.930939,-99.742813",34000,434,247
1549768543,2019-02-10T03:15:43Z,UAL101,"28.881317,-99.875916",33975,434,246
1549768602,2019-02-10T03:16:42Z,UAL101,"28.833389,-100.003952",33975,436,246
1549768665,2019-02-10T03:17:45Z,UAL101,"28.784637,-100.134041",34000,435,246
1549768726,2019-02-10T03:18:46Z,UAL101,"28.736206,-100.262711",34000,435,246
1549768788,2019-02-10T03:19:48Z,UAL101,"28.688278,-100.389526",33975,434,246
1549768848,2019-02-10T03:20:48Z,UAL101,"28.638565,-100.519516",33975,431,245
1549768908,2019-02-10T03:21:48Z,UAL101,"28.5802,-100.641266",34000,436,240
1549768971,2019-02-10T03:22:51Z,UAL101,"28.518906,-100.763435",34000,436,240
1549769034,2019-02-10T03:23:54Z,UAL101,"28.457336,-100.886078",34000,432,240
1549769096,2019-02-10T03:24:56Z,UAL101,"28.3957,-101.007599",34000,435,240
1549769154,2019-02-10T03:25:54Z,UAL101,"28.334198,-101.129097",34000,435,240
1549769216,2019-02-10T03:26:56Z,UAL101,"28.27136,-101.252693",34000,435,240
1549769280,2019-02-10T03:28:00Z,UAL101,"28.209259,-101.374512",34000,436,240
1549769342,2019-02-10T03:29:02Z,UAL101,"28.147532,-101.495148",33975,433,239
1549769402,2019-02-10T03:30:02Z,UAL101,"28.086777,-101.613708",33975,427,239
1549769462,2019-02-10T03:31:02Z,UAL101,"28.026443,-101.731071",34000,425,239
1549769524,2019-02-10T03:32:04Z,UAL101,"27.966064,-101.848068",33975,424,239
1549769585,2019-02-10T03:33:05Z,UAL101,"27.905228,-101.965752",34000,426,239
1549769645,2019-02-10T03:34:05Z,UAL101,"27.844528,-102.083046",34000,431,239
1549769704,2019-02-10T03:35:04Z,UAL101,"27.784191,-102.198944",33975,432,239
1549769791,2019-02-10T03:36:31Z,UAL101,"27.697128,-102.365837",33975,427,239
1549769855,2019-02-10T03:37:35Z,UAL101,"27.634094,-102.486275",33975,430,239
1549769917,2019-02-10T03:38:37Z,UAL101,"27.571243,-102.606087",34000,426,239
1549769979,2019-02-10T03:39:39Z,UAL101,"27.508804,-102.724762",34000,429,239
1549770039,2019-02-10T03:40:39Z,UAL101,"27.446268,-102.843285",33975,430,239
