Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550026466,2019-02-13T02:54:26Z,UAL101,"29.993141,-95.364243",250,184,265
1550026472,2019-02-13T02:54:32Z,UAL101,"29.992256,-95.369949",500,188,258
1550026479,2019-02-13T02:54:39Z,UAL101,"29.990616,-95.37587",775,191,250
1550026488,2019-02-13T02:54:48Z,UAL101,"29.987602,-95.384346",1175,193,246
1550026494,2019-02-13T02:54:54Z,UAL101,"29.98546,-95.39006",1425,194,246
1550026505,2019-02-13T02:55:05Z,UAL101,"29.981363,-95.401596",1825,195,248
1550026517,2019-02-13T02:55:17Z,UAL101,"29.977341,-95.41362",2125,200,249
1550026529,2019-02-13T02:55:29Z,UAL101,"29.97331,-95.42598",2500,202,249
1550026535,2019-02-13T02:55:35Z,UAL101,"29.971481,-95.43177",2675,202,250
1550026541,2019-02-13T02:55:41Z,UAL101,"29.969679,-95.437851",2850,203,250
1550026547,2019-02-13T02:55:47Z,UAL101,"29.967728,-95.444321",3025,204,251
1550026555,2019-02-13T02:55:55Z,UAL101,"29.965815,-95.450867",3175,208,251
1550026566,2019-02-13T02:56:06Z,UAL101,"29.962234,-95.463493",3300,221,252
1550026577,2019-02-13T02:56:17Z,UAL101,"29.958227,-95.477783",3400,239,252
1550026583,2019-02-13T02:56:23Z,UAL101,"29.956085,-95.48542",3500,245,252
1550026590,2019-02-13T02:56:30Z,UAL101,"29.953897,-95.493332",3600,253,252
1550026601,2019-02-13T02:56:41Z,UAL101,"29.949509,-95.509155",3800,265,252
1550026607,2019-02-13T02:56:47Z,UAL101,"29.947334,-95.516891",3950,270,251
1550026613,2019-02-13T02:56:53Z,UAL101,"29.944794,-95.525696",4075,277,251
1550026627,2019-02-13T02:57:07Z,UAL101,"29.939484,-95.543251",4275,290,250
1550026633,2019-02-13T02:57:13Z,UAL101,"29.936783,-95.552078",4525,292,250
1550026643,2019-02-13T02:57:23Z,UAL101,"29.931015,-95.569801",5125,291,249
1550026654,2019-02-13T02:57:34Z,UAL101,"29.925293,-95.586441",5700,289,248
1550026667,2019-02-13T02:57:47Z,UAL101,"29.919077,-95.604073",6250,290,247
1550026680,2019-02-13T02:58:00Z,UAL101,"29.912979,-95.621651",6750,291,248
1550026691,2019-02-13T02:58:11Z,UAL101,"29.907623,-95.639",7250,290,252
1550026697,2019-02-13T02:58:17Z,UAL101,"29.905792,-95.647713",7475,289,257
1550026704,2019-02-13T02:58:24Z,UAL101,"29.904459,-95.657257",7725,288,262
1550026711,2019-02-13T02:58:31Z,UAL101,"29.903948,-95.666092",7975,287,267
1550026735,2019-02-13T02:58:55Z,UAL101,"29.906042,-95.706535",9075,286,273
1550026749,2019-02-13T02:59:09Z,UAL101,"29.907028,-95.725037",9525,288,273
1550026759,2019-02-13T02:59:19Z,UAL101,"29.908184,-95.743645",9925,291,274
1550026774,2019-02-13T02:59:34Z,UAL101,"29.909363,-95.762856",10100,303,274
1550026784,2019-02-13T02:59:44Z,UAL101,"29.91065,-95.782845",10300,314,274
1550026796,2019-02-13T02:59:56Z,UAL101,"29.912018,-95.803848",10500,324,274
1550026809,2019-02-13T03:00:09Z,UAL101,"29.913391,-95.825661",10750,334,274
1550026822,2019-02-13T03:00:22Z,UAL101,"29.914841,-95.848244",11000,343,274
1550026834,2019-02-13T03:00:34Z,UAL101,"29.916183,-95.870682",11200,352,274
1550026846,2019-02-13T03:00:46Z,UAL101,"29.917603,-95.894325",11400,362,273
1550026858,2019-02-13T03:00:58Z,UAL101,"29.919077,-95.918335",11650,370,274
1550026870,2019-02-13T03:01:10Z,UAL101,"29.920473,-95.940964",11950,374,274
