Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550112437,2019-02-14T02:47:17Z,UAL101,"29.956459,-95.342049",625,176,151
1550112444,2019-02-14T02:47:24Z,UAL101,"29.952314,-95.339523",925,173,152
1550112453,2019-02-14T02:47:33Z,UAL101,"29.945473,-95.337105",1275,171,168
1550112459,2019-02-14T02:47:39Z,UAL101,"29.940445,-95.336716",1400,176,179
1550112480,2019-02-14T02:48:00Z,UAL101,"29.923733,-95.34507",1675,209,221
1550112486,2019-02-14T02:48:06Z,UAL101,"29.919662,-95.350769",1700,222,233
1550112492,2019-02-14T02:48:12Z,UAL101,"29.916779,-95.357018",1850,231,244
1550112498,2019-02-14T02:48:18Z,UAL101,"29.914398,-95.364021",2075,236,249
1550112504,2019-02-14T02:48:24Z,UAL101,"29.911926,-95.371346",2300,238,248
1550112510,2019-02-14T02:48:30Z,UAL101,"29.909409,-95.378227",2500,241,246
1550112517,2019-02-14T02:48:37Z,UAL101,"29.906414,-95.385941",2750,243,245
1550112528,2019-02-14T02:48:48Z,UAL101,"29.900455,-95.399567",3175,249,241
1550112534,2019-02-14T02:48:54Z,UAL101,"29.897011,-95.406837",3400,251,240
1550112541,2019-02-14T02:49:01Z,UAL101,"29.893473,-95.414108",3675,251,240
1550112553,2019-02-14T02:49:13Z,UAL101,"29.886795,-95.427826",4200,253,240
1550112564,2019-02-14T02:49:24Z,UAL101,"29.879507,-95.442383",4675,257,239
1550112571,2019-02-14T02:49:31Z,UAL101,"29.875946,-95.449379",4950,257,239
1550112578,2019-02-14T02:49:38Z,UAL101,"29.872337,-95.456383",5200,258,239
1550112588,2019-02-14T02:49:48Z,UAL101,"29.864798,-95.471191",5700,260,239
1550112600,2019-02-14T02:50:00Z,UAL101,"29.857395,-95.485626",6200,263,239
1550112614,2019-02-14T02:50:14Z,UAL101,"29.850128,-95.500137",6675,264,240
1550112623,2019-02-14T02:50:23Z,UAL101,"29.84343,-95.513794",7125,266,240
1550112638,2019-02-14T02:50:38Z,UAL101,"29.835434,-95.53035",7700,267,241
1550112649,2019-02-14T02:50:49Z,UAL101,"29.828627,-95.545349",8200,267,245
1550112656,2019-02-14T02:50:56Z,UAL101,"29.825729,-95.555862",8500,269,254
1550112664,2019-02-14T02:51:04Z,UAL101,"29.824575,-95.566032",8725,274,266
1550112684,2019-02-14T02:51:24Z,UAL101,"29.828842,-95.597061",9475,282,282
1550112691,2019-02-14T02:51:31Z,UAL101,"29.830582,-95.606461",9700,283,282
1550112702,2019-02-14T02:51:42Z,UAL101,"29.833839,-95.623764",10100,285,282
1550112716,2019-02-14T02:51:56Z,UAL101,"29.837219,-95.642166",10300,295,282
1550112727,2019-02-14T02:52:07Z,UAL101,"29.840683,-95.660545",10475,305,282
1550112739,2019-02-14T02:52:19Z,UAL101,"29.844498,-95.680565",10675,316,282
1550112750,2019-02-14T02:52:30Z,UAL101,"29.848343,-95.701004",10875,327,282
1550112765,2019-02-14T02:52:45Z,UAL101,"29.852322,-95.722313",11100,336,281
1550112775,2019-02-14T02:52:55Z,UAL101,"29.856171,-95.743523",11300,346,281
1550112786,2019-02-14T02:53:06Z,UAL101,"29.860153,-95.765129",11450,355,282
1550112800,2019-02-14T02:53:20Z,UAL101,"29.864471,-95.788666",11650,364,281
1550112812,2019-02-14T02:53:32Z,UAL101,"29.868708,-95.812035",11950,368,281
1550112823,2019-02-14T02:53:43Z,UAL101,"29.872742,-95.834641",12325,371,281
1550112856,2019-02-14T02:54:16Z,UAL101,"29.883791,-95.89772",13625,368,281
1550112887,2019-02-14T02:54:47Z,UAL101,"29.893478,-95.95443",14650,368,281
1550112921,2019-02-14T02:55:21Z,UAL101,"29.904968,-96.022202",15575,376,281
1550112953,2019-02-14T02:55:53Z,UAL101,"29.916046,-96.087288",16450,383,280
1550112986,2019-02-14T02:56:26Z,UAL101,"29.927456,-96.154266",17350,387,281
1550113020,2019-02-14T02:57:00Z,UAL101,"29.93898,-96.222191",18250,393,280
