Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551063173,2019-02-25T02:52:53Z,UAL101,"29.94873,-95.338387",550,200,155
1551063183,2019-02-25T02:53:03Z,UAL101,"29.939941,-95.335373",925,204,168
1551063208,2019-02-25T02:53:28Z,UAL101,"29.917236,-95.343826",1400,231,220
1551063217,2019-02-25T02:53:37Z,UAL101,"29.911377,-95.353683",1525,243,242
1551063225,2019-02-25T02:53:45Z,UAL101,"29.908789,-95.363426",1625,243,242
1551063245,2019-02-25T02:54:05Z,UAL101,"29.91349,-95.390114",2175,257,295
1551063256,2019-02-25T02:54:16Z,UAL101,"29.920008,-95.404007",2375,268,298
1551063275,2019-02-25T02:54:35Z,UAL101,"29.928772,-95.43042",3200,276,284
1551063287,2019-02-25T02:54:47Z,UAL101,"29.931061,-95.447281",3600,283,276
1551063294,2019-02-25T02:54:54Z,UAL101,"29.931564,-95.45681",3700,293,272
1551063302,2019-02-25T02:55:02Z,UAL101,"29.931702,-95.467262",3875,298,270
1551063311,2019-02-25T02:55:11Z,UAL101,"29.932114,-95.48616",4350,301,271
1551063320,2019-02-25T02:55:20Z,UAL101,"29.932388,-95.496017",4700,298,271
1551063335,2019-02-25T02:55:35Z,UAL101,"29.933304,-95.523804",5775,288,272
1551063348,2019-02-25T02:55:48Z,UAL101,"29.933928,-95.542107",6475,283,271
1551063362,2019-02-25T02:56:02Z,UAL101,"29.934311,-95.560646",7050,283,271
1551063373,2019-02-25T02:56:13Z,UAL101,"29.934578,-95.5793",7500,286,271
1551063384,2019-02-25T02:56:24Z,UAL101,"29.934719,-95.597809",7875,292,270
1551063405,2019-02-25T02:56:45Z,UAL101,"29.934723,-95.630493",8675,294,270
1551063417,2019-02-25T02:56:57Z,UAL101,"29.934906,-95.649452",9300,289,270
1551063430,2019-02-25T02:57:10Z,UAL101,"29.934998,-95.668343",9875,288,270
1551063444,2019-02-25T02:57:24Z,UAL101,"29.935089,-95.686882",10125,297,270
1551063454,2019-02-25T02:57:34Z,UAL101,"29.93523,-95.706848",10325,309,270
1551063467,2019-02-25T02:57:47Z,UAL101,"29.935364,-95.727219",10500,320,270
1551063478,2019-02-25T02:57:58Z,UAL101,"29.935556,-95.747879",10700,330,270
1551063491,2019-02-25T02:58:11Z,UAL101,"29.935743,-95.769302",10950,339,270
1551063503,2019-02-25T02:58:23Z,UAL101,"29.935913,-95.791412",11250,345,270
1551063515,2019-02-25T02:58:35Z,UAL101,"29.936005,-95.813705",11575,351,270
1551063527,2019-02-25T02:58:47Z,UAL101,"29.936022,-95.836983",11875,357,270
1551063555,2019-02-25T02:59:15Z,UAL101,"29.935822,-95.889908",12725,364,269
1551063585,2019-02-25T02:59:45Z,UAL101,"29.93605,-95.949524",13700,371,270
1551063620,2019-02-25T03:00:20Z,UAL101,"29.936417,-96.021584",14900,376,270
1551063658,2019-02-25T03:00:58Z,UAL101,"29.936813,-96.098289",15975,383,270
1551063693,2019-02-25T03:01:33Z,UAL101,"29.93692,-96.169579",17075,386,270
1551063726,2019-02-25T03:02:06Z,UAL101,"29.941498,-96.237755",18000,393,278
1551063789,2019-02-25T03:03:09Z,UAL101,"29.962137,-96.369431",19775,400,280
1551063849,2019-02-25T03:04:09Z,UAL101,"29.982248,-96.49704",21625,402,280
1551063890,2019-02-25T03:04:50Z,UAL101,"29.991093,-96.580315",22575,406,270
1551063911,2019-02-25T03:05:11Z,UAL101,"29.989092,-96.625359",23050,408,264
1551063973,2019-02-25T03:06:13Z,UAL101,"29.979315,-96.763954",24375,419,265
1551064035,2019-02-25T03:07:15Z,UAL101,"29.969193,-96.907005",25375,434,265
1551064099,2019-02-25T03:08:19Z,UAL101,"29.958506,-97.055862",26000,454,265
1551064162,2019-02-25T03:09:22Z,UAL101,"29.947311,-97.210587",26925,463,265
1551064224,2019-02-25T03:10:24Z,UAL101,"29.935835,-97.365952",28075,464,265
1551064289,2019-02-25T03:11:29Z,UAL101,"29.924057,-97.519646",29875,450,264
1551064348,2019-02-25T03:12:28Z,UAL101,"29.91362,-97.65995",31450,436,264
1551064412,2019-02-25T03:13:32Z,UAL101,"29.902176,-97.80542",31975,429,264
