Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551296954,2019-02-27T19:49:14Z,UAL101,"-31.522293,159.000824",41000,444,243
1551296994,2019-02-27T19:49:54Z,UAL101,"-31.560196,158.912277",40975,443,243
1551297086,2019-02-27T19:51:26Z,UAL101,"-31.643463,158.716736",41000,440,243
1551297148,2019-02-27T19:52:28Z,UAL101,"-31.699514,158.584457",41000,440,243
1551298134,2019-02-27T20:08:54Z,UAL101,"-32.559566,156.49324",41000,433,244
1551298189,2019-02-27T20:09:49Z,UAL101,"-32.606827,156.374664",40975,433,244
1551298306,2019-02-27T20:11:46Z,UAL101,"-32.706577,156.122955",41000,434,245
1551298312,2019-02-27T20:11:52Z,UAL101,"-32.711609,156.110229",41000,434,245
1551298408,2019-02-27T20:13:28Z,UAL101,"-32.792839,155.9039",41000,436,245
1551298473,2019-02-27T20:14:33Z,UAL101,"-32.848343,155.762024",41000,437,245
1551298534,2019-02-27T20:15:34Z,UAL101,"-32.900253,155.629196",40975,439,245
1551298598,2019-02-27T20:16:38Z,UAL101,"-32.955276,155.487579",41000,439,245
1551298658,2019-02-27T20:17:38Z,UAL101,"-33.006454,155.355133",41000,440,245
1551298724,2019-02-27T20:18:44Z,UAL101,"-33.06303,155.209579",40975,444,243
1551298753,2019-02-27T20:19:13Z,UAL101,"-33.092358,155.148422",40975,449,237
1551298781,2019-02-27T20:19:41Z,UAL101,"-33.126022,155.09201",41000,456,233
1551298871,2019-02-27T20:21:11Z,UAL101,"-33.218002,154.900101",41000,446,245
1551298931,2019-02-27T20:22:11Z,UAL101,"-33.270493,154.76297",41000,445,245
1551298992,2019-02-27T20:23:12Z,UAL101,"-33.322186,154.627304",40975,442,245
1551299053,2019-02-27T20:24:13Z,UAL101,"-33.373398,154.492325",41000,443,245
1551299114,2019-02-27T20:25:14Z,UAL101,"-33.42453,154.356918",41000,445,245
1551299175,2019-02-27T20:26:15Z,UAL101,"-33.476227,154.219849",40975,437,245
1551299235,2019-02-27T20:27:15Z,UAL101,"-33.52562,154.088013",40925,430,245
1551299298,2019-02-27T20:28:18Z,UAL101,"-33.575893,153.952789",39075,433,246
1551299357,2019-02-27T20:29:17Z,UAL101,"-33.624447,153.822556",37400,424,246
1551299412,2019-02-27T20:30:12Z,UAL101,"-33.668209,153.704391",35875,422,245
1551299501,2019-02-27T20:31:41Z,UAL101,"-33.737663,153.516251",33375,413,246
1551299566,2019-02-27T20:32:46Z,UAL101,"-33.787613,153.380066",31400,412,246
1551299627,2019-02-27T20:33:47Z,UAL101,"-33.834679,153.251556",29575,411,246
1551299707,2019-02-27T20:35:07Z,UAL101,"-33.894917,153.085724",27525,400,246
1551299770,2019-02-27T20:36:10Z,UAL101,"-33.940121,152.960983",26075,376,246
1551299845,2019-02-27T20:37:25Z,UAL101,"-33.998886,152.826096",24375,374,225
1551299873,2019-02-27T20:37:53Z,UAL101,"-34.040298,152.794937",23800,374,202
1551299885,2019-02-27T20:38:05Z,UAL101,"-34.060223,152.785553",23575,371,200
1551299891,2019-02-27T20:38:11Z,UAL101,"-34.069702,152.781204",23475,370,201
1551299969,2019-02-27T20:39:29Z,UAL101,"-34.192108,152.718643",22125,358,203
1551300022,2019-02-27T20:40:22Z,UAL101,"-34.269012,152.67157",21375,348,220
1551300040,2019-02-27T20:40:40Z,UAL101,"-34.283257,152.641235",21025,351,247
1551300046,2019-02-27T20:40:46Z,UAL101,"-34.284653,152.629913",20875,352,261
1551300070,2019-02-27T20:41:10Z,UAL101,"-34.275017,152.588531",20575,347,303
1551300077,2019-02-27T20:41:17Z,UAL101,"-34.265705,152.576416",20475,344,312
1551300084,2019-02-27T20:41:24Z,UAL101,"-34.257931,152.569885",20350,342,325
1551300092,2019-02-27T20:41:32Z,UAL101,"-34.244663,152.562622",20125,342,338
