Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551379092,2019-02-28T18:38:12Z,UAL101,"-33.582962,156.375473",39975,443,257
1551379109,2019-02-28T18:38:29Z,UAL101,"-33.590187,156.334869",39975,443,257
1551379240,2019-02-28T18:40:40Z,UAL101,"-33.645817,156.021088",40000,449,258
1551379366,2019-02-28T18:42:46Z,UAL101,"-33.699188,155.715393",40000,451,258
1551379427,2019-02-28T18:43:47Z,UAL101,"-33.725693,155.561478",39975,452,258
1551379490,2019-02-28T18:44:50Z,UAL101,"-33.751862,155.408356",40000,453,258
1551379551,2019-02-28T18:45:51Z,UAL101,"-33.777744,155.256332",39975,453,258
1551379613,2019-02-28T18:46:53Z,UAL101,"-33.803394,155.104126",39975,440,258
1551379678,2019-02-28T18:47:58Z,UAL101,"-33.828232,154.955322",39975,412,258
1551379740,2019-02-28T18:49:00Z,UAL101,"-33.85088,154.819565",40000,401,258
1551379802,2019-02-28T18:50:02Z,UAL101,"-33.873505,154.682114",40000,405,258
1551379862,2019-02-28T18:51:02Z,UAL101,"-33.894974,154.550232",40000,406,258
1551379930,2019-02-28T18:52:10Z,UAL101,"-33.909073,154.399338",39975,406,265
1551379990,2019-02-28T18:53:10Z,UAL101,"-33.917862,154.261841",39975,405,265
1551380055,2019-02-28T18:54:15Z,UAL101,"-33.926788,154.116379",40000,407,265
1551380118,2019-02-28T18:55:18Z,UAL101,"-33.93544,153.97467",39975,407,265
1551380181,2019-02-28T18:56:21Z,UAL101,"-33.943954,153.830963",39225,401,266
1551380245,2019-02-28T18:57:25Z,UAL101,"-33.952423,153.691437",37550,400,263
1551380262,2019-02-28T18:57:42Z,UAL101,"-33.959518,153.652878",37050,406,252
1551380275,2019-02-28T18:57:55Z,UAL101,"-33.968563,153.627258",36850,407,247
1551380285,2019-02-28T18:58:05Z,UAL101,"-33.979248,153.605957",36575,412,236
1551380291,2019-02-28T18:58:11Z,UAL101,"-33.985886,153.595261",36425,414,231
1551380301,2019-02-28T18:58:21Z,UAL101,"-33.999241,153.577652",36200,417,226
1551380312,2019-02-28T18:58:32Z,UAL101,"-34.014648,153.56134",36000,418,219
1551380318,2019-02-28T18:58:38Z,UAL101,"-34.022324,153.553894",35875,417,218
1551380385,2019-02-28T18:59:45Z,UAL101,"-34.123257,153.456451",34250,410,219
1551380446,2019-02-28T19:00:46Z,UAL101,"-34.213383,153.36673",32700,406,219
1551380507,2019-02-28T19:01:47Z,UAL101,"-34.30188,153.278107",31250,401,219
1551380569,2019-02-28T19:02:49Z,UAL101,"-34.387939,153.187424",29825,395,221
1551380632,2019-02-28T19:03:52Z,UAL101,"-34.471745,153.098999",28700,380,221
1551380658,2019-02-28T19:04:18Z,UAL101,"-34.505722,153.059052",28100,375,231
1551380668,2019-02-28T19:04:28Z,UAL101,"-34.515411,153.04155",27900,370,239
1551380674,2019-02-28T19:04:34Z,UAL101,"-34.519787,153.031311",27775,368,243
1551380685,2019-02-28T19:04:45Z,UAL101,"-34.526165,153.010941",27525,365,253
1551380695,2019-02-28T19:04:55Z,UAL101,"-34.52961,152.990234",27275,362,262
1551380721,2019-02-28T19:05:21Z,UAL101,"-34.525978,152.93988",26750,354,286
1551380736,2019-02-28T19:05:36Z,UAL101,"-34.515381,152.911865",26400,350,300
1551380747,2019-02-28T19:05:47Z,UAL101,"-34.505219,152.895721",26200,347,311
1551380757,2019-02-28T19:05:57Z,UAL101,"-34.493637,152.882889",25975,346,320
1551380765,2019-02-28T19:06:05Z,UAL101,"-34.481781,152.873749",25775,345,330
1551380772,2019-02-28T19:06:12Z,UAL101,"-34.471893,152.868256",25625,345,337
1551380783,2019-02-28T19:06:23Z,UAL101,"-34.455551,152.861526",25400,344,342
1551380794,2019-02-28T19:06:34Z,UAL101,"-34.439533,152.855698",25200,343,343
1551380855,2019-02-28T19:07:35Z,UAL101,"-34.34708,152.82132",24050,337,343
1551380917,2019-02-28T19:08:37Z,UAL101,"-34.255371,152.786865",23475,331,338
1551380928,2019-02-28T19:08:48Z,UAL101,"-34.241405,152.777878",23425,332,327
1551380937,2019-02-28T19:08:57Z,UAL101,"-34.229324,152.764786",23275,336,313
1551380943,2019-02-28T19:09:03Z,UAL101,"-34.224792,152.757599",23225,337,304
1551380953,2019-02-28T19:09:13Z,UAL101,"-34.217377,152.740173",23075,338,291
1551380959,2019-02-28T19:09:19Z,UAL101,"-34.214859,152.731201",23000,340,287
1551380969,2019-02-28T19:09:29Z,UAL101,"-34.209778,152.711975",22850,342,287
1551381037,2019-02-28T19:10:37Z,UAL101,"-34.176865,152.588837",21875,341,287
1551381097,2019-02-28T19:11:37Z,UAL101,"-34.147648,152.48085",20800,327,288
1551381161,2019-02-28T19:12:41Z,UAL101,"-34.118317,152.373306",19350,320,287
1551381222,2019-02-28T19:13:42Z,UAL101,"-34.089691,152.268448",17775,322,288
1551381253,2019-02-28T19:14:13Z,UAL101,"-34.075195,152.215179",17100,320,288
1551381284,2019-02-28T19:14:44Z,UAL101,"-34.061142,152.163666",16425,320,288
1551381313,2019-02-28T19:15:13Z,UAL101,"-34.04686,152.111984",15625,322,288
1551381349,2019-02-28T19:15:49Z,UAL101,"-34.033585,152.050888",14800,319,280
1551381380,2019-02-28T19:16:20Z,UAL101,"-34.027592,151.995163",14100,317,276
1551381411,2019-02-28T19:16:51Z,UAL101,"-34.02219,151.941956",13425,316,276
1551381443,2019-02-28T19:17:23Z,UAL101,"-34.016743,151.887589",12725,313,277
1551381479,2019-02-28T19:17:59Z,UAL101,"-34.010319,151.825394",11900,312,277
1551381489,2019-02-28T19:18:09Z,UAL101,"-34.008453,151.807617",11675,311,277
1551381504,2019-02-28T19:18:24Z,UAL101,"-34.005707,151.781174",11325,311,277
1551381520,2019-02-28T19:18:40Z,UAL101,"-34.00301,151.755234",11000,310,277
1551381529,2019-02-28T19:18:49Z,UAL101,"-34.001221,151.73761",10750,310,276
1551381545,2019-02-28T19:19:05Z,UAL101,"-33.998634,151.711746",10425,309,276
1551381560,2019-02-28T19:19:20Z,UAL101,"-33.995956,151.685089",10000,312,276
1551381575,2019-02-28T19:19:35Z,UAL101,"-33.993256,151.659134",9775,307,277
1551381586,2019-02-28T19:19:46Z,UAL101,"-33.991512,151.641998",9525,306,276
1551381601,2019-02-28T19:20:01Z,UAL101,"-33.988861,151.615967",9200,305,276
1551381616,2019-02-28T19:20:16Z,UAL101,"-33.986206,151.590195",8875,304,276
1551381631,2019-02-28T19:20:31Z,UAL101,"-33.983688,151.565079",8600,301,276
1551381642,2019-02-28T19:20:42Z,UAL101,"-33.982018,151.547699",8475,299,276
1551381657,2019-02-28T19:20:57Z,UAL101,"-33.979782,151.522644",8275,297,275
1551381673,2019-02-28T19:21:13Z,UAL101,"-33.9776,151.496811",8075,296,275
1551381687,2019-02-28T19:21:27Z,UAL101,"-33.97554,151.472656",7875,294,275
1551381703,2019-02-28T19:21:43Z,UAL101,"-33.973404,151.447113",7675,292,275
1551381718,2019-02-28T19:21:58Z,UAL101,"-33.971512,151.422592",7475,293,275
1551381733,2019-02-28T19:22:13Z,UAL101,"-33.969681,151.397934",7275,292,274
1551381748,2019-02-28T19:22:28Z,UAL101,"-33.968033,151.374008",7100,291,274
1551381758,2019-02-28T19:22:38Z,UAL101,"-33.966888,151.356903",6950,289,274
1551381790,2019-02-28T19:23:10Z,UAL101,"-33.971832,151.309036",6575,289,253
1551381799,2019-02-28T19:23:19Z,UAL101,"-33.975872,151.293518",6450,288,252
1551381809,2019-02-28T19:23:29Z,UAL101,"-33.980118,151.277756",6350,289,252
1551381825,2019-02-28T19:23:45Z,UAL101,"-33.986485,151.254044",6100,288,252
1551381839,2019-02-28T19:23:59Z,UAL101,"-33.992569,151.230896",5800,288,252
1551381864,2019-02-28T19:24:24Z,UAL101,"-34.002453,151.193329",5725,291,252
1551381877,2019-02-28T19:24:37Z,UAL101,"-34.007572,151.174454",5700,291,252
1551381887,2019-02-28T19:24:47Z,UAL101,"-34.012115,151.157639",5725,289,252
1551381900,2019-02-28T19:25:00Z,UAL101,"-34.017654,151.138077",5725,288,249
1551381907,2019-02-28T19:25:07Z,UAL101,"-34.021408,151.128937",5700,285,241
1551381913,2019-02-28T19:25:13Z,UAL101,"-34.026031,151.121368",5700,280,231
1551381920,2019-02-28T19:25:20Z,UAL101,"-34.031754,151.114868",5725,273,221
1551381927,2019-02-28T19:25:27Z,UAL101,"-34.040268,151.10881",5750,263,205
1551381933,2019-02-28T19:25:33Z,UAL101,"-34.04805,151.105347",5750,261,198
1551381940,2019-02-28T19:25:40Z,UAL101,"-34.055054,151.102875",5650,263,195
1551381946,2019-02-28T19:25:46Z,UAL101,"-34.062424,151.100525",5525,264,194
1551381954,2019-02-28T19:25:54Z,UAL101,"-34.069626,151.098236",5500,262,194
1551381972,2019-02-28T19:26:12Z,UAL101,"-34.092999,151.090851",5425,262,194
1551381984,2019-02-28T19:26:24Z,UAL101,"-34.108219,151.087021",5225,262,187
1551382012,2019-02-28T19:26:52Z,UAL101,"-34.139832,151.093002",4750,255,165
1551382018,2019-02-28T19:26:58Z,UAL101,"-34.145554,151.094803",4675,255,165
1551382024,2019-02-28T19:27:04Z,UAL101,"-34.154663,151.097656",4575,252,165
1551382030,2019-02-28T19:27:10Z,UAL101,"-34.16087,151.099548",4525,250,165
1551382037,2019-02-28T19:27:17Z,UAL101,"-34.169296,151.102234",4475,245,165
1551382047,2019-02-28T19:27:27Z,UAL101,"-34.179722,151.105499",4400,239,165
1551382055,2019-02-28T19:27:35Z,UAL101,"-34.187485,151.107864",4300,236,165
1551382067,2019-02-28T19:27:47Z,UAL101,"-34.199883,151.112656",4175,230,160
1551382077,2019-02-28T19:27:57Z,UAL101,"-34.207443,151.118851",4075,219,139
1551382087,2019-02-28T19:28:07Z,UAL101,"-34.213669,151.130447",3950,206,111
1551382110,2019-02-28T19:28:30Z,UAL101,"-34.21138,151.154999",3700,189,66
1551382116,2019-02-28T19:28:36Z,UAL101,"-34.209412,151.160278",3625,188,65
1551382130,2019-02-28T19:28:50Z,UAL101,"-34.203461,151.17244",3400,185,51
1551382136,2019-02-28T19:28:56Z,UAL101,"-34.198975,151.176926",3275,185,34
1551382147,2019-02-28T19:29:07Z,UAL101,"-34.19133,151.181122",3125,185,20
1551382156,2019-02-28T19:29:16Z,UAL101,"-34.183216,151.184235",2950,185,16
1551382167,2019-02-28T19:29:27Z,UAL101,"-34.174881,151.187042",2775,186,15
1551382182,2019-02-28T19:29:42Z,UAL101,"-34.162079,151.191162",2500,185,15
1551382192,2019-02-28T19:29:52Z,UAL101,"-34.153606,151.193909",2325,185,15
1551382202,2019-02-28T19:30:02Z,UAL101,"-34.145187,151.196655",2200,181,15
1551382212,2019-02-28T19:30:12Z,UAL101,"-34.137127,151.199402",2100,177,15
1551382221,2019-02-28T19:30:21Z,UAL101,"-34.129585,151.201965",1975,175,16
1551382233,2019-02-28T19:30:33Z,UAL101,"-34.121346,151.204895",1825,174,16
1551382242,2019-02-28T19:30:42Z,UAL101,"-34.113556,151.207642",1725,174,16
1551382252,2019-02-28T19:30:52Z,UAL101,"-34.106033,151.210327",1725,175,16
1551382261,2019-02-28T19:31:01Z,UAL101,"-34.098907,151.212845",1700,173,15
1551382267,2019-02-28T19:31:07Z,UAL101,"-34.093872,151.213516",1725,174,2
1551382288,2019-02-28T19:31:28Z,UAL101,"-34.077728,151.210266",1725,179,347
1551382297,2019-02-28T19:31:37Z,UAL101,"-34.069767,151.208099",1725,179,347
1551382308,2019-02-28T19:31:48Z,UAL101,"-34.06105,151.20578",1650,181,347
1551382319,2019-02-28T19:31:59Z,UAL101,"-34.052811,151.203659",1500,182,347
1551382329,2019-02-28T19:32:09Z,UAL101,"-34.044708,151.201523",1325,178,347
1551382338,2019-02-28T19:32:18Z,UAL101,"-34.03688,151.199509",1150,170,347
1551382348,2019-02-28T19:32:28Z,UAL101,"-34.029739,151.197662",1000,164,347
1551382370,2019-02-28T19:32:50Z,UAL101,"-34.014771,151.193787",725,151,347
1551382401,2019-02-28T19:33:21Z,UAL101,"-33.993935,151.188354",325,141,347
1551382411,2019-02-28T19:33:31Z,UAL101,"-33.987717,151.186722",200,142,347
1551382422,2019-02-28T19:33:42Z,UAL101,"-33.981171,151.185043",75,142,347
1551382433,2019-02-28T19:33:53Z,UAL101,"-33.973526,151.183029",0,143,347
1551382443,2019-02-28T19:34:03Z,UAL101,"-33.967354,151.181427",0,144,347
1551382453,2019-02-28T19:34:13Z,UAL101,"-33.960709,151.179718",0,145,348
1551382463,2019-02-28T19:34:23Z,UAL101,"-33.954224,151.177994",0,131,347
1551382474,2019-02-28T19:34:34Z,UAL101,"-33.949429,151.176788",0,76,334
1551382499,2019-02-28T19:34:59Z,UAL101,"-33.943932,151.175385",0,38,334
1551382516,2019-02-28T19:35:16Z,UAL101,"-33.941528,151.174744",0,25,334
1551382578,2019-02-28T19:36:18Z,UAL101,"-33.939793,151.171936",0,31,241
1551382722,2019-02-28T19:38:42Z,UAL101,"-33.940704,151.162735",0,28,343
1551382772,2019-02-28T19:39:32Z,UAL101,"-33.938782,151.163635",0,18,50
1551382779,2019-02-28T19:39:39Z,UAL101,"-33.938747,151.163849",0,16,61
