Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548995987,2019-02-01T04:39:47Z,QFA7,"-33.617935,155.588043",34425,532,81
1549012765,2019-02-01T09:19:25Z,QFA7,"-18.513266,-161.637756",37000,518,48
1549012827,2019-02-01T09:20:27Z,QFA7,"-18.413498,-161.520401",37000,516,48
1549012888,2019-02-01T09:21:28Z,QFA7,"-18.314438,-161.404114",37000,516,48
1549012951,2019-02-01T09:22:31Z,QFA7,"-18.215927,-161.288666",37000,514,48
1549013012,2019-02-01T09:23:32Z,QFA7,"-18.116875,-161.172775",37000,511,48
1549013074,2019-02-01T09:24:34Z,QFA7,"-18.019592,-161.059235",37000,507,48
1549013137,2019-02-01T09:25:37Z,QFA7,"-17.92218,-160.945663",37000,507,48
1549013199,2019-02-01T09:26:39Z,QFA7,"-17.824722,-160.83223",37000,507,48
1549013261,2019-02-01T09:27:41Z,QFA7,"-17.727186,-160.718994",37000,507,48
1549013322,2019-02-01T09:28:42Z,QFA7,"-17.629425,-160.605698",37000,504,47
1549013384,2019-02-01T09:29:44Z,QFA7,"-17.531992,-160.492889",37000,506,47
1549013448,2019-02-01T09:30:48Z,QFA7,"-17.433884,-160.379578",37000,508,47
1549013508,2019-02-01T09:31:48Z,QFA7,"-17.337662,-160.2686",37000,506,47
1549013574,2019-02-01T09:32:54Z,QFA7,"-17.235535,-160.151031",37000,506,47
1549013634,2019-02-01T09:33:54Z,QFA7,"-17.137665,-160.038559",36975,506,47
1549013698,2019-02-01T09:34:58Z,QFA7,"-17.039841,-159.926285",37000,503,47
1549013760,2019-02-01T09:36:00Z,QFA7,"-16.943012,-159.81546",37000,502,47
1549013820,2019-02-01T09:37:00Z,QFA7,"-16.847076,-159.705704",37000,502,47
1549013882,2019-02-01T09:38:02Z,QFA7,"-16.750305,-159.595215",37000,496,47
1549013944,2019-02-01T09:39:04Z,QFA7,"-16.655645,-159.487396",37000,494,47
1549014004,2019-02-01T09:40:04Z,QFA7,"-16.561615,-159.380356",37000,494,47
1549014066,2019-02-01T09:41:06Z,QFA7,"-16.464706,-159.270203",37000,492,47
1549014130,2019-02-01T09:42:10Z,QFA7,"-16.368759,-159.161438",37000,493,47
1549014190,2019-02-01T09:43:10Z,QFA7,"-16.272491,-159.052826",37000,497,46
1549014252,2019-02-01T09:44:12Z,QFA7,"-16.172287,-158.951736",37000,499,44
1549014315,2019-02-01T09:45:15Z,QFA7,"-16.068649,-158.8452",37000,499,44
1549014377,2019-02-01T09:46:17Z,QFA7,"-15.966888,-158.740631",37000,499,44
1549014438,2019-02-01T09:47:18Z,QFA7,"-15.867284,-158.638412",37000,497,44
1549014444,2019-02-01T09:47:24Z,QFA7,"-15.857849,-158.628708",37000,497,44
1549014534,2019-02-01T09:48:54Z,QFA7,"-15.710263,-158.477737",37000,493,44
1549014598,2019-02-01T09:49:58Z,QFA7,"-15.60553,-158.370621",37000,494,44
1549014632,2019-02-01T09:50:32Z,QFA7,"-15.550263,-158.314209",37000,497,44
1549014650,2019-02-01T09:50:50Z,QFA7,"-15.521164,-158.284515",37000,497,44
1549025456,2019-02-01T12:50:56Z,QFA7,"4.4,-141.616669",39000,531,40
1549026047,2019-02-01T13:00:47Z,QFA7,"5.470087,-140.713486",39000,525,327
1549026607,2019-02-01T13:10:07Z,QFA7,"6.542135,-139.792343",39000,386,11
1549027177,2019-02-01T13:19:37Z,QFA7,"7.630755,-138.853378",39000,532,25
1549027786,2019-02-01T13:29:46Z,QFA7,"8.711045,-137.894516",39000,531,329
1549028336,2019-02-01T13:38:56Z,QFA7,"9.742877,-136.974686",39000,536,225
1549028911,2019-02-01T13:48:31Z,QFA7,"10.830838,-135.988434",39000,530,6
1549029475,2019-02-01T13:57:55Z,QFA7,"11.885074,-135.003677",39000,539,356
1549030062,2019-02-01T14:07:42Z,QFA7,"12.939979,-133.998032",39000,538,351
1549030646,2019-02-01T14:17:26Z,QFA7,"13.9565,-132.970291",39000,539,355
1549031796,2019-02-01T14:36:36Z,QFA7,"15.98325,-130.854767",39000,534,339
1549032207,2019-02-01T14:43:27Z,QFA7,"16.701132,-130.101135",39000,537,24
1549032955,2019-02-01T14:55:55Z,QFA7,"17.939978,-128.656784",39000,536,352
1549034120,2019-02-01T15:15:20Z,QFA7,"19.820887,-126.384262",39000,528,334
1549034408,2019-02-01T15:20:08Z,QFA7,"20.296297,-125.807068",39000,520,48
1549034663,2019-02-01T15:24:23Z,QFA7,"20.716352,-125.264847",39000,515,50
1549035271,2019-02-01T15:34:31Z,QFA7,"21.594944,-124.10788",39000,505,342
1549035811,2019-02-01T15:43:31Z,QFA7,"22.428339,-122.979958",39000,504,30
1549036072,2019-02-01T15:47:52Z,QFA7,"22.795958,-122.472488",39000,510,51
1549036985,2019-02-01T16:03:05Z,QFA7,"24.054628,-120.634247",39000,500,338
1549038418,2019-02-01T16:26:58Z,QFA7,"25.987089,-117.553497",39000,498,56
1549038479,2019-02-01T16:27:59Z,QFA7,"26.065063,-117.423721",39000,497,56
1549038542,2019-02-01T16:29:02Z,QFA7,"26.142471,-117.294701",39000,497,56
1549038601,2019-02-01T16:30:01Z,QFA7,"26.220268,-117.164543",39000,495,56
