Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549425482,2019-02-06T03:58:02Z,QFA7,"-33.934044,151.167496",0,0,258
1549425631,2019-02-06T04:00:31Z,QFA7,"-33.933952,151.167953",0,11,264
1549425647,2019-02-06T04:00:47Z,QFA7,"-33.933872,151.168213",0,10,281
1549425665,2019-02-06T04:01:05Z,QFA7,"-33.933861,151.168549",0,11,303
1549425682,2019-02-06T04:01:22Z,QFA7,"-33.933884,151.168823",0,10,337
1549425707,2019-02-06T04:01:47Z,QFA7,"-33.934174,151.168991",0,2,345
1549425740,2019-02-06T04:02:20Z,QFA7,"-33.933952,151.16893",0,9,348
1549425833,2019-02-06T04:03:53Z,QFA7,"-33.933872,151.168884",0,0,333
1549426099,2019-02-06T04:08:19Z,QFA7,"-33.933426,151.168869",0,15,357
1549426119,2019-02-06T04:08:39Z,QFA7,"-33.932892,151.169266",0,22,33
1549426172,2019-02-06T04:09:32Z,QFA7,"-33.933834,151.170746",0,25,160
1549426260,2019-02-06T04:11:00Z,QFA7,"-33.938503,151.171951",0,32,168
1549426274,2019-02-06T04:11:14Z,QFA7,"-33.939388,151.17218",0,31,168
1549426324,2019-02-06T04:12:04Z,QFA7,"-33.942142,151.172897",0,22,168
1549426332,2019-02-06T04:12:12Z,QFA7,"-33.942524,151.172989",0,26,168
1549426338,2019-02-06T04:12:18Z,QFA7,"-33.942795,151.173065",0,28,165
1549426345,2019-02-06T04:12:25Z,QFA7,"-33.943214,151.173172",0,32,165
1549426351,2019-02-06T04:12:31Z,QFA7,"-33.943634,151.173294",0,15,165
1549426357,2019-02-06T04:12:37Z,QFA7,"-33.944069,151.173401",0,15,168
1549426363,2019-02-06T04:12:43Z,QFA7,"-33.944504,151.173508",0,15,168
1549426369,2019-02-06T04:12:49Z,QFA7,"-33.944916,151.173615",0,16,165
1549426376,2019-02-06T04:12:56Z,QFA7,"-33.945442,151.173752",0,17,168
1549426388,2019-02-06T04:13:08Z,QFA7,"-33.946426,151.174011",0,19,165
1549426395,2019-02-06T04:13:15Z,QFA7,"-33.94701,151.174164",0,20,168
1549426401,2019-02-06T04:13:21Z,QFA7,"-33.947617,151.174316",0,22,168
1549426407,2019-02-06T04:13:27Z,QFA7,"-33.948277,151.174484",0,24,168
1549426420,2019-02-06T04:13:40Z,QFA7,"-33.949684,151.17485",0,25,165
1549426432,2019-02-06T04:13:52Z,QFA7,"-33.95113,151.175217",0,25,168
1549426443,2019-02-06T04:14:03Z,QFA7,"-33.952549,151.175583",0,26,168
1549426449,2019-02-06T04:14:09Z,QFA7,"-33.953236,151.175766",0,26,165
1549426456,2019-02-06T04:14:16Z,QFA7,"-33.953979,151.175964",0,26,168
1549426464,2019-02-06T04:14:24Z,QFA7,"-33.955086,151.176254",0,26,168
1549426482,2019-02-06T04:14:42Z,QFA7,"-33.957298,151.176819",0,27,168
1549426504,2019-02-06T04:15:04Z,QFA7,"-33.959949,151.177505",0,24,168
1549426510,2019-02-06T04:15:10Z,QFA7,"-33.960617,151.177689",0,22,168
1549426523,2019-02-06T04:15:23Z,QFA7,"-33.961842,151.177994",0,20,168
1549426530,2019-02-06T04:15:30Z,QFA7,"-33.962372,151.178146",0,18,165
1549426541,2019-02-06T04:15:41Z,QFA7,"-33.963261,151.17836",0,32,168
1549426548,2019-02-06T04:15:48Z,QFA7,"-33.963604,151.178452",0,21,168
1549426560,2019-02-06T04:16:00Z,QFA7,"-33.964016,151.178558",0,17,168
1549426596,2019-02-06T04:16:36Z,QFA7,"-33.964386,151.179108",0,10,118
1549426620,2019-02-06T04:17:00Z,QFA7,"-33.964314,151.179581",0,16,87
1549426628,2019-02-06T04:17:08Z,QFA7,"-33.964268,151.17984",0,21,78
1549426679,2019-02-06T04:17:59Z,QFA7,"-33.963467,151.180389",0,0,20
1549426692,2019-02-06T04:18:12Z,QFA7,"-33.963234,151.180328",0,33,348
1549426712,2019-02-06T04:18:32Z,QFA7,"-33.95834,151.179092",0,90,348
1549426723,2019-02-06T04:18:43Z,QFA7,"-33.953293,151.177811",25,123,347
1549426734,2019-02-06T04:18:54Z,QFA7,"-33.945705,151.175827",0,156,347
1549426749,2019-02-06T04:19:09Z,QFA7,"-33.933655,151.172607",175,175,347
1549426760,2019-02-06T04:19:20Z,QFA7,"-33.924152,151.170044",425,177,347
