Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549508778,2019-02-07T03:06:18Z,QFA7,"-33.934055,151.167542",0,0,137
1549509262,2019-02-07T03:14:22Z,QFA7,"-33.934055,151.167526",0,0,324
1549510771,2019-02-07T03:39:31Z,QFA7,"-33.934032,151.167526",0,0,90
1549510797,2019-02-07T03:39:57Z,QFA7,"-33.93401,151.16774",0,9,258
1549510823,2019-02-07T03:40:23Z,QFA7,"-33.933952,151.16806",0,9,261
1549510842,2019-02-07T03:40:42Z,QFA7,"-33.93388,151.168289",0,9,275
1549510863,2019-02-07T03:41:03Z,QFA7,"-33.933838,151.168564",0,10,300
1549510882,2019-02-07T03:41:22Z,QFA7,"-33.933861,151.168808",0,9,329
1549510909,2019-02-07T03:41:49Z,QFA7,"-33.934078,151.169006",0,2,348
1549511023,2019-02-07T03:43:43Z,QFA7,"-33.933868,151.168915",0,0,180
1549511212,2019-02-07T03:46:52Z,QFA7,"-33.933323,151.168976",0,19,11
1549511227,2019-02-07T03:47:07Z,QFA7,"-33.932911,151.169357",0,20,39
1549511236,2019-02-07T03:47:16Z,QFA7,"-33.932808,151.169678",0,17,61
1549511245,2019-02-07T03:47:25Z,QFA7,"-33.932846,151.169968",0,14,87
1549511256,2019-02-07T03:47:36Z,QFA7,"-33.932949,151.170181",0,14,104
1549511267,2019-02-07T03:47:47Z,QFA7,"-33.933174,151.170456",0,21,126
1549511275,2019-02-07T03:47:55Z,QFA7,"-33.933498,151.170654",0,26,149
1549511283,2019-02-07T03:48:03Z,QFA7,"-33.933918,151.170761",0,30,165
1549511381,2019-02-07T03:49:41Z,QFA7,"-33.940121,151.172394",0,15,168
1549511433,2019-02-07T03:50:33Z,QFA7,"-33.943459,151.173248",0,26,168
1549511439,2019-02-07T03:50:39Z,QFA7,"-33.943771,151.17334",0,25,168
1549511452,2019-02-07T03:50:52Z,QFA7,"-33.944378,151.173492",0,28,168
1549511463,2019-02-07T03:51:03Z,QFA7,"-33.945087,151.173676",0,32,168
1549511469,2019-02-07T03:51:09Z,QFA7,"-33.945488,151.173767",0,34,168
1549511475,2019-02-07T03:51:15Z,QFA7,"-33.945904,151.173874",0,16,168
1549511482,2019-02-07T03:51:22Z,QFA7,"-33.946369,151.173996",0,17,168
1549511488,2019-02-07T03:51:28Z,QFA7,"-33.946896,151.174133",0,19,168
1549511494,2019-02-07T03:51:34Z,QFA7,"-33.947433,151.174271",0,20,168
1549511500,2019-02-07T03:51:40Z,QFA7,"-33.948029,151.174423",0,21,168
1549511507,2019-02-07T03:51:47Z,QFA7,"-33.948681,151.174591",0,22,168
1549511513,2019-02-07T03:51:53Z,QFA7,"-33.949276,151.174744",0,23,168
1549511525,2019-02-07T03:52:05Z,QFA7,"-33.950619,151.175095",0,24,168
1549511532,2019-02-07T03:52:12Z,QFA7,"-33.951328,151.175278",0,24,168
1549511544,2019-02-07T03:52:24Z,QFA7,"-33.952675,151.175629",0,24,168
1549511551,2019-02-07T03:52:31Z,QFA7,"-33.953468,151.175827",0,25,165
1549511557,2019-02-07T03:52:37Z,QFA7,"-33.954144,151.17601",0,25,165
1549511563,2019-02-07T03:52:43Z,QFA7,"-33.954906,151.176208",0,25,168
1549511569,2019-02-07T03:52:49Z,QFA7,"-33.955631,151.176392",0,25,168
1549511575,2019-02-07T03:52:55Z,QFA7,"-33.956371,151.17659",0,26,168
1549511582,2019-02-07T03:53:02Z,QFA7,"-33.957066,151.176773",0,26,168
1549511592,2019-02-07T03:53:12Z,QFA7,"-33.958298,151.177078",0,27,168
1549511600,2019-02-07T03:53:20Z,QFA7,"-33.959347,151.177353",0,27,168
1549511606,2019-02-07T03:53:26Z,QFA7,"-33.960068,151.177536",0,27,168
1549511613,2019-02-07T03:53:33Z,QFA7,"-33.96093,151.177765",0,28,168
1549511621,2019-02-07T03:53:41Z,QFA7,"-33.962082,151.17807",0,28,168
1549511627,2019-02-07T03:53:47Z,QFA7,"-33.962791,151.178253",0,22,165
1549511633,2019-02-07T03:53:53Z,QFA7,"-33.963261,151.178375",0,16,168
1549511639,2019-02-07T03:53:59Z,QFA7,"-33.963676,151.178467",0,25,168
1549511646,2019-02-07T03:54:06Z,QFA7,"-33.963943,151.178543",0,21,168
1549511652,2019-02-07T03:54:12Z,QFA7,"-33.964153,151.178619",0,19,165
1549511664,2019-02-07T03:54:24Z,QFA7,"-33.964386,151.179001",0,17,132
1549511673,2019-02-07T03:54:33Z,QFA7,"-33.964371,151.17923",0,13,104
1549511819,2019-02-07T03:56:59Z,QFA7,"-33.964371,151.17955",0,16,90
1549511826,2019-02-07T03:57:06Z,QFA7,"-33.964325,151.179794",0,21,84
1549511854,2019-02-07T03:57:34Z,QFA7,"-33.963352,151.180344",0,31,348
1549511863,2019-02-07T03:57:43Z,QFA7,"-33.962379,151.180084",0,39,348
1549511871,2019-02-07T03:57:51Z,QFA7,"-33.960274,151.179535",0,69,348
1549511884,2019-02-07T03:58:04Z,QFA7,"-33.955215,151.178268",100,108,347
1549511890,2019-02-07T03:58:10Z,QFA7,"-33.952286,151.177475",100,124,347
1549511897,2019-02-07T03:58:17Z,QFA7,"-33.948452,151.176514",100,141,347
1549511903,2019-02-07T03:58:23Z,QFA7,"-33.944092,151.1754",75,158,347
1549511914,2019-02-07T03:58:34Z,QFA7,"-33.934937,151.17305",200,171,347
1549511941,2019-02-07T03:59:01Z,QFA7,"-33.914658,151.167221",800,171,346
1549511950,2019-02-07T03:59:10Z,QFA7,"-33.907242,151.165039",950,178,346
1549511960,2019-02-07T03:59:20Z,QFA7,"-33.899387,151.162781",1125,183,346
1549511971,2019-02-07T03:59:31Z,QFA7,"-33.890217,151.158829",1400,186,337
1549511980,2019-02-07T03:59:40Z,QFA7,"-33.882797,151.15506",1700,183,336
1549511986,2019-02-07T03:59:46Z,QFA7,"-33.878437,151.15271",1850,183,335
1549512000,2019-02-07T04:00:00Z,QFA7,"-33.867264,151.146759",2175,185,336
1549512012,2019-02-07T04:00:12Z,QFA7,"-33.858932,151.142746",2450,185,340
