Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549598448,2019-02-08T04:00:48Z,QFA7,"-33.934822,151.167679",0,0,258
1549598481,2019-02-08T04:01:21Z,QFA7,"-33.934788,151.167938",0,9,258
1549598501,2019-02-08T04:01:41Z,QFA7,"-33.934742,151.168167",0,9,261
1549598521,2019-02-08T04:02:01Z,QFA7,"-33.934673,151.168381",0,9,272
1549598541,2019-02-08T04:02:21Z,QFA7,"-33.934628,151.16864",0,9,292
1549598562,2019-02-08T04:02:42Z,QFA7,"-33.934673,151.168884",0,9,312
1549598583,2019-02-08T04:03:03Z,QFA7,"-33.934845,151.169113",0,10,312
1549598669,2019-02-08T04:04:29Z,QFA7,"-33.934605,151.169098",0,2,340
1549598700,2019-02-08T04:05:00Z,QFA7,"-33.93433,151.169037",0,9,345
1549598728,2019-02-08T04:05:28Z,QFA7,"-33.934078,151.168945",0,2,348
1549598758,2019-02-08T04:05:58Z,QFA7,"-33.933868,151.168884",0,2,348
1549598996,2019-02-08T04:09:56Z,QFA7,"-33.933861,151.1689",0,0,61
1549599119,2019-02-08T04:11:59Z,QFA7,"-33.933529,151.168869",0,14,354
1549599131,2019-02-08T04:12:11Z,QFA7,"-33.933254,151.169006",0,17,14
1549599150,2019-02-08T04:12:30Z,QFA7,"-33.932854,151.169617",0,21,59
1549599187,2019-02-08T04:13:07Z,QFA7,"-33.933811,151.170746",0,30,157
1549599206,2019-02-08T04:13:26Z,QFA7,"-33.935005,151.171036",0,15,168
1549599227,2019-02-08T04:13:47Z,QFA7,"-33.936626,151.171463",0,17,168
1549599282,2019-02-08T04:14:42Z,QFA7,"-33.941334,151.172714",0,23,168
1549599325,2019-02-08T04:15:25Z,QFA7,"-33.946262,151.173981",0,26,168
1549599354,2019-02-08T04:15:54Z,QFA7,"-33.950081,151.174973",0,28,168
1549599365,2019-02-08T04:16:05Z,QFA7,"-33.951023,151.175217",0,28,168
1549599375,2019-02-08T04:16:15Z,QFA7,"-33.952263,151.175537",0,28,168
1549599451,2019-02-08T04:17:31Z,QFA7,"-33.961941,151.17804",0,25,168
1549599457,2019-02-08T04:17:37Z,QFA7,"-33.962643,151.178223",0,23,168
1549599463,2019-02-08T04:17:43Z,QFA7,"-33.963238,151.178375",0,20,168
1549599469,2019-02-08T04:17:49Z,QFA7,"-33.963734,151.178497",0,15,168
1549599475,2019-02-08T04:17:55Z,QFA7,"-33.964092,151.178619",0,24,165
1549599486,2019-02-08T04:18:06Z,QFA7,"-33.964386,151.178986",0,19,132
1549599493,2019-02-08T04:18:13Z,QFA7,"-33.964382,151.179214",0,13,109
1549599658,2019-02-08T04:20:58Z,QFA7,"-33.964397,151.179459",0,15,95
1549599664,2019-02-08T04:21:04Z,QFA7,"-33.964352,151.179672",0,21,84
1549599670,2019-02-08T04:21:10Z,QFA7,"-33.964279,151.179993",0,25,78
1549599676,2019-02-08T04:21:16Z,QFA7,"-33.964176,151.180328",0,23,70
1549599686,2019-02-08T04:21:26Z,QFA7,"-33.96386,151.180527",0,20,33
1549599697,2019-02-08T04:21:37Z,QFA7,"-33.963432,151.180405",0,26,354
1549599708,2019-02-08T04:21:48Z,QFA7,"-33.962402,151.180115",0,40,348
1549599715,2019-02-08T04:21:55Z,QFA7,"-33.960354,151.179596",0,69,348
1549599726,2019-02-08T04:22:06Z,QFA7,"-33.956223,151.178543",350,103,347
1549599732,2019-02-08T04:22:12Z,QFA7,"-33.953293,151.177811",350,120,348
1549599738,2019-02-08T04:22:18Z,QFA7,"-33.949493,151.176804",325,135,348
1549599745,2019-02-08T04:22:25Z,QFA7,"-33.945419,151.175735",325,155,347
1549599785,2019-02-08T04:23:05Z,QFA7,"-33.91349,151.167526",1050,180,347
1549599793,2019-02-08T04:23:13Z,QFA7,"-33.905392,151.165298",1300,181,345
1549599810,2019-02-08T04:23:30Z,QFA7,"-33.893612,151.161743",1575,188,346
1549599816,2019-02-08T04:23:36Z,QFA7,"-33.88868,151.160263",1625,193,346
1549599822,2019-02-08T04:23:42Z,QFA7,"-33.884117,151.15889",1700,196,346
1549599832,2019-02-08T04:23:52Z,QFA7,"-33.873409,151.155624",1850,201,346
1549599838,2019-02-08T04:23:58Z,QFA7,"-33.867729,151.1539",1925,208,346
1549599850,2019-02-08T04:24:10Z,QFA7,"-33.856606,151.150986",2100,219,351
1549599856,2019-02-08T04:24:16Z,QFA7,"-33.849884,151.15097",2175,222,357
1549599878,2019-02-08T04:24:38Z,QFA7,"-33.829926,151.165146",2450,245,48
1549599884,2019-02-08T04:24:44Z,QFA7,"-33.826401,151.172272",2525,249,60
1549599894,2019-02-08T04:24:54Z,QFA7,"-33.823879,151.181488",2625,253,78
1549599917,2019-02-08T04:25:17Z,QFA7,"-33.832722,151.218857",2925,260,120
1549599929,2019-02-08T04:25:29Z,QFA7,"-33.838394,151.2341",3075,270,104
1549599953,2019-02-08T04:25:53Z,QFA7,"-33.83432,151.269119",3375,270,72
1549599963,2019-02-08T04:26:03Z,QFA7,"-33.831421,151.282318",3500,272,79
1549599975,2019-02-08T04:26:15Z,QFA7,"-33.829971,151.299957",3700,273,86
1549599986,2019-02-08T04:26:26Z,QFA7,"-33.827602,151.317841",3900,274,75
1549599996,2019-02-08T04:26:36Z,QFA7,"-33.823692,151.331238",4100,277,66
1549600004,2019-02-08T04:26:44Z,QFA7,"-33.818386,151.344284",4400,279,62
1549600013,2019-02-08T04:26:53Z,QFA7,"-33.8134,151.355789",4750,277,62
1549600032,2019-02-08T04:27:12Z,QFA7,"-33.802597,151.380783",5450,277,62
1549600043,2019-02-08T04:27:23Z,QFA7,"-33.795296,151.397888",5750,283,62
1549600055,2019-02-08T04:27:35Z,QFA7,"-33.788593,151.413574",6100,285,62
1549600066,2019-02-08T04:27:46Z,QFA7,"-33.781769,151.429779",6475,286,63
1549600079,2019-02-08T04:27:59Z,QFA7,"-33.773834,151.4487",6925,288,63
1549600090,2019-02-08T04:28:10Z,QFA7,"-33.766621,151.465698",7300,290,62
1549600101,2019-02-08T04:28:21Z,QFA7,"-33.760208,151.480438",7625,292,62
1549600115,2019-02-08T04:28:35Z,QFA7,"-33.751537,151.50032",8075,294,62
1549600127,2019-02-08T04:28:47Z,QFA7,"-33.743996,151.517609",8475,295,62
1549600149,2019-02-08T04:29:09Z,QFA7,"-33.729401,151.55101",9250,297,62
1549600155,2019-02-08T04:29:15Z,QFA7,"-33.725838,151.559433",9425,298,63
1549600197,2019-02-08T04:29:57Z,QFA7,"-33.699631,151.621567",10600,309,62
1549600212,2019-02-08T04:30:12Z,QFA7,"-33.689484,151.644791",10800,322,62
1549600227,2019-02-08T04:30:27Z,QFA7,"-33.678356,151.670044",11000,335,62
1549600242,2019-02-08T04:30:42Z,QFA7,"-33.666824,151.696075",11200,348,62
1549600259,2019-02-08T04:30:59Z,QFA7,"-33.655014,151.722931",11400,360,62
1549600268,2019-02-08T04:31:08Z,QFA7,"-33.64698,151.741394",11575,368,62
1549600284,2019-02-08T04:31:24Z,QFA7,"-33.634735,151.769958",11800,378,62
1549600300,2019-02-08T04:31:40Z,QFA7,"-33.622421,151.798706",12050,387,62
1549600330,2019-02-08T04:32:10Z,QFA7,"-33.59866,151.860062",12900,395,70
1549600340,2019-02-08T04:32:20Z,QFA7,"-33.593212,151.880493",13175,396,74
1549600377,2019-02-08T04:32:57Z,QFA7,"-33.57843,151.958862",14250,403,79
1549600407,2019-02-08T04:33:27Z,QFA7,"-33.567471,152.02475",15725,389,77
1549600438,2019-02-08T04:33:58Z,QFA7,"-33.555367,152.090668",16100,408,77
1549600468,2019-02-08T04:34:28Z,QFA7,"-33.542267,152.161087",16550,423,77
1549600499,2019-02-08T04:34:59Z,QFA7,"-33.529037,152.232117",17175,431,77
1549600531,2019-02-08T04:35:31Z,QFA7,"-33.515717,152.303635",17900,435,77
1549600566,2019-02-08T04:36:06Z,QFA7,"-33.499878,152.388229",18700,440,77
1549600627,2019-02-08T04:37:07Z,QFA7,"-33.472504,152.533798",20150,444,77
1549600689,2019-02-08T04:38:09Z,QFA7,"-33.444153,152.683273",21275,454,77
1549600750,2019-02-08T04:39:10Z,QFA7,"-33.415375,152.834106",22350,461,77
1549600812,2019-02-08T04:40:12Z,QFA7,"-33.385777,152.988312",23350,468,77
1549600871,2019-02-08T04:41:11Z,QFA7,"-33.355682,153.14386",24150,480,76
1549600932,2019-02-08T04:42:12Z,QFA7,"-33.324978,153.301422",25200,483,76
1549601001,2019-02-08T04:43:21Z,QFA7,"-33.289673,153.481201",26275,490,76
1549601061,2019-02-08T04:44:21Z,QFA7,"-33.25827,153.639816",27100,495,76
1549601123,2019-02-08T04:45:23Z,QFA7,"-33.225449,153.804688",27800,503,76
1549601189,2019-02-08T04:46:29Z,QFA7,"-33.18951,153.983475",28500,511,76
1549601248,2019-02-08T04:47:28Z,QFA7,"-33.156506,154.14653",29350,512,76
1549601306,2019-02-08T04:48:26Z,QFA7,"-33.123825,154.306992",29975,515,76
1549601374,2019-02-08T04:49:34Z,QFA7,"-33.085373,154.494003",30600,521,76
