Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549858139,2019-02-11T04:08:59Z,QFA7,"-33.934032,151.167603",0,0,78
1549858166,2019-02-11T04:09:26Z,QFA7,"-33.933975,151.167892",0,9,258
1549858187,2019-02-11T04:09:47Z,QFA7,"-33.933907,151.168137",0,9,267
1549858206,2019-02-11T04:10:06Z,QFA7,"-33.933846,151.168381",0,10,286
1549858219,2019-02-11T04:10:19Z,QFA7,"-33.933929,151.168076",0,10,306
1549858244,2019-02-11T04:10:44Z,QFA7,"-33.933891,151.16893",0,9,345
1549858593,2019-02-11T04:16:33Z,QFA7,"-33.933655,151.168854",0,16,351
1549858599,2019-02-11T04:16:39Z,QFA7,"-33.933414,151.168869",0,22,9
1549858611,2019-02-11T04:16:51Z,QFA7,"-33.932934,151.169205",0,26,28
1549858618,2019-02-11T04:16:58Z,QFA7,"-33.932774,151.16954",0,26,53
1549858625,2019-02-11T04:17:05Z,QFA7,"-33.932796,151.169922",0,24,84
1549858638,2019-02-11T04:17:18Z,QFA7,"-33.933186,151.170502",0,29,132
1549858648,2019-02-11T04:17:28Z,QFA7,"-33.933788,151.170746",0,15,163
1549858657,2019-02-11T04:17:37Z,QFA7,"-33.934566,151.170944",0,19,168
1549858668,2019-02-11T04:17:48Z,QFA7,"-33.935581,151.171188",0,21,168
1549858687,2019-02-11T04:18:07Z,QFA7,"-33.937664,151.171753",0,26,168
1549858697,2019-02-11T04:18:17Z,QFA7,"-33.938919,151.172073",0,29,168
1549858704,2019-02-11T04:18:24Z,QFA7,"-33.939835,151.172302",0,29,168
1549858727,2019-02-11T04:18:47Z,QFA7,"-33.942776,151.17308",0,26,168
1549858739,2019-02-11T04:18:59Z,QFA7,"-33.944168,151.173447",0,24,168
1549858745,2019-02-11T04:19:05Z,QFA7,"-33.944824,151.17363",0,22,168
1549858751,2019-02-11T04:19:11Z,QFA7,"-33.945477,151.173798",0,22,168
1549858757,2019-02-11T04:19:17Z,QFA7,"-33.946056,151.173935",0,21,168
1549858763,2019-02-11T04:19:23Z,QFA7,"-33.946632,151.174088",0,21,168
1549858770,2019-02-11T04:19:30Z,QFA7,"-33.947243,151.174255",0,21,168
1549858779,2019-02-11T04:19:39Z,QFA7,"-33.948223,151.174515",0,23,168
1549858791,2019-02-11T04:19:51Z,QFA7,"-33.949512,151.174835",0,23,168
1549858797,2019-02-11T04:19:57Z,QFA7,"-33.95015,151.174988",0,23,168
1549858803,2019-02-11T04:20:03Z,QFA7,"-33.95079,151.175171",0,23,168
1549858809,2019-02-11T04:20:09Z,QFA7,"-33.951443,151.175323",0,23,168
1549858815,2019-02-11T04:20:15Z,QFA7,"-33.95208,151.175491",0,23,168
1549858826,2019-02-11T04:20:26Z,QFA7,"-33.953293,151.175797",0,22,168
1549858833,2019-02-11T04:20:33Z,QFA7,"-33.953911,151.175964",0,22,168
1549858839,2019-02-11T04:20:39Z,QFA7,"-33.954563,151.176132",0,22,168
1549858845,2019-02-11T04:20:45Z,QFA7,"-33.955204,151.1763",0,22,168
1549858851,2019-02-11T04:20:51Z,QFA7,"-33.955841,151.176468",0,22,168
1549858864,2019-02-11T04:21:04Z,QFA7,"-33.957088,151.176788",0,23,168
1549858870,2019-02-11T04:21:10Z,QFA7,"-33.957764,151.176956",0,23,168
1549858884,2019-02-11T04:21:24Z,QFA7,"-33.959278,151.177353",0,23,168
1549858891,2019-02-11T04:21:31Z,QFA7,"-33.960079,151.177551",0,23,168
1549858897,2019-02-11T04:21:37Z,QFA7,"-33.960682,151.177704",0,24,168
1549858903,2019-02-11T04:21:43Z,QFA7,"-33.96143,151.177902",0,24,168
1549858910,2019-02-11T04:21:50Z,QFA7,"-33.962093,151.17807",0,24,168
1549858916,2019-02-11T04:21:56Z,QFA7,"-33.962746,151.178238",0,23,168
1549858922,2019-02-11T04:22:02Z,QFA7,"-33.963337,151.178406",0,18,168
1549858929,2019-02-11T04:22:09Z,QFA7,"-33.963764,151.178497",0,29,168
1549858941,2019-02-11T04:22:21Z,QFA7,"-33.964268,151.178757",0,23,151
1549858949,2019-02-11T04:22:29Z,QFA7,"-33.964371,151.179199",0,23,112
1549858958,2019-02-11T04:22:38Z,QFA7,"-33.964291,151.179657",0,22,84
1549858967,2019-02-11T04:22:47Z,QFA7,"-33.964211,151.180084",0,23,78
1549858974,2019-02-11T04:22:54Z,QFA7,"-33.964104,151.180405",0,22,70
1549858983,2019-02-11T04:23:03Z,QFA7,"-33.963825,151.180557",0,19,36
1549858992,2019-02-11T04:23:12Z,QFA7,"-33.963581,151.180496",0,16,5
1549859005,2019-02-11T04:23:25Z,QFA7,"-33.963364,151.180374",0,2,348
1549859029,2019-02-11T04:23:49Z,QFA7,"-33.96257,151.180191",0,33,348
1549859040,2019-02-11T04:24:00Z,QFA7,"-33.959614,151.179428",0,74,348
1549859050,2019-02-11T04:24:10Z,QFA7,"-33.955719,151.178436",375,104,347
1549859056,2019-02-11T04:24:16Z,QFA7,"-33.952271,151.177536",375,124,347
1549859063,2019-02-11T04:24:23Z,QFA7,"-33.948498,151.176575",375,142,347
1549859069,2019-02-11T04:24:29Z,QFA7,"-33.944401,151.175476",350,158,347
1549859095,2019-02-11T04:24:55Z,QFA7,"-33.923222,151.169876",750,179,347
1549859109,2019-02-11T04:25:09Z,QFA7,"-33.912094,151.166718",1100,180,346
1549859119,2019-02-11T04:25:19Z,QFA7,"-33.90395,151.163971",1375,179,342
1549859141,2019-02-11T04:25:41Z,QFA7,"-33.886257,151.157516",1850,183,343
1549859156,2019-02-11T04:25:56Z,QFA7,"-33.873829,151.153275",2075,193,345
1549859166,2019-02-11T04:26:06Z,QFA7,"-33.864807,151.150681",2150,205,346
1549859181,2019-02-11T04:26:21Z,QFA7,"-33.849854,151.14653",2350,218,347
1549859191,2019-02-11T04:26:31Z,QFA7,"-33.84045,151.143951",2450,226,347
1549859202,2019-02-11T04:26:42Z,QFA7,"-33.828907,151.14212",2550,241,1
1549859212,2019-02-11T04:26:52Z,QFA7,"-33.817825,151.145386",2725,244,24
1549859221,2019-02-11T04:27:01Z,QFA7,"-33.80912,151.152191",3000,248,39
1549859227,2019-02-11T04:27:07Z,QFA7,"-33.804607,151.157745",3150,249,46
1549859238,2019-02-11T04:27:18Z,QFA7,"-33.798321,151.169876",3450,255,64
1549859246,2019-02-11T04:27:26Z,QFA7,"-33.794086,151.183319",3575,267,71
1549859252,2019-02-11T04:27:32Z,QFA7,"-33.792175,151.190933",3600,274,73
1549859258,2019-02-11T04:27:38Z,QFA7,"-33.790314,151.198654",3625,281,74
1549859267,2019-02-11T04:27:47Z,QFA7,"-33.786869,151.213409",3675,296,74
1549859276,2019-02-11T04:27:56Z,QFA7,"-33.7831,151.229431",3775,308,74
1549859287,2019-02-11T04:28:07Z,QFA7,"-33.779003,151.246826",3875,320,74
1549859298,2019-02-11T04:28:18Z,QFA7,"-33.774906,151.264679",4025,329,74
1549859308,2019-02-11T04:28:28Z,QFA7,"-33.770531,151.283401",4150,341,74
1549859322,2019-02-11T04:28:42Z,QFA7,"-33.764385,151.310974",4325,356,75
1549859332,2019-02-11T04:28:52Z,QFA7,"-33.760803,151.331512",4525,363,83
1549859357,2019-02-11T04:29:17Z,QFA7,"-33.766205,151.378937",5075,379,104
1549859368,2019-02-11T04:29:28Z,QFA7,"-33.771057,151.401016",5450,381,104
1549859378,2019-02-11T04:29:38Z,QFA7,"-33.775726,151.422928",5925,379,104
1549859392,2019-02-11T04:29:52Z,QFA7,"-33.782169,151.453735",6350,385,104
1549859405,2019-02-11T04:30:05Z,QFA7,"-33.786804,151.476013",6700,387,103
1549859420,2019-02-11T04:30:20Z,QFA7,"-33.793434,151.508499",7400,382,103
1549859429,2019-02-11T04:30:29Z,QFA7,"-33.797714,151.52951",7900,378,103
1549859445,2019-02-11T04:30:45Z,QFA7,"-33.804062,151.560883",8275,386,103
1549859456,2019-02-11T04:30:56Z,QFA7,"-33.808796,151.584091",8500,392,103
1549859471,2019-02-11T04:31:11Z,QFA7,"-33.815552,151.617325",8925,396,103
1549859482,2019-02-11T04:31:22Z,QFA7,"-33.81992,151.639084",9250,397,103
1549859496,2019-02-11T04:31:36Z,QFA7,"-33.82608,151.669846",9700,398,103
1549859506,2019-02-11T04:31:46Z,QFA7,"-33.830841,151.694122",9950,398,103
1549859541,2019-02-11T04:32:21Z,QFA7,"-33.825275,151.769257",10975,397,70
1549859561,2019-02-11T04:32:41Z,QFA7,"-33.813217,151.811829",11525,402,72
1549859571,2019-02-11T04:32:51Z,QFA7,"-33.808285,151.830887",11775,404,72
1549859584,2019-02-11T04:33:04Z,QFA7,"-33.800648,151.860687",12125,407,73
1549859617,2019-02-11T04:33:37Z,QFA7,"-33.781952,151.933685",12925,416,72
1549859649,2019-02-11T04:34:09Z,QFA7,"-33.763641,152.003922",13675,424,72
1549859684,2019-02-11T04:34:44Z,QFA7,"-33.742458,152.084488",14550,431,72
1549859720,2019-02-11T04:35:20Z,QFA7,"-33.721024,152.167084",15425,438,72
1549859756,2019-02-11T04:35:56Z,QFA7,"-33.698959,152.251511",16325,443,72
1549859786,2019-02-11T04:36:26Z,QFA7,"-33.680191,152.322968",17000,448,72
1549859817,2019-02-11T04:36:57Z,QFA7,"-33.660759,152.396683",17750,451,72
1549859854,2019-02-11T04:37:34Z,QFA7,"-33.638088,152.48262",18325,461,72
1549859914,2019-02-11T04:38:34Z,QFA7,"-33.598751,152.630829",19625,466,72
1549859975,2019-02-11T04:39:35Z,QFA7,"-33.557972,152.783829",20775,476,72
1549860038,2019-02-11T04:40:38Z,QFA7,"-33.516129,152.940186",22050,480,72
1549860098,2019-02-11T04:41:38Z,QFA7,"-33.474472,153.094543",22925,492,72
1549860122,2019-02-11T04:42:02Z,QFA7,"-33.457535,153.157318",23350,494,72
1549860214,2019-02-11T04:43:34Z,QFA7,"-33.391129,153.401154",24825,505,71
1549860276,2019-02-11T04:44:36Z,QFA7,"-33.345795,153.56662",25825,512,71
1549860309,2019-02-11T04:45:09Z,QFA7,"-33.321022,153.656586",26275,515,71
1549860399,2019-02-11T04:46:39Z,QFA7,"-33.253567,153.900131",27500,523,71
1549860497,2019-02-11T04:48:17Z,QFA7,"-33.177658,154.171478",28425,536,71
1549860557,2019-02-11T04:49:17Z,QFA7,"-33.129913,154.340988",28975,543,71
1549860618,2019-02-11T04:50:18Z,QFA7,"-33.080887,154.514084",29600,545,71
1549860682,2019-02-11T04:51:22Z,QFA7,"-33.030022,154.692429",30700,537,71
1549860752,2019-02-11T04:52:32Z,QFA7,"-32.973953,154.887726",31650,534,71
1549860832,2019-02-11T04:53:52Z,QFA7,"-32.909454,155.110703",32575,535,70
1549860875,2019-02-11T04:54:35Z,QFA7,"-32.875004,155.229248",33000,534,70
1549860946,2019-02-11T04:55:46Z,QFA7,"-32.817837,155.424988",33000,533,70
1549861103,2019-02-11T04:58:23Z,QFA7,"-32.690983,155.854401",33000,530,70
1549861115,2019-02-11T04:58:35Z,QFA7,"-32.68071,155.888748",33000,530,70
1549861222,2019-02-11T05:00:22Z,QFA7,"-32.592758,156.182648",33000,530,70
1549862263,2019-02-11T05:17:43Z,QFA7,"-31.70915,158.987885",33000,521,68
1549862326,2019-02-11T05:18:46Z,QFA7,"-31.654219,159.154266",33000,520,68
1549862386,2019-02-11T05:19:46Z,QFA7,"-31.601103,159.314499",33000,520,68
1549871590,2019-02-11T07:53:10Z,QFA7,"-18.84668,179.346024",35000,504,39
1549871887,2019-02-11T07:58:07Z,QFA7,"-18.316816,179.808334",35000,500,39
1549871895,2019-02-11T07:58:15Z,QFA7,"-18.303497,179.819855",35000,499,39
1549871983,2019-02-11T07:59:43Z,QFA7,"-18.146109,179.956451",35000,498,39
1549871989,2019-02-11T07:59:49Z,QFA7,"-18.135588,179.965576",35000,497,39
1549872953,2019-02-11T08:15:53Z,QFA7,"-16.415085,-178.562622",35000,493,39
1549873140,2019-02-11T08:19:00Z,QFA7,"-16.085752,-178.279266",35000,492,42
1549873182,2019-02-11T08:19:42Z,QFA7,"-16.017181,-178.211975",35000,495,51
