Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550541448,2019-02-19T01:57:28Z,QFA8,"32.894962,-97.045502",0,2,354
1550541828,2019-02-19T02:03:48Z,QFA8,"32.89431,-97.045837",0,0,271
1550542024,2019-02-19T02:07:04Z,QFA8,"32.894302,-97.045822",0,0,242
1550542120,2019-02-19T02:08:40Z,QFA8,"32.894291,-97.046204",0,16,267
1550542129,2019-02-19T02:08:49Z,QFA8,"32.894207,-97.046555",0,21,258
1550542162,2019-02-19T02:09:22Z,QFA8,"32.894039,-97.048195",0,21,270
1550542173,2019-02-19T02:09:33Z,QFA8,"32.894028,-97.048676",0,19,270
1550542182,2019-02-19T02:09:42Z,QFA8,"32.893799,-97.048927",0,19,230
1550542191,2019-02-19T02:09:51Z,QFA8,"32.893524,-97.048927",0,17,196
1550542199,2019-02-19T02:09:59Z,QFA8,"32.893227,-97.048866",0,23,180
1550542206,2019-02-19T02:10:06Z,QFA8,"32.892868,-97.048882",0,31,180
1550542217,2019-02-19T02:10:17Z,QFA8,"32.892204,-97.048882",0,15,180
1550542226,2019-02-19T02:10:26Z,QFA8,"32.891544,-97.048882",0,15,180
1550542238,2019-02-19T02:10:38Z,QFA8,"32.890778,-97.048882",0,15,180
1550542247,2019-02-19T02:10:47Z,QFA8,"32.890148,-97.048897",0,15,180
1550542254,2019-02-19T02:10:54Z,QFA8,"32.889576,-97.048889",0,16,180
1550542529,2019-02-19T02:15:29Z,QFA8,"32.910965,-97.050804",575,163,356
1550542539,2019-02-19T02:15:39Z,QFA8,"32.920166,-97.050858",850,164,359
1550542547,2019-02-19T02:15:47Z,QFA8,"32.924862,-97.050926",1025,163,359
1550542558,2019-02-19T02:15:58Z,QFA8,"32.933846,-97.051376",1350,162,353
1550542566,2019-02-19T02:16:06Z,QFA8,"32.938549,-97.052383",1475,167,347
1550542573,2019-02-19T02:16:13Z,QFA8,"32.945297,-97.054649",1575,174,341
1550542580,2019-02-19T02:16:20Z,QFA8,"32.9496,-97.056412",1650,178,340
1550542587,2019-02-19T02:16:27Z,QFA8,"32.956703,-97.059616",1750,186,339
1550542597,2019-02-19T02:16:37Z,QFA8,"32.964802,-97.063202",1875,193,339
1550542603,2019-02-19T02:16:43Z,QFA8,"32.96965,-97.065414",1925,200,338
1550542611,2019-02-19T02:16:51Z,QFA8,"32.975235,-97.068108",2000,205,338
1550542621,2019-02-19T02:17:01Z,QFA8,"32.986084,-97.073441",2150,218,333
1550542628,2019-02-19T02:17:08Z,QFA8,"32.991394,-97.077446",2200,228,321
1550542638,2019-02-19T02:17:18Z,QFA8,"32.997849,-97.085907",2275,244,304
1550542644,2019-02-19T02:17:24Z,QFA8,"33.002186,-97.097115",2375,256,287
1550542651,2019-02-19T02:17:31Z,QFA8,"33.003891,-97.105682",2450,263,280
1550542660,2019-02-19T02:17:40Z,QFA8,"33.005264,-97.118973",2550,273,275
1550542669,2019-02-19T02:17:49Z,QFA8,"33.006142,-97.132202",2750,277,274
1550542677,2019-02-19T02:17:57Z,QFA8,"33.006699,-97.141899",2950,280,273
1550542686,2019-02-19T02:18:06Z,QFA8,"33.007401,-97.155235",3200,283,273
1550542698,2019-02-19T02:18:18Z,QFA8,"33.008469,-97.174187",3600,284,271
1550542720,2019-02-19T02:18:40Z,QFA8,"32.999954,-97.209175",4250,274,245
1550542726,2019-02-19T02:18:46Z,QFA8,"32.996693,-97.217628",4500,274,245
1550542732,2019-02-19T02:18:52Z,QFA8,"32.993481,-97.226143",4700,275,246
1550542738,2019-02-19T02:18:58Z,QFA8,"32.990734,-97.233658",4900,275,246
1550542758,2019-02-19T02:19:18Z,QFA8,"32.981781,-97.259323",5725,269,248
1550542768,2019-02-19T02:19:28Z,QFA8,"32.976196,-97.275864",6075,274,247
1550542780,2019-02-19T02:19:40Z,QFA8,"32.970428,-97.292671",6400,276,247
1550542793,2019-02-19T02:19:53Z,QFA8,"32.964478,-97.310059",6925,273,248
1550542803,2019-02-19T02:20:03Z,QFA8,"32.959217,-97.32547",7450,266,248
1550542816,2019-02-19T02:20:16Z,QFA8,"32.953674,-97.341667",8025,261,248
1550542828,2019-02-19T02:20:28Z,QFA8,"32.947952,-97.358643",8425,262,248
1550542842,2019-02-19T02:20:42Z,QFA8,"32.942551,-97.37429",8775,264,247
1550542854,2019-02-19T02:20:54Z,QFA8,"32.937057,-97.390121",9125,265,247
1550542864,2019-02-19T02:21:04Z,QFA8,"32.931145,-97.407196",9525,265,247
1550542877,2019-02-19T02:21:17Z,QFA8,"32.925468,-97.423508",9850,268,247
1550542889,2019-02-19T02:21:29Z,QFA8,"32.919556,-97.440437",10025,277,247
1550542900,2019-02-19T02:21:40Z,QFA8,"32.913712,-97.457413",10175,286,247
1550542912,2019-02-19T02:21:52Z,QFA8,"32.907639,-97.475075",10325,294,247
1550542924,2019-02-19T02:22:04Z,QFA8,"32.901581,-97.493057",10450,304,250
1550542937,2019-02-19T02:22:17Z,QFA8,"32.897415,-97.513496",10575,316,261
1550542943,2019-02-19T02:22:23Z,QFA8,"32.8965,-97.523987",10625,322,264
1550542949,2019-02-19T02:22:29Z,QFA8,"32.895721,-97.534805",10675,328,265
1550542956,2019-02-19T02:22:36Z,QFA8,"32.894989,-97.544205",10725,331,265
1550542969,2019-02-19T02:22:49Z,QFA8,"32.892834,-97.571938",10900,342,264
1550542981,2019-02-19T02:23:01Z,QFA8,"32.890831,-97.595589",11100,347,264
1550542994,2019-02-19T02:23:14Z,QFA8,"32.888855,-97.618744",11475,349,264
1550543006,2019-02-19T02:23:26Z,QFA8,"32.886841,-97.642036",11825,350,264
1550543017,2019-02-19T02:23:37Z,QFA8,"32.884827,-97.665215",12075,354,263
1550543053,2019-02-19T02:24:13Z,QFA8,"32.879059,-97.72998",13025,358,264
1550543083,2019-02-19T02:24:43Z,QFA8,"32.873611,-97.792984",14100,355,264
1550543116,2019-02-19T02:25:16Z,QFA8,"32.867935,-97.856705",15325,350,263
1550543149,2019-02-19T02:25:49Z,QFA8,"32.862156,-97.920975",16450,346,263
1550543184,2019-02-19T02:26:24Z,QFA8,"32.856491,-97.983871",17275,349,263
1550543218,2019-02-19T02:26:58Z,QFA8,"32.85075,-98.046982",18000,354,263
1550543279,2019-02-19T02:27:59Z,QFA8,"32.839764,-98.166542",20025,341,263
1550543343,2019-02-19T02:29:03Z,QFA8,"32.828018,-98.29023",20475,368,263
1550543405,2019-02-19T02:30:05Z,QFA8,"32.816349,-98.415413",21700,372,263
1550543466,2019-02-19T02:31:06Z,QFA8,"32.805084,-98.534012",23225,363,263
1550543532,2019-02-19T02:32:12Z,QFA8,"32.791718,-98.672607",24375,367,263
1550543594,2019-02-19T02:33:14Z,QFA8,"32.779953,-98.792961",25300,369,263
1550543659,2019-02-19T02:34:19Z,QFA8,"32.767319,-98.921997",25950,377,263
1550543721,2019-02-19T02:35:21Z,QFA8,"32.754433,-99.051559",26975,375,263
1550543784,2019-02-19T02:36:24Z,QFA8,"32.741364,-99.181274",27600,379,263
1550543845,2019-02-19T02:37:25Z,QFA8,"32.728271,-99.310181",28275,381,263
1550543910,2019-02-19T02:38:30Z,QFA8,"32.714447,-99.444878",28700,387,263
1550543972,2019-02-19T02:39:32Z,QFA8,"32.700806,-99.576431",29225,389,263
1550544035,2019-02-19T02:40:35Z,QFA8,"32.687214,-99.706032",29725,391,262
1550544096,2019-02-19T02:41:36Z,QFA8,"32.672974,-99.840836",30000,393,262
