Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550890774,2019-02-23T02:59:34Z,QFA8,"32.895184,-97.045189",0,2,33
1550890808,2019-02-23T03:00:08Z,QFA8,"32.895023,-97.045425",0,2,8
1550890835,2019-02-23T03:00:35Z,QFA8,"32.894814,-97.04554",0,2,343
1550890865,2019-02-23T03:01:05Z,QFA8,"32.894543,-97.045547",0,2,312
1550890903,2019-02-23T03:01:43Z,QFA8,"32.894264,-97.045319",0,2,270
1550890938,2019-02-23T03:02:18Z,QFA8,"32.894291,-97.045067",0,0,82
1550890979,2019-02-23T03:02:59Z,QFA8,"32.894302,-97.045341",0,2,272
1550891016,2019-02-23T03:03:36Z,QFA8,"32.894302,-97.0457",0,2,270
1550891223,2019-02-23T03:07:03Z,QFA8,"32.894291,-97.045807",0,0,180
1550891318,2019-02-23T03:08:38Z,QFA8,"32.894279,-97.045807",0,0,180
1550891412,2019-02-23T03:10:12Z,QFA8,"32.894302,-97.046097",0,11,270
1550891423,2019-02-23T03:10:23Z,QFA8,"32.894299,-97.046326",0,14,270
1550891431,2019-02-23T03:10:31Z,QFA8,"32.894302,-97.046562",0,15,270
1550891491,2019-02-23T03:11:31Z,QFA8,"32.894299,-97.046677",0,0,43
1550891519,2019-02-23T03:11:59Z,QFA8,"32.894299,-97.046974",0,14,270
1550891534,2019-02-23T03:12:14Z,QFA8,"32.894176,-97.047493",0,18,253
1550891543,2019-02-23T03:12:23Z,QFA8,"32.894062,-97.047729",0,13,247
1550891554,2019-02-23T03:12:34Z,QFA8,"32.894245,-97.047279",0,9,247
1550891594,2019-02-23T03:13:14Z,QFA8,"32.89402,-97.047943",0,0,271
1550891618,2019-02-23T03:13:38Z,QFA8,"32.894039,-97.048607",0,21,267
1550891626,2019-02-23T03:13:46Z,QFA8,"32.894176,-97.048882",0,21,292
1550891635,2019-02-23T03:13:55Z,QFA8,"32.89444,-97.048889",0,17,334
