Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550974048,2019-02-24T02:07:28Z,QFA8,"32.895241,-97.045158",0,0,217
1550974085,2019-02-24T02:08:05Z,QFA8,"32.895069,-97.04538",0,2,22
1550974125,2019-02-24T02:08:45Z,QFA8,"32.894825,-97.045601",0,2,348
1550974151,2019-02-24T02:09:11Z,QFA8,"32.894611,-97.045631",0,2,323
1550974181,2019-02-24T02:09:41Z,QFA8,"32.894382,-97.045547",0,2,292
1550974216,2019-02-24T02:10:16Z,QFA8,"32.89423,-97.045265",0,2,264
1550974246,2019-02-24T02:10:46Z,QFA8,"32.894314,-97.044998",0,2,270
1550974290,2019-02-24T02:11:30Z,QFA8,"32.89431,-97.045135",0,2,267
1550974321,2019-02-24T02:12:01Z,QFA8,"32.894337,-97.045364",0,2,272
1550974351,2019-02-24T02:12:31Z,QFA8,"32.894321,-97.045639",0,2,272
1550974454,2019-02-24T02:14:14Z,QFA8,"32.894302,-97.045822",0,0,299
1550974597,2019-02-24T02:16:37Z,QFA8,"32.894287,-97.045822",0,0,61
1550974656,2019-02-24T02:17:36Z,QFA8,"32.894276,-97.045822",0,0,180
1550974741,2019-02-24T02:19:01Z,QFA8,"32.894279,-97.045929",0,2,270
1550974765,2019-02-24T02:19:25Z,QFA8,"32.894279,-97.04615",0,2,270
1550974805,2019-02-24T02:20:05Z,QFA8,"32.894291,-97.046822",0,18,270
1550974814,2019-02-24T02:20:14Z,QFA8,"32.894245,-97.047211",0,21,264
1550974824,2019-02-24T02:20:24Z,QFA8,"32.894028,-97.047592",0,21,241
1550974831,2019-02-24T02:20:31Z,QFA8,"32.893986,-97.047829",0,18,250
1550974839,2019-02-24T02:20:39Z,QFA8,"32.894009,-97.048119",0,16,264
1550974856,2019-02-24T02:20:56Z,QFA8,"32.89402,-97.04863",0,17,270
1550974865,2019-02-24T02:21:05Z,QFA8,"32.893906,-97.048882",0,20,247
1550974875,2019-02-24T02:21:15Z,QFA8,"32.893478,-97.048912",0,21,194
1550974887,2019-02-24T02:21:27Z,QFA8,"32.893044,-97.048882",0,25,182
1550974896,2019-02-24T02:21:36Z,QFA8,"32.892609,-97.048882",0,29,180
1550974939,2019-02-24T02:22:19Z,QFA8,"32.88969,-97.048904",0,15,180
1550974950,2019-02-24T02:22:30Z,QFA8,"32.889072,-97.048927",0,15,180
1550975342,2019-02-24T02:29:02Z,QFA8,"32.879684,-97.050949",0,0,357
1550975354,2019-02-24T02:29:14Z,QFA8,"32.880184,-97.050949",0,26,357
1550975365,2019-02-24T02:29:25Z,QFA8,"32.882336,-97.050949",0,63,357
1550975385,2019-02-24T02:29:45Z,QFA8,"32.890694,-97.050926",500,122,357
1550975410,2019-02-24T02:30:10Z,QFA8,"32.909126,-97.050758",625,173,357
1550975426,2019-02-24T02:30:26Z,QFA8,"32.92207,-97.050812",1000,175,357
1550975449,2019-02-24T02:30:49Z,QFA8,"32.941109,-97.052216",1625,175,351
1550975457,2019-02-24T02:30:57Z,QFA8,"32.947487,-97.053391",1850,175,350
1550975468,2019-02-24T02:31:08Z,QFA8,"32.956238,-97.055092",2125,177,350
1550975478,2019-02-24T02:31:18Z,QFA8,"32.965034,-97.05687",2300,184,350
1550975493,2019-02-24T02:31:33Z,QFA8,"32.978027,-97.059372",2550,194,350
1550975504,2019-02-24T02:31:44Z,QFA8,"32.987,-97.061134",2650,205,350
1550975514,2019-02-24T02:31:54Z,QFA8,"32.996784,-97.063087",2850,211,350
1550975524,2019-02-24T02:32:04Z,QFA8,"33.006821,-97.065033",3125,216,350
1550975534,2019-02-24T02:32:14Z,QFA8,"33.016846,-97.067062",3425,217,350
1550975544,2019-02-24T02:32:24Z,QFA8,"33.02644,-97.069534",3700,218,342
1550975553,2019-02-24T02:32:33Z,QFA8,"33.035843,-97.074921",4025,215,325
1550975563,2019-02-24T02:32:43Z,QFA8,"33.042755,-97.082939",4350,214,309
1550975573,2019-02-24T02:32:53Z,QFA8,"33.047482,-97.093246",4700,216,291
1550975579,2019-02-24T02:32:59Z,QFA8,"33.048843,-97.099808",4875,221,279
1550975601,2019-02-24T02:33:21Z,QFA8,"33.044724,-97.125237",5450,244,244
1550975609,2019-02-24T02:33:29Z,QFA8,"33.03978,-97.136002",5700,249,239
1550975620,2019-02-24T02:33:40Z,QFA8,"33.032352,-97.150024",6125,249,238
1550975633,2019-02-24T02:33:53Z,QFA8,"33.026138,-97.164459",6550,245,244
1550975655,2019-02-24T02:34:15Z,QFA8,"33.016106,-97.191223",7200,248,247
1550975668,2019-02-24T02:34:28Z,QFA8,"33.010937,-97.206581",7450,254,248
1550975679,2019-02-24T02:34:39Z,QFA8,"33.005676,-97.22261",7825,254,249
1550975690,2019-02-24T02:34:50Z,QFA8,"33.000549,-97.238289",8250,254,248
1550975704,2019-02-24T02:35:04Z,QFA8,"32.995247,-97.253723",8650,256,247
1550975715,2019-02-24T02:35:15Z,QFA8,"32.989655,-97.269707",9075,254,247
1550975726,2019-02-24T02:35:26Z,QFA8,"32.984344,-97.284866",9525,252,247
1550975738,2019-02-24T02:35:38Z,QFA8,"32.978897,-97.299973",9925,252,246
1550975751,2019-02-24T02:35:51Z,QFA8,"32.973228,-97.315887",10200,259,247
1550975763,2019-02-24T02:36:03Z,QFA8,"32.967411,-97.332367",10300,269,247
1550975778,2019-02-24T02:36:18Z,QFA8,"32.960037,-97.353256",10475,281,247
1550975790,2019-02-24T02:36:30Z,QFA8,"32.953949,-97.370399",10600,293,247
1550975803,2019-02-24T02:36:43Z,QFA8,"32.947495,-97.388527",10725,302,247
1550975814,2019-02-24T02:36:54Z,QFA8,"32.94072,-97.407478",10825,312,247
1550975827,2019-02-24T02:37:07Z,QFA8,"32.934078,-97.425919",10950,320,246
1550975839,2019-02-24T02:37:19Z,QFA8,"32.926582,-97.446602",11075,330,246
1550975851,2019-02-24T02:37:31Z,QFA8,"32.919228,-97.467056",11300,335,246
1550975862,2019-02-24T02:37:42Z,QFA8,"32.912014,-97.487068",11625,336,246
1550975877,2019-02-24T02:37:57Z,QFA8,"32.902908,-97.512123",11975,341,246
1550975889,2019-02-24T02:38:09Z,QFA8,"32.895035,-97.533821",12350,343,246
1550975921,2019-02-24T02:38:41Z,QFA8,"32.874069,-97.591827",13175,350,247
1550975955,2019-02-24T02:39:15Z,QFA8,"32.852379,-97.65181",14075,354,246
1550975988,2019-02-24T02:39:48Z,QFA8,"32.831524,-97.708755",15425,344,246
1550976022,2019-02-24T02:40:22Z,QFA8,"32.810295,-97.767502",16100,352,246
1550976054,2019-02-24T02:40:54Z,QFA8,"32.789021,-97.826019",17125,349,246
1550976087,2019-02-24T02:41:27Z,QFA8,"32.767841,-97.884033",18025,349,246
1550976152,2019-02-24T02:42:32Z,QFA8,"32.727386,-97.995804",19525,350,250
1550976159,2019-02-24T02:42:39Z,QFA8,"32.724609,-98.007439",19675,348,257
1550976167,2019-02-24T02:42:47Z,QFA8,"32.722366,-98.024139",19875,347,263
1550976174,2019-02-24T02:42:54Z,QFA8,"32.721313,-98.035843",19975,348,263
1550976242,2019-02-24T02:44:02Z,QFA8,"32.709652,-98.16716",21300,351,265
1550976304,2019-02-24T02:45:04Z,QFA8,"32.700897,-98.289688",22375,357,264
1550976368,2019-02-24T02:46:08Z,QFA8,"32.691101,-98.413986",23450,362,264
1550976426,2019-02-24T02:47:06Z,QFA8,"32.681625,-98.533134",24300,369,264
1550976491,2019-02-24T02:48:11Z,QFA8,"32.671188,-98.662498",25275,372,264
1550976548,2019-02-24T02:49:08Z,QFA8,"32.661655,-98.77948",26000,376,264
1550976636,2019-02-24T02:50:36Z,QFA8,"32.646469,-98.962753",27025,383,264
1550976701,2019-02-24T02:51:41Z,QFA8,"32.635483,-99.09404",27675,387,264
1550976762,2019-02-24T02:52:42Z,QFA8,"32.624176,-99.22654",28525,385,264
1550976824,2019-02-24T02:53:44Z,QFA8,"32.612682,-99.359962",29200,386,264
1550976888,2019-02-24T02:54:48Z,QFA8,"32.601276,-99.490509",30000,381,264
1550976951,2019-02-24T02:55:51Z,QFA8,"32.589386,-99.625122",30000,390,264
1550977014,2019-02-24T02:56:54Z,QFA8,"32.577347,-99.760033",30000,391,263
1550977078,2019-02-24T02:57:58Z,QFA8,"32.565201,-99.89386",30000,391,263
1550977137,2019-02-24T02:58:57Z,QFA8,"32.553467,-100.022331",30000,392,263
1550977201,2019-02-24T03:00:01Z,QFA8,"32.540817,-100.158401",30000,396,263
1550977264,2019-02-24T03:01:04Z,QFA8,"32.528046,-100.29512",30000,394,263
1550977325,2019-02-24T03:02:05Z,QFA8,"32.515732,-100.424271",30000,394,263
1550977387,2019-02-24T03:03:07Z,QFA8,"32.502819,-100.559151",30000,394,263
1550977451,2019-02-24T03:04:11Z,QFA8,"32.489552,-100.695412",30000,396,263
1550977515,2019-02-24T03:05:15Z,QFA8,"32.476097,-100.832802",30000,399,263
1550977581,2019-02-24T03:06:21Z,QFA8,"32.461945,-100.975342",30000,396,263
1550977644,2019-02-24T03:07:24Z,QFA8,"32.448307,-101.110764",30000,395,263
1550977707,2019-02-24T03:08:27Z,QFA8,"32.434528,-101.246521",30000,399,263
1550977770,2019-02-24T03:09:30Z,QFA8,"32.420242,-101.385239",30000,397,263
1550977800,2019-02-24T03:10:00Z,QFA8,"32.413696,-101.448524",30000,399,262
1550977888,2019-02-24T03:11:28Z,QFA8,"32.3937,-101.6399",30000,400,262
1550977949,2019-02-24T03:12:29Z,QFA8,"32.379547,-101.773277",30000,405,262
1550978010,2019-02-24T03:13:30Z,QFA8,"32.365257,-101.90699",30000,409,262
1550978070,2019-02-24T03:14:30Z,QFA8,"32.350735,-102.041634",30000,408,262
1550978132,2019-02-24T03:15:32Z,QFA8,"32.335835,-102.177673",30000,407,262
1550978193,2019-02-24T03:16:33Z,QFA8,"32.320953,-102.312599",30000,411,262
1550978255,2019-02-24T03:17:35Z,QFA8,"32.305984,-102.447067",30000,407,262
1550978315,2019-02-24T03:18:35Z,QFA8,"32.290775,-102.582428",30000,411,262
1550978376,2019-02-24T03:19:36Z,QFA8,"32.275272,-102.718582",30000,409,262
1550978435,2019-02-24T03:20:35Z,QFA8,"32.260117,-102.850708",30000,413,262
1550978499,2019-02-24T03:21:39Z,QFA8,"32.24371,-102.992287",30000,410,262
1550978561,2019-02-24T03:22:41Z,QFA8,"32.227787,-103.128212",30000,408,261
