Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551146124,2019-02-26T01:55:24Z,QFA8,"32.895206,-97.045197",0,2,33
1551146156,2019-02-26T01:55:56Z,QFA8,"32.895012,-97.045448",0,2,5
1551146197,2019-02-26T01:56:37Z,QFA8,"32.89473,-97.045601",0,2,329
1551146231,2019-02-26T01:57:11Z,QFA8,"32.894497,-97.045517",0,2,300
1551146265,2019-02-26T01:57:45Z,QFA8,"32.894314,-97.045273",0,2,278
1551146288,2019-02-26T01:58:08Z,QFA8,"32.894276,-97.045052",0,2,270
1551146345,2019-02-26T01:59:05Z,QFA8,"32.894314,-97.04538",0,2,270
1551146390,2019-02-26T01:59:50Z,QFA8,"32.89431,-97.045799",0,2,270
1551146462,2019-02-26T02:01:02Z,QFA8,"32.894299,-97.045807",0,0,180
1551146518,2019-02-26T02:01:58Z,QFA8,"32.894299,-97.045822",0,0,180
1551146557,2019-02-26T02:02:37Z,QFA8,"32.894299,-97.045822",0,0,180
1551146800,2019-02-26T02:06:40Z,QFA8,"32.894291,-97.046051",0,2,270
1551146913,2019-02-26T02:08:33Z,QFA8,"32.894291,-97.046288",0,14,270
1551146922,2019-02-26T02:08:42Z,QFA8,"32.894291,-97.0466",0,19,270
1551146933,2019-02-26T02:08:53Z,QFA8,"32.894253,-97.047089",0,24,264
1551146942,2019-02-26T02:09:02Z,QFA8,"32.894039,-97.047607",0,25,247
1551146970,2019-02-26T02:09:30Z,QFA8,"32.894218,-97.048805",0,20,300
1551146993,2019-02-26T02:09:53Z,QFA8,"32.895058,-97.04882",0,21,300
1551147001,2019-02-26T02:10:01Z,QFA8,"32.895359,-97.048836",0,23,358
1551147011,2019-02-26T02:10:11Z,QFA8,"32.895882,-97.048836",0,29,358
1551147018,2019-02-26T02:10:18Z,QFA8,"32.896301,-97.048851",0,32,359
1551147028,2019-02-26T02:10:28Z,QFA8,"32.896965,-97.048851",0,15,359
1551147036,2019-02-26T02:10:36Z,QFA8,"32.89753,-97.048859",0,16,359
1551147057,2019-02-26T02:10:57Z,QFA8,"32.899052,-97.048866",0,15,359
1551147067,2019-02-26T02:11:07Z,QFA8,"32.899757,-97.048882",0,15,359
1551147079,2019-02-26T02:11:19Z,QFA8,"32.900654,-97.048882",0,15,359
1551147127,2019-02-26T02:12:07Z,QFA8,"32.903938,-97.048859",0,33,359
1551147141,2019-02-26T02:12:21Z,QFA8,"32.904903,-97.048851",0,34,1
1551147152,2019-02-26T02:12:32Z,QFA8,"32.905613,-97.048851",0,15,358
1551147226,2019-02-26T02:13:46Z,QFA8,"32.910267,-97.048805",0,30,1
1551147288,2019-02-26T02:14:48Z,QFA8,"32.914494,-97.048798",0,33,359
1551147294,2019-02-26T02:14:54Z,QFA8,"32.914841,-97.048782",0,30,2
1551147373,2019-02-26T02:16:13Z,QFA8,"32.914864,-97.050743",0,30,182
1551147379,2019-02-26T02:16:19Z,QFA8,"32.914478,-97.05072",0,17,180
1551147399,2019-02-26T02:16:39Z,QFA8,"32.909733,-97.050728",0,84,180
1551147433,2019-02-26T02:17:13Z,QFA8,"32.888672,-97.050858",325,175,180
1551147443,2019-02-26T02:17:23Z,QFA8,"32.88031,-97.050926",550,179,180
1551147458,2019-02-26T02:17:38Z,QFA8,"32.868069,-97.05098",975,177,180
1551147467,2019-02-26T02:17:47Z,QFA8,"32.860748,-97.051407",1325,173,186
1551147474,2019-02-26T02:17:54Z,QFA8,"32.856354,-97.052399",1550,169,192
1551147484,2019-02-26T02:18:04Z,QFA8,"32.84816,-97.054764",1850,170,194
1551147500,2019-02-26T02:18:20Z,QFA8,"32.835342,-97.059158",2000,189,196
1551147507,2019-02-26T02:18:27Z,QFA8,"32.830078,-97.061081",2050,195,196
1551147517,2019-02-26T02:18:37Z,QFA8,"32.820099,-97.064651",2175,207,197
