Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549277345,2019-02-04T10:49:05Z,PAL126,"14.511589,121.013306",0,9,216
1549285878,2019-02-04T13:11:18Z,PAL126,"14.511915,121.013588",0,11,135
1549285932,2019-02-04T13:12:12Z,PAL126,"14.511051,121.014473",0,16,135
1549285950,2019-02-04T13:12:30Z,PAL126,"14.510763,121.014778",0,15,135
1549285968,2019-02-04T13:12:48Z,PAL126,"14.510437,121.015106",0,15,135
1549286014,2019-02-04T13:13:34Z,PAL126,"14.509983,121.015572",0,0,134
1549286193,2019-02-04T13:16:33Z,PAL126,"14.509716,121.015816",0,16,135
1549286208,2019-02-04T13:16:48Z,PAL126,"14.509367,121.016022",0,17,149
1549286226,2019-02-04T13:17:06Z,PAL126,"14.508797,121.01561",0,21,225
1549286236,2019-02-04T13:17:16Z,PAL126,"14.508622,121.015259",0,22,239
1549286256,2019-02-04T13:17:36Z,PAL126,"14.508133,121.014404",0,27,239
1549286278,2019-02-04T13:17:58Z,PAL126,"14.507526,121.013313",0,32,239
1549286285,2019-02-04T13:18:05Z,PAL126,"14.507298,121.012901",0,33,239
1549286292,2019-02-04T13:18:12Z,PAL126,"14.507028,121.012428",0,31,239
1549286303,2019-02-04T13:18:23Z,PAL126,"14.506725,121.011894",0,32,239
1549286311,2019-02-04T13:18:31Z,PAL126,"14.506416,121.011353",0,15,239
1549286317,2019-02-04T13:18:37Z,PAL126,"14.506201,121.010971",0,16,241
1549286330,2019-02-04T13:18:50Z,PAL126,"14.50584,121.01033",0,28,241
1549286341,2019-02-04T13:19:01Z,PAL126,"14.505526,121.009766",0,31,239
1549286357,2019-02-04T13:19:17Z,PAL126,"14.504991,121.008812",0,30,239
1549286363,2019-02-04T13:19:23Z,PAL126,"14.504837,121.00853",0,25,241
1549286379,2019-02-04T13:19:39Z,PAL126,"14.504299,121.008156",0,26,205
1549286385,2019-02-04T13:19:45Z,PAL126,"14.50399,121.00808",0,24,196
1549286393,2019-02-04T13:19:53Z,PAL126,"14.503629,121.007835",0,26,213
1549286400,2019-02-04T13:20:00Z,PAL126,"14.503567,121.007576",0,26,230
1549286408,2019-02-04T13:20:08Z,PAL126,"14.503396,121.007248",0,22,239
1549286433,2019-02-04T13:20:33Z,PAL126,"14.50285,121.006271",0,27,239
1549286441,2019-02-04T13:20:41Z,PAL126,"14.502651,121.005913",0,27,239
1549286487,2019-02-04T13:21:27Z,PAL126,"14.501987,121.004723",0,13,239
1549286499,2019-02-04T13:21:39Z,PAL126,"14.50185,121.004486",0,16,239
1549286514,2019-02-04T13:21:54Z,PAL126,"14.501639,121.004089",0,19,241
1549286524,2019-02-04T13:22:04Z,PAL126,"14.501488,121.00383",0,14,239
1549286569,2019-02-04T13:22:49Z,PAL126,"14.501266,121.003433",0,0,241
1549286682,2019-02-04T13:24:42Z,PAL126,"14.501069,121.003082",0,18,239
1549286695,2019-02-04T13:24:55Z,PAL126,"14.500866,121.002708",0,22,239
1549286706,2019-02-04T13:25:06Z,PAL126,"14.500708,121.002434",0,2,239
1549287876,2019-02-04T13:44:36Z,PAL126,"14.499893,121.000954",0,16,239
1549287892,2019-02-04T13:44:52Z,PAL126,"14.499719,121.000648",0,12,239
1549288300,2019-02-04T13:51:40Z,PAL126,"14.499475,121.000198",0,16,241
1549288309,2019-02-04T13:51:49Z,PAL126,"14.499358,120.999985",0,16,239
1549288318,2019-02-04T13:51:58Z,PAL126,"14.499229,120.999779",0,17,239
1549288325,2019-02-04T13:52:05Z,PAL126,"14.499021,120.999626",0,17,222
