Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550150588,2019-02-14T13:23:08Z,PAL126,"14.511955,121.013542",0,0,358
1550150668,2019-02-14T13:24:28Z,PAL126,"14.510728,121.014793",0,17,135
1550150683,2019-02-14T13:24:43Z,PAL126,"14.510433,121.015106",0,17,135
1550150693,2019-02-14T13:24:53Z,PAL126,"14.510228,121.015305",0,16,135
1550150935,2019-02-14T13:28:55Z,PAL126,"14.50993,121.015564",0,0,139
1550150960,2019-02-14T13:29:20Z,PAL126,"14.509712,121.015778",0,14,135
1550150975,2019-02-14T13:29:35Z,PAL126,"14.509413,121.016006",0,17,143
1550150999,2019-02-14T13:29:59Z,PAL126,"14.508785,121.015526",0,20,230
1550151008,2019-02-14T13:30:08Z,PAL126,"14.508622,121.015213",0,22,239
1550151021,2019-02-14T13:30:21Z,PAL126,"14.50835,121.014725",0,26,239
1550151032,2019-02-14T13:30:32Z,PAL126,"14.508053,121.014206",0,28,239
1550151041,2019-02-14T13:30:41Z,PAL126,"14.507807,121.013756",0,30,239
1550151050,2019-02-14T13:30:50Z,PAL126,"14.507526,121.013245",0,31,239
1550151057,2019-02-14T13:30:57Z,PAL126,"14.507355,121.012947",0,28,239
1550151068,2019-02-14T13:31:08Z,PAL126,"14.507,121.012299",0,27,239
1550151079,2019-02-14T13:31:19Z,PAL126,"14.506737,121.011848",0,23,239
1550151092,2019-02-14T13:31:32Z,PAL126,"14.506457,121.011345",0,23,239
1550151107,2019-02-14T13:31:47Z,PAL126,"14.506154,121.010811",0,22,239
1550151118,2019-02-14T13:31:58Z,PAL126,"14.505968,121.01049",0,23,239
1550151125,2019-02-14T13:32:05Z,PAL126,"14.505829,121.010239",0,25,241
1550151137,2019-02-14T13:32:17Z,PAL126,"14.505572,121.009789",0,23,239
1550151191,2019-02-14T13:33:11Z,PAL126,"14.505049,121.008888",0,12,241
1550151205,2019-02-14T13:33:25Z,PAL126,"14.504839,121.008499",0,21,239
1550151221,2019-02-14T13:33:41Z,PAL126,"14.504315,121.008141",0,27,208
1550151237,2019-02-14T13:33:57Z,PAL126,"14.503532,121.007736",0,25,219
1550151243,2019-02-14T13:34:03Z,PAL126,"14.50351,121.007523",0,25,236
1550151249,2019-02-14T13:34:09Z,PAL126,"14.503373,121.007248",0,26,241
1550151271,2019-02-14T13:34:31Z,PAL126,"14.502766,121.006142",0,32,239
1550151277,2019-02-14T13:34:37Z,PAL126,"14.502582,121.005814",0,29,239
1550151294,2019-02-14T13:34:54Z,PAL126,"14.502136,121.005013",0,25,239
1550151316,2019-02-14T13:35:16Z,PAL126,"14.501627,121.004082",0,17,239
1550151353,2019-02-14T13:35:53Z,PAL126,"14.501083,121.003113",0,11,239
1550151424,2019-02-14T13:37:04Z,PAL126,"14.501045,121.003029",0,0,180
1550151458,2019-02-14T13:37:38Z,PAL126,"14.500866,121.002708",0,15,239
1550151479,2019-02-14T13:37:59Z,PAL126,"14.500557,121.002151",0,18,239
1550151642,2019-02-14T13:40:42Z,PAL126,"14.500202,121.001511",0,10,239
1550151657,2019-02-14T13:40:57Z,PAL126,"14.500088,121.001289",0,13,241
1550151669,2019-02-14T13:41:09Z,PAL126,"14.499939,121.00103",0,16,239
1550151687,2019-02-14T13:41:27Z,PAL126,"14.49971,121.000626",0,12,239
1550151703,2019-02-14T13:41:43Z,PAL126,"14.499596,121.000412",0,0,242
1550151861,2019-02-14T13:44:21Z,PAL126,"14.49947,121.000183",0,13,239
1550151872,2019-02-14T13:44:32Z,PAL126,"14.499344,120.999947",0,16,241
1550151883,2019-02-14T13:44:43Z,PAL126,"14.499138,120.99968",0,15,233
1550151901,2019-02-14T13:45:01Z,PAL126,"14.498886,120.99958",0,2,210
1550151968,2019-02-14T13:46:08Z,PAL126,"14.498589,120.999702",0,15,174
1550152011,2019-02-14T13:46:51Z,PAL126,"14.498136,121.000687",0,17,81
1550152064,2019-02-14T13:47:44Z,PAL126,"14.507767,121.01796",0,154,60
1550152074,2019-02-14T13:47:54Z,PAL126,"14.511932,121.025436",125,181,60
1550152080,2019-02-14T13:48:00Z,PAL126,"14.514336,121.029778",375,178,60
1550152086,2019-02-14T13:48:06Z,PAL126,"14.516739,121.034149",675,175,60
1550152099,2019-02-14T13:48:19Z,PAL126,"14.521774,121.042625",1250,169,57
1550152106,2019-02-14T13:48:26Z,PAL126,"14.524438,121.046783",1450,168,56
1550152116,2019-02-14T13:48:36Z,PAL126,"14.529831,121.055275",1650,181,56
1550152123,2019-02-14T13:48:43Z,PAL126,"14.532678,121.059792",1700,188,57
1550152129,2019-02-14T13:48:49Z,PAL126,"14.53537,121.064125",1750,195,57
1550152141,2019-02-14T13:49:01Z,PAL126,"14.541412,121.073883",1950,207,57
1550152148,2019-02-14T13:49:08Z,PAL126,"14.5448,121.079277",2050,213,57
1550152159,2019-02-14T13:49:19Z,PAL126,"14.551392,121.089935",2250,226,57
1550152167,2019-02-14T13:49:27Z,PAL126,"14.556747,121.098557",2375,236,57
1550152174,2019-02-14T13:49:34Z,PAL126,"14.56019,121.104126",2525,240,57
1550152185,2019-02-14T13:49:45Z,PAL126,"14.567592,121.116127",3075,239,57
1550152191,2019-02-14T13:49:51Z,PAL126,"14.570709,121.121239",3300,238,57
1550152198,2019-02-14T13:49:58Z,PAL126,"14.574738,121.127441",3575,239,54
1550152206,2019-02-14T13:50:06Z,PAL126,"14.581329,121.134972",3775,247,40
1550152213,2019-02-14T13:50:13Z,PAL126,"14.587463,121.139137",3925,253,28
1550152220,2019-02-14T13:50:20Z,PAL126,"14.594376,121.141647",4100,259,13
1550152244,2019-02-14T13:50:44Z,PAL126,"14.623408,121.138916",5100,260,348
1550152252,2019-02-14T13:50:52Z,PAL126,"14.634301,121.13694",5450,262,350
1550152264,2019-02-14T13:51:04Z,PAL126,"14.649124,121.13459",5800,267,351
1550152275,2019-02-14T13:51:15Z,PAL126,"14.663681,121.132599",6200,269,352
1550152288,2019-02-14T13:51:28Z,PAL126,"14.678696,121.130707",6775,263,352
1550152301,2019-02-14T13:51:41Z,PAL126,"14.692886,121.128906",7300,261,352
1550152312,2019-02-14T13:51:52Z,PAL126,"14.708273,121.126968",7475,273,353
1550152325,2019-02-14T13:52:05Z,PAL126,"14.723449,121.125137",7725,278,353
1550152337,2019-02-14T13:52:17Z,PAL126,"14.739555,121.123108",8125,281,353
1550152348,2019-02-14T13:52:28Z,PAL126,"14.754639,121.121193",8425,286,352
1550152361,2019-02-14T13:52:41Z,PAL126,"14.771025,121.119064",8725,290,352
1550152373,2019-02-14T13:52:53Z,PAL126,"14.787551,121.116943",9025,295,352
1550152385,2019-02-14T13:53:05Z,PAL126,"14.803665,121.114845",9350,297,352
1550152397,2019-02-14T13:53:17Z,PAL126,"14.820138,121.112656",9700,298,352
1550152408,2019-02-14T13:53:28Z,PAL126,"14.837083,121.110435",10000,302,352
1550152421,2019-02-14T13:53:41Z,PAL126,"14.854248,121.108124",10325,304,352
1550152433,2019-02-14T13:53:53Z,PAL126,"14.871438,121.105827",10600,309,352
1550152446,2019-02-14T13:54:06Z,PAL126,"14.888535,121.103546",10900,312,352
1550152458,2019-02-14T13:54:18Z,PAL126,"14.906074,121.101166",11250,312,352
1550152469,2019-02-14T13:54:29Z,PAL126,"14.92337,121.098778",11650,312,352
1550152481,2019-02-14T13:54:41Z,PAL126,"14.940994,121.096413",12000,312,352
1550152514,2019-02-14T13:55:14Z,PAL126,"14.990295,121.089867",12450,334,352
1550152547,2019-02-14T13:55:47Z,PAL126,"15.042618,121.082825",12825,357,352
1550152581,2019-02-14T13:56:21Z,PAL126,"15.099404,121.075218",13200,380,352
1550152612,2019-02-14T13:56:52Z,PAL126,"15.158844,121.067314",13750,393,352
1550152645,2019-02-14T13:57:25Z,PAL126,"15.2122,121.060165",14375,400,352
1550152678,2019-02-14T13:57:58Z,PAL126,"15.275162,121.05175",15200,405,352
1550152711,2019-02-14T13:58:31Z,PAL126,"15.338404,121.043388",15875,414,352
1550152743,2019-02-14T13:59:03Z,PAL126,"15.400452,121.035126",16750,413,352
1550152776,2019-02-14T13:59:36Z,PAL126,"15.464264,121.027466",17450,417,358
1550152796,2019-02-14T13:59:56Z,PAL126,"15.498776,121.0327",17825,413,17
1550152804,2019-02-14T14:00:04Z,PAL126,"15.515069,121.039612",18025,412,25
1550152813,2019-02-14T14:00:13Z,PAL126,"15.530059,121.047562",18200,413,27
1550152821,2019-02-14T14:00:21Z,PAL126,"15.545746,121.055939",18425,414,27
1550152883,2019-02-14T14:01:23Z,PAL126,"15.650816,121.107834",19625,421,25
1550152946,2019-02-14T14:02:26Z,PAL126,"15.763229,121.163589",21100,421,25
1550153010,2019-02-14T14:03:30Z,PAL126,"15.87664,121.219955",21850,440,25
1550153070,2019-02-14T14:04:30Z,PAL126,"15.989502,121.276146",22750,450,25
1550153131,2019-02-14T14:05:31Z,PAL126,"16.107027,121.334679",24025,450,25
1550153196,2019-02-14T14:06:36Z,PAL126,"16.228821,121.395508",25125,455,25
1550153255,2019-02-14T14:07:35Z,PAL126,"16.344025,121.453026",25825,466,25
1550153319,2019-02-14T14:08:39Z,PAL126,"16.469297,121.515755",26625,473,25
1550153354,2019-02-14T14:09:14Z,PAL126,"16.536146,121.549255",27175,473,25
1550153445,2019-02-14T14:10:45Z,PAL126,"16.720825,121.641876",28150,483,25
1550153458,2019-02-14T14:10:58Z,PAL126,"16.748751,121.65593",28350,483,25
1550153501,2019-02-14T14:11:41Z,PAL126,"16.835861,121.699699",28900,485,25
1550153592,2019-02-14T14:13:12Z,PAL126,"17.02066,121.794533",29775,495,27
1550153611,2019-02-14T14:13:31Z,PAL126,"17.059347,121.815475",29975,495,27
1550153662,2019-02-14T14:14:22Z,PAL126,"17.158457,121.868446",30825,489,27
1550153754,2019-02-14T14:15:54Z,PAL126,"17.349739,121.970261",31575,496,27
1550156496,2019-02-14T15:01:36Z,PAL126,"23.141144,125.727142",35000,564,39
1550156557,2019-02-14T15:02:37Z,PAL126,"23.263271,125.83786",35000,565,39
1550156618,2019-02-14T15:03:38Z,PAL126,"23.386459,125.949715",35000,566,39
1550156679,2019-02-14T15:04:39Z,PAL126,"23.511162,126.063332",35000,567,39
1550156742,2019-02-14T15:05:42Z,PAL126,"23.633547,126.175026",35000,567,40
1550156804,2019-02-14T15:06:44Z,PAL126,"23.757797,126.288658",35000,566,40
1550156864,2019-02-14T15:07:44Z,PAL126,"23.880295,126.401115",35000,564,40
1550156924,2019-02-14T15:08:44Z,PAL126,"24.001495,126.512596",35000,566,40
1550156987,2019-02-14T15:09:47Z,PAL126,"24.124374,126.625923",35000,566,40
1550157047,2019-02-14T15:10:47Z,PAL126,"24.246361,126.738693",35000,567,40
1550157108,2019-02-14T15:11:48Z,PAL126,"24.368225,126.851707",35000,569,40
1550157168,2019-02-14T15:12:48Z,PAL126,"24.491547,126.966347",35000,568,40
1550157229,2019-02-14T15:13:49Z,PAL126,"24.613379,127.079895",35000,568,40
1550157291,2019-02-14T15:14:51Z,PAL126,"24.736464,127.194885",35000,569,40
1550157352,2019-02-14T15:15:52Z,PAL126,"24.858894,127.309677",35000,567,40
1550157413,2019-02-14T15:16:53Z,PAL126,"24.980759,127.424217",35000,569,40
1550157474,2019-02-14T15:17:54Z,PAL126,"25.102524,127.53891",35000,570,40
1550157534,2019-02-14T15:18:54Z,PAL126,"25.225773,127.655327",35000,572,40
1550157597,2019-02-14T15:19:57Z,PAL126,"25.348625,127.771774",35000,572,40
1550157658,2019-02-14T15:20:58Z,PAL126,"25.472488,127.889404",35000,572,40
1550157718,2019-02-14T15:21:58Z,PAL126,"25.595676,128.00679",35000,573,40
1550157782,2019-02-14T15:23:02Z,PAL126,"25.716387,128.132095",35000,581,45
1550157843,2019-02-14T15:24:03Z,PAL126,"25.834305,128.260361",35000,583,44
1550157903,2019-02-14T15:25:03Z,PAL126,"25.952267,128.38681",35000,584,44
1550157965,2019-02-14T15:26:05Z,PAL126,"26.071472,128.515274",35000,584,44
1550158027,2019-02-14T15:27:07Z,PAL126,"26.191452,128.644882",35000,584,44
1550158092,2019-02-14T15:28:12Z,PAL126,"26.317516,128.781418",35000,585,44
1550158124,2019-02-14T15:28:44Z,PAL126,"26.380781,128.850189",35000,586,44
1550158215,2019-02-14T15:30:15Z,PAL126,"26.555632,129.040817",35000,584,44
1550158276,2019-02-14T15:31:16Z,PAL126,"26.674942,129.17128",35000,581,44
1550158337,2019-02-14T15:32:17Z,PAL126,"26.791279,129.298935",35000,583,44
1550158398,2019-02-14T15:33:18Z,PAL126,"26.907753,129.427139",35000,583,44
1550158458,2019-02-14T15:34:18Z,PAL126,"27.024399,129.555969",35000,582,44
1550158523,2019-02-14T15:35:23Z,PAL126,"27.147495,129.69223",35000,584,44
1550158585,2019-02-14T15:36:25Z,PAL126,"27.269348,129.827667",35000,586,44
1550158646,2019-02-14T15:37:26Z,PAL126,"27.386353,129.958099",35000,586,44
1550158706,2019-02-14T15:38:26Z,PAL126,"27.502533,130.088074",35000,587,44
1550158768,2019-02-14T15:39:28Z,PAL126,"27.624098,130.224426",35000,590,44
1550158829,2019-02-14T15:40:29Z,PAL126,"27.742014,130.357117",35000,591,45
1550158892,2019-02-14T15:41:32Z,PAL126,"27.860817,130.491333",35000,592,44
1550158954,2019-02-14T15:42:34Z,PAL126,"27.980501,130.626953",35000,593,45
1550159014,2019-02-14T15:43:34Z,PAL126,"28.098186,130.760727",35000,593,45
1550159077,2019-02-14T15:44:37Z,PAL126,"28.217592,130.896988",35000,594,45
1550159139,2019-02-14T15:45:39Z,PAL126,"28.339462,131.036575",35000,592,45
1550159202,2019-02-14T15:46:42Z,PAL126,"28.457748,131.172424",35000,590,45
1550159494,2019-02-14T15:51:34Z,PAL126,"29.022629,131.827591",35000,598,45
1550159500,2019-02-14T15:51:40Z,PAL126,"29.034576,131.841537",35000,598,45
1550159506,2019-02-14T15:51:46Z,PAL126,"29.046661,131.855698",35000,599,45
1550159513,2019-02-14T15:51:53Z,PAL126,"29.058426,131.869476",35000,599,45
1550159574,2019-02-14T15:52:54Z,PAL126,"29.177078,132.008652",35000,600,45
1550159635,2019-02-14T15:53:55Z,PAL126,"29.295416,132.147964",35000,602,45
1550159668,2019-02-14T15:54:28Z,PAL126,"29.359131,132.22316",35000,601,46
1550159755,2019-02-14T15:55:55Z,PAL126,"29.525848,132.4207",35000,599,46
1550159817,2019-02-14T15:56:57Z,PAL126,"29.644135,132.561295",35000,603,46
1550159879,2019-02-14T15:57:59Z,PAL126,"29.768806,132.710205",35000,604,46
1550159940,2019-02-14T15:59:00Z,PAL126,"29.884954,132.849487",35000,601,46
1550160002,2019-02-14T16:00:02Z,PAL126,"30.003988,132.99263",35000,601,46
1550160063,2019-02-14T16:01:03Z,PAL126,"30.123301,133.136551",35000,604,46
1550160104,2019-02-14T16:01:44Z,PAL126,"30.202057,133.231949",35000,607,46
1550160202,2019-02-14T16:03:22Z,PAL126,"30.394043,133.465408",35000,614,46
1550160265,2019-02-14T16:04:25Z,PAL126,"30.516436,133.615067",35000,615,46
1550160523,2019-02-14T16:08:43Z,PAL126,"31.017471,134.233536",35000,612,46
1550160612,2019-02-14T16:10:12Z,PAL126,"31.188463,134.446899",35000,617,47
1550160699,2019-02-14T16:11:39Z,PAL126,"31.360291,134.662598",35000,624,47
1550160720,2019-02-14T16:12:00Z,PAL126,"31.402836,134.71611",35000,627,47
1550160820,2019-02-14T16:13:40Z,PAL126,"31.598328,134.96376",35000,624,47
1550160885,2019-02-14T16:14:45Z,PAL126,"31.724606,135.124313",35000,616,47
1550160949,2019-02-14T16:15:49Z,PAL126,"31.842848,135.284805",35000,622,50
1550161012,2019-02-14T16:16:52Z,PAL126,"31.962158,135.450058",35000,619,49
1550161077,2019-02-14T16:17:57Z,PAL126,"32.083149,135.616745",35000,618,49
1550161143,2019-02-14T16:19:03Z,PAL126,"32.204792,135.785416",35000,617,49
1550161213,2019-02-14T16:20:13Z,PAL126,"32.333694,135.964951",35000,615,49
1550161220,2019-02-14T16:20:20Z,PAL126,"32.347054,135.983612",35000,615,49
1550161306,2019-02-14T16:21:46Z,PAL126,"32.506668,136.207291",35000,608,50
1550161369,2019-02-14T16:22:49Z,PAL126,"32.616127,136.361465",35225,602,50
1550161429,2019-02-14T16:23:49Z,PAL126,"32.726315,136.517059",35725,602,50
1550161493,2019-02-14T16:24:53Z,PAL126,"32.840286,136.678925",36275,601,50
1550161559,2019-02-14T16:25:59Z,PAL126,"32.953678,136.84082",36825,596,50
1550161619,2019-02-14T16:26:59Z,PAL126,"33.060051,136.99295",37000,595,50
1550161679,2019-02-14T16:27:59Z,PAL126,"33.166794,137.146545",37000,596,50
1550161743,2019-02-14T16:29:03Z,PAL126,"33.278843,137.308472",37000,593,50
1550161803,2019-02-14T16:30:03Z,PAL126,"33.384247,137.461319",37000,593,50
1550161863,2019-02-14T16:31:03Z,PAL126,"33.490471,137.616089",37000,596,50
1550161927,2019-02-14T16:32:07Z,PAL126,"33.600769,137.777695",37000,589,50
1550161989,2019-02-14T16:33:09Z,PAL126,"33.704681,137.930374",37000,583,50
1550162048,2019-02-14T16:34:08Z,PAL126,"33.80809,138.082947",37000,582,50
1550162110,2019-02-14T16:35:10Z,PAL126,"33.911163,138.235764",37000,580,51
1550162171,2019-02-14T16:36:11Z,PAL126,"34.014229,138.389221",37000,577,51
1550162234,2019-02-14T16:37:14Z,PAL126,"34.120415,138.547958",37000,579,51
1550162299,2019-02-14T16:38:19Z,PAL126,"34.227764,138.709137",37000,579,51
1550162373,2019-02-14T16:39:33Z,PAL126,"34.353333,138.898804",37000,579,51
1550162435,2019-02-14T16:40:35Z,PAL126,"34.457108,139.05603",37000,582,51
1550162497,2019-02-14T16:41:37Z,PAL126,"34.563545,139.21817",37000,585,51
1550162559,2019-02-14T16:42:39Z,PAL126,"34.665916,139.374908",37000,589,51
1550162621,2019-02-14T16:43:41Z,PAL126,"34.769588,139.534378",37000,588,51
1550162683,2019-02-14T16:44:43Z,PAL126,"34.875183,139.697327",37000,590,51
1550162750,2019-02-14T16:45:50Z,PAL126,"34.987885,139.87233",37000,592,51
1550162811,2019-02-14T16:46:51Z,PAL126,"35.092026,140.034714",37000,593,52
1550162873,2019-02-14T16:47:53Z,PAL126,"35.195679,140.197113",37000,593,52
1550162932,2019-02-14T16:48:52Z,PAL126,"35.294403,140.352463",37025,590,52
1550163024,2019-02-14T16:50:24Z,PAL126,"35.446152,140.592728",37000,582,52
1550163086,2019-02-14T16:51:26Z,PAL126,"35.54948,140.757126",37000,579,52
1550163151,2019-02-14T16:52:31Z,PAL126,"35.65226,140.92157",37000,580,52
1550163216,2019-02-14T16:53:36Z,PAL126,"35.759239,141.093506",37000,581,52
1550163280,2019-02-14T16:54:40Z,PAL126,"35.864216,141.263199",37000,578,52
1550163341,2019-02-14T16:55:41Z,PAL126,"35.963604,141.424423",37000,583,52
1550163403,2019-02-14T16:56:43Z,PAL126,"36.064316,141.58876",37000,587,52
1550163482,2019-02-14T16:58:02Z,PAL126,"36.194687,141.802704",37025,586,53
1550163504,2019-02-14T16:58:24Z,PAL126,"36.228836,141.858902",37000,586,53
1550163576,2019-02-14T16:59:36Z,PAL126,"36.343872,142.049042",37000,584,53
1550163663,2019-02-14T17:01:03Z,PAL126,"36.486248,142.285812",37000,585,53
1550163725,2019-02-14T17:02:05Z,PAL126,"36.585938,142.452682",37000,586,53
1550163786,2019-02-14T17:03:06Z,PAL126,"36.684002,142.617676",37025,585,53
1550163847,2019-02-14T17:04:07Z,PAL126,"36.781998,142.783417",37025,580,53
1550163908,2019-02-14T17:05:08Z,PAL126,"36.879913,142.949539",37000,581,53
1550163961,2019-02-14T17:06:01Z,PAL126,"36.963455,143.092133",37000,581,53
1550164053,2019-02-14T17:07:33Z,PAL126,"37.107674,143.339523",37000,580,53
1550164064,2019-02-14T17:07:44Z,PAL126,"37.125362,143.369965",37000,581,53
1550164182,2019-02-14T17:09:42Z,PAL126,"37.310081,143.690002",37000,580,54
